Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,210,255,244.037,8.397,5320,76,215,143.945,29.489,5320,76,215,143.945,29.489
G2,5320,118,255,223.489,33.610,5320,68,204,133.835,23.208,5320,68,204,133.835,23.208
G3,5320,69,255,224.089,43.869,5320,54,182,149.396,24.219,5320,54,182,149.396,24.219
G4,5320,54,248,153.055,44.372,5320,32,197,121.392,36.648,5320,32,197,123.459,36.651
G5,5320,37,254,155.970,50.030,5320,29,210,127.913,47.388,5320,29,222,134.873,49.174
G6,5320,44,255,185.403,62.722,5320,44,240,156.999,50.604,5320,58,251,163.646,49.114
G7,5320,37,255,191.241,38.713,5320,34,236,170.339,42.110,5320,34,254,174.465,46.417
G8,5320,59,255,187.217,55.009,5320,37,144,96.870,24.345,5320,37,144,96.870,24.345
G9,5320,57,255,174.181,41.204,5320,0,191,79.026,45.656,5320,0,191,79.026,45.656
G10,5320,112,255,224.201,39.118,5320,112,252,213.226,34.380,5320,141,255,226.211,21.136
G11,5320,132,255,211.180,33.019,5320,102,242,185.252,32.310,5320,102,255,197.264,35.561
G12,5320,71,255,218.185,33.089,5320,45,230,168.772,32.615,5320,45,248,174.209,36.898
G13,5320,52,234,161.584,48.119,5320,40,234,151.312,54.236,5320,40,255,164.796,62.392
G14,5320,42,255,189.752,59.256,5320,42,244,185.144,55.736,5320,55,255,204.463,49.935
G15,5320,57,255,201.037,35.531,5320,48,228,147.530,43.602,5320,48,228,147.555,43.600
G16,5320,162,255,228.778,21.708,5320,74,214,134.009,27.019,5320,74,214,134.009,27.019
G17,5320,61,255,159.709,47.256,5320,0,180,72.199,42.888,5320,0,180,72.199,42.888
G18,5320,20,172,104.346,32.046,5320,20,172,104.346,32.046,5320,62,251,201.548,38.483
G19,5320,84,229,168.707,34.299,5320,84,229,168.707,34.299,5320,124,255,221.736,30.478
G20,5320,92,227,132.032,30.678,5320,92,227,132.032,30.678,5320,191,255,231.562,16.384
G21,5320,99,255,187.961,36.172,5320,99,245,187.473,35.473,5320,202,255,246.695,13.411
