Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,245.037,10.030,5320,63,199,132.115,28.562,5320,63,199,132.115,28.562
G2,5320,74,255,216.612,46.715,5320,41,175,114.723,25.711,5320,41,175,114.723,25.711
G3,5320,50,255,224.892,45.289,5320,35,172,140.197,27.389,5320,35,172,140.197,27.389
G4,5320,52,250,148.913,34.485,5320,28,159,112.520,30.578,5320,28,166,113.751,31.508
G5,5320,42,255,155.673,62.790,5320,36,240,138.895,57.948,5320,36,249,142.722,58.154
G6,5320,31,255,151.251,64.907,5320,31,239,150.405,63.796,5320,49,255,175.943,64.274
G7,5320,65,249,174.639,36.897,5320,55,247,168.090,35.981,5320,55,255,187.119,38.889
G8,5320,48,255,186.934,57.514,5320,34,174,101.694,31.064,5320,34,174,101.694,31.064
G9,5320,60,249,178.966,42.642,5320,0,195,77.674,47.767,5320,0,195,77.674,47.767
G10,5320,120,255,229.428,35.192,5320,120,248,203.720,26.102,5320,135,251,210.784,19.518
G11,5320,169,255,226.289,20.601,5320,104,249,194.306,32.791,5320,104,255,200.145,37.054
G12,5320,139,255,218.114,27.989,5320,107,218,177.130,21.859,5320,107,255,187.963,32.742
G13,5320,0,244,97.669,73.536,5320,0,243,95.023,71.949,5320,63,255,177.103,47.996
G14,5320,0,222,102.218,63.930,5320,0,218,101.914,63.517,5320,49,255,213.693,42.111
G15,5320,36,250,188.588,42.125,5320,36,231,144.366,43.512,5320,48,247,148.347,46.014
G16,5320,154,255,231.881,19.311,5320,67,174,126.292,18.952,5320,67,174,126.292,18.952
G17,5320,60,242,163.492,47.017,5320,0,155,61.684,38.283,5320,0,155,61.684,38.283
G18,5320,29,183,118.150,32.890,5320,29,183,118.150,32.890,5320,86,253,209.820,29.347
G19,5320,80,252,186.972,37.482,5320,80,251,186.452,36.904,5320,115,255,221.538,30.165
G20,5320,164,251,196.378,18.185,5320,164,250,196.373,18.170,5320,196,255,243.280,14.517
G21,5320,96,217,183.281,22.230,5320,96,217,183.166,22.174,5320,117,255,236.884,31.252
G22,5320,0,209,77.645,58.162,5320,0,209,75.793,56.160,5320,62,251,139.977,42.400
G23,5320,0,255,132.783,82.494,5320,0,185,106.723,60.200,5320,55,255,149.932,36.966
G24,5320,49,255,190.112,56.145,5320,33,206,143.231,42.556,5320,33,206,143.233,42.555
G25,5320,50,255,218.230,42.402,5320,35,204,157.790,33.986,5320,35,204,157.790,33.986
G26,5320,63,248,167.275,40.805,5320,41,158,83.410,21.741,5320,41,158,83.410,21.741
G27,5320,23,188,141.525,36.388,5320,23,188,141.525,36.388,5320,66,255,228.341,39.704
G28,5320,102,245,199.688,23.219,5320,102,245,199.688,23.219,5320,143,255,242.295,20.972
G29,5320,143,246,193.810,20.379,5320,143,246,193.810,20.379,5320,147,255,232.533,23.510
G30,5320,75,255,194.902,48.348,5320,75,228,173.522,30.716,5320,95,255,202.887,33.690
G31,5320,119,255,222.531,31.035,5320,0,204,73.251,65.158,5320,0,204,73.253,65.163
G32,5320,168,255,243.377,16.469,5320,0,145,45.693,47.425,5320,0,145,45.693,47.425
G33,5320,52,255,171.691,51.334,5320,35,176,99.424,27.783,5320,35,176,99.424,27.783
G34,5320,71,255,214.742,42.224,5320,52,174,130.709,23.806,5320,52,174,130.709,23.806
G35,5320,68,255,168.686,51.427,5320,46,186,112.575,34.329,5320,46,186,112.575,34.329
G36,5320,69,254,197.575,35.936,5320,69,251,196.319,34.625,5320,85,255,224.573,35.857
G37,5320,98,255,198.633,39.975,5320,98,249,190.464,33.455,5320,111,255,211.092,32.264
G38,5320,132,255,203.352,44.385,5320,132,245,186.196,33.010,5320,143,248,202.996,26.878
G39,5320,65,255,170.854,42.322,5320,37,228,151.229,38.668,5320,37,229,166.758,45.692
G40,5320,51,255,189.785,51.972,5320,0,151,53.463,34.356,5320,0,151,53.463,34.356
G41,5320,25,250,161.694,44.230,5320,0,57,9.103,11.711,5320,0,57,9.103,11.711
G42,5320,118,233,193.760,23.845,5320,5,107,68.416,24.025,5320,5,107,68.416,24.025
G43,5320,129,255,225.533,22.221,5320,21,124,81.119,24.844,5320,21,124,81.119,24.844
G44,5320,45,255,147.853,52.617,5320,13,198,93.351,48.332,5320,13,198,93.440,48.357
G45,5320,13,255,178.907,56.021,5320,0,249,163.916,49.255,5320,0,252,168.396,49.260
G46,5320,157,255,236.219,22.639,5320,100,240,165.050,34.117,5320,100,241,165.949,34.885
G47,5320,235,255,252.813,3.757,5320,0,177,100.428,50.616,5320,0,177,100.428,50.616
G48,5320,95,255,213.939,35.495,5320,0,175,98.089,34.870,5320,0,175,98.089,34.870
G49,5320,184,255,243.227,15.442,5320,25,133,79.372,23.484,5320,25,133,79.372,23.484
G50,5320,143,255,216.120,31.570,5320,0,56,11.265,14.547,5320,0,56,11.265,14.547
G51,5320,120,242,199.978,28.163,5320,0,23,3.358,4.895,5320,0,23,3.358,4.895
G52,5320,97,248,180.122,37.222,5320,0,34,3.583,7.479,5320,0,34,3.583,7.479
G53,5320,39,255,216.654,52.429,5320,0,60,21.915,20.061,5320,0,66,21.938,20.096
G54,5320,161,255,239.403,20.674,5320,93,234,191.174,33.114,5320,93,234,193.054,33.164
G55,5320,188,255,234.975,20.429,5320,36,153,82.985,21.399,5320,36,153,82.985,21.399
G56,5320,99,255,202.505,32.441,5320,0,111,43.751,30.856,5320,0,111,43.751,30.856
G57,5320,100,255,228.390,28.130,5320,0,191,89.783,46.359,5320,0,191,89.783,46.359
G58,5320,150,255,238.797,15.166,5320,47,199,117.402,39.562,5320,47,199,117.402,39.562
G59,5320,140,255,238.188,20.789,5320,0,169,72.222,38.275,5320,0,169,72.222,38.275
G60,5320,132,246,200.376,23.467,5320,1,81,31.571,20.105,5320,1,81,31.571,20.105
G61,5320,92,251,168.372,29.355,5320,0,117,37.658,30.586,5320,0,117,37.658,30.586
G62,5320,30,255,184.457,56.302,5320,0,97,22.708,25.204,5320,0,97,22.708,25.204
G63,5320,64,255,188.146,47.776,5320,23,178,81.911,41.568,5320,23,178,81.911,41.568
G64,5320,105,255,221.941,31.881,5320,25,229,143.856,47.874,5320,25,229,143.856,47.874
G65,5320,168,255,224.477,18.509,5320,76,230,180.405,22.967,5320,76,230,180.574,23.092
G66,5320,92,255,224.136,24.256,5320,81,220,153.934,27.606,5320,81,220,153.934,27.606
G67,5320,86,255,216.381,33.863,5320,61,219,151.319,32.463,5320,61,219,151.323,32.467
G68,5320,156,255,243.238,16.997,5320,61,212,132.793,34.466,5320,61,212,132.793,34.467
G69,5320,175,255,248.538,11.976,5320,84,143,106.213,9.521,5320,84,143,106.213,9.521
G70,5320,27,255,188.556,58.674,5320,27,178,111.743,29.180,5320,37,231,118.823,31.893
G71,5320,124,255,226.948,28.925,5320,124,240,169.711,16.733,5320,137,244,173.735,21.357
G72,5320,175,255,236.540,13.169,5320,173,247,208.074,20.232,5320,173,255,213.067,25.120
G73,5320,124,255,193.134,21.233,5320,121,236,189.628,20.529,5320,121,255,225.967,27.470
G74,5320,52,255,172.366,44.799,5320,40,185,132.119,36.934,5320,40,240,147.563,52.917
G75,5320,58,245,174.712,34.026,5320,40,227,163.465,40.639,5320,40,247,185.160,56.160
G76,5320,79,255,204.251,44.538,5320,79,241,177.567,29.855,5320,107,252,188.993,26.096
G77,5320,65,255,215.659,39.174,5320,56,227,150.213,28.400,5320,56,232,150.300,28.590
G78,5320,5,217,139.457,47.761,5320,5,216,139.456,47.760,5320,8,255,198.165,61.068
G79,5320,88,244,178.751,30.680,5320,88,239,178.446,30.179,5320,136,255,239.005,19.837
G80,5320,87,197,155.822,18.094,5320,87,197,155.822,18.094,5320,160,255,235.377,18.757
G81,5320,70,173,129.583,29.482,5320,70,173,129.583,29.482,5320,139,255,227.136,24.455
G82,5320,38,173,106.225,45.138,5320,38,173,106.225,45.138,5320,173,255,236.353,18.855
G83,5320,15,238,61.561,44.552,5320,15,234,61.518,44.394,5320,88,255,224.412,35.763
G84,5320,30,239,171.861,36.703,5320,30,220,149.091,32.973,5320,55,252,169.030,45.700
G85,5320,101,180,147.069,16.786,5320,101,180,147.069,16.786,5320,145,255,213.243,23.683
G86,5320,60,158,118.569,22.384,5320,60,158,118.569,22.384,5320,96,250,184.026,32.601
G87,5320,98,189,153.502,17.019,5320,98,189,153.502,17.019,5320,152,255,228.153,24.044
G88,5320,84,184,134.366,23.555,5320,84,184,134.366,23.555,5320,171,255,243.648,16.222
G89,5320,42,173,98.976,27.950,5320,42,173,98.976,27.950,5320,153,255,242.535,17.719
G90,5320,6,158,84.515,46.318,5320,6,158,84.517,46.315,5320,36,255,172.246,56.095
G91,5320,24,255,130.314,56.723,5320,24,255,126.473,52.369,5320,36,255,148.896,52.062
G92,5320,31,248,157.250,56.543,5320,24,161,98.668,31.261,5320,24,161,98.668,31.261
G93,5320,118,255,223.194,22.800,5320,69,244,141.163,31.675,5320,69,251,141.258,31.933
G94,5320,124,254,198.323,27.529,5320,124,242,194.780,25.993,5320,136,255,216.196,24.818
G95,5320,88,255,193.492,52.031,5320,79,252,178.647,53.541,5320,79,255,181.416,56.276
G96,5320,108,255,159.336,34.422,5320,108,249,158.417,32.965,5320,115,255,234.448,22.963
G97,5320,5,255,162.424,60.532,5320,5,233,139.756,55.612,5320,16,255,190.568,56.873
G98,5320,39,255,171.102,57.657,5320,39,235,142.366,38.741,5320,61,255,176.189,46.038
G99,5320,12,249,132.625,35.668,5320,12,237,131.364,34.657,5320,18,255,204.469,43.049
G100,5320,38,254,172.187,36.931,5320,38,249,172.039,36.668,5320,58,255,218.651,33.219
