Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,225,255,245.939,7.245,5320,65,193,113.005,25.669,5320,65,193,113.005,25.669
G2,5320,84,255,213.200,47.684,5320,14,151,83.442,32.326,5320,14,151,83.442,32.326
G3,5320,50,255,223.770,44.790,5320,15,153,114.365,29.756,5320,15,153,114.365,29.756
G4,5320,31,255,146.389,51.347,5320,1,72,26.595,14.189,5320,1,72,26.595,14.189
G5,5320,63,255,182.576,56.119,5320,0,93,39.511,23.206,5320,0,93,39.511,23.206
G6,5320,103,255,220.127,37.672,5320,13,230,107.299,58.160,5320,13,230,107.299,58.160
G7,5320,73,255,197.304,37.386,5320,44,189,109.274,27.428,5320,44,189,109.274,27.428
G8,5320,47,255,190.682,53.457,5320,27,109,71.271,15.869,5320,27,109,71.271,15.869
G9,5320,43,255,171.111,42.919,5320,0,155,60.129,39.590,5320,0,155,60.129,39.590
G10,5320,133,255,232.226,31.964,5320,133,227,190.846,20.717,5320,142,227,196.397,18.691
G11,5320,167,255,238.051,14.980,5320,80,236,182.556,31.970,5320,80,236,182.556,31.970
G12,5320,86,255,221.621,33.687,5320,24,197,131.666,38.727,5320,24,197,131.666,38.727
G13,5320,32,245,169.683,47.255,5320,15,207,92.892,37.076,5320,15,212,92.909,37.124
G14,5320,49,255,184.861,49.556,5320,28,230,136.237,45.019,5320,28,234,136.690,45.747
G15,5320,50,255,192.872,38.568,5320,27,201,106.319,39.438,5320,27,201,106.319,39.438
G16,5320,170,255,229.811,20.309,5320,61,201,108.649,33.089,5320,61,201,108.649,33.089
G17,5320,58,244,166.384,43.772,5320,0,163,57.403,39.896,5320,0,163,57.403,39.896
G18,5320,26,181,116.308,35.172,5320,26,181,116.308,35.172,5320,65,248,202.926,38.340
G19,5320,78,255,198.637,41.910,5320,78,253,194.988,39.729,5320,108,255,218.363,31.454
G20,5320,181,255,229.638,20.874,5320,181,253,221.191,20.078,5320,181,254,221.425,20.122
G21,5320,196,255,247.253,10.513,5320,145,252,222.901,23.923,5320,145,253,222.912,23.936
G22,5320,47,242,151.523,44.987,5320,44,221,132.922,37.248,5320,44,225,134.791,37.395
G23,5320,56,246,187.503,49.300,5320,56,237,185.401,47.808,5320,56,255,204.778,50.612
G24,5320,194,255,218.782,16.858,5320,161,253,210.422,13.437,5320,161,255,238.263,21.379
G25,5320,49,255,212.263,41.613,5320,42,245,186.861,41.641,5320,42,255,190.828,44.904
G26,5320,63,246,166.444,36.740,5320,46,168,89.185,21.573,5320,46,168,89.185,21.573
G27,5320,29,204,156.375,37.318,5320,29,204,156.375,37.318,5320,75,255,230.305,36.128
G28,5320,109,255,212.627,25.599,5320,109,251,210.510,24.358,5320,120,255,237.569,24.304
G29,5320,92,255,223.796,33.219,5320,45,252,198.922,39.685,5320,45,252,198.945,39.708
G30,5320,112,255,220.089,33.361,5320,50,250,180.776,57.951,5320,50,250,180.778,57.953
G31,5320,126,255,233.489,26.869,5320,123,233,204.976,19.559,5320,124,233,205.011,19.466
G32,5320,40,255,153.458,51.264,5320,0,238,117.664,51.241,5320,0,255,128.999,61.071
G33,5320,47,255,192.937,44.975,5320,0,243,174.509,64.889,5320,0,255,191.901,74.924
G34,5320,74,255,210.138,47.184,5320,73,218,183.571,31.501,5320,73,240,185.862,31.540
G35,5320,63,255,170.545,50.366,5320,47,204,126.351,41.725,5320,47,204,126.351,41.725
G36,5320,92,255,215.033,34.754,5320,54,248,160.889,53.793,5320,54,255,176.019,68.129
G37,5320,109,255,212.091,36.863,5320,109,249,204.949,31.609,5320,120,255,217.912,28.194
G38,5320,52,255,171.654,61.992,5320,16,229,120.598,69.724,5320,16,229,120.598,69.724
