Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,200,255,241.965,9.954,5320,80,231,154.972,31.707,5320,80,231,154.976,31.716
G2,5320,80,255,222.742,43.187,5320,36,207,138.635,36.831,5320,36,207,138.635,36.831
G3,5320,55,255,226.953,43.374,5320,27,184,153.236,31.503,5320,27,184,153.236,31.503
G4,5320,49,212,141.712,38.365,5320,19,194,86.407,43.174,5320,19,225,89.251,48.996
G5,5320,53,255,154.291,57.573,5320,0,222,65.548,62.919,5320,0,225,84.046,81.179
G6,5320,137,255,226.023,23.460,5320,2,211,141.570,51.075,5320,2,211,142.044,51.338
G7,5320,53,255,193.963,37.003,5320,36,197,128.194,30.471,5320,36,197,128.194,30.471
G8,5320,47,255,187.267,56.721,5320,29,120,76.484,17.947,5320,29,120,76.484,17.947
G9,5320,58,249,182.529,45.710,5320,0,192,72.592,49.236,5320,0,192,72.592,49.236
G10,5320,111,255,213.879,39.820,5320,111,250,208.917,36.473,5320,137,255,230.793,24.025
G11,5320,37,255,178.150,44.054,5320,37,237,169.435,38.299,5320,52,255,195.417,39.263
G12,5320,55,203,149.702,27.098,5320,55,176,129.713,26.100,5320,62,234,139.689,39.154
G13,5320,0,185,77.587,37.834,5320,0,154,70.393,32.527,5320,40,215,124.416,49.449
G14,5320,0,214,118.751,59.663,5320,0,207,115.131,56.476,5320,43,255,178.466,43.173
G15,5320,43,253,179.238,38.239,5320,30,239,122.291,50.963,5320,30,248,123.310,52.407
G16,5320,145,255,227.744,23.979,5320,55,198,101.646,32.034,5320,55,198,101.646,32.034
G17,5320,60,249,165.217,47.271,5320,0,159,56.751,39.867,5320,0,159,56.751,39.867
G18,5320,28,161,97.682,30.095,5320,28,161,97.682,30.095,5320,100,254,205.468,34.455
G19,5320,67,208,132.076,29.384,5320,67,208,132.076,29.384,5320,118,255,221.780,30.789
G20,5320,35,192,140.713,29.165,5320,35,192,140.713,29.165,5320,57,255,223.287,28.315
G21,5320,91,212,166.696,23.918,5320,86,212,166.404,24.515,5320,86,255,211.735,37.340
G22,5320,38,212,93.841,40.822,5320,38,212,93.642,40.842,5320,61,254,124.398,48.763
G23,5320,37,178,86.026,26.864,5320,37,178,86.026,26.864,5320,67,255,201.469,53.949
