Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,222,255,243.832,8.850,5320,58,192,105.590,26.371,5320,58,192,105.590,26.371
G2,5320,67,255,219.502,46.331,5320,1,134,70.108,32.765,5320,1,134,70.108,32.765
G3,5320,50,255,227.459,42.622,5320,9,143,104.480,28.136,5320,9,143,104.480,28.136
G4,5320,45,255,164.343,42.002,5320,0,161,47.896,30.116,5320,0,163,47.897,30.120
G5,5320,43,255,202.432,43.965,5320,0,248,99.853,68.783,5320,0,255,107.575,79.601
G6,5320,110,255,199.906,30.165,5320,34,190,82.224,30.632,5320,34,239,83.435,34.634
G7,5320,72,255,199.516,38.492,5320,28,107,73.888,13.281,5320,28,107,73.888,13.281
G8,5320,50,255,194.583,50.525,5320,28,103,72.119,15.541,5320,28,103,72.119,15.541
G9,5320,61,255,166.803,43.490,5320,0,154,54.929,39.130,5320,0,154,54.929,39.130
G10,5320,130,255,229.867,32.588,5320,126,223,186.187,23.008,5320,126,230,191.945,22.550
G11,5320,196,255,235.767,14.440,5320,76,230,169.735,37.431,5320,76,230,169.735,37.431
G12,5320,158,255,228.284,24.072,5320,74,221,150.350,33.600,5320,74,221,150.350,33.600
G13,5320,0,247,78.771,73.430,5320,0,206,64.009,61.828,5320,21,255,172.151,76.348
G14,5320,0,255,117.789,94.814,5320,0,242,91.815,79.062,5320,25,255,188.739,62.710
G15,5320,47,255,188.120,38.923,5320,18,230,112.855,48.889,5320,18,230,112.867,48.915
G16,5320,168,255,224.698,22.563,5320,52,226,113.536,38.901,5320,52,226,113.536,38.901
G17,5320,63,243,162.361,42.279,5320,0,173,55.339,42.383,5320,0,173,55.339,42.383
G18,5320,20,191,120.120,35.766,5320,20,191,120.120,35.766,5320,56,251,207.927,39.926
G19,5320,77,255,195.486,42.599,5320,77,252,191.252,40.028,5320,112,255,217.822,30.781
G20,5320,86,255,224.079,28.475,5320,81,251,208.243,26.874,5320,81,254,208.713,27.436
G21,5320,63,255,207.083,44.520,5320,50,230,178.630,39.576,5320,50,230,178.630,39.576
G22,5320,0,255,110.048,69.804,5320,0,219,99.998,58.380,5320,44,225,127.484,46.977
G23,5320,0,243,133.732,54.482,5320,0,242,133.709,54.440,5320,50,255,217.092,28.429
G24,5320,170,255,204.630,20.184,5320,164,240,201.520,16.554,5320,164,255,245.123,15.643
G25,5320,50,255,207.405,41.794,5320,45,243,190.575,41.375,5320,45,255,200.084,45.672
G26,5320,65,247,168.125,38.332,5320,47,178,93.869,23.881,5320,47,178,93.869,23.881
G27,5320,35,187,136.947,31.929,5320,35,187,136.947,31.929,5320,78,255,221.151,38.383
G28,5320,99,254,199.764,29.523,5320,99,253,199.413,29.192,5320,117,255,239.542,22.523
G29,5320,150,255,230.131,20.899,5320,147,252,218.759,21.361,5320,147,254,218.951,21.623
G30,5320,173,255,237.316,20.040,5320,151,231,205.248,17.293,5320,151,231,205.248,17.293
G31,5320,39,255,173.757,66.690,5320,39,216,146.498,49.733,5320,45,216,149.696,45.711
G32,5320,64,242,160.656,37.476,5320,64,230,159.887,36.444,5320,93,255,202.477,41.894
G33,5320,50,232,192.646,32.110,5320,50,232,192.406,32.473,5320,52,255,220.279,43.097
G34,5320,68,255,207.326,46.721,5320,68,225,186.170,32.066,5320,74,227,190.304,30.315
G35,5320,67,255,166.625,50.615,5320,45,210,125.650,43.105,5320,45,210,125.650,43.105
G36,5320,68,242,174.867,32.120,5320,68,240,174.856,32.117,5320,90,255,225.523,38.915
G37,5320,95,242,169.797,27.455,5320,95,241,169.786,27.432,5320,115,255,220.134,28.126
G38,5320,84,255,189.045,43.010,5320,78,246,174.323,44.497,5320,78,255,180.945,49.618
G39,5320,106,255,204.498,43.184,5320,86,254,173.520,40.798,5320,86,255,173.753,41.223
G40,5320,45,255,216.903,49.053,5320,38,247,197.538,49.113,5320,38,255,203.748,53.484
G41,5320,30,255,181.685,60.852,5320,30,253,172.711,59.039,5320,30,255,174.964,59.083
G42,5320,29,255,187.621,45.287,5320,29,222,172.448,34.515,5320,31,223,174.200,33.751
G43,5320,125,255,228.596,20.017,5320,92,210,168.522,21.294,5320,92,210,168.522,21.294
G44,5320,48,255,153.695,50.335,5320,25,214,116.869,45.627,5320,25,214,117.547,45.876
