Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,210,255,243.479,8.805,5320,44,183,91.039,27.546,5320,44,183,91.039,27.546
G2,5320,60,255,211.080,50.477,5320,0,118,42.874,29.282,5320,0,118,42.874,29.282
G3,5320,52,255,225.306,42.607,5320,3,131,83.564,31.721,5320,3,131,83.564,31.721
G4,5320,49,255,175.870,47.936,5320,0,114,37.111,31.230,5320,0,114,37.111,31.230
G5,5320,33,255,215.636,42.240,5320,0,102,49.700,24.950,5320,0,102,49.700,24.950
G6,5320,74,255,191.906,52.352,5320,61,191,123.120,27.942,5320,61,191,123.120,27.942
G7,5320,66,255,166.345,42.773,5320,50,204,124.361,36.262,5320,50,204,124.361,36.262
G8,5320,51,255,188.714,54.630,5320,35,128,70.610,17.628,5320,35,128,70.610,17.628
G9,5320,58,252,168.543,40.754,5320,0,168,63.762,41.886,5320,0,168,63.762,41.886
G10,5320,131,255,232.265,30.980,5320,119,224,183.057,23.675,5320,119,228,187.673,23.818
G11,5320,161,255,224.600,24.648,5320,62,245,160.374,47.539,5320,62,245,160.374,47.539
G12,5320,96,255,228.269,28.225,5320,25,241,147.876,44.683,5320,25,241,147.876,44.683
G13,5320,30,255,181.762,57.654,5320,12,164,85.916,35.053,5320,12,164,85.916,35.053
G14,5320,101,255,206.657,34.270,5320,63,209,136.700,25.526,5320,63,209,136.700,25.526
G15,5320,92,255,191.854,40.849,5320,29,224,111.483,53.253,5320,29,225,111.515,53.313
G16,5320,136,255,222.911,27.846,5320,44,210,96.176,38.506,5320,44,210,96.176,38.506
G17,5320,64,250,158.979,47.148,5320,0,156,55.446,37.554,5320,0,156,55.446,37.554
G18,5320,30,201,126.565,36.141,5320,30,201,126.565,36.141,5320,70,254,204.874,37.113
G19,5320,88,255,201.846,40.118,5320,88,253,197.371,38.109,5320,131,255,217.246,30.051
G20,5320,205,255,241.042,10.578,5320,205,253,238.981,10.314,5320,206,255,243.955,11.492
G21,5320,177,255,246.988,12.411,5320,132,253,234.948,23.255,5320,132,255,237.677,24.798
G22,5320,53,255,173.779,56.220,5320,45,231,145.361,48.712,5320,45,231,145.361,48.712
G23,5320,70,255,171.233,40.873,5320,70,237,153.722,36.513,5320,73,252,160.013,40.968
G24,5320,168,255,212.603,23.058,5320,167,251,208.540,19.253,5320,167,255,242.271,13.645
G25,5320,50,255,214.661,41.129,5320,42,249,187.734,44.641,5320,42,255,189.976,46.903
G26,5320,65,245,168.384,38.170,5320,38,161,80.914,21.523,5320,38,161,80.914,21.523
G27,5320,31,200,149.206,36.137,5320,31,200,149.206,36.137,5320,77,255,226.635,38.922
G28,5320,107,255,210.698,25.299,5320,107,251,208.507,24.193,5320,118,255,237.697,23.663
G29,5320,35,255,217.665,43.554,5320,31,253,201.507,47.955,5320,31,255,202.769,49.123
G30,5320,32,255,168.414,68.637,5320,29,253,159.163,70.472,5320,29,255,161.917,73.614
G31,5320,80,255,192.524,24.205,5320,71,230,174.044,23.614,5320,71,230,174.048,23.615
G32,5320,7,255,192.119,50.922,5320,0,251,124.177,89.559,5320,0,251,124.871,89.717
G33,5320,17,255,206.080,46.948,5320,0,233,150.891,72.020,5320,0,244,155.944,76.497
G34,5320,72,255,212.889,43.840,5320,68,227,170.929,28.720,5320,68,235,171.139,28.986
G35,5320,64,255,169.919,50.210,5320,41,188,112.536,37.823,5320,41,188,112.536,37.823
G36,5320,67,220,164.329,30.540,5320,67,220,164.329,30.540,5320,88,255,226.320,33.471
G37,5320,107,255,207.830,37.560,5320,107,250,198.340,29.870,5320,119,255,217.093,27.218
G38,5320,65,255,213.860,40.520,5320,52,226,177.369,35.390,5320,52,226,177.369,35.390
G39,5320,111,255,209.137,37.049,5320,88,225,138.063,25.762,5320,88,225,138.063,25.762
G40,5320,135,255,187.679,26.972,5320,120,196,149.212,15.835,5320,120,196,149.221,15.840
G41,5320,15,255,176.245,63.223,5320,12,213,149.863,45.643,5320,12,213,149.863,45.643
G42,5320,24,255,180.304,42.644,5320,20,207,136.254,27.077,5320,20,207,136.254,27.077
G43,5320,148,255,227.979,20.040,5320,61,183,134.402,23.773,5320,61,183,134.402,23.773
G44,5320,51,255,153.741,49.045,5320,25,192,100.374,41.339,5320,25,192,100.402,41.348
