Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,192,255,241.775,11.589,5320,37,176,87.464,25.582,5320,37,176,87.464,25.582
G2,5320,86,255,226.562,36.444,5320,0,106,47.195,27.597,5320,0,106,47.195,27.597
G3,5320,53,255,223.786,46.055,5320,0,135,88.788,33.010,5320,0,135,88.788,33.010
G4,5320,57,244,158.275,47.260,5320,0,64,13.080,18.310,5320,0,64,13.080,18.310
G5,5320,48,255,181.026,52.717,5320,0,56,10.231,12.605,5320,0,56,10.231,12.605
G6,5320,83,255,216.421,30.621,5320,0,117,67.573,34.605,5320,0,117,67.573,34.605
G7,5320,73,255,199.445,36.111,5320,25,117,75.260,18.388,5320,25,117,75.260,18.388
G8,5320,53,255,197.257,48.214,5320,29,98,66.420,13.692,5320,29,98,66.420,13.692
G9,5320,56,255,171.387,42.731,5320,0,157,53.248,38.094,5320,0,157,53.248,38.094
G10,5320,126,255,233.021,29.039,5320,108,200,168.304,21.756,5320,108,230,171.259,24.893
G11,5320,209,255,238.333,12.802,5320,67,202,143.924,34.121,5320,67,202,143.924,34.121
G12,5320,180,255,244.250,13.483,5320,28,169,95.035,26.406,5320,28,169,95.035,26.406
G13,5320,37,240,154.402,44.957,5320,0,187,67.383,42.896,5320,0,231,69.387,47.652
G14,5320,45,255,187.150,51.318,5320,18,238,116.441,60.959,5320,18,255,119.720,66.238
G15,5320,51,255,196.467,39.812,5320,19,194,100.679,37.766,5320,19,194,100.679,37.766
G16,5320,166,255,226.331,20.509,5320,31,186,104.057,31.559,5320,31,186,104.057,31.559
G17,5320,62,241,160.130,42.827,5320,0,157,53.775,40.103,5320,0,157,53.775,40.103
G18,5320,34,219,136.882,39.344,5320,34,219,136.882,39.344,5320,70,250,203.669,37.989
G19,5320,108,255,208.788,37.271,5320,108,254,197.826,35.723,5320,121,255,210.301,32.918
G20,5320,98,255,232.121,29.290,5320,92,254,202.678,32.443,5320,92,255,203.786,33.630
G21,5320,87,255,212.175,33.675,5320,45,212,142.411,37.478,5320,45,212,142.411,37.478
G22,5320,48,252,127.955,50.033,5320,32,178,106.007,34.224,5320,32,233,130.849,46.279
G23,5320,95,240,176.263,24.800,5320,95,228,175.316,23.341,5320,147,255,231.807,20.947
G24,5320,203,255,237.552,11.534,5320,152,253,222.464,20.214,5320,152,255,232.926,26.033
G25,5320,49,255,216.991,40.626,5320,38,254,178.452,41.799,5320,38,255,178.527,41.907
G26,5320,63,246,166.764,38.415,5320,42,162,86.336,21.339,5320,42,162,86.336,21.339
G27,5320,38,212,159.302,35.276,5320,38,212,159.302,35.276,5320,78,255,226.410,36.809
G28,5320,108,255,215.794,26.368,5320,108,254,214.093,25.440,5320,113,255,237.143,24.501
G29,5320,137,255,217.578,28.175,5320,127,254,215.948,28.236,5320,127,255,223.333,30.099
G30,5320,102,255,227.199,32.479,5320,102,222,190.767,20.403,5320,106,222,191.751,19.777
G31,5320,40,255,171.582,56.872,5320,17,182,94.346,47.266,5320,17,182,97.060,47.220
G32,5320,87,236,185.492,41.893,5320,39,222,147.053,39.859,5320,39,239,157.086,39.104
G33,5320,53,254,211.608,39.119,5320,36,243,187.366,44.375,5320,36,253,189.907,46.746
G34,5320,87,255,209.173,42.945,5320,81,239,155.737,26.903,5320,81,241,155.775,26.997
G35,5320,68,255,170.941,50.980,5320,45,190,119.812,37.395,5320,45,190,119.812,37.395
G36,5320,80,245,175.098,39.886,5320,80,245,175.098,39.885,5320,106,255,228.430,31.532
G37,5320,107,255,215.068,34.942,5320,70,244,187.574,32.616,5320,70,255,197.171,37.965
G38,5320,160,255,230.501,24.433,5320,5,237,174.722,51.916,5320,5,254,178.043,54.510
G39,5320,94,255,213.507,35.815,5320,31,220,145.656,26.720,5320,31,236,147.136,28.864
G40,5320,84,255,180.520,43.897,5320,0,145,37.978,38.064,5320,0,145,37.978,38.064
G41,5320,49,255,180.882,58.910,5320,0,130,49.945,27.654,5320,0,130,49.945,27.654
G42,5320,46,255,210.971,44.256,5320,29,130,98.312,22.178,5320,29,130,98.312,22.178
G43,5320,129,255,227.761,22.377,5320,49,153,112.355,20.350,5320,49,153,112.355,20.350
G44,5320,41,255,151.248,51.331,5320,20,197,102.220,46.892,5320,20,203,102.734,47.280
G45,5320,12,255,176.914,47.640,5320,12,216,149.912,38.635,5320,12,255,164.058,54.075
G46,5320,166,255,235.181,21.013,5320,0,199,75.102,63.101,5320,0,199,75.119,63.133
G47,5320,192,255,237.515,15.401,5320,0,62,2.504,7.979,5320,0,62,2.504,7.979
G48,5320,122,255,228.062,30.555,5320,0,133,11.488,28.182,5320,0,133,11.488,28.182
G49,5320,136,255,239.144,25.102,5320,0,86,11.333,13.337,5320,0,86,11.333,13.337
G50,5320,164,255,228.497,22.315,5320,0,75,34.198,15.626,5320,0,75,34.198,15.626
G51,5320,95,255,228.023,27.607,5320,0,71,34.002,16.904,5320,0,71,34.002,16.904
G52,5320,95,254,182.989,38.866,5320,0,75,23.640,20.009,5320,0,75,23.640,20.009
G53,5320,36,255,209.910,54.458,5320,0,158,29.247,21.025,5320,0,179,29.290,21.120
G54,5320,154,255,239.276,21.007,5320,43,224,161.574,43.873,5320,43,229,163.224,44.819
G55,5320,181,255,236.980,21.422,5320,0,112,13.136,21.508,5320,0,112,13.136,21.508
G56,5320,107,255,199.740,34.446,5320,0,21,0.600,2.679,5320,0,21,0.600,2.679
G57,5320,121,255,204.668,36.143,5320,0,79,5.191,12.467,5320,0,79,5.191,12.467
G58,5320,194,255,244.743,15.947,5320,0,121,71.865,33.755,5320,0,121,71.865,33.755
G59,5320,36,255,223.915,43.055,5320,13,133,78.327,26.869,5320,13,133,78.327,26.869
G60,5320,40,212,162.936,39.163,5320,1,91,42.489,21.567,5320,1,91,42.489,21.567
G61,5320,87,248,166.540,30.668,5320,2,129,52.081,29.796,5320,2,129,52.081,29.796
G62,5320,44,255,182.667,57.135,5320,0,109,26.684,26.638,5320,0,125,26.693,26.662
G63,5320,40,255,187.823,49.224,5320,0,237,31.574,40.350,5320,0,240,31.679,40.756
G64,5320,109,255,219.686,38.612,5320,0,77,27.183,20.040,5320,0,77,27.183,20.040
G65,5320,168,255,227.529,16.927,5320,14,108,63.605,20.249,5320,14,108,63.605,20.249
G66,5320,202,255,242.865,14.979,5320,49,101,64.902,9.604,5320,49,101,64.902,9.604
G67,5320,57,255,223.790,36.966,5320,34,208,121.528,40.828,5320,34,208,121.528,40.828
G68,5320,139,255,235.440,26.562,5320,56,206,137.478,34.083,5320,56,206,137.478,34.083
G69,5320,161,255,247.860,13.465,5320,93,145,116.342,8.294,5320,93,145,116.342,8.294
G70,5320,29,255,185.176,61.020,5320,29,176,111.587,30.647,5320,38,230,118.545,31.016
G71,5320,144,255,228.261,23.777,5320,61,235,126.373,36.153,5320,61,245,127.198,37.892
G72,5320,232,255,250.251,5.197,5320,49,213,126.522,42.700,5320,49,218,126.544,42.743
G73,5320,175,255,242.510,18.660,5320,62,245,135.563,44.253,5320,62,247,135.898,44.814
G74,5320,108,255,195.981,40.369,5320,50,210,103.484,44.248,5320,50,224,103.964,45.326
G75,5320,81,245,193.027,37.037,5320,50,238,152.233,61.965,5320,50,249,157.101,66.996
