Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,197,255,242.847,10.967,5320,45,203,110.817,33.407,5320,45,203,110.817,33.407
G2,5320,73,255,216.879,47.667,5320,0,155,69.127,34.792,5320,0,155,69.127,34.792
G3,5320,47,255,227.091,40.618,5320,6,140,102.100,29.143,5320,6,140,102.100,29.143
G4,5320,52,255,161.160,46.120,5320,0,117,31.298,27.343,5320,0,117,31.298,27.343
G5,5320,58,255,182.027,44.269,5320,0,65,26.353,20.401,5320,0,65,26.353,20.401
G6,5320,61,255,188.495,44.991,5320,0,161,59.992,37.674,5320,0,161,59.992,37.674
G7,5320,44,255,193.473,35.420,5320,23,170,95.138,25.852,5320,23,170,95.138,25.852
G8,5320,60,255,187.305,58.390,5320,30,103,67.803,15.394,5320,30,103,67.803,15.394
G9,5320,70,255,182.412,44.633,5320,1,186,78.424,49.273,5320,1,186,78.424,49.273
G10,5320,118,255,226.826,37.578,5320,118,252,201.338,30.703,5320,137,252,210.182,23.859
G11,5320,151,255,215.293,29.356,5320,69,245,173.815,41.857,5320,69,255,183.769,47.707
G12,5320,143,255,224.903,29.286,5320,53,252,151.667,42.344,5320,53,255,153.145,44.548
G13,5320,41,255,168.341,58.829,5320,4,245,91.492,65.146,5320,4,245,91.492,65.146
G14,5320,42,255,216.450,41.212,5320,26,243,136.621,43.288,5320,26,243,136.621,43.288
G15,5320,42,255,194.879,40.471,5320,21,184,99.454,36.290,5320,21,184,99.454,36.290
G16,5320,172,255,226.187,22.049,5320,38,191,103.917,32.105,5320,38,191,103.917,32.105
G17,5320,63,255,170.928,48.726,5320,0,160,58.013,40.912,5320,0,160,58.013,40.912
G18,5320,23,169,104.506,32.870,5320,23,169,104.506,32.870,5320,76,254,205.985,37.004
G19,5320,74,240,163.052,34.746,5320,74,239,162.885,34.486,5320,137,255,221.984,30.100
G20,5320,120,241,154.020,23.976,5320,120,240,154.020,23.974,5320,192,255,240.297,15.705
G21,5320,120,254,195.393,34.814,5320,120,249,189.571,35.806,5320,133,255,226.798,33.931
G22,5320,64,255,162.433,41.932,5320,55,244,133.092,44.030,5320,55,244,133.153,44.132
G23,5320,108,255,222.444,28.369,5320,67,242,164.264,30.158,5320,67,242,164.264,30.158
G24,5320,199,255,244.136,11.902,5320,148,252,214.905,28.508,5320,148,255,216.527,30.193
G25,5320,49,255,216.605,43.763,5320,39,251,181.683,44.089,5320,39,252,181.870,44.301
G26,5320,63,245,170.847,39.404,5320,38,165,91.345,22.173,5320,38,165,91.345,22.173
G27,5320,27,109,81.550,13.754,5320,27,109,81.550,13.754,5320,82,255,224.954,39.169
G28,5320,61,165,117.722,27.539,5320,61,165,117.722,27.539,5320,135,255,240.503,24.960
G29,5320,0,164,113.705,36.502,5320,0,164,113.705,36.502,5320,105,255,225.361,31.210
G30,5320,0,232,97.948,72.064,5320,0,229,97.655,71.576,5320,201,255,237.222,12.172
G31,5320,77,255,200.505,39.234,5320,16,227,145.264,54.010,5320,16,253,155.272,62.063
G32,5320,58,255,209.995,50.500,5320,0,161,69.887,45.262,5320,0,161,69.887,45.262
G33,5320,47,255,208.727,50.060,5320,2,247,132.983,66.149,5320,2,248,133.057,66.252
G34,5320,74,255,209.983,44.994,5320,64,221,168.002,33.175,5320,64,224,168.023,33.205
G35,5320,64,255,171.259,53.074,5320,42,208,131.404,44.622,5320,42,208,131.404,44.622
G36,5320,36,194,88.440,23.081,5320,36,193,88.440,23.080,5320,86,255,227.905,34.382
G37,5320,17,116,59.050,21.546,5320,17,116,59.050,21.546,5320,104,255,203.004,37.722
G38,5320,0,113,46.465,30.322,5320,0,113,46.465,30.322,5320,48,255,148.981,50.446
G39,5320,0,98,14.796,24.906,5320,0,98,14.796,24.906,5320,35,255,188.880,56.849
G40,5320,25,235,159.424,48.934,5320,25,214,147.158,43.068,5320,26,250,194.732,34.640
G41,5320,25,255,167.991,59.860,5320,0,250,121.139,78.302,5320,0,255,125.225,80.434
G42,5320,39,255,190.568,35.232,5320,0,232,156.777,32.209,5320,0,232,156.777,32.209
G43,5320,127,255,224.220,25.063,5320,61,187,149.745,22.432,5320,61,187,149.745,22.432
G44,5320,41,255,147.303,55.590,5320,23,211,113.584,51.481,5320,23,211,114.195,51.599
G45,5320,4,228,91.407,47.953,5320,0,220,88.823,46.817,5320,0,255,185.756,65.163
G46,5320,13,146,89.374,35.226,5320,13,146,89.374,35.226,5320,80,255,220.889,41.872
G47,5320,43,175,132.459,35.125,5320,43,175,132.459,35.125,5320,98,255,227.780,34.134
G48,5320,41,183,127.109,37.584,5320,41,183,127.109,37.584,5320,92,255,200.626,39.953
G49,5320,75,203,124.564,32.764,5320,75,190,123.952,31.582,5320,157,255,205.385,20.811
