Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,243.531,8.523,5320,53,197,105.375,28.880,5320,53,197,105.375,28.880
G2,5320,66,255,207.322,53.769,5320,7,146,57.810,30.003,5320,7,146,57.810,30.003
G3,5320,52,255,225.573,44.156,5320,13,137,95.584,29.285,5320,13,137,95.584,29.285
G4,5320,43,255,167.090,44.145,5320,0,123,61.052,28.037,5320,0,123,61.052,28.037
G5,5320,2,214,110.284,38.804,5320,0,128,39.137,34.312,5320,0,128,39.137,34.312
G6,5320,61,255,165.630,43.476,5320,0,138,61.459,40.481,5320,0,138,61.459,40.481
G7,5320,43,255,179.232,42.693,5320,23,139,92.064,24.291,5320,23,139,92.064,24.291
G8,5320,54,255,189.111,54.390,5320,29,109,68.607,15.283,5320,29,109,68.607,15.283
G9,5320,58,255,175.265,40.821,5320,0,170,64.063,42.761,5320,0,170,64.063,42.761
G10,5320,121,255,228.301,33.896,5320,121,252,196.827,27.786,5320,142,253,204.089,23.239
G11,5320,116,255,219.858,27.432,5320,57,254,173.024,45.245,5320,57,255,176.768,49.044
G12,5320,72,255,216.426,34.342,5320,5,247,146.730,51.629,5320,5,253,147.432,52.741
G13,5320,67,255,209.224,44.295,5320,0,246,105.044,63.882,5320,0,249,105.674,64.960
G14,5320,42,255,193.265,56.665,5320,24,243,128.330,59.320,5320,24,254,129.984,61.583
G15,5320,51,255,212.679,40.100,5320,19,232,128.470,46.442,5320,19,243,128.628,46.756
G16,5320,164,255,228.502,21.602,5320,54,185,105.371,28.685,5320,54,185,105.371,28.685
G17,5320,60,255,165.898,45.147,5320,0,164,60.010,40.459,5320,0,164,60.010,40.459
G18,5320,24,187,113.060,35.273,5320,24,187,113.060,35.273,5320,64,254,202.519,39.774
G19,5320,90,254,185.949,37.983,5320,90,252,185.310,37.394,5320,133,255,220.696,29.896
G20,5320,166,254,206.580,12.516,5320,166,254,206.580,12.515,5320,197,255,244.697,12.299
G21,5320,141,255,222.173,19.841,5320,141,254,219.573,20.380,5320,141,255,243.943,20.666
G22,5320,108,247,167.614,31.752,5320,108,241,164.700,30.316,5320,131,255,214.753,37.021
G23,5320,106,243,150.972,25.881,5320,106,240,150.723,25.397,5320,178,255,227.874,22.002
G24,5320,150,255,201.537,31.031,5320,150,247,195.001,25.264,5320,152,255,243.497,17.899
