Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,223,255,244.232,8.544,5320,58,190,104.598,26.302,5320,58,190,104.598,26.302
G2,5320,71,255,215.644,47.706,5320,0,136,62.239,34.896,5320,0,136,62.239,34.896
G3,5320,48,255,224.690,45.095,5320,3,136,96.307,30.920,5320,3,136,96.307,30.920
G4,5320,51,255,168.898,45.996,5320,0,94,25.087,25.268,5320,0,94,25.087,25.268
G5,5320,50,255,175.637,63.060,5320,0,86,24.430,20.761,5320,0,86,24.430,20.761
G6,5320,46,255,193.086,54.888,5320,0,96,38.647,32.923,5320,0,96,38.647,32.923
G7,5320,38,255,194.818,41.617,5320,14,100,70.262,15.570,5320,14,100,70.262,15.570
G8,5320,54,255,190.705,53.455,5320,29,112,51.719,13.648,5320,29,112,51.719,13.648
G9,5320,59,241,170.314,42.348,5320,0,165,61.121,40.515,5320,0,165,61.121,40.515
G10,5320,127,255,228.224,36.459,5320,127,231,188.136,27.718,5320,128,231,195.236,24.243
G11,5320,177,255,228.875,19.604,5320,59,245,170.310,43.276,5320,59,245,170.322,43.292
G12,5320,140,255,230.457,23.013,5320,53,218,128.772,38.904,5320,53,218,128.772,38.904
G13,5320,38,255,182.778,68.415,5320,0,158,78.563,46.072,5320,0,158,78.563,46.072
G14,5320,48,255,218.449,36.215,5320,20,158,98.978,24.070,5320,20,158,98.978,24.070
G15,5320,66,255,197.823,37.566,5320,21,130,69.425,27.089,5320,21,130,69.425,27.089
G16,5320,168,255,227.118,21.772,5320,35,148,72.887,30.871,5320,35,148,72.887,30.871
G17,5320,52,241,168.967,46.177,5320,0,127,49.378,32.604,5320,0,127,49.378,32.604
G18,5320,24,178,111.606,33.542,5320,24,178,111.606,33.542,5320,67,253,202.718,38.324
G19,5320,79,255,193.803,42.661,5320,79,251,190.777,40.664,5320,128,255,216.829,30.496
G20,5320,188,255,231.861,16.737,5320,188,252,230.376,16.016,5320,193,255,235.638,16.628
G21,5320,151,255,248.182,13.144,5320,95,252,215.155,31.426,5320,95,255,215.414,31.668
G22,5320,56,251,152.745,42.418,5320,30,163,86.646,29.605,5320,30,163,86.646,29.605
G23,5320,87,255,196.930,33.043,5320,38,150,103.297,25.784,5320,38,150,103.297,25.784
G24,5320,182,255,240.001,17.972,5320,83,165,120.663,19.093,5320,83,165,120.663,19.093
G25,5320,53,255,215.819,45.784,5320,31,169,129.261,31.216,5320,31,169,129.261,31.216
G26,5320,63,245,167.403,37.847,5320,35,130,68.479,16.957,5320,35,130,68.479,16.957
G27,5320,24,193,144.821,37.084,5320,24,193,144.821,37.084,5320,70,255,227.205,39.726
G28,5320,108,255,208.672,26.025,5320,108,254,207.439,25.337,5320,119,255,240.274,22.239
G29,5320,154,255,222.594,27.317,5320,132,252,203.252,34.073,5320,132,255,203.973,34.836
G30,5320,100,255,209.662,33.107,5320,60,243,162.245,42.010,5320,60,250,162.553,42.515
G31,5320,70,240,155.389,43.124,5320,0,148,61.046,35.954,5320,0,148,61.046,35.954
