Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,194,255,241.204,11.501,5320,44,187,98.026,26.896,5320,44,187,98.026,26.896
G2,5320,83,255,222.960,41.200,5320,0,121,61.526,30.951,5320,0,121,61.526,30.951
G3,5320,54,255,227.305,42.897,5320,0,138,97.971,29.670,5320,0,138,97.971,29.670
G4,5320,55,234,146.231,40.073,5320,0,71,5.744,13.355,5320,0,71,5.744,13.355
G5,5320,58,255,174.758,49.665,5320,0,70,1.827,8.184,5320,0,70,1.827,8.184
G6,5320,108,255,211.507,41.763,5320,0,67,24.962,19.419,5320,0,67,24.962,19.419
G7,5320,65,255,195.026,37.875,5320,18,78,50.827,10.523,5320,18,78,50.827,10.523
G8,5320,57,255,190.593,55.732,5320,29,86,57.213,14.030,5320,29,86,57.213,14.030
G9,5320,61,252,181.305,45.926,5320,0,186,71.565,47.249,5320,0,186,71.565,47.249
G10,5320,131,255,231.226,32.123,5320,123,218,178.955,21.259,5320,123,222,183.493,22.548
G11,5320,191,255,241.920,10.878,5320,73,211,163.395,31.102,5320,73,211,163.395,31.102
G12,5320,149,255,233.152,18.389,5320,29,199,139.358,42.208,5320,29,199,139.358,42.208
G13,5320,55,255,199.990,44.815,5320,0,188,47.597,59.826,5320,0,188,47.597,59.826
G14,5320,56,255,192.291,50.257,5320,0,246,60.632,74.199,5320,0,246,60.669,74.272
G15,5320,46,255,199.847,40.588,5320,12,203,98.945,45.686,5320,12,206,98.965,45.727
G16,5320,169,255,229.939,20.124,5320,53,191,102.614,34.386,5320,53,191,102.614,34.386
G17,5320,60,247,170.721,45.568,5320,0,167,62.410,41.423,5320,0,167,62.410,41.423
G18,5320,28,181,117.467,36.305,5320,28,181,117.467,36.305,5320,69,251,206.833,36.120
G19,5320,91,253,196.435,37.914,5320,91,249,189.362,34.270,5320,132,255,213.835,31.072
G20,5320,51,255,226.780,30.718,5320,40,246,184.983,24.300,5320,40,255,185.339,25.058
G21,5320,38,255,220.577,40.459,5320,27,218,178.424,32.093,5320,27,218,178.424,32.093
G22,5320,61,242,197.897,35.329,5320,0,229,184.978,34.627,5320,0,229,186.840,34.163
G23,5320,68,255,178.319,44.226,5320,0,249,172.845,47.700,5320,0,255,199.007,53.164
G24,5320,139,255,197.879,33.640,5320,139,246,190.950,27.616,5320,157,255,241.372,19.952
G25,5320,50,255,213.458,41.583,5320,43,248,184.683,39.221,5320,43,255,189.388,42.921
G26,5320,64,247,168.799,39.176,5320,45,172,96.515,22.663,5320,45,172,96.515,22.663
G27,5320,29,171,133.336,31.221,5320,29,171,133.336,31.221,5320,74,255,223.891,41.145
G28,5320,86,234,175.511,27.796,5320,86,234,175.511,27.796,5320,119,255,233.456,29.942
G29,5320,39,255,185.968,44.723,5320,37,251,174.445,42.647,5320,37,255,182.141,43.505
G30,5320,43,248,177.462,45.028,5320,31,208,129.596,34.843,5320,31,208,129.596,34.843
G31,5320,41,255,194.182,51.129,5320,38,246,183.925,51.516,5320,38,246,183.930,51.518
G32,5320,49,235,140.421,36.071,5320,49,224,138.718,33.435,5320,77,255,189.458,40.746
G33,5320,44,208,158.148,33.148,5320,44,208,158.044,33.314,5320,46,255,213.308,46.943
G34,5320,73,255,204.020,49.559,5320,73,220,181.282,33.342,5320,77,243,187.012,31.265
G35,5320,62,255,171.341,55.254,5320,46,218,134.242,48.054,5320,46,218,134.242,48.054
G36,5320,105,255,196.803,36.149,5320,97,216,172.646,18.773,5320,101,255,205.950,39.496
G37,5320,84,238,173.120,34.231,5320,84,238,173.115,34.226,5320,117,255,220.202,27.186
G38,5320,169,255,220.335,25.160,5320,109,250,192.472,40.084,5320,109,255,196.507,44.228
G39,5320,88,255,216.693,33.227,5320,50,154,104.636,17.595,5320,50,154,104.636,17.595
G40,5320,101,255,228.462,27.435,5320,61,244,177.835,37.081,5320,61,244,177.835,37.081
G41,5320,32,255,158.298,56.610,5320,32,206,128.436,44.031,5320,40,206,131.861,41.407
G42,5320,32,255,188.404,35.247,5320,32,207,161.861,28.160,5320,34,207,162.458,26.972
G43,5320,120,255,223.019,25.715,5320,62,201,160.108,24.117,5320,62,201,160.119,24.116
G44,5320,45,255,144.876,54.075,5320,26,217,114.567,51.555,5320,26,217,115.314,51.786
G45,5320,46,255,187.483,60.720,5320,0,253,170.588,54.624,5320,0,254,178.870,51.655
G46,5320,95,255,174.255,33.705,5320,95,253,164.046,30.830,5320,104,254,184.043,37.021
G47,5320,117,255,212.336,31.532,5320,50,180,125.733,25.950,5320,50,183,125.742,25.966
G48,5320,79,255,226.020,37.366,5320,39,130,97.266,18.552,5320,39,130,97.266,18.552
G49,5320,74,255,169.257,49.879,5320,22,185,88.311,38.930,5320,22,185,88.311,38.930
G50,5320,87,255,223.220,33.741,5320,23,200,88.650,47.498,5320,23,200,88.650,47.498
G51,5320,93,255,210.185,36.510,5320,32,198,93.727,29.691,5320,32,198,93.727,29.691
G52,5320,96,255,182.191,39.759,5320,24,142,66.522,33.007,5320,24,142,66.522,33.007
G53,5320,30,255,216.724,52.458,5320,2,157,48.091,21.421,5320,2,181,48.163,21.494
G54,5320,137,255,238.334,25.582,5320,137,249,217.346,26.549,5320,150,251,220.977,22.085
G55,5320,129,255,237.360,24.089,5320,75,254,161.905,27.848,5320,75,254,161.959,27.994
G56,5320,107,255,220.979,33.260,5320,2,150,86.106,28.970,5320,2,150,86.106,28.970
G57,5320,138,255,248.614,11.585,5320,8,154,117.251,21.082,5320,8,154,117.251,21.082
G58,5320,82,255,220.266,26.048,5320,0,150,83.902,35.741,5320,0,150,83.902,35.741
G59,5320,41,255,181.040,60.763,5320,0,126,34.670,28.925,5320,0,126,34.670,28.925
G60,5320,40,247,174.314,49.467,5320,14,130,84.247,32.396,5320,14,130,84.247,32.396
G61,5320,91,250,166.117,32.253,5320,22,149,71.307,30.503,5320,22,149,71.307,30.503
G62,5320,31,255,188.577,57.027,5320,0,119,35.493,29.769,5320,0,162,35.530,29.854
G63,5320,59,255,187.009,42.772,5320,35,196,107.975,33.236,5320,35,227,108.059,33.391
G64,5320,70,255,191.366,55.222,5320,0,170,26.390,39.129,5320,0,170,26.390,39.129
G65,5320,110,255,220.581,25.567,5320,0,221,111.200,66.565,5320,0,246,112.434,68.230
G66,5320,132,255,201.266,29.597,5320,0,239,123.919,73.656,5320,0,244,126.204,76.562
G67,5320,60,255,214.518,30.518,5320,0,238,120.752,81.321,5320,0,238,120.789,81.358
G68,5320,156,255,223.841,19.271,5320,90,238,154.788,31.481,5320,90,238,154.788,31.481
G69,5320,140,255,246.440,15.570,5320,81,160,126.817,12.344,5320,81,160,126.817,12.344
G70,5320,18,255,187.353,59.255,5320,18,184,119.543,32.247,5320,27,230,126.633,32.419
G71,5320,114,255,228.957,29.623,5320,114,225,168.290,14.890,5320,137,246,170.851,17.115
G72,5320,77,255,221.204,39.911,5320,0,250,181.241,60.236,5320,0,255,189.280,65.390
G73,5320,88,251,167.199,36.189,5320,31,223,156.887,34.558,5320,31,255,217.908,39.907
G74,5320,88,244,179.635,36.850,5320,88,243,178.302,35.101,5320,151,255,222.410,26.066
G75,5320,103,245,191.197,20.741,5320,103,238,184.995,19.645,5320,104,242,203.888,26.972
G76,5320,97,255,200.750,40.138,5320,97,244,183.431,29.697,5320,150,253,193.049,25.876
G77,5320,70,255,213.528,38.691,5320,52,235,154.168,31.857,5320,52,236,154.231,31.959
G78,5320,0,222,134.808,43.401,5320,0,221,134.793,43.389,5320,0,255,197.393,59.706
G79,5320,96,242,167.255,32.279,5320,96,240,167.142,32.048,5320,151,255,238.159,22.180
G80,5320,62,155,109.840,22.888,5320,62,155,109.840,22.888,5320,171,255,240.433,18.531
G81,5320,76,175,130.330,26.288,5320,76,175,130.330,26.288,5320,164,255,230.867,19.546
G82,5320,64,178,128.675,33.343,5320,64,178,128.675,33.343,5320,170,255,236.169,20.646
G83,5320,8,239,74.770,43.810,5320,8,234,74.724,43.649,5320,61,255,219.226,41.423
G84,5320,25,240,176.162,36.503,5320,25,222,150.225,32.891,5320,27,245,164.520,39.571
G85,5320,107,181,149.979,15.189,5320,107,181,149.979,15.189,5320,151,255,218.663,20.627
G86,5320,62,162,121.931,22.776,5320,62,162,121.931,22.776,5320,106,252,198.447,31.547
G87,5320,109,186,148.759,15.081,5320,109,186,148.759,15.081,5320,173,255,234.549,21.455
G88,5320,121,209,180.857,18.116,5320,121,209,180.857,18.116,5320,171,255,241.584,17.547
G89,5320,78,195,146.636,26.045,5320,78,195,146.636,26.045,5320,143,255,238.453,19.525
G90,5320,15,158,91.463,40.660,5320,15,158,91.463,40.660,5320,62,255,171.860,51.111
G91,5320,34,255,132.143,56.408,5320,34,255,127.021,50.668,5320,36,255,147.011,49.790
G92,5320,31,237,158.525,54.450,5320,0,52,5.277,10.158,5320,0,52,5.277,10.158
G93,5320,118,255,216.569,26.679,5320,0,58,2.340,7.030,5320,0,58,2.340,7.030
G94,5320,166,255,225.129,18.320,5320,0,155,61.149,46.122,5320,0,155,61.149,46.122
G95,5320,65,255,192.944,57.384,5320,31,156,100.409,23.079,5320,31,156,100.409,23.079
G96,5320,113,245,164.728,28.295,5320,113,231,163.827,27.256,5320,125,255,237.768,21.080
G97,5320,0,255,149.130,54.651,5320,0,207,136.436,49.539,5320,42,255,205.451,49.729
G98,5320,23,255,165.313,58.383,5320,23,234,141.359,40.503,5320,61,255,179.540,45.332
G99,5320,25,246,127.535,31.994,5320,25,225,126.410,30.760,5320,33,255,206.226,42.950
G100,5320,38,250,170.812,34.370,5320,38,250,170.812,34.370,5320,56,255,220.908,32.257
