Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,212,255,244.006,9.004,5320,33,161,70.475,25.077,5320,33,161,70.475,25.077
G2,5320,82,255,216.360,46.298,5320,0,84,24.781,20.377,5320,0,84,24.781,20.377
G3,5320,49,255,225.098,45.751,5320,1,119,71.756,28.524,5320,1,119,71.756,28.524
G4,5320,49,255,166.746,49.041,5320,0,137,35.530,25.983,5320,0,137,35.530,25.983
G5,5320,50,255,209.253,42.319,5320,0,229,87.070,74.134,5320,0,229,87.070,74.134
G6,5320,57,255,204.560,33.502,5320,5,196,53.502,31.752,5320,5,196,53.502,31.752
G7,5320,40,255,188.525,44.247,5320,12,74,46.254,9.966,5320,12,74,46.254,9.966
G8,5320,53,255,190.626,51.487,5320,22,101,46.795,13.741,5320,22,101,46.795,13.741
G9,5320,52,252,166.810,39.124,5320,0,146,48.886,38.401,5320,0,146,48.886,38.401
G10,5320,144,255,235.818,23.919,5320,85,224,156.045,26.473,5320,85,241,157.445,28.954
G11,5320,155,255,224.791,25.634,5320,30,164,104.722,31.693,5320,30,164,104.722,31.693
G12,5320,94,255,224.121,27.437,5320,8,113,59.693,21.587,5320,8,113,59.693,21.587
G13,5320,33,255,160.886,58.097,5320,7,251,124.604,80.271,5320,7,255,143.123,91.351
G14,5320,57,255,189.323,49.994,5320,18,254,130.480,50.154,5320,18,254,141.317,58.282
G15,5320,88,255,191.895,40.123,5320,16,155,71.884,36.366,5320,16,155,71.884,36.366
G16,5320,126,255,224.233,27.231,5320,21,164,69.196,36.120,5320,21,164,69.196,36.120
G17,5320,64,239,157.218,47.125,5320,0,130,41.786,33.497,5320,0,130,41.786,33.497
G18,5320,33,223,144.207,41.392,5320,33,223,144.207,41.392,5320,70,247,205.761,38.154
G19,5320,109,255,214.148,37.163,5320,109,242,181.251,29.920,5320,121,246,188.142,31.796
G20,5320,201,255,244.592,13.948,5320,94,167,130.940,14.127,5320,94,167,130.940,14.127
G21,5320,182,255,247.235,13.903,5320,5,119,67.924,31.207,5320,5,119,67.924,31.207
G22,5320,36,252,152.063,47.161,5320,0,98,27.715,24.588,5320,0,152,29.132,27.445
G23,5320,61,255,149.926,55.013,5320,1,165,73.652,37.870,5320,1,165,74.817,38.759
G24,5320,80,255,244.513,23.258,5320,47,199,159.267,23.679,5320,47,199,159.267,23.679
G25,5320,49,255,219.157,42.593,5320,32,197,146.955,34.570,5320,32,197,146.955,34.570
G26,5320,64,244,167.975,38.220,5320,35,134,67.949,17.433,5320,35,134,67.949,17.433
G27,5320,35,235,179.536,42.360,5320,35,235,179.535,42.358,5320,72,255,230.271,38.196
G28,5320,121,255,235.195,22.243,5320,94,251,205.518,36.293,5320,94,255,211.341,40.852
G29,5320,141,255,225.840,27.391,5320,21,158,70.819,32.531,5320,21,158,70.819,32.531
G30,5320,73,255,202.020,40.247,5320,0,92,17.864,22.917,5320,0,92,17.864,22.917
G31,5320,69,255,233.287,29.533,5320,0,4,0.065,0.343,5320,0,4,0.065,0.343
G32,5320,60,255,224.780,39.474,5320,0,119,52.122,42.733,5320,0,119,52.122,42.733
G33,5320,59,251,158.609,53.969,5320,27,150,69.833,33.224,5320,27,150,69.833,33.224
G34,5320,77,255,213.069,43.807,5320,39,167,121.833,32.824,5320,39,167,121.833,32.824
G35,5320,67,255,170.087,50.063,5320,37,166,102.150,32.904,5320,37,166,102.150,32.904
G36,5320,87,255,206.137,30.660,5320,87,254,205.411,30.658,5320,99,255,227.617,33.039
G37,5320,117,255,220.980,28.954,5320,106,249,196.847,25.831,5320,106,255,201.143,29.735
G38,5320,77,255,215.134,38.058,5320,14,189,112.827,45.816,5320,14,189,112.827,45.816
G39,5320,71,255,219.776,41.202,5320,0,162,106.298,42.929,5320,0,162,106.298,42.929
G40,5320,44,255,173.348,60.136,5320,0,160,35.141,48.475,5320,0,160,35.141,48.475
G41,5320,56,255,194.923,49.050,5320,0,169,65.035,58.658,5320,0,169,65.035,58.658
G42,5320,66,255,189.540,38.863,5320,27,165,113.123,22.486,5320,27,165,113.123,22.486
G43,5320,112,255,227.401,21.715,5320,49,141,106.563,17.267,5320,49,141,106.563,17.267
G44,5320,47,255,155.086,53.472,5320,21,176,90.188,40.304,5320,21,176,90.188,40.304
G45,5320,10,255,189.152,53.323,5320,9,252,172.982,50.634,5320,9,255,174.693,52.759
G46,5320,170,255,234.767,22.600,5320,112,229,162.316,26.349,5320,112,229,162.324,26.362
G47,5320,166,255,230.226,20.941,5320,59,156,118.250,19.881,5320,59,156,118.250,19.881
G48,5320,164,255,243.188,15.626,5320,48,167,129.362,19.164,5320,48,167,129.362,19.164
G49,5320,42,255,193.397,44.857,5320,0,165,34.306,49.890,5320,0,165,34.306,49.890
G50,5320,106,255,226.259,29.957,5320,0,150,24.867,45.661,5320,0,150,24.867,45.661
G51,5320,99,255,220.295,29.548,5320,0,112,24.382,27.995,5320,0,112,24.382,27.995
G52,5320,100,255,185.962,38.346,5320,1,84,30.647,20.742,5320,1,84,30.647,20.742
G53,5320,45,255,207.928,55.970,5320,0,81,29.429,19.380,5320,0,81,29.429,19.380
G54,5320,148,255,240.308,22.770,5320,102,234,192.600,30.253,5320,102,234,194.291,29.778
G55,5320,178,255,235.316,21.971,5320,83,160,109.116,13.701,5320,83,160,109.116,13.701
G56,5320,171,255,248.598,14.785,5320,61,127,93.607,13.673,5320,61,127,93.607,13.673
G57,5320,147,255,236.067,22.580,5320,42,167,106.973,34.464,5320,42,167,106.973,34.464
G58,5320,145,255,223.004,26.500,5320,0,178,106.871,51.811,5320,0,178,106.871,51.811
G59,5320,21,255,200.287,46.497,5320,0,181,72.935,58.473,5320,0,181,72.935,58.473
G60,5320,41,248,175.528,48.878,5320,0,117,60.813,41.972,5320,0,117,60.813,41.972
G61,5320,94,247,166.077,31.628,5320,6,140,60.349,31.855,5320,6,140,60.349,31.855
G62,5320,50,255,180.735,57.857,5320,0,94,22.423,24.501,5320,0,94,22.423,24.501
G63,5320,68,255,186.596,49.914,5320,29,165,88.336,34.945,5320,29,165,88.336,34.945
G64,5320,88,255,202.374,42.181,5320,37,157,93.720,29.353,5320,37,157,93.720,29.353
G65,5320,189,255,236.473,16.084,5320,92,244,166.289,28.979,5320,92,244,166.289,28.979
G66,5320,181,255,222.131,19.058,5320,125,245,174.710,30.648,5320,125,245,175.498,31.615
G67,5320,71,255,217.322,30.318,5320,49,241,181.647,35.491,5320,49,248,185.120,38.712
G68,5320,156,255,225.386,20.530,5320,82,232,151.788,35.749,5320,82,233,151.817,35.806
G69,5320,159,255,246.613,16.678,5320,86,158,121.426,12.405,5320,86,158,121.426,12.405
G70,5320,39,255,190.119,54.660,5320,31,174,114.396,27.866,5320,31,227,118.647,31.846
G71,5320,132,255,229.323,25.645,5320,130,231,163.494,17.831,5320,132,246,166.095,22.349
G72,5320,218,255,249.166,7.356,5320,141,246,183.709,25.889,5320,141,246,183.864,26.198
G73,5320,161,255,241.496,19.168,5320,158,252,211.848,22.658,5320,158,255,217.085,24.745
G74,5320,107,255,168.873,38.947,5320,107,246,167.152,36.176,5320,152,246,199.374,22.773
G75,5320,64,232,159.690,29.043,5320,64,232,159.686,29.036,5320,79,249,203.893,35.925
G76,5320,92,255,197.065,40.782,5320,92,242,178.638,28.156,5320,139,253,191.659,24.644
G77,5320,68,255,212.286,39.260,5320,48,229,148.619,31.308,5320,48,230,148.664,31.392
G78,5320,8,223,152.927,50.034,5320,8,223,152.918,50.024,5320,14,255,205.271,59.332
G79,5320,131,254,205.555,30.574,5320,131,253,203.468,28.979,5320,173,255,235.904,19.853
G80,5320,105,251,226.521,23.458,5320,105,251,226.511,23.453,5320,123,255,242.598,21.172
G81,5320,124,217,164.230,15.021,5320,124,217,164.230,15.021,5320,146,255,228.854,20.918
G82,5320,51,166,119.813,36.125,5320,51,166,119.813,36.125,5320,159,255,235.118,21.046
G83,5320,20,241,64.872,47.380,5320,20,236,64.826,47.220,5320,97,255,225.843,34.593
G84,5320,33,248,173.496,32.650,5320,22,226,148.725,35.407,5320,22,255,163.753,46.584
G85,5320,100,186,157.817,15.418,5320,100,186,157.817,15.418,5320,132,255,212.730,22.792
G86,5320,74,194,149.697,24.494,5320,74,194,149.697,24.494,5320,104,250,199.874,30.955
G87,5320,134,238,191.052,19.267,5320,134,238,191.052,19.267,5320,173,255,234.455,21.161
G88,5320,133,232,213.361,19.527,5320,133,232,213.358,19.530,5320,171,255,239.495,19.210
G89,5320,72,219,150.711,34.143,5320,72,219,150.711,34.143,5320,182,255,241.452,16.379
G90,5320,10,159,94.924,45.693,5320,10,159,94.924,45.693,5320,35,255,178.132,58.962
G91,5320,30,255,125.808,60.944,5320,30,255,121.024,55.000,5320,34,255,138.043,54.671
G92,5320,34,223,155.109,50.544,5320,0,63,22.075,12.281,5320,0,63,22.075,12.281
G93,5320,116,255,220.151,28.896,5320,0,63,4.579,10.643,5320,0,63,4.579,10.643
G94,5320,163,255,231.650,20.817,5320,0,159,70.168,45.901,5320,0,159,70.168,45.901
G95,5320,78,255,198.978,58.543,5320,42,155,99.928,28.649,5320,42,155,99.928,28.649
G96,5320,131,249,185.760,23.062,5320,117,240,183.876,22.281,5320,117,255,234.612,22.516
G97,5320,29,255,175.091,59.459,5320,29,250,146.908,57.922,5320,33,255,182.661,60.458
G98,5320,38,255,175.273,53.438,5320,38,233,144.377,37.585,5320,58,255,173.053,47.808
G99,5320,26,253,131.476,32.850,5320,26,223,130.776,32.301,5320,35,255,208.739,48.342
G100,5320,36,253,173.875,36.944,5320,36,249,172.830,36.262,5320,53,255,216.213,35.557
