Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,211,255,243.774,9.155,5320,49,186,96.540,26.112,5320,49,186,96.540,26.112
G2,5320,61,255,215.560,47.907,5320,9,119,57.752,24.185,5320,9,119,57.752,24.185
G3,5320,55,255,225.463,44.771,5320,22,147,100.777,29.911,5320,22,147,100.777,29.911
G4,5320,24,255,158.594,45.047,5320,8,181,88.317,36.620,5320,8,214,91.512,42.238
G5,5320,3,255,158.778,58.467,5320,3,188,87.932,48.660,5320,15,255,111.967,67.664
G6,5320,79,255,199.355,41.809,5320,71,221,170.929,30.280,5320,71,221,171.647,29.690
G7,5320,41,255,187.532,42.698,5320,30,203,136.415,38.100,5320,30,203,136.415,38.100
G8,5320,57,255,187.843,54.215,5320,33,132,81.416,18.871,5320,33,132,81.416,18.871
G9,5320,57,255,170.223,42.875,5320,0,173,66.719,41.941,5320,0,173,66.719,41.941
G10,5320,126,255,232.837,30.380,5320,120,221,181.500,22.178,5320,120,231,185.524,23.388
G11,5320,134,255,228.486,22.444,5320,69,244,160.853,44.138,5320,69,244,161.030,44.253
G12,5320,106,255,239.003,18.665,5320,54,252,186.572,44.433,5320,54,255,188.471,46.563
G13,5320,0,233,112.829,70.298,5320,0,233,105.309,67.004,5320,28,255,179.119,57.222
G14,5320,32,225,134.394,43.025,5320,32,221,129.419,37.936,5320,52,225,146.493,36.720
G15,5320,81,255,192.338,36.846,5320,48,249,138.261,56.586,5320,48,250,138.457,56.912
G16,5320,136,255,225.030,25.245,5320,62,220,113.039,35.657,5320,62,220,113.039,35.657
G17,5320,47,242,166.570,43.846,5320,0,172,60.287,41.657,5320,0,172,60.287,41.657
G18,5320,30,192,123.770,37.798,5320,30,192,123.770,37.798,5320,62,253,203.825,38.232
G19,5320,94,255,200.289,37.941,5320,94,250,195.457,35.830,5320,132,255,215.526,31.492
G20,5320,159,255,225.480,17.788,5320,159,254,223.584,16.153,5320,165,255,233.798,16.136
G21,5320,152,251,214.756,18.930,5320,152,251,214.754,18.933,5320,173,255,239.757,18.812
G22,5320,122,225,190.564,16.600,5320,96,225,189.453,18.834,5320,96,255,230.692,26.626
G23,5320,69,232,173.927,39.355,5320,69,232,173.734,39.348,5320,78,255,200.369,48.880
G24,5320,68,251,196.748,39.585,5320,68,246,195.581,38.759,5320,77,255,228.752,42.251
G25,5320,56,255,210.175,41.745,5320,48,252,193.054,42.431,5320,48,255,200.552,46.922
G26,5320,64,247,166.319,37.971,5320,44,178,89.671,23.104,5320,44,178,89.671,23.104
G27,5320,33,204,157.583,40.183,5320,33,204,157.583,40.183,5320,79,255,229.002,40.070
G28,5320,106,254,214.482,23.040,5320,106,253,214.112,23.008,5320,119,255,241.457,23.404
G29,5320,142,255,222.105,26.737,5320,131,254,214.084,29.929,5320,131,255,218.436,32.870
G30,5320,177,255,237.850,14.477,5320,169,254,216.977,16.336,5320,172,255,224.450,21.190
G31,5320,128,255,223.212,23.915,5320,95,228,175.502,22.824,5320,95,228,175.812,23.012
G32,5320,96,239,210.549,24.268,5320,94,238,207.013,28.212,5320,94,255,220.817,33.083
G33,5320,61,222,152.016,46.196,5320,61,222,150.733,46.095,5320,64,255,158.898,51.271
G34,5320,77,255,208.989,47.867,5320,76,229,189.253,34.805,5320,78,243,191.736,33.886
G35,5320,67,255,171.862,51.788,5320,47,211,130.074,44.385,5320,47,211,130.074,44.385
G36,5320,113,255,213.844,27.147,5320,91,250,181.393,31.627,5320,91,255,196.182,45.054
G37,5320,106,255,212.036,35.402,5320,106,254,205.907,32.091,5320,120,255,219.141,28.745
G38,5320,63,255,199.533,49.440,5320,59,252,186.165,47.236,5320,59,252,186.167,47.236
G39,5320,52,255,163.577,59.071,5320,49,252,154.287,56.201,5320,49,255,161.953,55.241
G40,5320,56,228,136.941,47.962,5320,56,221,134.229,44.452,5320,78,237,165.284,33.340
G41,5320,43,253,174.170,54.804,5320,43,251,172.076,52.641,5320,47,255,186.411,51.998
G42,5320,63,253,182.439,43.256,5320,63,247,162.902,31.501,5320,72,251,166.181,28.916
G43,5320,146,255,226.418,22.291,5320,74,207,164.350,25.240,5320,74,207,164.373,25.244
G44,5320,42,255,150.072,53.132,5320,27,199,113.096,47.337,5320,27,199,113.361,47.311
G45,5320,14,255,186.327,54.513,5320,0,234,159.625,44.570,5320,0,234,159.637,44.571
G46,5320,179,255,234.963,22.207,5320,107,238,162.634,32.317,5320,107,238,162.650,32.331
G47,5320,104,255,222.137,31.244,5320,61,226,151.521,25.178,5320,61,226,151.521,25.178
G48,5320,171,255,240.445,13.104,5320,171,253,218.872,17.036,5320,171,255,220.708,18.635
G49,5320,55,254,170.954,57.205,5320,55,252,164.425,51.590,5320,62,255,177.913,45.029
G50,5320,91,255,187.712,31.283,5320,91,226,152.198,35.975,5320,91,226,153.564,35.710
G51,5320,128,252,204.611,28.248,5320,33,182,96.556,35.113,5320,33,182,96.556,35.113
G52,5320,89,251,186.163,34.969,5320,15,138,60.917,31.364,5320,15,138,60.917,31.364
G53,5320,34,255,213.164,54.561,5320,0,153,44.201,22.135,5320,0,164,44.234,22.156
G54,5320,135,255,238.606,24.156,5320,114,239,199.347,29.609,5320,114,239,201.602,28.011
G55,5320,181,255,234.250,20.342,5320,52,171,109.289,22.286,5320,52,171,109.289,22.286
G56,5320,79,255,208.381,43.513,5320,42,184,139.392,32.689,5320,42,184,139.392,32.689
G57,5320,186,255,243.061,15.334,5320,154,208,179.254,12.535,5320,154,208,179.254,12.535
G58,5320,137,255,223.348,23.872,5320,124,224,169.446,13.942,5320,124,224,169.456,13.929
G59,5320,88,255,216.025,34.389,5320,78,225,154.865,29.861,5320,78,225,155.818,29.947
G60,5320,115,252,195.391,31.584,5320,30,118,84.506,23.508,5320,30,118,84.506,23.508
G61,5320,71,255,162.110,42.874,5320,14,162,72.216,36.951,5320,14,162,72.216,36.951
G62,5320,39,255,180.498,58.277,5320,0,171,26.511,27.432,5320,0,255,27.207,31.091
G63,5320,44,255,188.588,44.648,5320,25,233,94.148,40.300,5320,25,246,94.494,41.192
G64,5320,114,255,244.921,19.890,5320,37,203,154.076,29.460,5320,37,203,154.076,29.460
G65,5320,203,255,244.751,10.871,5320,155,251,192.270,22.239,5320,155,251,194.482,25.547
G66,5320,82,255,182.526,55.946,5320,82,238,168.949,42.547,5320,127,255,211.911,28.083
G67,5320,69,251,179.651,41.601,5320,68,239,168.302,36.926,5320,68,255,208.625,41.738
G68,5320,159,255,231.708,27.215,5320,85,231,156.083,40.789,5320,85,231,156.141,40.884
G69,5320,154,255,244.170,18.017,5320,82,165,125.029,14.909,5320,82,165,125.029,14.909
G70,5320,30,255,183.978,58.157,5320,30,179,115.848,31.942,5320,40,225,121.467,30.595
G71,5320,138,255,225.266,25.748,5320,118,231,155.872,17.543,5320,118,232,156.984,19.564
G72,5320,211,255,244.465,10.899,5320,141,250,193.259,25.279,5320,141,254,194.910,28.032
G73,5320,122,254,197.030,34.339,5320,122,252,193.129,31.094,5320,186,255,241.482,15.916
G74,5320,46,210,125.844,35.042,5320,46,210,125.844,35.042,5320,88,255,197.347,40.619
G75,5320,41,228,128.306,34.535,5320,41,228,128.305,34.532,5320,78,244,184.163,40.198
G76,5320,78,255,194.389,46.498,5320,78,253,180.089,35.683,5320,126,254,199.521,24.374
G77,5320,69,255,213.189,39.332,5320,58,243,161.958,31.039,5320,58,244,162.086,31.175
G78,5320,16,250,160.553,55.088,5320,16,250,160.233,54.826,5320,23,255,202.121,60.388
G79,5320,139,254,198.759,26.367,5320,139,251,195.911,24.365,5320,170,255,230.708,21.093
G80,5320,124,209,175.172,18.963,5320,124,209,175.172,18.963,5320,212,255,246.339,10.081
G81,5320,85,184,129.630,19.646,5320,85,184,129.630,19.646,5320,185,255,228.985,13.262
G82,5320,26,162,96.280,37.954,5320,26,162,96.280,37.954,5320,176,255,235.693,18.652
G83,5320,0,235,45.194,48.843,5320,0,234,45.182,48.800,5320,81,255,220.823,35.907
G84,5320,18,244,164.974,37.989,5320,18,222,147.522,31.508,5320,43,255,171.179,41.803
G85,5320,109,171,144.824,12.322,5320,109,171,144.824,12.322,5320,136,255,197.024,25.246
G86,5320,81,177,135.023,23.203,5320,81,177,135.023,23.203,5320,123,241,192.911,30.001
G87,5320,107,194,170.886,16.448,5320,107,194,170.886,16.448,5320,152,255,230.559,23.426
G88,5320,114,199,171.919,15.354,5320,114,199,171.915,15.351,5320,161,255,241.859,19.885
G89,5320,55,190,121.012,28.635,5320,55,190,121.012,28.635,5320,144,255,243.809,17.657
G90,5320,3,150,81.043,43.545,5320,3,150,81.043,43.545,5320,34,255,168.539,54.935
G91,5320,31,255,125.455,60.427,5320,31,255,121.811,55.458,5320,41,255,145.182,53.982
G92,5320,31,238,155.873,57.671,5320,16,110,55.841,19.007,5320,16,110,55.841,19.007
G93,5320,98,255,220.672,28.986,5320,0,115,35.142,29.257,5320,0,115,35.142,29.257
G94,5320,173,255,228.114,21.455,5320,24,216,161.531,50.266,5320,24,216,161.648,50.345
G95,5320,69,255,204.799,52.227,5320,57,214,162.398,43.664,5320,57,214,162.398,43.664
G96,5320,119,248,170.334,26.584,5320,118,234,169.296,25.494,5320,123,255,237.168,21.621
G97,5320,17,255,162.361,59.189,5320,17,238,148.102,57.774,5320,20,255,200.435,53.946
G98,5320,32,255,169.632,54.639,5320,32,228,141.261,37.189,5320,64,255,173.098,46.613
G99,5320,33,248,128.245,34.507,5320,33,229,127.285,33.649,5320,42,255,206.519,45.309
G100,5320,39,254,171.849,41.410,5320,39,251,169.562,39.821,5320,57,255,207.991,36.449
