Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,210,255,241.778,10.216,5320,74,238,147.130,34.955,5320,74,241,147.216,35.158
G2,5320,62,255,220.800,46.618,5320,7,202,107.660,41.889,5320,7,202,107.660,41.889
G3,5320,50,255,221.502,46.572,5320,12,166,126.005,34.892,5320,12,166,126.005,34.892
G4,5320,51,250,151.061,40.010,5320,0,187,33.053,36.649,5320,0,187,33.053,36.649
G5,5320,44,255,175.832,47.687,5320,0,231,93.826,66.861,5320,0,255,100.178,75.775
G6,5320,22,255,152.808,63.675,5320,22,241,137.249,58.430,5320,36,255,168.374,58.953
G7,5320,66,255,173.020,47.642,5320,51,222,130.563,41.472,5320,51,222,130.563,41.472
G8,5320,46,255,186.518,53.431,5320,31,136,88.215,22.701,5320,31,136,88.215,22.701
G9,5320,61,254,170.581,39.595,5320,0,167,67.813,42.590,5320,0,167,67.813,42.590
G10,5320,40,255,178.407,43.072,5320,40,251,176.482,40.558,5320,64,255,227.999,26.874
G11,5320,52,255,202.116,48.084,5320,52,249,190.066,43.989,5320,85,255,208.574,34.469
G12,5320,144,255,240.863,24.676,5320,87,237,182.416,32.990,5320,87,237,182.443,32.951
G13,5320,48,225,151.564,41.584,5320,18,219,139.890,43.472,5320,18,249,161.248,52.514
G14,5320,42,228,172.235,44.932,5320,42,223,169.950,43.432,5320,123,255,224.573,23.039
G15,5320,83,240,181.871,32.835,5320,57,234,141.801,49.783,5320,57,255,149.617,58.644
G16,5320,163,255,226.044,22.474,5320,63,236,135.178,35.026,5320,63,240,135.984,36.502
G17,5320,62,238,167.627,42.787,5320,0,184,65.760,46.760,5320,0,184,65.760,46.760
G18,5320,16,167,88.134,31.341,5320,16,167,88.134,31.341,5320,67,253,207.178,38.400
G19,5320,40,160,107.536,23.876,5320,40,160,107.536,23.876,5320,64,255,204.295,31.643
G20,5320,74,244,156.567,23.239,5320,74,233,156.219,22.388,5320,110,255,207.521,26.676
G21,5320,88,255,190.128,38.671,5320,88,233,181.549,33.435,5320,93,246,196.624,35.533
G22,5320,0,203,93.488,56.134,5320,0,203,93.440,56.075,5320,83,238,166.514,41.462
G23,5320,0,108,15.184,20.920,5320,0,108,15.184,20.920,5320,94,255,226.504,33.972
G24,5320,49,223,120.592,35.876,5320,49,223,120.561,35.827,5320,183,255,247.889,11.652
