Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,202,255,244.677,9.101,5320,56,189,113.817,27.825,5320,56,189,113.817,27.825
G2,5320,81,255,213.610,46.874,5320,12,164,84.803,34.055,5320,12,164,84.803,34.055
G3,5320,45,255,225.555,42.008,5320,10,152,116.736,29.558,5320,10,152,116.736,29.558
G4,5320,52,255,145.517,46.880,5320,0,126,12.234,15.342,5320,0,126,12.234,15.342
G5,5320,61,255,166.795,50.988,5320,0,88,12.138,17.098,5320,0,88,12.138,17.098
G6,5320,59,255,198.474,50.160,5320,1,107,61.944,26.760,5320,1,107,61.944,26.760
G7,5320,33,255,190.760,36.741,5320,13,109,75.830,15.996,5320,13,109,75.830,15.996
G8,5320,49,255,188.275,55.569,5320,28,90,61.449,13.756,5320,28,90,61.449,13.756
G9,5320,56,255,180.200,42.891,5320,0,184,74.571,46.174,5320,0,184,74.571,46.174
G10,5320,126,255,230.503,34.525,5320,126,226,188.921,21.330,5320,134,226,193.942,18.635
G11,5320,211,255,247.957,7.990,5320,134,236,192.834,22.873,5320,134,236,192.834,22.873
G12,5320,51,255,216.475,47.653,5320,0,204,129.534,47.766,5320,0,204,129.534,47.766
G13,5320,39,249,181.383,51.280,5320,0,144,68.051,32.694,5320,0,144,68.051,32.694
G14,5320,50,255,206.793,44.686,5320,22,179,103.157,32.562,5320,22,179,103.157,32.562
G15,5320,61,255,188.895,36.194,5320,27,201,90.607,44.725,5320,27,201,90.607,44.725
G16,5320,162,255,226.191,23.095,5320,40,206,96.208,37.925,5320,40,206,96.208,37.925
G17,5320,64,248,162.130,45.002,5320,0,163,57.742,38.096,5320,0,163,57.742,38.096
G18,5320,28,187,122.112,34.639,5320,28,187,122.112,34.639,5320,80,254,208.647,29.533
G19,5320,94,255,199.889,39.983,5320,94,253,195.784,38.112,5320,131,255,216.100,30.912
G20,5320,184,255,230.650,18.635,5320,179,253,221.928,17.821,5320,179,255,222.957,18.113
G21,5320,191,255,249.293,10.188,5320,138,254,218.078,28.122,5320,138,255,218.483,28.482
G22,5320,56,255,178.282,51.957,5320,41,241,134.965,47.656,5320,41,241,134.992,47.645
G23,5320,194,255,231.870,15.818,5320,142,241,178.826,14.535,5320,142,241,178.829,14.539
G24,5320,193,255,233.069,12.315,5320,154,251,221.375,20.137,5320,154,255,232.806,26.627
G25,5320,50,255,215.870,39.980,5320,42,249,188.566,42.234,5320,42,255,190.266,44.070
G26,5320,63,246,167.945,41.530,5320,46,169,90.595,23.061,5320,46,169,90.595,23.061
G27,5320,24,198,148.707,35.964,5320,24,198,148.707,35.964,5320,66,255,230.076,38.331
G28,5320,132,255,214.326,26.093,5320,132,253,212.359,24.747,5320,144,255,240.750,21.814
G29,5320,154,255,232.388,19.042,5320,135,249,211.509,27.591,5320,135,251,212.626,28.645
G30,5320,181,255,224.333,18.882,5320,144,253,212.809,27.746,5320,144,254,214.625,29.263
G31,5320,65,252,153.267,44.106,5320,64,238,142.148,41.370,5320,66,238,144.387,41.195
G32,5320,150,246,202.401,27.693,5320,110,235,183.079,29.391,5320,110,235,183.299,29.235
G33,5320,47,250,212.584,41.440,5320,39,246,192.098,45.004,5320,39,252,193.894,46.785
G34,5320,70,255,210.786,46.707,5320,65,231,182.072,35.035,5320,65,242,182.499,35.343
G35,5320,65,255,168.387,52.025,5320,50,212,133.473,45.912,5320,50,212,133.473,45.912
G36,5320,44,216,141.448,46.929,5320,44,216,141.222,46.749,5320,101,255,225.440,34.230
G37,5320,100,255,196.790,39.190,5320,100,250,191.437,34.541,5320,112,255,212.216,33.040
G38,5320,53,255,201.405,44.300,5320,0,231,141.241,61.556,5320,0,231,141.241,61.556
G39,5320,50,255,216.296,36.110,5320,0,197,80.245,78.151,5320,0,197,80.245,78.151
G40,5320,61,255,207.545,55.580,5320,25,244,160.415,53.534,5320,25,255,161.646,55.183
G41,5320,39,242,162.461,48.156,5320,30,242,140.411,57.730,5320,30,255,144.402,63.446
G42,5320,40,247,191.236,34.903,5320,32,247,179.944,34.462,5320,32,255,180.589,35.336
