Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,213,255,244.280,8.855,5320,40,191,87.245,30.198,5320,40,191,87.245,30.198
G2,5320,69,255,212.958,49.456,5320,0,107,32.892,27.934,5320,0,107,32.892,27.934
G3,5320,47,255,222.687,44.456,5320,0,125,72.920,33.605,5320,0,125,72.920,33.605
G4,5320,48,255,170.607,44.237,5320,0,110,19.110,30.987,5320,0,110,19.110,30.987
G5,5320,51,246,155.005,47.337,5320,0,106,23.006,28.426,5320,0,106,23.006,28.426
G6,5320,39,255,215.165,58.302,5320,20,229,137.947,52.977,5320,20,229,137.947,52.977
G7,5320,46,255,196.467,39.073,5320,27,212,116.438,36.006,5320,27,212,116.438,36.006
G8,5320,56,255,188.797,55.481,5320,32,102,67.294,14.516,5320,32,102,67.294,14.516
G9,5320,52,255,173.230,41.397,5320,0,180,66.114,43.503,5320,0,180,66.114,43.503
G10,5320,126,255,229.489,34.926,5320,109,233,182.814,27.773,5320,109,233,189.748,27.261
G11,5320,165,255,224.447,23.798,5320,41,252,157.794,53.131,5320,41,253,158.341,53.597
G12,5320,110,255,227.606,26.769,5320,25,250,150.642,50.294,5320,25,252,150.942,50.707
G13,5320,100,255,235.362,27.609,5320,12,236,122.794,56.216,5320,12,240,123.168,56.875
G14,5320,40,255,174.936,51.819,5320,20,236,110.109,47.401,5320,20,236,110.277,47.638
G15,5320,35,255,191.851,40.997,5320,18,216,101.391,47.443,5320,18,216,101.396,47.453
G16,5320,159,255,227.323,22.418,5320,58,206,105.484,35.399,5320,58,206,105.484,35.399
G17,5320,61,255,158.757,44.644,5320,0,171,62.727,40.036,5320,0,171,62.727,40.036
G18,5320,23,175,107.314,35.554,5320,23,175,107.314,35.554,5320,70,254,204.852,38.905
G19,5320,77,255,178.079,38.050,5320,77,241,176.028,35.514,5320,122,255,218.851,31.233
G20,5320,160,255,206.486,24.933,5320,160,254,206.030,24.165,5320,187,255,231.555,17.719
G21,5320,130,255,208.181,26.514,5320,130,254,205.467,22.983,5320,200,255,242.996,14.714
G22,5320,77,255,157.160,51.505,5320,77,236,153.319,45.389,5320,150,255,210.366,24.122
G23,5320,113,255,187.634,38.352,5320,113,254,186.013,36.427,5320,160,255,234.047,21.268
G24,5320,177,255,214.183,23.685,5320,172,246,208.179,18.542,5320,172,255,243.025,15.342
G25,5320,53,255,209.156,46.931,5320,46,252,188.183,44.303,5320,46,255,196.367,48.026
G26,5320,64,245,168.278,38.123,5320,48,174,95.748,23.251,5320,48,174,95.748,23.251
G27,5320,27,130,97.013,17.322,5320,27,130,97.013,17.322,5320,83,255,227.067,37.122
G28,5320,68,191,141.125,26.937,5320,68,191,141.125,26.937,5320,128,255,241.584,21.383
G29,5320,102,195,169.883,21.870,5320,102,195,169.883,21.870,5320,153,255,227.121,26.751
G30,5320,61,190,147.074,31.389,5320,61,190,147.074,31.389,5320,89,255,210.117,43.543
G31,5320,28,179,100.242,37.415,5320,28,179,100.242,37.415,5320,48,255,151.456,53.993
G32,5320,42,255,165.045,55.847,5320,0,231,142.335,58.527,5320,0,255,182.479,71.475
G33,5320,49,255,195.592,36.020,5320,0,229,183.682,48.233,5320,0,255,204.174,58.213
G34,5320,77,255,207.794,45.255,5320,77,229,189.765,32.277,5320,80,229,194.117,29.437
G35,5320,65,255,169.625,50.658,5320,46,213,131.743,45.209,5320,46,213,131.743,45.209
G36,5320,0,121,60.751,48.198,5320,0,121,60.751,48.198,5320,105,255,230.663,27.444
G37,5320,23,134,95.358,14.777,5320,23,134,95.358,14.777,5320,52,255,221.233,30.621
G38,5320,19,136,79.605,28.615,5320,19,136,79.605,28.615,5320,48,255,166.970,44.694
G39,5320,55,165,103.256,29.689,5320,55,165,103.256,29.689,5320,108,255,206.446,38.390
G40,5320,76,232,144.249,28.819,5320,76,194,142.727,27.164,5320,107,255,198.285,45.560
G41,5320,7,255,151.612,57.534,5320,0,244,128.153,69.517,5320,0,255,150.015,79.963
G42,5320,43,255,186.974,38.191,5320,0,239,175.039,33.396,5320,0,246,179.799,32.085
G43,5320,104,255,226.576,23.830,5320,76,211,172.369,24.425,5320,76,211,172.393,24.399
G44,5320,44,255,145.898,53.391,5320,30,212,115.691,49.623,5320,30,212,116.417,49.649
G45,5320,10,229,100.228,47.801,5320,10,205,98.965,47.252,5320,21,255,187.688,53.784
