Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,220,255,243.888,8.978,5320,57,197,104.533,28.461,5320,57,197,104.533,28.461
G2,5320,80,255,218.957,44.758,5320,0,135,56.015,31.556,5320,0,135,56.015,31.556
G3,5320,50,255,226.170,42.701,5320,2,142,96.218,30.980,5320,2,142,96.218,30.980
G4,5320,45,254,166.411,44.506,5320,1,126,60.169,28.831,5320,1,126,60.169,28.831
G5,5320,41,218,132.196,40.212,5320,0,127,64.438,34.893,5320,0,127,64.438,34.893
G6,5320,55,249,182.998,30.173,5320,0,175,118.238,27.776,5320,0,175,118.238,27.776
G7,5320,59,255,178.262,34.882,5320,38,181,119.384,25.092,5320,38,181,119.384,25.092
G8,5320,50,255,191.141,51.291,5320,32,121,76.576,17.635,5320,32,121,76.576,17.635
G9,5320,52,251,167.328,39.519,5320,0,159,60.342,41.470,5320,0,159,60.342,41.470
G10,5320,130,255,229.119,34.366,5320,130,246,196.840,29.458,5320,130,252,204.365,26.162
G11,5320,117,255,218.458,28.970,5320,60,248,170.097,45.355,5320,60,255,176.284,50.938
G12,5320,147,255,236.844,22.468,5320,37,229,142.355,47.439,5320,37,234,142.674,47.952
G13,5320,75,255,164.134,53.887,5320,30,208,95.817,44.582,5320,30,208,95.821,44.589
G14,5320,60,255,174.569,56.693,5320,39,202,109.173,39.774,5320,39,202,109.173,39.774
G15,5320,57,255,191.496,39.222,5320,35,224,113.901,47.313,5320,35,225,113.934,47.386
G16,5320,162,255,227.240,22.482,5320,50,207,109.098,34.800,5320,50,207,109.098,34.800
G17,5320,64,239,157.447,47.823,5320,0,162,54.641,39.623,5320,0,162,54.641,39.623
G18,5320,25,189,113.216,35.053,5320,25,189,113.216,35.053,5320,69,254,205.202,37.374
G19,5320,86,249,177.155,34.982,5320,86,248,176.512,34.221,5320,120,255,221.308,30.592
G20,5320,138,248,170.150,23.370,5320,138,248,170.150,23.369,5320,202,255,242.236,13.417
G21,5320,112,241,186.880,29.136,5320,112,241,185.669,27.852,5320,173,255,242.909,15.131
G22,5320,102,255,197.769,41.590,5320,102,251,188.287,37.183,5320,120,255,230.611,31.238
G23,5320,65,255,162.244,53.421,5320,65,218,145.802,45.056,5320,65,218,147.968,44.892
G24,5320,58,254,191.907,38.505,5320,58,252,187.342,34.440,5320,79,255,234.228,29.454
G25,5320,51,255,209.104,41.175,5320,45,243,188.092,41.440,5320,45,255,196.992,46.521
G26,5320,64,244,166.550,37.415,5320,42,168,86.343,21.812,5320,42,168,86.343,21.812
G27,5320,25,156,119.636,26.954,5320,25,156,119.636,26.954,5320,78,255,225.090,37.871
G28,5320,83,210,169.396,21.636,5320,83,210,169.396,21.636,5320,116,255,240.911,22.254
G29,5320,62,226,161.866,19.157,5320,62,226,161.866,19.156,5320,73,255,224.857,30.975
G30,5320,44,251,169.084,51.428,5320,44,236,162.889,46.029,5320,50,251,199.684,38.138
G31,5320,23,255,144.762,62.086,5320,23,237,131.324,52.578,5320,37,255,164.205,47.157
G32,5320,89,255,213.091,29.379,5320,89,232,199.484,20.238,5320,99,232,200.389,19.443
G33,5320,44,207,134.404,35.858,5320,44,207,133.922,36.218,5320,44,255,159.114,51.625
G34,5320,78,255,202.682,47.764,5320,78,207,168.430,24.732,5320,88,243,174.414,24.642
G35,5320,68,255,170.083,51.685,5320,45,194,120.033,39.315,5320,45,194,120.033,39.315
G36,5320,5,173,105.853,50.293,5320,5,173,105.853,50.293,5320,99,255,228.680,31.401
G37,5320,83,236,172.408,40.088,5320,83,236,172.365,40.038,5320,117,255,225.859,30.130
G38,5320,48,255,195.580,44.664,5320,48,251,192.912,44.062,5320,56,255,209.888,40.077
G39,5320,197,255,236.244,12.049,5320,136,250,208.817,23.499,5320,136,250,209.009,23.705
G40,5320,122,255,205.992,40.752,5320,76,193,121.604,27.234,5320,76,193,121.604,27.234
G41,5320,143,255,209.491,35.275,5320,48,195,115.710,31.542,5320,48,195,115.710,31.542
G42,5320,65,251,210.422,29.854,5320,32,154,106.019,28.870,5320,32,154,106.022,28.867
G43,5320,137,255,227.139,21.345,5320,53,172,119.168,25.055,5320,53,172,119.168,25.055
G44,5320,43,255,154.403,48.903,5320,31,198,105.608,44.639,5320,31,198,106.013,44.931
G45,5320,9,255,150.055,56.736,5320,0,251,147.894,56.855,5320,0,255,186.015,54.559
G46,5320,138,255,223.067,32.269,5320,138,250,209.700,26.859,5320,163,255,219.801,23.096
G47,5320,164,255,244.657,16.895,5320,96,240,191.334,31.344,5320,96,240,191.334,31.344
G48,5320,0,255,160.423,79.421,5320,0,191,102.714,60.097,5320,0,206,125.022,43.412
G49,5320,68,255,205.749,48.379,5320,28,186,131.868,43.783,5320,28,186,131.868,43.783
G50,5320,59,255,201.296,50.166,5320,6,111,61.389,23.985,5320,6,111,61.389,23.985
G51,5320,103,255,224.195,28.431,5320,0,71,18.969,20.196,5320,0,71,18.969,20.196
G52,5320,101,255,184.300,36.830,5320,0,74,18.230,19.551,5320,0,74,18.230,19.551
G53,5320,43,255,201.933,60.629,5320,0,180,33.078,19.207,5320,0,185,33.122,19.332
G54,5320,107,255,236.835,27.870,5320,107,252,222.930,29.608,5320,155,255,227.692,24.112
G55,5320,171,255,235.638,25.077,5320,127,217,171.132,19.765,5320,127,217,171.132,19.765
G56,5320,210,255,250.829,6.927,5320,0,208,135.136,41.157,5320,0,208,135.136,41.157
G57,5320,84,255,231.646,32.291,5320,0,182,122.603,27.395,5320,0,182,122.637,27.388
G58,5320,54,253,164.394,36.171,5320,42,241,136.575,42.460,5320,42,241,137.345,43.347
G59,5320,45,244,149.005,61.328,5320,0,162,57.859,43.681,5320,0,162,57.859,43.681
G60,5320,40,250,177.620,52.026,5320,0,82,30.181,23.357,5320,0,82,30.181,23.357
G61,5320,93,244,165.530,30.233,5320,0,128,48.297,29.678,5320,0,128,48.297,29.678
G62,5320,41,255,187.911,54.668,5320,0,127,25.432,22.464,5320,0,162,25.455,22.552
G63,5320,42,255,184.278,49.337,5320,30,210,112.870,38.360,5320,30,245,114.028,40.540
G64,5320,74,255,191.867,59.429,5320,0,153,23.461,36.482,5320,0,153,23.461,36.482
G65,5320,190,255,246.242,12.091,5320,0,200,59.985,65.077,5320,0,200,59.989,65.081
G66,5320,81,255,191.450,42.594,5320,81,250,181.595,34.476,5320,93,255,216.278,26.766
G67,5320,81,255,201.039,44.890,5320,81,241,165.096,33.623,5320,86,241,180.845,34.309
G68,5320,172,255,227.554,19.219,5320,58,235,123.653,42.687,5320,58,235,123.653,42.687
G69,5320,169,255,245.283,15.301,5320,61,150,116.912,11.159,5320,61,150,116.912,11.159
G70,5320,28,255,190.721,52.444,5320,28,176,117.034,28.588,5320,34,197,118.906,29.117
G71,5320,139,255,227.138,25.492,5320,138,216,166.347,14.169,5320,140,230,168.308,16.993
G72,5320,83,255,209.735,53.430,5320,0,248,152.067,77.001,5320,0,255,153.983,79.108
G73,5320,83,255,174.996,41.323,5320,0,223,110.353,69.160,5320,0,255,131.380,91.795
G74,5320,19,254,121.930,42.293,5320,19,247,117.998,37.966,5320,30,255,165.624,54.005
G75,5320,48,241,142.797,38.329,5320,48,236,142.734,38.201,5320,74,245,193.328,41.677
G76,5320,88,255,195.047,43.254,5320,88,243,176.117,31.304,5320,130,253,188.756,28.715
G77,5320,62,255,210.785,40.385,5320,49,231,152.805,30.021,5320,49,232,152.899,30.201
G78,5320,18,233,151.028,52.324,5320,18,233,150.719,52.064,5320,27,255,197.177,59.789
G79,5320,127,249,189.321,27.690,5320,127,248,187.714,25.995,5320,168,255,234.414,19.555
G80,5320,108,207,161.046,15.011,5320,108,207,161.046,15.011,5320,199,255,243.179,11.522
G81,5320,72,165,125.159,22.141,5320,72,165,125.159,22.141,5320,125,255,229.277,23.523
G82,5320,24,162,100.669,41.259,5320,24,162,100.669,41.259,5320,194,255,234.096,17.914
G83,5320,13,233,57.940,44.737,5320,13,230,57.911,44.630,5320,91,255,224.665,36.759
G84,5320,19,244,161.318,35.731,5320,19,216,143.263,28.833,5320,44,255,165.557,39.243
G85,5320,103,167,140.510,13.918,5320,103,167,140.510,13.918,5320,142,255,201.619,24.652
G86,5320,59,162,121.995,23.579,5320,59,162,121.995,23.579,5320,101,247,193.835,32.635
G87,5320,109,177,152.469,11.298,5320,109,177,152.469,11.298,5320,168,255,236.617,18.476
G88,5320,74,181,132.726,24.583,5320,74,181,132.726,24.583,5320,166,255,242.041,18.439
G89,5320,47,173,96.650,27.192,5320,47,173,96.650,27.192,5320,168,255,243.167,16.606
G90,5320,9,150,76.268,44.484,5320,9,150,76.268,44.484,5320,53,254,167.310,55.899
G91,5320,27,255,122.085,59.969,5320,27,255,118.431,54.765,5320,32,255,140.724,52.913
G92,5320,36,240,158.254,56.002,5320,10,84,45.981,15.853,5320,10,84,45.981,15.853
G93,5320,97,255,203.006,39.637,5320,0,116,19.068,24.327,5320,0,116,19.068,24.327
G94,5320,154,255,213.132,23.765,5320,0,210,124.813,68.256,5320,0,210,124.820,68.260
G95,5320,70,255,198.936,52.860,5320,58,206,150.523,38.740,5320,58,206,150.523,38.740
G96,5320,117,243,158.323,28.963,5320,117,232,157.780,28.199,5320,124,255,235.045,20.600
