Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,211,255,242.894,9.359,5320,48,202,98.879,32.417,5320,48,202,98.879,32.417
G2,5320,80,255,224.124,37.184,5320,0,130,43.191,34.971,5320,0,130,43.191,34.971
G3,5320,52,255,225.131,42.151,5320,0,124,75.552,33.587,5320,0,124,75.552,33.587
G4,5320,53,252,167.304,46.794,5320,0,91,14.827,24.387,5320,0,91,14.827,24.387
G5,5320,33,252,164.286,51.067,5320,0,105,12.111,22.096,5320,0,105,12.111,22.096
G6,5320,33,255,189.094,63.388,5320,13,164,104.206,41.113,5320,13,164,104.206,41.113
G7,5320,78,255,197.264,38.649,5320,37,153,97.620,27.818,5320,37,153,97.620,27.818
G8,5320,44,255,191.733,53.803,5320,26,105,61.870,14.000,5320,26,105,61.870,14.000
G9,5320,57,254,170.198,41.728,5320,0,170,62.370,41.753,5320,0,170,62.370,41.753
G10,5320,123,255,225.407,35.867,5320,123,248,200.220,34.423,5320,123,255,210.723,31.855
G11,5320,96,255,212.492,30.819,5320,72,240,166.409,39.427,5320,72,255,188.629,52.618
G12,5320,155,255,244.183,16.654,5320,6,247,161.624,61.150,5320,6,255,163.610,63.474
G13,5320,124,255,204.708,32.411,5320,0,198,84.050,59.596,5320,0,198,84.050,59.596
G14,5320,50,255,185.942,46.991,5320,20,194,97.890,38.208,5320,20,194,97.890,38.208
G15,5320,53,255,190.559,40.749,5320,21,188,83.227,40.837,5320,21,188,83.227,40.837
G16,5320,165,255,227.878,21.420,5320,50,192,93.876,36.656,5320,50,192,93.876,36.656
G17,5320,60,241,160.231,45.738,5320,0,159,57.232,37.969,5320,0,159,57.232,37.969
G18,5320,24,191,110.214,35.550,5320,24,191,110.214,35.550,5320,72,254,201.461,38.590
G19,5320,74,237,146.742,33.213,5320,74,237,146.742,33.213,5320,133,255,221.271,30.680
G20,5320,17,215,88.991,40.934,5320,17,215,88.991,40.934,5320,148,255,231.659,25.075
G21,5320,49,244,150.144,50.471,5320,49,241,148.339,48.992,5320,119,255,225.811,27.526
G22,5320,63,255,170.045,54.922,5320,63,234,158.534,50.068,5320,76,252,179.213,54.623
G23,5320,171,255,224.555,21.443,5320,130,245,202.908,18.155,5320,130,255,215.966,27.004
G24,5320,187,255,233.397,16.607,5320,156,245,216.086,18.475,5320,156,255,228.365,25.272
G25,5320,49,255,215.589,42.064,5320,41,244,183.741,41.440,5320,41,255,185.692,43.414
G26,5320,64,246,168.209,38.946,5320,45,164,88.667,21.983,5320,45,164,88.667,21.983
G27,5320,31,129,106.263,20.134,5320,31,129,106.263,20.134,5320,83,255,230.893,35.300
G28,5320,66,141,122.964,14.744,5320,66,141,122.964,14.744,5320,115,255,241.145,21.901
G29,5320,0,89,17.822,23.069,5320,0,89,17.822,23.069,5320,126,255,226.114,29.999
G30,5320,0,120,34.783,28.246,5320,0,120,34.783,28.246,5320,110,255,215.329,39.437
G31,5320,38,173,78.251,25.240,5320,38,173,78.241,25.244,5320,51,242,127.395,43.843
G32,5320,45,255,185.955,55.945,5320,0,254,101.822,87.217,5320,0,255,117.133,102.201
G33,5320,39,255,205.205,46.441,5320,0,254,169.026,74.938,5320,0,254,172.738,77.306
G34,5320,68,255,209.256,43.131,5320,65,227,189.627,32.084,5320,65,227,190.266,32.188
G35,5320,67,255,169.431,51.584,5320,43,213,129.501,46.404,5320,43,213,129.501,46.404
G36,5320,44,189,130.858,23.775,5320,44,180,130.838,23.738,5320,83,255,224.449,35.920
G37,5320,66,209,147.152,32.448,5320,66,209,147.152,32.448,5320,115,255,224.831,32.892
G38,5320,0,195,65.558,65.737,5320,0,195,65.558,65.737,5320,124,255,199.755,40.672
G39,5320,0,120,26.462,37.589,5320,0,120,26.462,37.589,5320,79,255,190.691,36.251
G40,5320,43,171,118.227,33.621,5320,43,171,118.227,33.621,5320,63,255,189.158,51.530
G41,5320,28,255,125.035,48.941,5320,0,222,109.939,52.176,5320,0,255,143.386,73.880
G42,5320,50,240,183.631,31.650,5320,0,228,177.881,28.164,5320,0,255,187.015,27.917
G43,5320,147,255,227.682,20.472,5320,90,218,181.399,23.817,5320,90,218,181.399,23.817
G44,5320,43,255,150.069,55.266,5320,28,216,118.252,50.075,5320,28,216,119.086,50.369
G45,5320,7,255,160.466,55.580,5320,7,251,157.746,53.550,5320,9,255,185.925,55.154
G46,5320,125,255,213.338,28.211,5320,125,250,198.788,26.649,5320,142,255,217.901,30.552
G47,5320,29,255,204.453,47.731,5320,29,246,185.861,40.474,5320,98,255,226.724,32.832
G48,5320,2,245,156.805,66.136,5320,2,234,150.188,63.589,5320,47,255,202.415,46.038
G49,5320,106,240,177.874,32.709,5320,106,238,177.723,32.468,5320,153,255,239.752,20.752
G50,5320,102,254,181.064,31.142,5320,102,252,180.664,30.528,5320,171,255,243.230,13.129
G51,5320,88,255,196.323,39.944,5320,58,246,153.424,43.454,5320,58,255,154.434,44.799
G52,5320,99,255,184.920,37.573,5320,48,179,99.950,35.347,5320,48,179,99.950,35.347
G53,5320,42,255,213.536,52.460,5320,13,100,62.550,19.890,5320,13,100,62.584,19.876
G54,5320,145,255,237.536,23.915,5320,102,250,202.510,34.112,5320,102,250,205.727,32.873
G55,5320,162,255,235.619,24.889,5320,18,193,113.064,36.874,5320,18,193,113.064,36.874
G56,5320,60,255,229.818,44.937,5320,3,180,84.013,42.273,5320,3,180,84.013,42.273
G57,5320,79,255,213.306,46.438,5320,23,235,111.669,52.431,5320,23,235,111.672,52.438
G58,5320,193,255,245.373,9.707,5320,137,250,210.615,25.198,5320,137,253,212.242,26.649
G59,5320,179,255,237.640,18.303,5320,179,253,231.459,15.652,5320,196,255,239.878,8.290
G60,5320,118,255,211.267,34.961,5320,75,243,169.082,40.298,5320,75,244,169.084,40.302
G61,5320,85,250,167.011,29.996,5320,39,174,96.667,30.800,5320,39,174,96.667,30.800
G62,5320,40,255,181.290,54.868,5320,0,120,43.404,25.656,5320,0,120,43.404,25.656
G63,5320,41,255,186.578,49.423,5320,0,222,43.480,41.383,5320,0,250,44.072,43.544
G64,5320,39,255,206.159,49.193,5320,0,68,38.415,18.523,5320,0,68,38.415,18.523
G65,5320,88,255,208.463,33.485,5320,19,171,104.953,32.907,5320,19,171,104.962,32.918
G66,5320,54,252,150.406,29.992,5320,54,227,145.690,23.435,5320,78,255,185.642,38.204
G67,5320,43,247,181.604,46.732,5320,43,247,181.057,46.344,5320,54,255,216.128,29.086
G68,5320,156,255,224.918,18.799,5320,119,236,186.670,26.945,5320,119,244,187.394,28.082
G69,5320,143,255,246.471,16.544,5320,88,178,144.370,16.059,5320,88,178,144.370,16.059
G70,5320,23,255,186.029,61.081,5320,23,188,124.366,35.038,5320,36,230,132.520,33.951
G71,5320,137,255,228.231,24.488,5320,40,218,105.025,40.582,5320,40,223,105.741,42.161
G72,5320,181,255,246.967,11.880,5320,10,203,74.817,42.294,5320,10,203,74.817,42.294
G73,5320,110,255,231.527,23.882,5320,19,239,96.046,45.579,5320,19,249,96.111,45.768
G74,5320,20,240,135.389,46.599,5320,20,239,132.267,43.792,5320,35,255,173.081,52.000
G75,5320,26,214,125.976,38.746,5320,26,214,125.976,38.746,5320,46,255,196.873,48.606
G76,5320,92,255,192.032,46.249,5320,92,252,180.491,35.781,5320,129,254,200.505,26.907
G77,5320,55,255,214.049,38.625,5320,51,238,163.333,32.891,5320,51,239,163.708,33.246
G78,5320,0,253,170.886,56.807,5320,0,250,169.836,55.751,5320,0,255,198.241,59.065
G79,5320,149,255,231.995,21.141,5320,128,249,202.994,30.975,5320,128,255,207.192,33.318
G80,5320,102,255,236.259,23.385,5320,73,248,154.917,46.727,5320,73,249,154.957,46.788
G81,5320,105,230,170.721,27.458,5320,105,230,169.507,27.316,5320,117,255,218.326,25.954
G82,5320,54,156,117.850,25.929,5320,54,156,117.850,25.929,5320,162,255,230.394,26.227
G83,5320,15,235,67.998,43.313,5320,15,233,67.980,43.248,5320,88,255,223.061,36.469
G84,5320,31,247,163.279,34.382,5320,31,221,143.605,29.377,5320,48,234,161.824,36.468
G85,5320,126,202,178.158,13.075,5320,126,202,178.158,13.075,5320,145,255,214.281,21.730
G86,5320,97,233,172.613,26.663,5320,97,230,172.573,26.611,5320,117,250,196.652,27.808
G87,5320,144,255,216.476,22.914,5320,144,252,212.057,23.423,5320,166,255,228.761,25.346
G88,5320,154,255,230.584,20.611,5320,154,253,229.300,20.406,5320,170,255,238.436,16.805
G89,5320,95,237,170.573,31.956,5320,95,237,170.573,31.956,5320,164,255,243.169,17.510
G90,5320,11,149,93.445,42.180,5320,11,149,93.445,42.180,5320,47,248,172.190,55.691
G91,5320,28,255,125.133,61.898,5320,28,255,120.355,55.774,5320,32,255,140.001,52.835
G92,5320,36,230,157.431,52.136,5320,0,58,5.530,10.507,5320,0,58,5.530,10.507
G93,5320,79,255,204.858,35.312,5320,0,86,10.075,16.121,5320,0,86,10.075,16.121
G94,5320,144,255,220.230,22.055,5320,11,182,116.296,48.080,5320,11,182,116.296,48.080
G95,5320,77,255,196.220,58.536,5320,51,186,135.976,34.783,5320,51,186,135.976,34.783
G96,5320,117,244,155.616,26.585,5320,117,229,155.257,26.091,5320,126,255,234.994,21.067
G97,5320,10,255,157.702,54.390,5320,10,225,140.110,53.226,5320,19,255,197.436,57.210
G98,5320,31,255,166.071,56.329,5320,31,234,135.690,40.401,5320,49,255,172.082,51.910
G99,5320,37,253,132.076,30.425,5320,37,218,131.485,29.815,5320,43,255,206.103,44.831
G100,5320,35,248,180.875,33.024,5320,35,248,180.787,32.963,5320,50,255,220.825,32.852
