Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,199,255,242.496,9.895,5320,54,191,108.757,26.473,5320,54,191,108.757,26.473
G2,5320,73,255,217.564,49.781,5320,25,142,79.861,24.837,5320,25,142,79.861,24.837
G3,5320,51,255,222.425,48.190,5320,21,152,112.123,30.355,5320,21,152,112.123,30.355
G4,5320,42,255,168.500,50.829,5320,10,204,80.170,36.843,5320,10,239,82.461,41.200
G5,5320,53,255,218.968,41.461,5320,19,207,126.880,28.682,5320,19,241,134.956,38.118
G6,5320,108,239,172.769,27.879,5320,67,144,94.361,15.893,5320,67,144,94.361,15.893
G7,5320,63,244,189.326,34.824,5320,39,145,104.196,19.278,5320,39,145,104.196,19.278
G8,5320,52,255,185.383,55.304,5320,30,156,87.351,25.639,5320,30,156,87.351,25.639
G9,5320,60,255,176.134,46.005,5320,0,186,76.859,43.747,5320,0,186,76.859,43.747
G10,5320,126,255,226.269,33.680,5320,125,237,191.800,24.064,5320,135,237,197.975,21.562
G11,5320,116,255,228.685,23.675,5320,59,191,161.972,23.555,5320,59,191,161.972,23.555
G12,5320,144,255,232.497,25.233,5320,71,169,134.047,22.521,5320,71,169,134.047,22.521
G13,5320,41,255,164.930,52.029,5320,13,167,103.612,36.759,5320,13,222,106.284,40.073
G14,5320,57,255,202.877,38.899,5320,32,191,128.102,30.534,5320,32,191,128.102,30.534
G15,5320,51,255,189.695,47.165,5320,28,220,128.785,48.542,5320,28,220,128.785,48.542
G16,5320,127,255,224.986,26.651,5320,78,250,160.737,37.580,5320,78,250,160.737,37.580
G17,5320,61,239,164.025,46.199,5320,0,175,67.298,41.619,5320,0,175,67.298,41.619
G18,5320,27,196,125.937,37.386,5320,27,196,125.937,37.386,5320,72,253,205.875,37.995
G19,5320,83,255,170.342,39.679,5320,83,246,166.892,36.877,5320,89,251,193.334,36.508
G20,5320,131,255,214.030,17.698,5320,121,239,162.612,21.650,5320,121,239,162.612,21.650
G21,5320,123,255,203.097,27.218,5320,96,224,150.025,23.938,5320,96,224,150.034,23.926
G22,5320,48,216,125.026,29.325,5320,48,199,111.154,20.019,5320,53,199,114.534,20.820
G23,5320,50,255,203.247,49.112,5320,50,239,172.436,41.434,5320,53,239,172.596,41.229
G24,5320,210,255,245.755,9.590,5320,163,239,214.000,15.196,5320,163,239,214.000,15.196
G25,5320,51,255,215.346,45.609,5320,43,248,189.329,47.958,5320,43,248,189.329,47.958
G26,5320,65,244,167.471,38.142,5320,47,179,94.925,23.482,5320,47,179,94.925,23.482
G27,5320,28,194,143.310,33.539,5320,28,194,143.310,33.539,5320,74,255,227.013,36.553
G28,5320,106,253,191.682,22.929,5320,106,244,191.490,22.579,5320,115,255,226.495,30.248
G29,5320,124,255,230.356,28.747,5320,98,246,198.268,33.939,5320,98,246,198.523,34.034
G30,5320,184,255,243.940,13.160,5320,123,238,213.525,23.173,5320,123,238,213.525,23.173
G31,5320,62,255,179.724,50.263,5320,58,232,165.048,44.781,5320,58,232,165.242,44.451
G32,5320,33,255,158.435,70.703,5320,0,238,132.609,66.459,5320,0,238,132.609,66.459
G33,5320,51,255,200.281,51.068,5320,0,232,132.906,69.452,5320,0,232,132.906,69.452
G34,5320,71,255,211.199,47.044,5320,61,210,170.125,35.809,5320,61,210,170.125,35.809
G35,5320,64,255,170.805,50.157,5320,49,209,128.971,41.479,5320,49,209,128.971,41.479
G36,5320,68,254,196.560,33.829,5320,68,254,196.555,33.823,5320,89,255,227.480,34.340
G37,5320,107,255,207.608,34.973,5320,107,252,204.555,31.893,5320,120,255,226.358,25.036
G38,5320,93,255,225.455,33.114,5320,44,244,162.602,50.780,5320,44,246,162.647,50.848
G39,5320,167,255,222.943,21.068,5320,77,216,133.956,28.558,5320,77,216,133.956,28.558
G40,5320,121,255,214.057,27.289,5320,66,232,167.073,37.856,5320,66,232,167.073,37.856
G41,5320,106,255,230.875,36.424,5320,81,244,212.477,31.421,5320,81,244,212.500,31.371
G42,5320,43,249,185.876,41.282,5320,32,224,159.700,30.221,5320,32,224,159.758,30.186
G43,5320,123,255,226.545,25.029,5320,67,195,154.589,22.712,5320,67,195,154.589,22.712
G44,5320,44,255,149.547,57.207,5320,28,212,113.924,50.987,5320,28,212,114.701,51.166
G45,5320,28,255,185.015,54.821,5320,28,249,179.508,52.248,5320,28,255,185.769,53.578
G46,5320,159,255,233.314,24.300,5320,152,252,198.835,23.749,5320,152,253,200.941,24.131
G47,5320,128,255,217.921,39.233,5320,36,218,131.811,52.058,5320,36,218,131.811,52.058
G48,5320,133,255,212.147,29.816,5320,24,162,68.539,30.818,5320,24,162,68.539,30.818
G49,5320,206,255,250.720,5.677,5320,74,179,126.223,21.797,5320,74,179,126.223,21.797
G50,5320,105,255,234.413,27.673,5320,63,225,135.345,29.161,5320,63,225,135.345,29.161
G51,5320,93,255,222.871,28.927,5320,33,173,114.127,23.148,5320,33,173,114.127,23.148
G52,5320,97,253,182.833,40.364,5320,32,139,69.464,28.834,5320,32,139,69.464,28.834
G53,5320,37,255,214.205,54.401,5320,3,128,50.320,20.150,5320,3,167,50.398,20.352
G54,5320,135,255,237.539,24.699,5320,135,250,211.830,28.195,5320,139,250,215.079,25.513
G55,5320,189,255,239.021,19.865,5320,99,185,140.373,18.294,5320,99,185,140.373,18.294
G56,5320,41,255,218.408,42.345,5320,19,210,118.005,34.163,5320,19,210,118.005,34.163
G57,5320,47,255,179.247,46.966,5320,10,223,126.967,67.157,5320,10,223,127.018,67.209
G58,5320,152,255,215.512,29.865,5320,95,247,189.784,32.685,5320,95,255,198.830,37.566
G59,5320,31,255,200.048,43.301,5320,26,251,167.136,48.602,5320,26,255,178.648,59.005
G60,5320,36,249,178.272,48.240,5320,16,153,102.093,35.206,5320,16,153,102.093,35.206
G61,5320,91,244,167.316,32.200,5320,26,159,78.530,30.971,5320,26,159,78.530,30.971
G62,5320,40,255,182.336,58.274,5320,0,173,36.365,25.979,5320,0,255,36.691,27.663
G63,5320,42,255,184.859,47.415,5320,26,228,104.557,39.999,5320,26,246,104.990,40.975
G64,5320,116,255,215.302,30.636,5320,52,210,135.549,39.622,5320,52,210,135.549,39.622
G65,5320,137,255,210.068,22.290,5320,137,238,199.519,17.056,5320,143,253,203.675,17.533
G66,5320,138,233,192.027,21.645,5320,138,232,192.025,21.641,5320,160,255,223.633,27.752
G67,5320,46,249,197.220,32.349,5320,46,249,191.820,33.280,5320,51,255,215.337,37.434
G68,5320,143,255,222.485,20.223,5320,93,241,169.913,30.482,5320,93,247,170.531,31.619
G69,5320,149,255,245.752,15.516,5320,97,170,137.348,12.646,5320,97,170,137.348,12.646
G70,5320,21,255,185.440,60.201,5320,21,185,121.031,34.213,5320,36,251,130.657,35.378
G71,5320,136,255,225.998,26.476,5320,127,238,165.884,17.166,5320,127,246,168.020,19.705
