Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,205,255,243.539,9.346,5320,48,183,95.709,25.793,5320,48,183,95.709,25.793
G2,5320,71,255,217.267,46.744,5320,1,123,55.969,28.187,5320,1,123,55.969,28.187
G3,5320,54,255,224.454,45.973,5320,9,140,96.840,30.473,5320,9,140,96.840,30.473
G4,5320,54,255,178.793,51.375,5320,1,103,52.053,26.732,5320,1,103,52.053,26.732
G5,5320,38,255,230.012,30.379,5320,7,173,99.764,29.352,5320,7,173,99.764,29.352
G6,5320,111,239,169.787,30.993,5320,53,166,89.386,19.715,5320,53,166,89.386,19.715
G7,5320,50,251,198.355,39.732,5320,24,144,97.698,24.280,5320,24,144,97.698,24.280
G8,5320,52,255,185.530,56.821,5320,29,94,61.313,13.385,5320,29,94,61.313,13.385
G9,5320,60,255,178.580,45.032,5320,0,176,66.886,44.841,5320,0,176,66.886,44.841
G10,5320,134,255,232.317,30.329,5320,124,213,179.470,19.707,5320,124,232,183.347,21.432
G11,5320,181,255,231.704,19.558,5320,58,230,156.024,41.976,5320,58,230,156.024,41.976
G12,5320,104,255,226.995,26.487,5320,30,222,135.462,38.922,5320,30,222,135.462,38.922
G13,5320,37,251,126.944,52.925,5320,14,222,93.583,41.360,5320,14,255,140.158,73.296
G14,5320,52,253,179.253,50.960,5320,28,235,139.717,41.503,5320,28,255,166.333,55.505
G15,5320,49,255,191.603,38.535,5320,23,182,89.898,37.324,5320,23,182,89.898,37.324
G16,5320,174,255,229.377,21.521,5320,45,171,87.223,29.558,5320,45,171,87.223,29.558
G17,5320,60,240,164.234,47.897,5320,0,142,53.098,35.488,5320,0,142,53.098,35.488
G18,5320,32,212,132.537,38.172,5320,32,212,132.537,38.172,5320,60,255,214.077,35.686
G19,5320,85,255,205.634,40.963,5320,85,253,197.705,37.586,5320,111,255,213.436,31.472
G20,5320,151,255,234.847,22.417,5320,141,249,223.980,20.783,5320,141,249,223.980,20.783
G21,5320,153,255,233.020,27.984,5320,133,253,218.505,28.013,5320,133,253,218.505,28.013
G22,5320,41,255,152.738,58.999,5320,41,228,138.557,49.908,5320,53,231,149.344,46.436
G23,5320,62,255,181.738,56.822,5320,49,242,167.058,53.919,5320,49,245,178.670,52.669
G24,5320,201,255,246.351,12.925,5320,132,232,199.400,19.788,5320,132,232,199.400,19.788
G25,5320,49,255,218.072,42.690,5320,33,214,154.989,36.541,5320,33,214,154.989,36.541
G26,5320,61,245,168.007,38.556,5320,40,145,79.382,19.063,5320,40,145,79.382,19.063
G27,5320,35,222,158.890,49.829,5320,35,222,158.890,49.829,5320,79,255,215.967,47.555
G28,5320,89,255,226.052,25.783,5320,89,252,220.758,25.057,5320,121,255,235.814,25.179
G29,5320,145,255,212.064,32.826,5320,132,245,184.836,29.184,5320,132,245,184.836,29.184
G30,5320,136,255,208.102,36.484,5320,18,196,148.776,26.528,5320,18,196,148.776,26.528
G31,5320,125,255,205.008,38.393,5320,0,187,83.656,54.587,5320,0,187,83.656,54.587
G32,5320,49,255,193.215,53.672,5320,0,192,70.055,37.636,5320,0,192,70.057,37.637
G33,5320,62,255,175.728,58.021,5320,18,198,94.007,53.406,5320,18,198,94.007,53.406
G34,5320,71,255,212.879,45.571,5320,36,175,128.136,32.568,5320,36,175,128.136,32.568
G35,5320,67,255,167.615,51.777,5320,38,180,110.441,36.629,5320,38,180,110.441,36.629
G36,5320,101,255,220.049,25.066,5320,89,249,187.677,34.690,5320,90,255,198.096,44.226
G37,5320,112,255,219.162,31.042,5320,111,246,200.579,22.897,5320,115,255,207.460,26.289
G38,5320,223,255,252.536,5.230,5320,90,215,167.258,30.704,5320,90,215,167.258,30.704
G39,5320,184,255,250.233,11.527,5320,5,175,106.475,36.859,5320,5,175,106.475,36.859
G40,5320,99,255,204.838,37.061,5320,0,58,3.529,9.976,5320,0,58,3.529,9.976
G41,5320,95,255,194.769,35.996,5320,0,154,45.217,44.578,5320,0,154,45.217,44.578
G42,5320,75,252,198.470,45.070,5320,32,151,104.603,28.457,5320,32,151,104.603,28.457
G43,5320,131,255,223.694,24.387,5320,43,138,104.737,16.448,5320,43,138,104.737,16.448
G44,5320,46,255,147.131,51.654,5320,20,186,96.234,43.521,5320,20,186,96.356,43.515
G45,5320,13,255,179.938,55.788,5320,10,231,149.507,46.196,5320,10,231,149.507,46.196
G46,5320,170,255,234.503,22.629,5320,114,217,161.220,21.821,5320,114,217,161.221,21.823
G47,5320,220,255,250.901,6.099,5320,48,152,97.470,28.430,5320,48,152,97.470,28.430
G48,5320,164,255,232.769,23.202,5320,49,158,83.141,24.493,5320,49,158,83.141,24.493
G49,5320,168,255,232.689,24.842,5320,11,187,98.395,41.542,5320,11,187,98.418,41.570
G50,5320,124,255,221.577,35.147,5320,5,175,60.607,42.225,5320,5,187,60.702,42.471
G51,5320,99,255,224.351,29.120,5320,4,128,55.219,22.066,5320,4,128,55.219,22.066
G52,5320,104,253,183.618,37.111,5320,4,83,33.306,20.740,5320,4,83,33.306,20.740
G53,5320,41,255,212.807,55.018,5320,0,175,36.744,20.602,5320,0,185,36.779,20.668
G54,5320,156,255,237.046,22.306,5320,116,240,199.686,28.599,5320,116,240,202.364,27.739
G55,5320,187,255,237.989,19.822,5320,89,171,117.647,12.841,5320,89,171,117.647,12.841
G56,5320,221,255,251.886,7.096,5320,56,124,89.738,12.883,5320,56,124,89.738,12.883
G57,5320,161,255,235.172,22.957,5320,57,212,112.298,36.795,5320,57,213,113.252,38.371
G58,5320,99,255,172.627,43.710,5320,99,230,162.061,34.443,5320,136,255,212.400,26.380
G59,5320,27,255,151.777,50.840,5320,17,206,109.176,38.507,5320,17,255,161.113,74.019
G60,5320,37,248,176.664,46.918,5320,8,142,79.172,41.576,5320,8,142,79.172,41.576
G61,5320,86,246,163.953,30.999,5320,12,154,64.344,34.557,5320,12,154,64.344,34.557
G62,5320,42,255,183.393,58.083,5320,0,174,28.925,27.705,5320,0,255,29.117,28.652
G63,5320,25,255,184.749,49.724,5320,16,234,107.659,50.174,5320,16,246,107.974,50.725
G64,5320,83,255,200.458,39.346,5320,29,250,115.629,61.693,5320,29,252,115.981,62.299
G65,5320,86,243,197.248,33.867,5320,86,237,181.516,38.826,5320,87,252,210.106,38.296
G66,5320,19,187,89.594,37.644,5320,19,187,89.592,37.641,5320,84,255,197.814,39.484
G67,5320,26,226,137.921,58.883,5320,26,226,134.376,56.106,5320,53,255,217.792,37.313
G68,5320,155,255,218.080,22.480,5320,97,232,171.323,30.284,5320,97,253,177.365,36.134
G69,5320,154,255,245.319,15.594,5320,97,184,141.522,11.285,5320,97,184,141.522,11.285
G70,5320,19,255,188.383,55.901,5320,19,185,124.539,31.414,5320,33,253,131.519,35.950
G71,5320,101,255,221.683,34.265,5320,101,238,194.197,23.603,5320,136,249,202.295,19.392
G72,5320,66,253,207.491,41.865,5320,66,250,205.830,40.820,5320,213,255,245.605,9.742
G73,5320,0,213,75.509,59.681,5320,0,211,75.471,59.603,5320,149,255,235.643,17.831
G74,5320,0,83,20.828,19.736,5320,0,83,20.828,19.736,5320,72,255,180.301,54.722
G75,5320,9,174,48.651,29.532,5320,9,174,48.651,29.532,5320,65,250,186.640,42.375
G76,5320,32,255,156.804,67.345,5320,32,236,150.933,60.187,5320,130,255,205.532,30.980
G77,5320,63,255,211.898,38.653,5320,54,225,169.926,32.814,5320,54,242,171.522,33.952
G78,5320,14,196,127.563,45.736,5320,14,196,127.563,45.736,5320,28,255,199.592,58.587
G79,5320,45,212,115.847,38.868,5320,45,212,115.847,38.868,5320,190,255,239.091,14.260
G80,5320,0,87,24.935,26.690,5320,0,87,24.935,26.690,5320,70,255,242.817,22.936
G81,5320,0,35,10.198,9.880,5320,0,35,10.198,9.880,5320,83,255,206.125,41.883
G82,5320,0,56,17.253,18.306,5320,0,56,17.253,18.306,5320,189,255,245.282,11.928
G83,5320,0,204,22.872,41.240,5320,0,204,22.872,41.240,5320,62,255,221.246,42.118
G84,5320,10,237,157.461,42.907,5320,10,199,144.973,33.859,5320,31,235,179.201,32.617
G85,5320,81,159,117.639,18.631,5320,81,159,117.639,18.631,5320,145,255,215.844,21.672
G86,5320,39,123,77.646,18.969,5320,39,123,77.646,18.969,5320,101,252,190.769,31.078
G87,5320,4,186,106.333,27.626,5320,4,186,106.333,27.626,5320,68,255,227.619,23.360
G88,5320,1,139,53.520,35.086,5320,1,139,53.520,35.086,5320,131,255,229.830,25.842
G89,5320,0,116,26.255,31.538,5320,0,116,26.255,31.538,5320,111,255,221.967,28.352
G90,5320,0,124,44.670,42.533,5320,0,124,44.670,42.533,5320,59,255,180.339,51.695
