Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,200,255,243.666,9.463,5320,47,187,99.245,29.261,5320,47,187,99.245,29.261
G2,5320,74,255,215.473,44.503,5320,0,137,49.569,33.043,5320,0,137,49.569,33.043
G3,5320,57,255,222.209,48.035,5320,0,130,84.864,33.635,5320,0,130,84.864,33.635
G4,5320,48,255,176.813,52.488,5320,0,111,25.869,32.549,5320,0,111,25.869,32.549
G5,5320,46,255,235.437,32.402,5320,0,52,13.301,16.400,5320,0,52,13.301,16.400
G6,5320,88,251,179.636,33.152,5320,6,94,40.776,14.694,5320,6,94,40.776,14.694
G7,5320,36,255,199.799,41.480,5320,9,104,62.092,16.952,5320,9,104,62.092,16.952
G8,5320,56,255,185.776,55.564,5320,31,105,55.380,13.556,5320,31,105,55.380,13.556
G9,5320,58,255,171.227,42.516,5320,0,167,62.793,42.141,5320,0,167,62.793,42.141
G10,5320,114,255,228.034,35.329,5320,113,246,190.309,26.396,5320,122,246,197.296,23.306
G11,5320,144,255,221.168,25.082,5320,62,248,172.220,46.689,5320,62,255,176.517,50.622
G12,5320,95,255,230.498,28.965,5320,11,232,137.266,54.184,5320,11,245,137.915,55.277
G13,5320,30,255,198.619,63.170,5320,0,76,4.207,11.629,5320,0,76,4.207,11.629
G14,5320,53,255,207.349,45.844,5320,0,110,23.673,25.738,5320,0,110,23.673,25.738
G15,5320,61,255,192.811,39.042,5320,17,186,73.073,38.409,5320,17,186,73.073,38.409
G16,5320,155,255,226.886,24.079,5320,45,197,92.765,37.082,5320,45,197,92.765,37.082
G17,5320,60,255,160.125,47.417,5320,0,161,56.863,38.099,5320,0,161,56.863,38.099
G18,5320,26,183,114.036,35.618,5320,26,183,114.036,35.618,5320,66,254,200.973,40.373
G19,5320,84,255,186.811,35.634,5320,84,248,185.608,34.484,5320,132,255,220.790,28.564
G20,5320,170,255,200.206,13.769,5320,170,248,200.067,13.358,5320,202,255,242.718,12.191
G21,5320,173,255,223.015,18.413,5320,80,247,210.702,28.415,5320,80,255,233.854,35.098
G22,5320,44,246,147.343,53.868,5320,0,237,81.591,74.309,5320,0,255,82.439,75.752
G23,5320,38,255,200.270,54.868,5320,0,203,88.944,53.704,5320,0,218,89.436,54.578
G24,5320,180,255,223.840,19.310,5320,111,246,199.962,26.250,5320,111,255,223.245,38.123
G25,5320,49,255,212.611,41.591,5320,41,253,188.793,42.435,5320,41,255,195.003,46.819
G26,5320,63,245,168.155,38.170,5320,46,167,90.392,21.698,5320,46,167,90.392,21.698
G27,5320,34,180,143.823,31.884,5320,34,180,143.823,31.884,5320,83,255,231.882,34.433
G28,5320,96,230,194.664,19.667,5320,96,230,194.664,19.667,5320,117,255,244.148,21.088
G29,5320,130,228,201.203,21.591,5320,130,228,201.203,21.591,5320,141,255,229.961,29.514
G30,5320,96,230,177.681,30.786,5320,96,230,177.681,30.786,5320,122,255,218.127,34.668
G31,5320,84,255,224.181,29.323,5320,84,241,208.924,24.532,5320,90,255,213.690,25.230
G32,5320,33,255,172.227,49.773,5320,33,208,144.995,36.502,5320,40,208,146.539,34.671
