Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,193,255,245.627,11.229,5320,54,187,120.883,27.466,5320,54,187,120.883,27.466
G2,5320,77,255,206.355,52.531,5320,33,184,107.183,31.638,5320,33,184,107.183,31.638
G3,5320,53,255,222.205,48.979,5320,28,173,135.733,30.699,5320,28,173,135.733,30.699
G4,5320,54,255,156.158,47.703,5320,8,149,74.763,32.059,5320,8,149,74.763,32.059
G5,5320,66,255,182.156,47.304,5320,5,190,108.493,46.373,5320,5,190,108.636,46.281
G6,5320,45,254,171.714,46.363,5320,18,226,135.804,38.880,5320,18,235,142.803,42.199
G7,5320,73,255,192.362,34.478,5320,56,229,156.964,33.098,5320,56,233,157.757,34.277
G8,5320,52,255,190.217,53.449,5320,36,143,98.599,25.822,5320,36,143,98.599,25.822
G9,5320,55,255,170.182,40.159,5320,0,180,72.282,42.721,5320,0,180,72.282,42.721
G10,5320,133,255,232.437,30.649,5320,131,225,187.429,17.541,5320,136,225,190.481,15.892
G11,5320,187,255,238.566,13.540,5320,132,233,192.207,21.600,5320,132,233,192.207,21.600
G12,5320,36,255,220.795,45.997,5320,14,242,171.374,58.890,5320,14,243,171.412,58.926
G13,5320,44,239,163.324,53.937,5320,30,233,148.924,59.541,5320,30,255,178.713,66.451
G14,5320,39,210,121.637,42.353,5320,39,210,121.637,42.353,5320,66,255,191.256,51.875
G15,5320,45,255,194.558,40.695,5320,42,248,158.866,50.874,5320,42,255,165.348,58.015
G16,5320,163,255,231.074,21.314,5320,69,201,136.617,23.829,5320,69,201,136.617,23.829
G17,5320,62,251,158.968,45.143,5320,0,169,65.685,39.452,5320,0,169,65.685,39.452
G18,5320,30,202,131.463,37.840,5320,30,202,131.463,37.840,5320,66,254,201.695,38.179
G19,5320,95,255,205.198,36.357,5320,95,251,200.202,34.654,5320,122,255,217.216,31.629
G20,5320,181,255,238.059,17.545,5320,168,253,225.558,17.689,5320,168,255,227.320,18.702
G21,5320,158,255,229.329,23.563,5320,158,253,224.092,20.916,5320,190,255,245.998,12.569
G22,5320,23,221,119.371,51.374,5320,23,221,119.361,51.356,5320,61,255,190.559,48.659
G23,5320,19,237,107.077,53.706,5320,19,236,106.151,53.114,5320,36,255,202.577,56.364
G24,5320,50,255,227.409,38.323,5320,44,246,204.946,31.037,5320,44,248,219.619,24.634
G25,5320,50,255,216.642,42.762,5320,40,233,177.905,40.406,5320,40,233,177.905,40.406
G26,5320,65,248,168.200,38.321,5320,43,173,90.299,22.606,5320,43,173,90.299,22.606
G27,5320,33,193,148.298,31.199,5320,33,193,148.298,31.199,5320,74,255,228.805,34.637
G28,5320,105,253,208.250,24.551,5320,105,253,207.901,24.332,5320,118,255,240.759,21.512
G29,5320,94,254,212.670,32.609,5320,94,254,209.266,34.120,5320,101,255,212.859,36.087
G30,5320,83,252,167.780,39.432,5320,83,237,167.185,38.415,5320,92,255,210.073,39.983
G31,5320,96,255,194.164,47.513,5320,96,249,189.623,43.070,5320,157,255,235.673,18.707
G32,5320,59,255,226.491,29.549,5320,50,247,195.777,37.187,5320,50,255,197.219,38.874
G33,5320,52,255,161.348,51.002,5320,35,191,91.729,41.116,5320,35,191,91.732,41.114
G34,5320,77,255,211.245,44.762,5320,56,199,147.741,38.725,5320,56,199,147.741,38.725
G35,5320,64,255,169.446,50.418,5320,43,194,119.330,39.084,5320,43,194,119.330,39.084
G36,5320,63,222,153.096,39.751,5320,63,222,153.095,39.749,5320,97,255,228.559,30.433
G37,5320,102,255,204.373,40.223,5320,102,253,200.084,36.682,5320,116,255,222.024,30.167
G38,5320,180,255,243.237,15.077,5320,112,247,204.588,29.962,5320,112,247,204.590,29.962
G39,5320,197,255,248.964,9.320,5320,87,241,185.098,37.567,5320,87,244,185.274,37.809
G40,5320,190,255,244.500,11.688,5320,102,217,147.465,26.557,5320,102,221,147.507,26.649
G41,5320,74,255,202.629,46.487,5320,63,217,160.732,36.951,5320,63,217,160.732,36.951
G42,5320,68,248,189.729,39.099,5320,33,191,139.880,26.670,5320,33,191,139.880,26.670
G43,5320,134,255,226.369,23.767,5320,60,171,130.263,20.038,5320,60,171,130.263,20.038
G44,5320,45,255,149.890,53.440,5320,24,198,104.112,45.476,5320,24,198,104.203,45.451
G45,5320,11,255,171.501,52.430,5320,11,248,165.387,48.850,5320,13,255,181.653,53.555
G46,5320,149,255,231.897,25.229,5320,116,251,185.041,24.642,5320,116,252,186.968,25.703
G47,5320,220,255,250.017,6.021,5320,3,191,118.541,44.985,5320,3,191,118.541,44.985
G48,5320,184,255,235.564,17.243,5320,0,109,34.843,27.388,5320,0,109,34.843,27.388
G49,5320,65,255,226.833,43.109,5320,30,139,74.934,23.584,5320,30,139,74.934,23.584
G50,5320,57,255,207.244,45.211,5320,0,191,49.434,54.178,5320,0,191,49.434,54.178
G51,5320,99,255,223.294,27.471,5320,18,133,52.839,27.657,5320,18,133,52.839,27.657
G52,5320,97,255,183.782,39.675,5320,20,109,49.864,22.353,5320,20,109,49.864,22.353
G53,5320,43,255,212.430,55.418,5320,0,78,41.524,20.360,5320,0,78,41.543,20.370
G54,5320,134,255,237.672,24.529,5320,134,250,211.270,28.707,5320,142,250,214.420,26.026
G55,5320,153,255,235.743,25.896,5320,92,193,135.175,17.751,5320,92,193,135.175,17.751
G56,5320,82,255,240.908,32.547,5320,11,155,97.627,28.682,5320,11,155,97.627,28.682
G57,5320,64,255,190.718,43.004,5320,0,227,76.542,64.428,5320,0,227,76.558,64.460
G58,5320,70,255,185.541,48.381,5320,40,231,140.109,62.898,5320,40,231,140.121,62.912
G59,5320,47,249,167.456,58.785,5320,0,215,95.107,63.130,5320,0,215,95.107,63.130
G60,5320,41,248,176.519,49.455,5320,7,149,81.003,44.439,5320,7,149,81.003,44.439
G61,5320,92,251,167.362,32.697,5320,20,154,70.378,32.057,5320,20,154,70.378,32.057
G62,5320,39,255,185.982,55.813,5320,0,110,33.515,27.339,5320,0,110,33.515,27.339
G63,5320,40,255,183.421,47.773,5320,25,219,105.113,40.878,5320,25,243,105.792,42.322
G64,5320,82,255,198.700,40.994,5320,40,245,134.192,52.663,5320,40,248,134.258,52.773
G65,5320,107,253,212.509,37.071,5320,98,252,205.448,36.851,5320,98,255,229.817,25.871
G66,5320,0,255,176.355,69.921,5320,0,252,173.362,67.604,5320,58,255,217.509,24.959
G67,5320,0,255,203.153,67.991,5320,0,249,190.626,64.187,5320,93,255,218.709,29.781
