Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,225,255,245.133,8.001,5320,55,188,98.680,28.299,5320,55,188,98.680,28.299
G2,5320,58,255,198.595,56.197,5320,13,137,68.381,27.224,5320,13,137,68.381,27.224
G3,5320,53,255,223.925,47.039,5320,20,140,100.120,27.060,5320,20,140,100.120,27.060
G4,5320,32,243,150.105,39.398,5320,0,219,79.646,47.986,5320,0,255,84.584,58.639
G5,5320,61,239,165.448,46.476,5320,0,230,45.268,68.957,5320,0,255,48.545,76.497
G6,5320,61,255,215.757,37.391,5320,0,100,22.397,30.797,5320,0,100,22.397,30.797
G7,5320,40,255,192.224,43.282,5320,18,100,74.617,14.815,5320,18,100,74.617,14.815
G8,5320,55,255,186.282,56.285,5320,29,101,70.790,18.431,5320,29,101,70.790,18.431
G9,5320,57,252,177.081,42.913,5320,0,179,72.432,45.703,5320,0,179,72.432,45.703
G10,5320,133,255,232.294,31.394,5320,132,233,188.192,22.672,5320,134,234,192.785,22.263
G11,5320,130,255,217.627,27.899,5320,74,234,159.648,34.546,5320,74,252,164.342,38.141
G12,5320,30,255,230.784,31.166,5320,9,232,126.609,43.651,5320,9,255,126.825,44.015
G13,5320,38,255,180.151,55.239,5320,9,226,121.061,61.492,5320,9,255,127.805,69.378
G14,5320,40,247,145.997,58.561,5320,24,227,110.522,52.009,5320,24,227,110.804,52.003
G15,5320,66,255,205.118,33.452,5320,28,241,131.066,48.856,5320,28,241,131.120,48.907
G16,5320,171,255,230.337,21.895,5320,58,227,122.842,36.367,5320,58,227,122.980,36.675
G17,5320,59,241,170.538,47.340,5320,0,183,65.290,44.083,5320,0,183,65.290,44.083
G18,5320,29,186,119.572,35.812,5320,29,186,119.572,35.812,5320,64,250,205.494,34.107
G19,5320,93,254,193.994,33.443,5320,93,237,191.449,31.168,5320,134,255,219.155,27.596
G20,5320,125,253,188.162,20.181,5320,125,241,187.767,19.203,5320,166,255,235.272,17.964
