Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,80,255,209.139,35.759,5320,80,247,196.143,28.806,5320,141,255,223.732,20.533
G2,5320,42,255,205.086,40.383,5320,42,254,202.285,38.137,5320,170,255,238.435,18.683
G3,5320,157,255,225.089,25.476,5320,148,254,217.723,26.523,5320,148,255,218.279,26.885
G4,5320,0,244,79.100,68.301,5320,0,244,79.079,68.258,5320,93,255,220.144,30.517
G5,5320,0,172,55.374,46.514,5320,0,168,54.908,45.739,5320,51,248,170.811,45.140
G6,5320,0,178,102.850,49.110,5320,0,177,94.867,50.222,5320,33,255,188.236,72.759
G7,5320,62,255,165.445,48.338,5320,27,162,101.895,33.244,5320,27,211,102.496,34.203
G8,5320,69,255,217.338,42.798,5320,50,157,117.752,20.529,5320,50,157,117.752,20.529
G9,5320,63,243,180.766,48.632,5320,46,243,172.577,57.348,5320,46,255,181.898,63.413
G10,5320,14,154,101.256,31.376,5320,14,154,101.256,31.376,5320,45,255,208.051,43.029
G11,5320,0,160,98.461,34.671,5320,0,160,98.461,34.671,5320,35,255,216.822,42.943
G12,5320,0,121,17.819,34.348,5320,0,121,17.819,34.348,5320,49,255,212.218,42.199
G13,5320,0,2,0.011,0.112,5320,0,2,0.011,0.112,5320,52,242,184.677,43.230
G14,5320,0,138,4.323,17.616,5320,0,138,4.323,17.616,5320,89,255,223.268,25.122
G15,5320,0,255,167.582,74.766,5320,0,249,158.268,70.377,5320,45,255,198.737,52.234
G16,5320,133,255,193.495,26.234,5320,92,218,147.511,24.459,5320,92,218,147.511,24.459
G17,5320,38,255,154.152,40.790,5320,38,224,134.064,34.904,5320,43,224,139.379,38.174
G18,5320,0,70,20.980,16.322,5320,0,70,20.980,16.322,5320,64,255,223.829,38.854
G19,5320,0,133,92.330,38.734,5320,0,133,92.330,38.734,5320,69,255,223.355,38.723
G20,5320,63,135,115.341,14.775,5320,63,135,115.341,14.775,5320,209,255,250.498,8.471
G21,5320,0,117,38.593,40.706,5320,0,117,38.593,40.706,5320,45,255,193.072,49.200
G22,5320,0,4,0.001,0.063,5320,0,4,0.001,0.063,5320,75,255,176.954,35.897
G23,5320,0,226,59.723,63.516,5320,0,226,59.374,62.915,5320,47,255,171.476,36.701
G24,5320,7,255,232.530,33.707,5320,7,245,211.562,28.940,5320,99,255,218.467,24.122
G25,5320,64,255,227.967,31.231,5320,56,233,197.276,25.511,5320,56,233,197.276,25.511
G26,5320,51,255,175.658,54.138,5320,44,233,138.806,51.470,5320,44,233,138.806,51.470
G27,5320,41,255,115.608,55.894,5320,0,163,88.658,36.271,5320,0,255,220.284,75.748
G28,5320,32,131,88.334,14.518,5320,32,131,88.334,14.518,5320,109,255,226.824,31.140
G29,5320,0,126,33.996,35.806,5320,0,126,33.996,35.806,5320,97,255,200.170,36.194
G30,5320,0,63,3.388,8.583,5320,0,63,3.388,8.583,5320,65,255,229.035,32.808
G31,5320,0,179,58.194,59.004,5320,0,179,58.194,59.004,5320,175,255,228.820,18.423
G32,5320,9,255,200.040,54.643,5320,9,241,190.422,48.105,5320,157,255,228.037,20.314
G33,5320,48,255,219.937,42.425,5320,43,223,182.601,35.651,5320,43,223,182.607,35.647
G34,5320,38,255,183.926,53.218,5320,31,215,152.011,45.617,5320,31,215,152.011,45.617
G35,5320,59,255,190.858,66.180,5320,37,216,148.386,59.907,5320,37,216,148.386,59.907
G36,5320,34,255,175.631,74.944,5320,0,155,40.023,50.511,5320,0,255,77.782,97.691
G37,5320,50,171,93.345,27.855,5320,50,171,93.345,27.855,5320,128,255,225.027,29.072
G38,5320,13,208,127.184,43.906,5320,13,208,127.184,43.906,5320,67,255,220.518,45.302
G39,5320,12,125,56.196,23.102,5320,12,125,56.196,23.102,5320,63,255,212.939,47.531
G40,5320,60,255,186.399,48.837,5320,14,237,165.138,46.766,5320,14,255,202.181,46.827
G41,5320,35,255,182.546,55.923,5320,0,218,135.728,55.996,5320,0,218,136.383,56.442
G42,5320,53,255,204.323,41.442,5320,46,185,130.489,24.493,5320,46,185,130.489,24.493
G43,5320,109,255,207.190,21.753,5320,93,178,148.450,12.994,5320,93,178,148.450,12.994
G44,5320,47,255,171.285,47.522,5320,32,185,113.742,34.437,5320,32,185,113.742,34.437
G45,5320,55,208,164.569,27.726,5320,55,208,164.351,27.971,5320,70,255,225.339,32.818
G46,5320,41,221,148.521,35.084,5320,41,221,148.521,35.084,5320,87,255,201.342,34.147
G47,5320,54,255,216.361,32.073,5320,54,251,213.535,29.697,5320,128,255,237.002,19.155
G48,5320,44,255,159.127,55.828,5320,44,226,129.297,39.517,5320,90,244,159.604,35.630
G49,5320,126,255,194.203,32.270,5320,0,195,78.391,56.412,5320,0,232,80.573,60.592
G50,5320,89,255,202.899,43.228,5320,0,205,23.184,54.655,5320,0,205,23.184,54.655
G51,5320,21,255,211.320,44.311,5320,0,141,74.906,35.466,5320,0,141,74.906,35.466
G52,5320,110,255,218.142,31.980,5320,33,146,76.698,24.997,5320,33,146,76.698,24.997
G53,5320,107,254,222.725,27.017,5320,44,166,125.049,27.292,5320,44,166,125.049,27.292
G54,5320,110,189,151.051,18.881,5320,109,189,151.030,18.911,5320,116,255,223.319,26.822
G55,5320,74,234,176.036,30.065,5320,74,234,175.842,30.201,5320,76,255,206.334,41.257
G56,5320,78,255,236.153,32.872,5320,75,254,216.158,32.306,5320,76,255,217.864,33.834
G57,5320,106,255,191.344,43.288,5320,68,252,163.339,46.173,5320,68,253,163.360,46.211
G58,5320,110,252,187.545,29.452,5320,30,244,151.578,50.337,5320,30,247,152.298,51.274
G59,5320,56,255,184.342,41.474,5320,0,240,120.137,73.496,5320,0,255,121.791,75.788
G60,5320,37,245,171.477,45.566,5320,0,163,90.654,34.853,5320,0,163,90.655,34.854
G61,5320,46,255,173.617,47.284,5320,10,150,84.336,38.482,5320,10,150,84.336,38.482
G62,5320,82,242,146.274,37.109,5320,39,151,83.678,24.717,5320,39,151,83.678,24.717
G63,5320,39,247,185.261,46.141,5320,39,246,185.218,46.143,5320,93,255,228.431,33.620
G64,5320,80,255,174.232,50.608,5320,0,250,142.984,66.709,5320,0,255,143.778,67.825
G65,5320,132,255,215.713,27.922,5320,0,250,115.399,99.452,5320,0,255,116.320,100.554
G66,5320,58,241,193.806,26.786,5320,0,241,191.072,30.157,5320,0,255,218.803,33.325
G67,5320,53,235,161.278,47.724,5320,51,235,160.889,47.833,5320,52,255,188.545,51.929
G68,5320,71,255,221.630,22.394,5320,59,226,178.027,27.294,5320,59,226,178.028,27.294
G69,5320,203,255,242.916,10.876,5320,99,185,140.181,13.819,5320,99,185,140.181,13.819
G70,5320,47,255,228.844,45.447,5320,0,160,108.873,35.689,5320,0,160,108.873,35.689
G71,5320,42,255,169.671,66.135,5320,42,247,166.894,63.456,5320,77,255,221.023,35.791
G72,5320,80,255,207.060,41.441,5320,0,248,131.348,67.774,5320,0,254,131.410,67.874
G73,5320,129,255,210.906,26.184,5320,0,168,35.922,44.758,5320,0,168,35.922,44.758
G74,5320,89,233,170.836,31.332,5320,0,233,161.723,42.954,5320,0,255,187.930,48.419
G75,5320,79,255,200.893,41.250,5320,79,254,197.629,38.682,5320,98,255,210.268,34.192
G76,5320,160,255,226.355,25.304,5320,141,241,197.644,23.757,5320,141,241,197.772,23.817
G77,5320,172,255,230.795,22.137,5320,97,211,156.715,21.004,5320,97,211,156.715,21.004
G78,5320,40,255,199.362,43.239,5320,40,251,198.528,42.391,5320,88,255,236.453,24.737
G79,5320,164,255,234.471,12.030,5320,99,249,191.497,32.292,5320,99,252,191.536,32.359
G80,5320,162,255,235.605,20.798,5320,95,217,174.957,34.364,5320,95,217,174.957,34.364
G81,5320,113,255,232.763,28.231,5320,113,250,219.984,24.196,5320,133,255,228.486,20.606
G82,5320,123,255,214.836,29.606,5320,123,254,212.580,27.901,5320,144,255,224.466,22.876
G83,5320,149,255,224.581,24.536,5320,134,250,210.644,24.454,5320,134,251,210.724,24.459
G84,5320,54,255,202.721,33.564,5320,36,234,152.655,42.653,5320,36,234,152.655,42.653
