Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,86,255,216.838,30.066,5320,86,252,197.725,24.384,5320,142,255,216.498,23.892
G2,5320,85,255,230.635,27.413,5320,85,239,204.039,21.504,5320,145,255,214.372,22.517
G3,5320,165,255,226.211,26.063,5320,135,245,206.374,27.859,5320,135,245,206.374,27.859
G4,5320,18,255,151.894,57.999,5320,18,250,150.852,57.324,5320,27,255,185.932,54.545
G5,5320,29,255,165.677,57.288,5320,29,235,159.273,51.098,5320,99,255,215.029,33.415
G6,5320,0,202,93.687,47.729,5320,0,202,89.726,46.868,5320,46,255,200.292,61.823
G7,5320,54,255,177.927,51.728,5320,37,249,154.625,56.001,5320,37,255,168.710,58.403
G8,5320,72,255,218.134,40.577,5320,60,220,160.738,33.682,5320,60,220,160.785,33.708
G9,5320,48,210,159.076,40.770,5320,48,210,156.526,43.607,5320,58,255,186.749,60.721
G10,5320,14,179,110.621,35.133,5320,14,179,110.621,35.133,5320,43,255,207.340,44.968
G11,5320,10,188,100.164,35.313,5320,10,188,100.147,35.275,5320,32,255,215.722,42.749
G12,5320,0,198,32.286,45.237,5320,0,198,32.286,45.237,5320,36,255,169.836,43.286
G13,5320,0,188,9.954,25.805,5320,0,188,9.954,25.805,5320,60,255,188.423,49.732
G14,5320,0,42,1.418,3.555,5320,0,42,1.418,3.555,5320,82,255,189.805,45.349
G15,5320,0,185,76.121,53.130,5320,0,185,75.959,52.941,5320,81,255,221.573,39.310
G16,5320,95,227,174.429,24.812,5320,95,213,167.854,21.865,5320,100,254,188.225,29.568
G17,5320,46,234,144.014,40.302,5320,46,234,141.580,39.351,5320,61,255,160.347,40.211
G18,5320,0,60,15.838,15.632,5320,0,60,15.838,15.632,5320,54,255,224.570,36.178
G19,5320,0,113,78.367,32.880,5320,0,113,78.367,32.880,5320,67,255,223.130,38.879
G20,5320,14,107,80.003,20.323,5320,14,107,80.003,20.323,5320,207,255,252.403,5.966
G21,5320,0,75,12.227,18.971,5320,0,75,12.227,18.971,5320,44,255,201.555,47.362
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,209,255,244.276,10.435
