Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,77,255,216.274,31.025,5320,77,252,197.184,24.572,5320,134,255,216.936,23.896
G2,5320,84,255,230.611,26.609,5320,84,248,209.700,22.522,5320,147,255,220.779,21.776
G3,5320,160,255,226.723,26.368,5320,134,245,206.858,28.011,5320,134,245,206.858,28.011
G4,5320,0,255,65.416,77.966,5320,0,246,64.766,76.846,5320,22,251,169.805,51.376
G5,5320,0,234,47.614,69.562,5320,0,233,46.553,67.488,5320,118,255,224.524,25.873
G6,5320,0,193,63.165,59.061,5320,0,193,60.916,58.023,5320,43,255,215.347,60.742
G7,5320,0,255,155.638,54.988,5320,0,228,136.440,50.149,5320,32,255,167.408,55.693
G8,5320,88,255,232.405,30.840,5320,59,212,167.942,27.669,5320,59,212,167.974,27.701
G9,5320,52,239,172.972,46.329,5320,46,239,165.654,52.181,5320,46,255,183.269,63.190
G10,5320,13,183,108.950,36.011,5320,13,183,108.950,36.011,5320,39,255,207.335,49.105
G11,5320,0,188,99.408,38.764,5320,0,188,99.408,38.764,5320,27,255,218.983,41.353
G12,5320,0,86,13.731,25.493,5320,0,86,13.731,25.493,5320,24,252,173.105,42.399
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,53,255,169.257,48.225
G14,5320,0,9,0.120,0.800,5320,0,9,0.120,0.800,5320,92,255,190.803,41.108
G15,5320,0,180,67.884,56.421,5320,0,180,67.783,56.282,5320,109,255,220.716,38.674
G16,5320,96,214,156.708,20.377,5320,95,196,151.064,20.554,5320,101,255,187.800,42.629
G17,5320,47,230,150.910,35.352,5320,47,230,147.071,36.564,5320,51,255,162.152,47.433
G18,5320,0,52,14.600,12.954,5320,0,52,14.600,12.954,5320,52,255,221.235,34.572
G19,5320,0,111,77.772,30.165,5320,0,111,77.772,30.165,5320,68,255,224.289,37.678
G20,5320,0,104,74.522,22.972,5320,0,104,74.522,22.972,5320,211,255,251.132,7.905
G21,5320,0,84,16.997,22.060,5320,0,84,16.997,22.060,5320,31,255,205.911,44.536
G22,5320,0,85,6.989,16.442,5320,0,85,6.989,16.442,5320,61,255,199.978,47.479
G23,5320,0,98,12.361,24.565,5320,0,98,12.361,24.565,5320,58,226,175.855,43.296
G24,5320,0,129,16.728,26.480,5320,0,129,16.728,26.480,5320,138,255,239.143,24.742
G25,5320,24,177,118.979,34.615,5320,24,177,118.979,34.615,5320,63,255,228.961,30.493
G26,5320,37,239,157.965,44.116,5320,37,239,149.981,44.031,5320,52,255,167.005,55.383
G27,5320,16,242,88.806,58.269,5320,3,134,67.518,32.453,5320,3,255,217.990,69.912
G28,5320,19,94,56.883,10.935,5320,19,94,56.883,10.935,5320,128,255,228.102,31.988
G29,5320,0,85,10.526,16.190,5320,0,85,10.526,16.190,5320,84,255,196.952,36.761
G30,5320,0,47,0.943,4.382,5320,0,47,0.943,4.382,5320,67,253,198.215,33.710
G31,5320,1,157,88.614,35.729,5320,1,157,88.614,35.729,5320,111,255,235.964,20.654
G32,5320,0,160,94.671,52.081,5320,0,160,94.671,52.081,5320,45,241,171.186,47.482
G33,5320,0,136,40.346,32.805,5320,0,136,40.346,32.805,5320,34,255,216.927,46.550
G34,5320,18,227,100.061,53.736,5320,18,227,100.058,53.731,5320,37,255,182.777,48.138
G35,5320,57,255,181.814,58.473,5320,47,251,174.592,62.287,5320,47,255,185.536,69.980
G36,5320,20,255,164.310,82.725,5320,0,130,28.915,39.435,5320,0,255,72.234,94.445
G37,5320,25,104,57.354,15.429,5320,25,104,57.354,15.429,5320,126,255,227.532,28.673
G38,5320,0,113,53.937,35.024,5320,0,113,53.937,35.024,5320,56,255,220.392,48.176
G39,5320,0,85,1.336,8.347,5320,0,85,1.336,8.347,5320,46,255,204.550,54.399
G40,5320,0,157,77.670,36.506,5320,0,157,77.670,36.506,5320,93,255,221.755,29.787
G41,5320,38,220,141.744,29.559,5320,38,220,141.744,29.559,5320,48,255,220.044,41.204
G42,5320,66,255,198.005,41.187,5320,66,253,195.861,40.295,5320,79,255,205.633,42.007
G43,5320,96,255,193.183,28.653,5320,96,250,189.172,25.013,5320,123,250,199.342,17.807
G44,5320,46,253,176.089,48.474,5320,41,247,159.791,48.835,5320,41,248,159.963,49.029
G45,5320,32,232,148.302,35.084,5320,0,202,148.154,35.276,5320,0,255,227.597,34.749
G46,5320,28,158,101.853,31.917,5320,28,158,101.853,31.917,5320,98,255,196.485,36.827
G47,5320,0,190,131.209,47.226,5320,0,190,131.209,47.226,5320,115,255,229.686,26.360
G48,5320,0,175,58.236,54.890,5320,0,175,58.236,54.890,5320,49,251,160.536,43.903
G49,5320,61,157,101.662,18.819,5320,61,157,101.662,18.819,5320,138,249,185.024,27.380
G50,5320,3,191,72.817,48.049,5320,3,191,72.817,48.049,5320,72,255,209.077,45.022
G51,5320,29,249,158.861,51.297,5320,29,246,158.816,51.231,5320,165,255,235.098,19.965
G52,5320,111,255,218.960,30.651,5320,76,243,181.413,38.052,5320,76,254,182.250,39.102
G53,5320,108,252,218.442,25.176,5320,75,227,173.751,27.392,5320,75,227,173.751,27.392
G54,5320,73,170,131.847,14.347,5320,62,170,131.817,14.379,5320,63,255,224.981,24.696
G55,5320,55,170,134.057,22.850,5320,55,170,134.057,22.850,5320,77,255,203.497,41.477
G56,5320,41,191,137.729,45.102,5320,41,191,137.729,45.102,5320,56,255,186.422,62.500
G57,5320,40,202,165.134,35.583,5320,40,202,165.134,35.583,5320,54,255,215.870,44.829
G58,5320,26,202,169.007,32.038,5320,26,202,169.007,32.038,5320,54,255,225.239,31.918
G59,5320,0,136,65.989,36.494,5320,0,136,65.989,36.494,5320,64,255,189.397,43.544
G60,5320,32,243,123.635,48.245,5320,32,209,120.367,43.124,5320,39,245,166.590,45.041
G61,5320,53,255,174.521,49.278,5320,44,206,135.121,40.482,5320,44,211,135.187,40.527
G62,5320,81,239,147.176,36.717,5320,50,177,104.897,29.332,5320,50,177,104.897,29.332
G63,5320,52,247,179.905,41.283,5320,52,243,179.873,41.235,5320,129,255,235.497,27.997
G64,5320,101,255,197.976,34.969,5320,0,252,169.837,66.670,5320,0,255,194.534,75.787
G65,5320,88,252,187.129,26.084,5320,0,220,146.979,63.998,5320,0,255,182.160,83.817
G66,5320,0,205,45.726,59.470,5320,0,199,45.680,59.364,5320,65,255,190.445,38.009
G67,5320,0,122,5.191,17.690,5320,0,122,5.191,17.690,5320,68,255,205.747,34.812
G68,5320,26,255,201.589,32.138,5320,26,241,195.434,27.274,5320,89,244,216.154,19.518
G69,5320,195,255,242.184,11.694,5320,120,228,177.297,17.808,5320,120,228,177.297,17.808
