Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,86,255,227.204,21.841,5320,86,243,193.671,24.320,5320,131,255,203.680,30.704
G2,5320,180,255,239.657,16.864,5320,106,238,170.865,26.704,5320,106,251,171.519,27.875
G3,5320,163,255,225.976,25.585,5320,107,219,180.759,24.246,5320,107,219,180.759,24.246
G4,5320,14,255,182.909,55.705,5320,12,253,157.517,53.905,5320,12,254,158.322,53.960
G5,5320,40,255,211.908,47.973,5320,40,254,178.331,55.661,5320,75,255,196.992,51.150
G6,5320,28,254,146.775,51.963,5320,19,253,121.107,61.314,5320,19,255,164.993,78.440
G7,5320,74,255,167.002,50.617,5320,13,171,52.945,28.805,5320,13,219,53.208,29.745
G8,5320,67,255,223.452,38.657,5320,45,158,111.551,20.698,5320,45,158,111.551,20.698
G9,5320,59,248,184.781,48.788,5320,43,248,175.364,59.095,5320,43,255,183.511,64.457
G10,5320,12,220,125.781,42.076,5320,12,220,125.781,42.076,5320,24,255,209.170,49.315
G11,5320,13,230,143.681,39.151,5320,13,230,142.919,38.004,5320,27,255,219.894,44.591
G12,5320,15,254,101.572,63.324,5320,15,253,100.531,61.867,5320,38,254,176.060,46.719
G13,5320,0,250,54.167,63.298,5320,0,250,54.166,63.297,5320,60,255,175.916,41.982
G14,5320,0,179,12.478,27.053,5320,0,177,12.477,27.051,5320,150,255,235.632,19.959
G15,5320,0,248,157.367,65.430,5320,0,247,148.648,66.851,5320,39,255,197.241,60.524
G16,5320,119,252,200.124,31.084,5320,73,231,153.845,29.256,5320,73,246,154.081,29.828
G17,5320,37,255,158.459,42.413,5320,36,244,142.222,38.481,5320,41,245,148.642,41.062
G18,5320,0,61,24.308,15.513,5320,0,61,24.308,15.513,5320,49,254,219.594,35.640
G19,5320,1,131,98.687,35.888,5320,1,131,98.687,35.888,5320,72,255,223.236,38.617
G20,5320,32,146,114.197,23.767,5320,32,146,114.197,23.767,5320,167,255,249.252,13.330
G21,5320,0,124,61.104,40.767,5320,0,124,61.104,40.767,5320,50,255,188.725,53.182
G22,5320,0,54,11.745,15.222,5320,0,54,11.745,15.222,5320,40,213,128.438,41.862
G23,5320,0,97,2.679,11.796,5320,0,97,2.679,11.796,5320,48,255,195.681,49.894
G24,5320,0,237,109.017,74.058,5320,0,236,109.012,74.051,5320,60,255,225.443,43.055
G25,5320,57,246,201.464,27.427,5320,57,246,200.288,27.056,5320,63,255,226.795,32.236
G26,5320,46,255,176.349,51.771,5320,44,246,158.857,53.706,5320,44,252,160.060,54.650
G27,5320,36,241,112.098,50.266,5320,9,152,91.549,32.483,5320,9,255,223.400,66.897
G28,5320,37,128,92.785,15.708,5320,37,128,92.785,15.708,5320,115,255,227.502,32.723
G29,5320,0,122,51.370,32.144,5320,0,122,51.370,32.144,5320,95,255,225.564,36.437
G30,5320,39,200,124.421,38.317,5320,39,200,124.421,38.317,5320,96,255,208.109,35.479
G31,5320,23,213,137.062,52.475,5320,23,213,137.062,52.475,5320,63,255,179.827,57.348
G32,5320,8,162,106.820,35.914,5320,8,162,106.820,35.914,5320,59,219,167.186,36.611
G33,5320,36,176,116.270,35.849,5320,36,176,116.270,35.849,5320,44,249,149.950,45.634
G34,5320,36,250,157.330,45.754,5320,36,250,157.297,45.702,5320,42,254,185.175,49.429
G35,5320,60,255,191.734,64.316,5320,48,254,177.344,69.111,5320,48,255,178.702,70.296
G36,5320,26,255,197.698,62.626,5320,0,150,24.845,44.445,5320,0,255,40.047,75.379
G37,5320,55,141,102.781,16.675,5320,55,141,102.767,16.674,5320,96,255,223.881,29.446
G38,5320,83,150,127.289,12.988,5320,83,150,127.289,12.988,5320,171,255,244.670,15.221
G39,5320,63,212,132.135,35.636,5320,63,212,132.135,35.636,5320,117,255,217.311,31.695
G40,5320,137,249,224.488,22.296,5320,137,249,224.488,22.296,5320,156,255,242.620,18.274
G41,5320,102,255,206.144,39.386,5320,102,253,205.614,38.871,5320,115,255,225.149,31.299
G42,5320,86,255,206.379,44.358,5320,86,252,200.116,40.726,5320,94,252,203.936,37.047
G43,5320,79,255,194.954,29.649,5320,79,245,188.585,25.742,5320,91,245,193.330,22.486
G44,5320,46,250,172.856,47.174,5320,39,227,148.307,44.968,5320,39,227,148.308,44.969
G45,5320,43,248,160.221,46.351,5320,0,220,156.938,50.433,5320,0,255,196.242,55.799
G46,5320,53,195,125.871,33.915,5320,53,195,125.871,33.915,5320,96,255,192.058,36.343
G47,5320,117,251,169.270,26.594,5320,117,245,169.160,26.305,5320,194,255,244.705,14.106
G48,5320,71,255,168.699,46.922,5320,71,245,162.617,39.689,5320,108,255,212.823,31.487
G49,5320,192,249,236.031,12.214,5320,192,248,235.768,12.032,5320,214,255,245.879,7.849
G50,5320,108,244,208.392,34.130,5320,108,244,208.392,34.130,5320,138,255,235.262,26.431
G51,5320,118,255,211.635,34.372,5320,118,250,207.995,31.053,5320,158,255,234.602,16.246
G52,5320,115,255,227.641,25.918,5320,75,235,176.603,32.046,5320,75,235,176.603,32.046
G53,5320,118,252,223.597,21.787,5320,77,202,171.120,24.008,5320,77,202,171.120,24.008
G54,5320,93,218,164.483,30.304,5320,93,218,164.483,30.304,5320,150,255,225.949,28.699
G55,5320,73,197,157.440,25.822,5320,73,197,157.440,25.822,5320,87,255,210.083,38.179
G56,5320,76,255,206.361,44.141,5320,76,252,204.390,42.621,5320,86,255,226.771,42.016
G57,5320,98,255,210.010,43.014,5320,98,250,184.918,33.642,5320,102,250,187.147,31.783
G58,5320,0,234,141.987,66.019,5320,0,234,141.976,66.023,5320,63,255,226.874,40.109
G59,5320,0,215,85.072,70.974,5320,0,215,85.072,70.974,5320,68,255,221.497,29.335
G60,5320,22,237,152.469,45.690,5320,22,212,145.911,40.729,5320,34,254,177.728,50.350
G61,5320,45,249,174.768,47.322,5320,36,202,128.116,38.625,5320,36,202,128.145,38.642
G62,5320,82,242,145.969,37.056,5320,47,173,99.076,28.141,5320,47,173,99.076,28.141
G63,5320,0,244,178.574,50.405,5320,0,244,178.574,50.405,5320,100,255,228.837,31.219
G64,5320,83,255,191.810,50.163,5320,82,254,178.902,45.422,5320,87,255,181.732,47.403
G65,5320,106,238,180.974,21.470,5320,106,214,169.026,17.122,5320,123,241,176.026,18.700
G66,5320,0,196,65.604,62.936,5320,0,196,65.604,62.936,5320,43,255,160.116,58.541
G67,5320,0,135,4.936,20.000,5320,0,135,4.936,20.000,5320,63,255,175.734,43.656
G68,5320,53,255,201.773,34.178,5320,53,239,194.413,29.477,5320,93,247,215.049,22.296
G69,5320,201,255,244.330,10.162,5320,116,223,173.795,18.933,5320,116,223,173.795,18.933
G70,5320,42,255,230.622,44.266,5320,6,187,126.670,38.307,5320,6,187,126.670,38.307
G71,5320,1,255,152.435,79.283,5320,1,252,151.177,77.984,5320,83,255,220.313,35.973
G72,5320,125,255,224.236,25.566,5320,100,254,184.240,26.737,5320,100,255,184.293,26.860
G73,5320,148,238,199.352,19.249,5320,120,238,181.422,31.652,5320,120,255,190.857,41.604
G74,5320,0,212,128.811,45.200,5320,0,212,128.810,45.198,5320,66,255,222.935,32.005
G75,5320,0,217,109.156,69.895,5320,0,217,109.156,69.895,5320,68,255,207.980,53.410
G76,5320,96,241,204.089,21.031,5320,96,233,203.929,20.842,5320,166,255,226.554,24.053
G77,5320,166,255,231.388,23.223,5320,115,238,181.995,26.649,5320,115,238,182.389,26.754
G78,5320,28,254,195.526,44.196,5320,28,254,195.450,44.108,5320,78,255,239.412,23.789
