Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,78,255,228.295,21.749,5320,78,245,180.060,29.816,5320,120,255,185.915,34.849
G2,5320,180,255,240.693,17.547,5320,85,219,135.017,25.292,5320,85,228,135.133,25.636
G3,5320,163,255,226.306,26.293,5320,86,206,165.747,25.802,5320,86,206,165.747,25.802
G4,5320,23,255,171.888,48.517,5320,0,183,56.052,65.966,5320,0,183,56.069,65.987
G5,5320,139,255,228.502,25.318,5320,0,193,25.943,48.670,5320,0,247,27.139,52.255
G6,5320,69,255,177.507,45.495,5320,14,236,142.673,59.834,5320,14,255,166.732,75.688
G7,5320,71,251,171.950,42.882,5320,10,209,61.583,34.450,5320,10,234,61.702,34.925
G8,5320,68,255,215.213,41.374,5320,49,154,104.368,24.291,5320,49,154,104.368,24.291
G9,5320,60,234,174.076,47.335,5320,47,234,167.992,54.283,5320,47,255,182.426,63.833
G10,5320,23,237,137.355,49.022,5320,23,232,137.223,48.790,5320,45,255,207.252,43.844
G11,5320,20,242,158.269,45.030,5320,20,237,152.834,39.502,5320,38,255,212.980,44.668
G12,5320,2,217,127.087,43.954,5320,1,177,89.116,36.058,5320,1,255,119.489,60.520
G13,5320,0,250,109.062,76.403,5320,0,225,72.056,50.815,5320,13,255,136.801,64.970
G14,5320,0,198,17.781,39.665,5320,0,192,17.705,39.387,5320,88,255,235.013,27.202
G15,5320,0,255,166.631,69.289,5320,0,249,157.946,70.576,5320,34,255,203.601,55.753
G16,5320,116,251,191.867,24.542,5320,51,245,156.866,30.613,5320,51,250,156.976,30.832
G17,5320,52,255,154.083,43.766,5320,52,244,140.856,41.371,5320,71,246,147.937,39.981
G18,5320,0,60,19.225,15.897,5320,0,60,19.225,15.897,5320,81,255,226.882,35.762
G19,5320,0,133,97.844,39.546,5320,0,133,97.844,39.546,5320,65,255,222.845,40.220
G20,5320,52,153,121.338,20.792,5320,52,153,121.338,20.792,5320,216,255,251.207,7.642
G21,5320,0,141,48.724,42.878,5320,0,141,48.724,42.878,5320,18,255,194.036,48.208
G22,5320,0,52,4.042,9.534,5320,0,52,4.042,9.534,5320,51,255,233.177,28.824
G23,5320,0,116,13.607,25.930,5320,0,116,13.607,25.930,5320,47,255,176.331,49.012
G24,5320,0,250,122.214,66.107,5320,0,248,122.209,66.097,5320,79,255,223.133,41.576
G25,5320,56,251,204.492,28.057,5320,56,249,203.632,27.690,5320,59,255,227.481,31.609
G26,5320,52,255,173.648,51.194,5320,51,244,155.287,53.413,5320,51,252,156.398,54.631
G27,5320,27,255,103.092,59.971,5320,27,144,84.080,31.473,5320,31,255,228.733,57.364
G28,5320,29,128,71.047,13.346,5320,29,128,71.047,13.346,5320,129,255,223.173,30.563
G29,5320,0,123,25.762,29.793,5320,0,123,25.762,29.793,5320,123,255,215.414,31.946
G30,5320,0,154,30.241,35.871,5320,0,154,30.241,35.871,5320,85,255,192.355,36.279
G31,5320,0,219,46.470,59.807,5320,0,219,46.470,59.807,5320,80,255,209.937,37.841
G32,5320,1,236,140.720,56.026,5320,1,236,140.686,56.041,5320,48,255,212.350,35.103
G33,5320,0,182,112.948,54.962,5320,0,182,112.136,54.846,5320,39,255,192.495,54.739
G34,5320,36,254,161.837,51.327,5320,36,251,161.214,50.475,5320,42,253,185.870,49.972
G35,5320,60,255,190.321,67.057,5320,45,250,169.316,69.014,5320,45,251,169.496,69.189
G36,5320,42,255,189.514,66.673,5320,0,143,34.218,48.517,5320,0,255,62.559,92.354
G37,5320,44,120,84.586,16.429,5320,44,120,84.586,16.429,5320,127,255,229.734,24.626
G38,5320,22,157,114.913,25.617,5320,22,157,114.913,25.617,5320,206,255,243.758,11.678
G39,5320,41,245,168.358,39.358,5320,41,245,168.358,39.358,5320,200,255,239.348,13.513
