Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,78,255,197.997,47.181,5320,78,245,185.017,39.337,5320,132,255,220.374,23.028
G2,5320,49,238,139.158,37.988,5320,49,223,138.985,37.616,5320,127,255,227.388,28.291
G3,5320,112,255,206.533,36.797,5320,112,235,177.186,32.503,5320,117,255,187.883,32.120
G4,5320,0,183,54.206,41.505,5320,0,183,54.206,41.505,5320,34,243,163.075,48.559
G5,5320,0,203,55.888,66.530,5320,0,203,55.781,66.344,5320,148,255,223.466,26.498
G6,5320,0,194,108.792,58.565,5320,0,194,99.012,58.075,5320,42,255,179.693,65.694
G7,5320,79,244,147.676,37.674,5320,37,159,83.758,30.557,5320,37,230,84.705,33.224
G8,5320,90,255,212.820,41.827,5320,45,160,112.008,22.726,5320,45,160,112.008,22.726
G9,5320,66,234,173.549,32.238,5320,60,234,165.031,39.592,5320,60,252,184.936,51.908
G10,5320,35,187,111.761,31.100,5320,35,187,111.761,31.100,5320,62,255,198.175,49.660
G11,5320,20,133,95.560,27.566,5320,20,133,95.560,27.566,5320,54,251,187.700,47.596
G12,5320,0,108,27.286,35.273,5320,0,108,27.286,35.273,5320,32,237,168.516,50.640
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,54,255,190.695,54.195
G14,5320,0,137,8.975,21.552,5320,0,137,8.975,21.552,5320,62,255,195.432,43.583
G15,5320,8,255,178.712,61.541,5320,8,251,166.964,56.099,5320,95,255,208.130,34.682
G16,5320,119,255,195.022,29.336,5320,84,229,145.923,29.644,5320,84,229,145.952,29.701
G17,5320,50,255,159.779,41.857,5320,50,242,146.501,38.724,5320,52,243,153.238,41.271
G18,5320,0,85,19.339,19.467,5320,0,85,19.339,19.467,5320,81,254,207.523,32.859
G19,5320,11,133,62.488,34.194,5320,11,133,62.488,34.194,5320,86,255,209.739,32.485
G20,5320,0,125,66.263,44.046,5320,0,125,66.263,44.046,5320,66,255,222.005,41.732
G21,5320,0,81,6.474,15.773,5320,0,81,6.474,15.773,5320,20,255,222.125,40.141
G22,5320,0,7,0.021,0.273,5320,0,7,0.021,0.273,5320,141,255,235.381,21.387
G23,5320,0,192,79.005,54.761,5320,0,192,79.005,54.761,5320,159,255,210.819,19.579
G24,5320,133,255,217.670,31.634,5320,133,251,214.255,28.406,5320,169,255,228.721,23.146
G25,5320,56,255,220.134,36.247,5320,53,250,215.289,35.916,5320,53,255,220.079,37.598
G26,5320,51,255,174.937,50.981,5320,48,246,152.049,52.016,5320,48,247,152.179,52.217
G27,5320,0,70,26.652,19.362,5320,0,70,26.652,19.362,5320,150,255,247.495,10.607
G28,5320,21,76,61.320,10.232,5320,21,76,61.320,10.232,5320,196,255,247.748,11.813
G29,5320,0,85,18.529,23.188,5320,0,85,18.529,23.188,5320,130,255,216.794,28.589
G30,5320,0,110,17.098,27.279,5320,0,110,17.098,27.279,5320,137,255,231.008,25.121
G31,5320,0,156,54.457,54.073,5320,0,156,54.457,54.073,5320,83,255,181.497,47.528
G32,5320,0,199,131.753,46.240,5320,0,199,131.753,46.240,5320,135,255,222.734,35.182
G33,5320,31,249,188.202,42.790,5320,31,245,185.335,41.527,5320,32,255,212.439,51.374
G34,5320,48,255,163.593,54.943,5320,38,224,140.547,46.568,5320,38,238,142.224,48.170
G35,5320,58,255,187.715,63.632,5320,51,214,154.378,49.476,5320,51,214,154.378,49.476
G36,5320,16,229,122.861,54.512,5320,16,224,122.688,54.218,5320,46,255,216.735,49.546
G37,5320,16,78,53.900,9.528,5320,16,78,53.900,9.528,5320,68,255,223.780,34.313
G38,5320,0,131,75.375,26.809,5320,0,131,75.375,26.809,5320,67,255,231.074,33.766
G39,5320,0,149,72.215,42.468,5320,0,149,72.215,42.468,5320,24,255,182.344,42.606
G40,5320,39,161,119.702,20.356,5320,39,161,119.702,20.356,5320,140,249,207.868,23.020
G41,5320,35,156,117.215,29.663,5320,35,156,117.215,29.663,5320,121,255,214.318,35.209
G42,5320,36,231,164.278,48.173,5320,36,231,164.238,48.142,5320,59,255,215.984,42.355
G43,5320,75,225,146.013,40.017,5320,54,219,123.049,37.984,5320,54,233,123.914,39.617
G44,5320,50,250,172.843,41.889,5320,44,186,134.765,27.793,5320,44,186,134.768,27.792
G45,5320,21,254,98.098,65.788,5320,21,238,91.394,53.147,5320,45,255,196.160,35.493
G46,5320,16,191,88.093,53.971,5320,16,191,88.093,53.971,5320,45,253,172.381,46.472
G47,5320,0,181,59.197,39.272,5320,0,181,59.197,39.272,5320,37,254,169.255,58.891
G48,5320,0,206,99.865,52.301,5320,0,206,99.865,52.301,5320,43,254,157.039,44.177
G49,5320,10,155,77.827,40.433,5320,10,155,77.827,40.433,5320,42,196,134.503,39.045
G50,5320,13,103,52.790,26.176,5320,13,103,52.790,26.176,5320,47,255,173.543,63.705
G51,5320,16,252,128.950,59.472,5320,16,211,122.562,50.805,5320,44,255,183.583,52.408
G52,5320,98,255,214.909,35.471,5320,70,203,161.757,28.495,5320,70,203,161.805,28.523
G53,5320,118,253,221.354,28.126,5320,78,188,155.051,26.061,5320,78,188,155.051,26.061
G54,5320,48,99,76.946,11.326,5320,48,99,76.946,11.326,5320,166,255,230.709,21.384
G55,5320,62,243,124.634,47.539,5320,62,240,124.574,47.420,5320,129,255,215.709,25.967
G56,5320,108,242,197.937,22.408,5320,108,238,197.251,22.422,5320,136,255,235.571,22.637
G57,5320,121,242,195.960,18.998,5320,114,217,192.249,19.311,5320,114,255,219.753,33.448
G58,5320,57,252,172.320,43.119,5320,57,233,163.240,38.149,5320,71,255,182.486,43.003
