Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,88,255,215.431,33.713,5320,88,242,195.216,27.929,5320,131,255,215.586,26.966
G2,5320,69,250,168.026,40.133,5320,69,245,167.731,39.629,5320,105,255,221.911,31.279
G3,5320,131,255,213.418,33.296,5320,95,248,173.998,31.974,5320,95,254,178.002,31.992
G4,5320,24,204,128.352,41.303,5320,24,204,127.620,40.570,5320,42,255,162.049,49.092
G5,5320,0,248,154.646,53.100,5320,0,244,153.042,51.886,5320,137,255,229.239,30.373
G6,5320,0,227,132.619,56.792,5320,0,226,115.859,59.500,5320,38,255,168.017,70.403
G7,5320,72,255,148.207,38.791,5320,27,145,72.551,28.858,5320,27,170,72.765,29.361
G8,5320,88,255,209.999,44.480,5320,34,130,94.987,19.498,5320,34,130,94.987,19.498
G9,5320,69,235,180.376,36.514,5320,55,234,169.209,47.659,5320,55,252,178.831,54.748
G10,5320,43,206,136.753,38.130,5320,43,206,136.753,38.130,5320,62,255,199.438,49.025
G11,5320,25,175,133.058,40.351,5320,25,175,133.058,40.351,5320,51,250,192.634,50.302
G12,5320,0,188,74.895,56.633,5320,0,188,74.895,56.633,5320,20,242,157.434,48.471
G13,5320,0,175,27.337,38.706,5320,0,175,27.337,38.706,5320,40,255,180.748,55.922
G14,5320,0,165,9.809,28.326,5320,0,165,9.796,28.257,5320,87,255,221.890,34.039
G15,5320,0,255,192.441,73.769,5320,0,224,151.376,53.549,5320,88,239,176.751,28.725
G16,5320,89,255,193.319,37.604,5320,72,211,144.836,27.613,5320,72,211,144.836,27.613
G17,5320,57,255,159.643,40.536,5320,52,228,137.945,39.130,5320,52,239,140.818,42.058
G18,5320,10,113,42.630,20.923,5320,10,113,42.630,20.923,5320,78,254,207.066,31.974
G19,5320,26,172,107.642,35.454,5320,26,172,107.642,35.454,5320,104,255,209.377,31.969
G20,5320,35,180,138.790,36.190,5320,35,180,138.790,36.190,5320,53,255,223.802,42.228
G21,5320,0,199,103.083,45.535,5320,0,199,103.083,45.535,5320,33,255,215.227,50.204
G22,5320,0,254,94.310,70.085,5320,0,208,89.465,62.407,5320,35,255,178.773,54.943
G23,5320,0,255,91.845,87.916,5320,0,197,49.192,50.338,5320,8,237,111.162,55.846
G24,5320,0,255,188.714,89.140,5320,0,162,78.609,45.073,5320,9,182,109.950,43.264
G25,5320,44,255,233.101,35.222,5320,14,212,111.049,53.316,5320,14,212,111.049,53.316
G26,5320,45,255,175.630,50.847,5320,27,214,118.599,44.059,5320,27,214,118.599,44.059
G27,5320,34,136,68.242,25.964,5320,34,136,68.242,25.964,5320,156,255,249.117,9.570
G28,5320,65,162,131.479,19.075,5320,65,162,131.479,19.075,5320,158,255,246.864,15.494
G29,5320,95,214,131.502,21.696,5320,95,214,131.426,21.765,5320,111,255,206.153,40.978
G30,5320,36,229,141.151,42.466,5320,36,223,140.417,41.673,5320,47,255,193.008,55.917
G31,5320,85,254,191.421,36.712,5320,50,210,122.310,32.991,5320,50,244,132.116,45.124
G32,5320,61,255,180.594,55.262,5320,0,129,40.933,29.550,5320,0,129,40.933,29.550
G33,5320,33,255,161.264,54.468,5320,0,153,13.156,25.676,5320,0,153,13.156,25.676
G34,5320,49,255,166.706,61.441,5320,0,147,26.752,26.446,5320,0,147,26.752,26.446
G35,5320,63,255,186.947,64.845,5320,42,137,95.869,26.129,5320,42,137,95.869,26.129
G36,5320,19,250,158.452,55.606,5320,19,242,157.369,54.201,5320,32,255,215.830,49.779
G37,5320,39,254,145.271,41.460,5320,39,247,143.579,37.748,5320,67,255,223.541,33.419
G38,5320,94,255,221.373,36.212,5320,79,252,179.368,51.766,5320,79,255,186.145,57.009
G39,5320,37,255,136.089,59.069,5320,37,167,104.786,28.792,5320,48,229,124.366,38.186
G40,5320,36,255,192.061,39.677,5320,32,182,113.682,22.962,5320,32,229,118.372,33.709
G41,5320,117,255,230.328,36.214,5320,0,95,62.275,26.816,5320,0,95,62.275,26.816
