Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,28,254,170.294,59.059,5320,28,246,167.777,56.589,5320,99,255,228.496,27.336
G2,5320,0,194,61.499,36.946,5320,0,194,61.499,36.946,5320,52,255,217.768,40.844
G3,5320,52,255,186.245,50.313,5320,52,248,173.063,45.167,5320,132,255,203.658,31.937
G4,5320,0,141,23.121,29.864,5320,0,141,23.121,29.864,5320,34,236,158.841,47.756
G5,5320,0,171,38.365,51.007,5320,0,171,38.365,51.006,5320,117,255,221.523,29.843
G6,5320,0,201,90.159,52.381,5320,0,161,82.490,49.296,5320,49,255,172.926,62.187
G7,5320,63,246,150.516,37.815,5320,43,167,94.772,25.270,5320,43,211,96.246,27.113
G8,5320,86,255,210.217,42.415,5320,51,212,139.571,31.735,5320,51,212,139.571,31.735
G9,5320,69,218,166.177,29.781,5320,65,218,160.684,35.274,5320,65,252,184.572,49.697
G10,5320,29,143,74.272,19.973,5320,29,143,74.272,19.973,5320,72,255,197.205,44.542
G11,5320,0,67,28.254,18.435,5320,0,67,28.254,18.435,5320,57,253,198.324,45.583
G12,5320,0,12,0.437,1.598,5320,0,12,0.437,1.598,5320,34,235,154.014,51.497
G13,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,27,255,188.129,57.672
G14,5320,0,84,0.733,5.534,5320,0,84,0.733,5.534,5320,49,255,222.229,36.060
G15,5320,0,199,83.112,58.694,5320,0,199,82.719,58.266,5320,94,255,217.391,38.635
G16,5320,99,224,181.756,25.697,5320,91,203,165.886,24.581,5320,91,254,178.210,34.936
G17,5320,50,242,155.482,37.924,5320,49,240,150.063,38.010,5320,53,255,159.375,43.425
G18,5320,0,57,8.568,13.716,5320,0,57,8.568,13.716,5320,77,249,206.898,31.943
G19,5320,0,77,13.500,20.252,5320,0,77,13.500,20.252,5320,94,255,210.511,28.435
G20,5320,0,29,1.293,3.742,5320,0,29,1.293,3.742,5320,83,255,216.531,37.332
G21,5320,0,65,32.293,22.179,5320,0,65,32.293,22.179,5320,47,255,216.654,46.462
G22,5320,0,93,43.285,31.892,5320,0,93,43.285,31.892,5320,39,255,195.043,67.392
G23,5320,0,99,19.735,33.291,5320,0,99,19.735,33.291,5320,39,255,146.502,57.589
G24,5320,0,148,8.781,23.691,5320,0,148,8.781,23.691,5320,99,255,226.990,34.285
G25,5320,4,205,124.643,53.022,5320,4,205,124.643,53.022,5320,61,255,224.249,36.184
G26,5320,40,244,165.567,47.803,5320,40,241,153.415,48.596,5320,53,255,162.329,55.253
G27,5320,0,52,7.766,12.841,5320,0,52,7.766,12.841,5320,116,255,248.635,11.432
G28,5320,0,27,5.242,5.128,5320,0,27,5.242,5.128,5320,158,255,248.021,14.208
G29,5320,0,24,0.866,2.959,5320,0,24,0.866,2.959,5320,89,255,204.455,39.122
G30,5320,0,62,28.780,21.289,5320,0,62,28.780,21.289,5320,60,255,203.734,46.070
G31,5320,3,96,67.962,14.103,5320,3,96,67.962,14.103,5320,147,255,244.246,13.812
G32,5320,0,96,40.755,30.454,5320,0,96,40.755,30.454,5320,26,255,167.161,53.903
