Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,85,255,210.201,40.081,5320,85,247,196.496,32.225,5320,141,255,229.466,22.414
G2,5320,31,242,136.376,38.941,5320,31,235,136.320,38.803,5320,60,255,209.161,39.812
G3,5320,106,255,219.548,31.135,5320,106,248,185.548,30.956,5320,129,254,192.187,31.808
G4,5320,26,239,125.377,35.905,5320,26,218,123.837,34.222,5320,28,235,154.117,39.083
G5,5320,0,249,155.595,62.338,5320,0,231,151.261,57.815,5320,154,255,227.994,24.004
G6,5320,0,214,118.287,52.719,5320,0,213,95.103,54.026,5320,18,255,155.367,79.892
G7,5320,58,252,154.528,54.591,5320,28,144,76.381,24.958,5320,28,204,77.145,27.205
G8,5320,95,255,210.669,42.414,5320,53,170,114.584,24.085,5320,53,170,114.584,24.085
G9,5320,24,208,129.528,37.168,5320,24,202,123.090,37.565,5320,57,216,155.145,43.105
G10,5320,48,193,112.742,21.363,5320,48,193,112.742,21.363,5320,76,255,197.735,39.437
G11,5320,19,107,76.267,16.390,5320,19,107,76.267,16.390,5320,46,255,195.039,47.392
G12,5320,0,143,44.218,34.344,5320,0,143,44.218,34.344,5320,38,255,144.255,52.127
G13,5320,0,109,16.316,26.828,5320,0,109,16.316,26.828,5320,78,255,172.350,48.019
G14,5320,0,131,5.549,18.975,5320,0,131,5.549,18.975,5320,123,255,229.304,25.984
G15,5320,0,234,134.167,65.786,5320,0,234,132.443,65.278,5320,90,255,218.577,41.050
G16,5320,139,233,195.626,18.854,5320,98,232,174.731,31.247,5320,98,255,177.989,35.663
G17,5320,57,248,151.866,46.936,5320,56,248,142.608,49.692,5320,57,255,147.701,50.777
G18,5320,22,108,50.417,21.133,5320,22,108,50.417,21.133,5320,100,244,214.186,21.689
G19,5320,7,121,63.352,22.354,5320,7,121,63.352,22.354,5320,92,255,204.804,24.754
G20,5320,0,93,42.763,29.596,5320,0,93,42.763,29.596,5320,45,255,207.237,32.494
G21,5320,0,46,1.956,6.018,5320,0,46,1.956,6.018,5320,48,255,188.677,56.304
G22,5320,0,73,2.263,9.409,5320,0,73,2.263,9.409,5320,59,255,146.695,47.008
G23,5320,0,75,2.216,9.688,5320,0,75,2.216,9.688,5320,52,252,147.633,46.453
G24,5320,0,206,44.404,51.643,5320,0,206,44.404,51.643,5320,114,255,231.829,29.534
G25,5320,48,234,170.632,48.578,5320,48,234,170.632,48.578,5320,59,255,215.878,48.528
G26,5320,54,248,179.604,45.432,5320,54,248,176.335,47.517,5320,55,255,180.252,50.246
G27,5320,20,94,41.955,11.763,5320,20,94,41.955,11.763,5320,140,255,240.048,16.052
G28,5320,17,70,55.233,9.180,5320,17,70,55.233,9.180,5320,205,255,248.192,10.332
G29,5320,0,55,9.033,14.561,5320,0,55,9.033,14.561,5320,131,255,221.344,31.499
G30,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,95,255,224.699,34.482
G31,5320,0,146,71.876,45.994,5320,0,146,71.876,45.994,5320,85,255,208.323,31.066
G32,5320,0,90,41.671,33.295,5320,0,90,41.671,33.295,5320,63,238,165.888,47.431
