Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,66,255,196.927,49.554,5320,66,250,185.532,41.517,5320,137,255,222.587,20.516
G2,5320,67,247,149.852,35.571,5320,67,244,149.784,35.419,5320,130,255,228.817,26.026
G3,5320,119,255,210.233,32.063,5320,106,244,174.887,29.666,5320,106,253,181.409,31.214
G4,5320,47,220,135.409,28.753,5320,35,187,122.587,27.548,5320,35,207,135.172,34.671
G5,5320,61,238,171.377,41.258,5320,49,209,151.535,32.510,5320,49,210,153.570,32.347
G6,5320,79,235,164.946,38.432,5320,37,221,144.552,50.682,5320,37,249,154.089,57.278
G7,5320,56,253,140.621,38.505,5320,26,159,65.632,26.703,5320,26,176,65.751,27.043
G8,5320,79,255,211.516,44.343,5320,34,169,112.349,27.599,5320,34,169,112.349,27.599
G9,5320,62,233,172.730,33.055,5320,54,233,164.517,41.476,5320,54,253,181.426,52.275
G10,5320,30,174,104.468,33.652,5320,30,174,104.468,33.652,5320,57,254,198.147,45.909
G11,5320,23,135,99.669,32.194,5320,23,135,99.669,32.194,5320,54,242,177.912,48.124
G12,5320,27,171,108.016,30.920,5320,27,171,108.016,30.920,5320,62,250,168.370,43.017
G13,5320,57,190,153.420,29.591,5320,57,190,153.420,29.592,5320,84,255,200.268,46.645
G14,5320,0,185,57.676,61.179,5320,0,185,57.671,61.171,5320,29,255,181.272,52.625
G15,5320,0,252,172.945,63.901,5320,0,251,168.132,64.436,5320,78,255,213.452,43.102
G16,5320,106,239,183.218,33.154,5320,89,239,165.569,35.846,5320,89,255,174.718,40.186
G17,5320,53,250,155.563,36.539,5320,53,249,146.850,37.661,5320,53,255,153.542,42.377
G18,5320,0,72,6.908,12.692,5320,0,72,6.908,12.692,5320,79,255,207.896,31.720
G19,5320,0,127,50.311,39.799,5320,0,127,50.311,39.799,5320,97,255,209.195,30.411
G20,5320,0,133,70.623,47.130,5320,0,133,70.623,47.130,5320,58,255,221.879,38.047
G21,5320,0,123,42.200,35.243,5320,0,123,42.200,35.243,5320,57,255,207.213,44.768
G22,5320,82,186,151.619,21.771,5320,82,186,151.619,21.771,5320,197,255,249.322,11.083
G23,5320,0,165,43.591,50.916,5320,0,165,43.591,50.916,5320,51,255,165.153,45.122
