Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,74,255,203.616,45.217,5320,74,247,189.855,37.150,5320,134,255,221.947,21.784
G2,5320,73,249,159.542,35.481,5320,73,242,159.371,35.126,5320,134,255,229.904,23.478
G3,5320,125,255,210.970,32.221,5320,120,243,176.802,30.135,5320,120,251,183.419,30.792
G4,5320,0,198,77.551,39.780,5320,0,197,77.502,39.741,5320,38,249,155.264,44.671
G5,5320,0,224,82.608,77.423,5320,0,224,81.954,76.594,5320,124,255,223.181,31.110
G6,5320,0,223,145.589,50.386,5320,0,223,127.787,55.616,5320,43,255,169.296,68.506
G7,5320,66,255,141.827,35.729,5320,24,155,72.944,26.970,5320,24,166,72.971,27.042
G8,5320,77,255,209.651,43.204,5320,35,136,98.913,20.354,5320,35,136,98.913,20.354
G9,5320,58,237,175.493,32.337,5320,55,237,163.429,43.147,5320,55,250,176.918,52.335
G10,5320,36,190,113.755,31.464,5320,36,190,113.755,31.464,5320,57,255,200.684,47.172
G11,5320,26,135,101.577,28.018,5320,26,135,101.577,28.018,5320,55,248,185.362,49.665
G12,5320,0,118,37.544,37.182,5320,0,118,37.544,37.182,5320,36,252,180.417,48.343
G13,5320,0,33,0.673,3.648,5320,0,33,0.673,3.648,5320,51,255,213.498,45.603
G14,5320,0,168,60.343,53.626,5320,0,168,60.333,53.606,5320,25,255,194.460,45.856
G15,5320,95,255,207.683,46.037,5320,95,254,196.063,44.329,5320,103,255,210.780,39.048
G16,5320,98,251,196.075,26.493,5320,66,220,148.548,32.351,5320,66,220,148.548,32.351
G17,5320,60,255,158.404,41.260,5320,57,225,138.966,37.264,5320,57,231,143.830,41.181
G18,5320,0,77,17.009,19.370,5320,0,77,17.009,19.370,5320,84,255,210.364,31.772
G19,5320,0,135,56.933,37.792,5320,0,135,56.933,37.792,5320,85,255,210.339,31.385
G20,5320,0,128,66.979,45.506,5320,0,128,66.979,45.506,5320,59,255,222.262,41.287
