Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,69,255,205.327,42.172,5320,69,252,193.362,36.141,5320,128,255,225.011,23.335
G2,5320,41,244,148.616,37.889,5320,41,236,148.527,37.705,5320,80,255,221.881,33.701
G3,5320,118,255,208.414,35.783,5320,100,239,179.226,32.495,5320,100,254,187.946,32.226
G4,5320,0,168,59.269,36.137,5320,0,168,59.268,36.137,5320,42,244,151.556,45.676
G5,5320,0,189,54.974,61.928,5320,0,189,54.960,61.906,5320,140,255,228.696,23.033
G6,5320,0,188,97.573,56.134,5320,0,188,92.405,55.386,5320,51,255,190.048,65.906
G7,5320,76,245,142.479,39.774,5320,49,177,97.665,31.641,5320,49,240,100.314,36.324
G8,5320,85,255,209.761,43.389,5320,52,169,117.079,26.845,5320,52,169,117.079,26.845
G9,5320,65,234,176.955,33.441,5320,53,234,165.598,43.903,5320,53,251,179.254,53.400
G10,5320,37,186,113.853,31.999,5320,37,186,113.853,31.999,5320,60,254,199.861,48.339
G11,5320,20,138,102.765,28.714,5320,20,138,102.765,28.714,5320,51,248,191.584,50.361
G12,5320,0,118,33.873,34.812,5320,0,118,33.873,34.812,5320,32,255,172.553,53.794
G13,5320,0,4,0.027,0.238,5320,0,4,0.027,0.238,5320,159,255,222.657,28.047
G14,5320,0,98,2.433,10.865,5320,0,98,2.433,10.865,5320,155,255,243.650,13.940
G15,5320,0,247,139.976,74.621,5320,0,245,138.277,73.592,5320,88,255,217.232,39.769
G16,5320,96,243,194.891,26.324,5320,75,240,162.952,35.744,5320,75,251,163.210,36.250
G17,5320,54,255,162.189,40.834,5320,53,241,146.532,40.987,5320,53,241,149.544,42.760
G18,5320,0,82,16.970,17.584,5320,0,82,16.970,17.584,5320,80,255,211.055,30.980
G19,5320,3,135,59.559,36.224,5320,3,135,59.559,36.224,5320,104,255,208.108,32.064
G20,5320,0,128,66.773,45.887,5320,0,128,66.773,45.887,5320,38,255,218.653,42.936
G21,5320,0,84,17.363,18.569,5320,0,84,17.363,18.569,5320,20,254,178.954,43.022
G22,5320,0,80,19.145,22.223,5320,0,80,19.145,22.223,5320,67,247,175.053,34.142
G23,5320,0,81,19.232,27.154,5320,0,81,19.232,27.154,5320,38,255,187.681,48.754
G24,5320,0,233,110.530,57.961,5320,0,229,110.518,57.937,5320,48,255,227.361,35.129
G25,5320,43,250,199.088,35.893,5320,43,249,198.021,35.397,5320,45,255,224.166,35.531
G26,5320,44,255,176.654,50.992,5320,44,250,151.621,52.450,5320,45,250,151.741,52.447
G27,5320,0,96,22.395,20.347,5320,0,96,22.395,20.347,5320,111,255,249.389,11.312
G28,5320,18,70,52.746,10.025,5320,18,70,52.746,10.025,5320,172,255,249.028,11.856
G29,5320,0,79,18.939,21.582,5320,0,79,18.939,21.582,5320,116,255,210.443,35.326
G30,5320,0,48,6.847,13.076,5320,0,48,6.847,13.076,5320,106,255,218.908,37.349
G31,5320,0,99,67.270,24.755,5320,0,99,67.270,24.755,5320,142,255,226.430,25.679
G32,5320,0,117,58.658,36.243,5320,0,117,58.658,36.243,5320,130,255,212.283,34.702
G33,5320,0,185,80.081,54.852,5320,0,185,80.061,54.855,5320,33,255,211.585,52.500
G34,5320,32,255,152.467,60.150,5320,30,232,140.448,50.126,5320,30,244,162.406,56.565
G35,5320,64,255,187.048,65.118,5320,57,235,164.283,58.672,5320,57,235,164.283,58.673
G36,5320,17,231,122.723,53.383,5320,17,230,122.531,53.079,5320,46,255,212.805,54.727
G37,5320,18,86,57.748,13.737,5320,18,86,57.748,13.737,5320,69,255,222.290,35.940
G38,5320,5,92,68.878,22.591,5320,5,92,68.878,22.591,5320,87,255,225.910,37.400
G39,5320,0,26,0.938,2.999,5320,0,26,0.938,2.999,5320,57,255,198.561,49.240
G40,5320,0,88,33.303,29.297,5320,0,88,33.303,29.297,5320,137,255,217.905,27.792
G41,5320,0,89,22.248,26.165,5320,0,89,22.248,26.165,5320,111,255,192.020,32.461
G42,5320,0,217,106.731,87.465,5320,0,217,106.731,87.465,5320,38,255,209.202,50.102
G43,5320,70,233,143.166,41.126,5320,58,215,130.152,38.630,5320,58,245,133.676,43.557
G44,5320,52,255,173.281,42.072,5320,46,205,145.086,31.728,5320,46,205,145.086,31.728
G45,5320,23,255,120.011,59.393,5320,23,241,112.589,47.263,5320,45,255,196.764,38.304
G46,5320,28,117,79.102,13.047,5320,28,117,79.102,13.047,5320,92,255,205.993,23.881
G47,5320,27,141,93.705,16.731,5320,27,141,93.705,16.731,5320,188,255,243.676,13.609
G48,5320,0,142,26.982,35.745,5320,0,142,26.982,35.745,5320,54,255,218.221,44.567
G49,5320,0,6,0.018,0.215,5320,0,6,0.018,0.215,5320,58,255,227.260,33.992
G50,5320,0,22,0.603,2.421,5320,0,22,0.603,2.421,5320,99,255,212.231,28.572
G51,5320,0,238,79.078,83.932,5320,0,223,77.828,82.118,5320,42,255,188.363,52.835
G52,5320,98,255,214.445,35.338,5320,78,225,180.923,31.714,5320,78,227,181.243,31.828
G53,5320,118,250,220.419,28.950,5320,88,204,167.668,26.651,5320,88,204,167.668,26.651
G54,5320,65,129,97.031,15.680,5320,65,129,97.031,15.680,5320,165,255,230.043,22.618
G55,5320,61,164,118.503,22.542,5320,61,164,118.503,22.542,5320,92,255,200.596,34.860
G56,5320,88,206,146.736,26.273,5320,88,206,146.736,26.273,5320,115,255,222.680,41.483
G57,5320,0,249,139.207,54.519,5320,0,242,138.774,54.055,5320,59,255,192.680,47.260
