Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,25,255,175.703,58.741,5320,25,249,171.694,55.131,5320,77,255,229.080,26.359
G2,5320,10,177,74.615,33.717,5320,10,175,74.613,33.712,5320,57,255,207.725,37.231
G3,5320,62,255,194.411,47.557,5320,62,240,178.752,40.160,5320,131,255,207.359,28.230
G4,5320,20,148,96.384,27.535,5320,20,148,96.384,27.535,5320,32,216,173.083,30.927
G5,5320,0,152,79.384,47.886,5320,0,152,79.384,47.886,5320,141,255,218.548,25.576
G6,5320,0,165,68.964,40.935,5320,0,165,68.964,40.935,5320,70,255,182.563,63.128
G7,5320,56,201,137.868,40.101,5320,56,201,134.948,40.650,5320,57,255,158.643,54.148
G8,5320,76,255,214.941,40.961,5320,52,199,144.023,27.799,5320,52,199,144.023,27.799
G9,5320,33,223,137.590,45.426,5320,33,216,130.133,45.915,5320,52,227,160.912,48.827
G10,5320,0,157,63.127,32.758,5320,0,157,63.127,32.758,5320,82,251,196.307,39.052
G11,5320,0,44,6.337,10.526,5320,0,44,6.337,10.526,5320,47,228,172.480,42.319
G12,5320,0,68,20.365,18.022,5320,0,68,20.365,18.022,5320,45,227,163.080,40.584
G13,5320,0,47,1.236,5.084,5320,0,47,1.236,5.084,5320,60,255,167.455,40.284
G14,5320,0,66,1.223,6.736,5320,0,66,1.223,6.736,5320,85,255,215.302,38.706
G15,5320,0,207,95.820,58.242,5320,0,207,95.399,57.948,5320,101,255,220.702,37.403
G16,5320,138,219,192.283,18.987,5320,92,219,173.903,28.597,5320,92,255,181.032,36.307
G17,5320,51,244,155.394,43.830,5320,50,244,142.696,48.512,5320,52,255,146.774,52.149
G18,5320,0,77,12.062,17.817,5320,0,77,12.062,17.817,5320,85,255,219.224,26.871
G19,5320,0,62,9.733,16.837,5320,0,62,9.733,16.837,5320,104,255,204.841,22.872
G20,5320,0,39,1.389,5.537,5320,0,39,1.389,5.537,5320,87,255,218.596,24.131
G21,5320,0,49,25.835,17.142,5320,0,49,25.835,17.142,5320,131,255,232.337,17.836
G22,5320,0,52,12.523,17.001,5320,0,52,12.523,17.001,5320,26,255,140.725,54.261
G23,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,72,243,149.341,44.046
G24,5320,0,176,27.918,40.354,5320,0,176,27.918,40.354,5320,110,255,226.684,29.214
G25,5320,39,225,163.993,43.225,5320,39,225,163.993,43.225,5320,56,255,224.112,40.052
G26,5320,50,246,181.063,49.397,5320,50,246,178.187,50.322,5320,53,255,184.489,53.275
G27,5320,0,111,13.845,14.148,5320,0,111,13.845,14.148,5320,162,255,235.381,20.293
G28,5320,0,16,0.745,2.417,5320,0,16,0.745,2.417,5320,197,255,249.932,9.225
G29,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,78,255,223.635,30.876
