Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,96,255,215.690,37.348,5320,96,251,198.132,30.240,5320,150,255,222.801,25.595
G2,5320,32,244,152.450,37.600,5320,32,239,152.417,37.525,5320,57,255,214.313,33.959
G3,5320,114,255,218.234,32.458,5320,114,240,181.612,30.307,5320,130,255,187.432,30.684
G4,5320,24,194,146.949,30.928,5320,24,193,145.465,31.385,5320,24,255,185.484,46.491
G5,5320,35,241,152.202,50.951,5320,35,235,151.651,50.351,5320,86,255,208.378,34.040
G6,5320,28,255,174.162,52.597,5320,28,226,129.113,50.462,5320,30,255,172.250,68.942
G7,5320,50,255,204.039,48.749,5320,0,146,14.827,29.019,5320,0,173,14.997,29.709
G8,5320,93,255,217.537,39.249,5320,1,128,83.161,29.329,5320,1,128,83.161,29.329
G9,5320,26,204,134.916,36.187,5320,26,201,127.041,38.406,5320,59,217,156.371,44.493
G10,5320,44,197,114.146,25.003,5320,44,197,114.146,25.003,5320,71,255,200.670,45.464
G11,5320,22,111,72.629,19.793,5320,22,111,72.629,19.793,5320,46,243,181.129,43.829
G12,5320,0,116,45.056,31.451,5320,0,116,45.056,31.451,5320,35,255,184.552,55.232
G13,5320,0,108,31.702,15.453,5320,0,108,31.702,15.453,5320,118,255,214.284,23.037
G14,5320,0,187,35.484,39.183,5320,0,187,35.409,38.917,5320,116,255,236.595,23.784
G15,5320,0,253,161.235,60.214,5320,0,238,147.501,55.263,5320,64,255,192.968,35.971
G16,5320,137,248,201.401,23.404,5320,90,228,143.284,26.485,5320,90,228,143.284,26.485
G17,5320,59,255,148.990,50.798,5320,59,237,131.373,46.984,5320,62,237,135.268,47.006
G18,5320,0,83,20.196,20.127,5320,0,83,20.196,20.127,5320,124,246,205.814,25.509
G19,5320,4,135,58.918,33.444,5320,4,135,58.918,33.444,5320,110,255,209.762,28.772
G20,5320,0,107,52.137,33.111,5320,0,107,52.137,33.111,5320,47,255,206.082,44.976
G21,5320,0,45,2.915,8.100,5320,0,45,2.915,8.100,5320,33,255,192.063,51.683
G22,5320,0,71,24.832,23.093,5320,0,71,24.832,23.093,5320,122,255,213.794,28.417
G23,5320,0,114,37.545,35.682,5320,0,114,37.545,35.682,5320,63,255,171.637,58.925
G24,5320,0,255,118.801,74.324,5320,0,242,118.375,73.650,5320,100,255,215.008,36.653
G25,5320,60,255,207.973,45.707,5320,55,249,193.339,42.983,5320,55,255,198.652,46.034
G26,5320,56,255,181.798,56.274,5320,51,236,165.140,52.614,5320,51,236,165.140,52.614
G27,5320,2,88,31.377,13.932,5320,2,88,31.377,13.932,5320,111,255,243.284,14.138
G28,5320,5,46,26.958,10.345,5320,5,46,26.958,10.345,5320,183,255,251.269,9.499
G29,5320,0,96,11.711,18.217,5320,0,96,11.711,18.217,5320,91,255,220.938,29.803
G30,5320,0,131,40.430,42.730,5320,0,131,40.430,42.730,5320,57,255,177.636,44.626
G31,5320,0,101,56.938,31.577,5320,0,101,56.938,31.577,5320,61,255,186.608,51.749
G32,5320,9,150,78.879,32.106,5320,9,150,78.169,31.898,5320,57,255,165.481,52.900
G33,5320,38,238,159.695,50.210,5320,31,215,139.722,44.033,5320,33,235,155.311,51.744
G34,5320,46,247,169.407,48.212,5320,31,198,130.826,40.830,5320,31,227,132.918,42.981
G35,5320,65,255,185.603,53.284,5320,57,216,152.648,40.277,5320,57,216,152.648,40.277
G36,5320,15,202,99.633,43.334,5320,15,202,99.633,43.334,5320,47,255,222.654,43.689
G37,5320,0,58,23.288,15.420,5320,0,58,23.288,15.420,5320,88,255,228.153,31.724
G38,5320,15,103,59.760,18.110,5320,15,103,59.760,18.110,5320,131,255,230.557,21.617
G39,5320,24,132,88.412,22.337,5320,24,132,88.412,22.337,5320,122,255,231.090,20.770
G40,5320,39,107,70.131,13.863,5320,39,107,70.131,13.863,5320,151,255,234.364,27.601
G41,5320,68,220,150.173,34.400,5320,68,220,150.173,34.400,5320,127,255,236.329,18.786
G42,5320,45,233,175.013,33.594,5320,45,233,174.162,33.677,5320,63,255,208.893,38.568
G43,5320,67,230,144.493,38.722,5320,53,227,112.455,35.915,5320,53,250,113.883,38.991
G44,5320,56,228,159.214,34.768,5320,43,195,121.801,28.612,5320,43,195,121.803,28.610
G45,5320,16,255,104.426,46.431,5320,16,245,103.347,43.517,5320,26,255,218.838,51.619
G46,5320,19,92,63.144,17.529,5320,19,92,63.144,17.529,5320,92,255,216.030,30.291
G47,5320,37,141,59.267,18.991,5320,37,141,59.267,18.991,5320,196,255,245.212,13.219
G48,5320,27,189,112.334,44.882,5320,27,189,112.334,44.882,5320,130,255,236.690,26.450
G49,5320,41,176,115.417,38.339,5320,41,176,115.417,38.339,5320,162,255,229.923,19.624
G50,5320,100,252,191.229,36.308,5320,100,247,183.623,31.072,5320,169,255,240.866,24.240
G51,5320,173,255,232.848,19.522,5320,76,243,168.129,34.518,5320,76,255,170.733,38.359
G52,5320,84,255,207.912,40.692,5320,45,174,117.081,30.964,5320,45,174,117.081,30.964
G53,5320,85,255,218.319,39.343,5320,46,172,121.684,34.082,5320,46,172,121.684,34.082
G54,5320,2,89,36.471,24.004,5320,2,89,36.471,24.004,5320,143,255,239.859,22.241
G55,5320,12,137,70.162,15.943,5320,12,137,70.162,15.943,5320,130,255,230.334,29.375
G56,5320,59,178,113.535,30.149,5320,59,178,113.535,30.149,5320,131,255,220.496,36.740
G57,5320,138,208,166.018,14.286,5320,138,208,166.018,14.286,5320,189,255,230.104,17.125
G58,5320,89,199,152.895,26.348,5320,89,199,152.895,26.348,5320,178,255,227.795,19.982
G59,5320,36,252,149.763,66.791,5320,36,247,143.472,59.691,5320,97,255,234.420,22.342
G60,5320,37,255,179.689,56.099,5320,19,201,129.864,40.570,5320,19,219,134.356,42.007
G61,5320,51,255,167.912,43.833,5320,18,190,103.140,37.243,5320,18,190,103.140,37.243
G62,5320,79,251,148.933,34.299,5320,37,168,74.524,25.459,5320,37,168,74.524,25.459
G63,5320,12,240,137.800,59.407,5320,12,237,137.788,59.388,5320,96,255,226.634,30.581
G64,5320,98,244,199.168,36.093,5320,23,240,166.224,48.504,5320,23,255,184.754,53.739
G65,5320,136,255,221.368,24.290,5320,0,252,140.837,77.105,5320,0,255,151.858,85.654
G66,5320,49,255,162.093,49.780,5320,49,232,158.700,45.109,5320,189,255,236.433,16.603
G67,5320,1,158,40.726,31.333,5320,1,158,40.726,31.333,5320,41,255,199.664,54.219
G68,5320,41,255,161.588,68.113,5320,41,248,153.728,59.672,5320,86,255,212.702,39.909
G69,5320,180,255,242.269,13.448,5320,100,231,156.913,27.166,5320,100,237,158.301,29.633
G70,5320,36,255,209.328,54.321,5320,7,175,122.842,41.081,5320,7,175,123.272,41.036
G71,5320,15,240,145.924,55.282,5320,15,237,145.812,55.183,5320,68,255,214.792,36.816
G72,5320,177,255,233.715,16.408,5320,0,234,146.732,67.308,5320,0,250,149.506,70.571
G73,5320,179,255,229.661,19.843,5320,0,184,16.413,30.067,5320,0,184,16.413,30.067
G74,5320,16,255,221.256,55.740,5320,0,227,100.970,69.589,5320,0,243,107.448,73.857
G75,5320,14,150,87.109,27.376,5320,14,150,87.109,27.378,5320,31,255,200.880,42.567
G76,5320,53,205,122.872,32.138,5320,53,205,122.871,32.137,5320,188,255,232.599,14.863
G77,5320,78,255,229.135,25.518,5320,69,252,191.424,37.344,5320,69,255,201.913,44.865
G78,5320,11,244,179.237,40.359,5320,11,244,179.232,40.352,5320,35,255,234.424,29.267
G79,5320,160,255,234.185,14.239,5320,106,245,203.013,27.534,5320,106,254,209.234,32.163
G80,5320,146,255,239.093,17.466,5320,16,191,99.051,34.879,5320,16,191,99.051,34.879
G81,5320,121,255,234.024,24.995,5320,0,178,35.456,43.434,5320,0,209,36.702,47.317
G82,5320,62,255,162.610,53.161,5320,0,187,73.773,59.759,5320,0,255,116.232,95.440
G83,5320,53,247,136.394,49.904,5320,53,216,134.051,46.158,5320,120,253,206.238,30.619
G84,5320,68,249,186.344,33.904,5320,62,244,178.196,32.805,5320,62,255,202.921,38.596
G85,5320,144,255,202.527,20.496,5320,144,237,195.038,16.751,5320,144,255,223.576,27.186
G86,5320,176,255,234.245,20.133,5320,160,250,205.932,22.983,5320,160,250,208.772,23.079
G87,5320,160,255,231.337,26.669,5320,103,222,161.025,34.628,5320,103,222,161.025,34.628
G88,5320,118,255,238.922,24.321,5320,28,207,142.464,28.296,5320,28,207,142.464,28.296
G89,5320,131,255,240.789,21.875,5320,2,248,168.483,61.782,5320,2,248,168.483,61.782
G90,5320,117,255,215.262,31.339,5320,87,252,202.696,35.098,5320,87,253,208.401,36.933
G91,5320,170,248,228.383,13.641,5320,145,247,215.834,16.643,5320,145,255,222.617,20.972
G92,5320,13,255,211.307,45.525,5320,12,223,158.117,40.340,5320,12,225,160.270,41.330
G93,5320,47,249,200.975,34.775,5320,27,238,191.265,41.557,5320,27,252,200.993,45.147
G94,5320,85,255,203.057,32.165,5320,47,239,156.876,39.478,5320,47,253,158.832,42.184
G95,5320,54,255,158.248,51.219,5320,5,119,56.119,30.197,5320,5,119,56.119,30.197
G96,5320,28,183,92.496,40.845,5320,28,183,92.496,40.845,5320,125,255,244.495,17.607
G97,5320,0,88,40.882,29.026,5320,0,88,40.882,29.026,5320,47,255,192.288,49.814
G98,5320,0,232,54.821,52.463,5320,0,232,54.821,52.463,5320,9,255,229.667,42.613
G99,5320,2,232,76.927,51.483,5320,2,232,76.927,51.483,5320,10,255,155.487,55.303
G100,5320,114,247,180.954,32.963,5320,101,246,174.997,30.963,5320,101,255,207.620,37.219
