Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,86,255,231.305,21.848,5320,86,249,186.432,30.796,5320,120,255,190.153,34.017
G2,5320,122,255,226.633,28.577,5320,59,217,162.520,39.105,5320,59,217,162.560,39.151
G3,5320,157,255,218.260,27.282,5320,84,185,130.054,20.271,5320,84,185,130.054,20.271
G4,5320,40,255,156.945,52.861,5320,0,83,11.796,18.570,5320,0,83,11.796,18.570
G5,5320,141,255,233.190,24.009,5320,0,64,15.384,17.857,5320,0,64,15.384,17.857
G6,5320,62,255,210.718,57.928,5320,14,99,65.374,23.702,5320,14,99,65.374,23.702
G7,5320,51,255,172.065,47.409,5320,17,106,52.956,23.350,5320,17,106,52.956,23.350
G8,5320,87,255,211.358,43.721,5320,22,122,61.766,23.706,5320,22,122,61.766,23.706
G9,5320,63,241,172.117,35.387,5320,55,241,160.501,47.106,5320,55,250,174.694,56.421
G10,5320,51,227,153.256,45.730,5320,51,227,153.203,45.751,5320,58,255,199.020,51.595
G11,5320,54,241,179.830,48.422,5320,45,231,175.465,49.839,5320,45,249,186.079,55.062
G12,5320,36,255,165.595,55.604,5320,0,231,55.595,77.095,5320,0,231,55.692,77.298
G13,5320,53,244,166.562,37.602,5320,0,19,0.639,2.612,5320,0,19,0.639,2.612
G14,5320,69,255,219.047,42.466,5320,0,81,19.935,17.804,5320,0,81,19.935,17.804
G15,5320,135,255,212.343,30.359,5320,0,85,33.329,22.216,5320,0,85,33.329,22.216
G16,5320,92,255,192.315,39.275,5320,18,215,106.741,43.246,5320,18,215,106.741,43.246
G17,5320,54,255,156.076,43.762,5320,53,223,136.742,38.506,5320,53,233,143.487,43.241
G18,5320,1,106,29.332,20.612,5320,1,106,29.332,20.612,5320,86,255,210.189,32.160
G19,5320,15,189,100.268,45.071,5320,15,189,100.268,45.071,5320,104,255,208.299,32.183
G20,5320,33,235,171.197,46.950,5320,33,234,171.155,46.916,5320,51,255,221.873,39.845
G21,5320,16,255,201.855,48.042,5320,0,248,156.419,67.054,5320,0,253,158.592,69.003
G22,5320,80,235,176.320,39.705,5320,0,208,43.590,49.452,5320,0,226,43.806,50.130
G23,5320,46,255,176.506,66.601,5320,0,38,0.740,3.693,5320,0,38,0.740,3.693
G24,5320,207,255,246.879,9.813,5320,0,67,13.502,17.196,5320,0,67,13.502,17.196
G25,5320,45,255,225.618,36.611,5320,26,223,116.516,47.624,5320,26,223,116.516,47.624
G26,5320,45,255,176.152,52.386,5320,28,224,128.425,46.483,5320,28,224,128.425,46.483
G27,5320,9,100,43.302,22.165,5320,9,100,43.302,22.165,5320,126,255,249.481,11.021
G28,5320,43,134,99.656,18.371,5320,43,134,99.656,18.371,5320,189,255,249.092,11.014
G29,5320,74,211,130.242,23.136,5320,74,211,130.242,23.136,5320,128,255,211.216,33.630
G30,5320,26,236,99.440,59.867,5320,26,235,99.393,59.790,5320,61,255,214.100,40.326
G31,5320,35,255,211.151,38.346,5320,35,200,139.878,39.783,5320,36,255,147.707,47.245
G32,5320,59,229,135.045,46.257,5320,0,115,23.897,30.979,5320,0,115,23.897,30.979
G33,5320,33,244,181.428,56.095,5320,0,215,20.288,48.038,5320,0,215,20.288,48.038
G34,5320,27,255,168.988,61.793,5320,0,189,57.936,39.485,5320,0,189,57.936,39.485
G35,5320,65,255,188.097,64.793,5320,50,177,126.801,36.204,5320,50,177,126.801,36.204
G36,5320,22,224,124.915,49.216,5320,22,222,124.874,49.143,5320,48,255,209.262,54.181
G37,5320,27,154,96.126,22.913,5320,27,154,96.126,22.913,5320,68,255,223.576,34.742
G38,5320,81,202,160.031,20.974,5320,81,202,160.031,20.974,5320,129,255,236.067,25.526
G39,5320,19,211,139.311,65.310,5320,19,211,139.311,65.310,5320,63,255,200.216,58.965
G40,5320,90,255,200.178,40.431,5320,90,223,172.572,19.967,5320,118,238,189.362,23.479
G41,5320,135,255,221.854,35.902,5320,6,213,127.404,61.196,5320,6,213,127.404,61.196
G42,5320,41,255,195.855,52.150,5320,0,239,149.001,72.825,5320,0,239,149.001,72.825
G43,5320,70,246,146.827,45.769,5320,40,226,111.174,43.310,5320,40,226,111.174,43.310
G44,5320,50,255,168.476,42.943,5320,41,166,118.599,24.764,5320,41,166,118.599,24.764
G45,5320,25,255,134.479,50.016,5320,25,237,128.049,39.630,5320,47,254,198.361,36.129
G46,5320,51,175,123.836,18.253,5320,51,175,123.836,18.253,5320,107,255,206.995,22.445
G47,5320,147,254,190.182,23.067,5320,147,248,189.494,21.521,5320,211,255,248.925,8.885
G48,5320,159,255,204.101,21.734,5320,150,241,197.221,18.751,5320,150,255,213.511,27.757
G49,5320,118,255,216.889,25.555,5320,117,251,212.879,23.970,5320,117,251,218.737,23.563
G50,5320,137,255,239.253,25.032,5320,124,241,209.080,21.831,5320,124,241,209.080,21.831
G51,5320,158,255,227.048,22.626,5320,103,222,173.158,27.989,5320,103,222,173.158,27.989
G52,5320,103,255,218.775,32.781,5320,63,164,133.574,22.976,5320,63,164,133.574,22.976
G53,5320,118,250,221.453,25.792,5320,73,173,141.856,23.333,5320,73,173,141.856,23.333
G54,5320,76,153,114.062,17.399,5320,76,153,114.062,17.399,5320,172,255,230.017,21.657
G55,5320,75,224,152.371,30.847,5320,75,224,152.371,30.847,5320,93,255,202.472,34.690
G56,5320,52,255,197.524,50.077,5320,50,248,190.550,46.482,5320,50,255,205.454,52.469
G57,5320,55,255,194.186,44.804,5320,45,242,174.606,40.078,5320,45,251,184.177,44.651
G58,5320,84,254,197.270,36.540,5320,82,252,195.447,37.167,5320,82,255,209.185,40.726
G59,5320,41,254,201.793,33.953,5320,37,254,179.588,40.084,5320,37,255,182.288,44.044
G60,5320,42,226,168.901,46.251,5320,29,176,114.284,34.362,5320,29,176,114.284,34.362
G61,5320,60,227,167.730,38.042,5320,28,158,105.991,27.647,5320,28,158,105.991,27.647
G62,5320,75,235,141.174,37.455,5320,32,148,77.273,24.106,5320,32,148,77.273,24.106
G63,5320,0,255,187.165,55.914,5320,0,251,180.793,50.761,5320,86,255,211.471,32.754
G64,5320,88,255,218.856,34.527,5320,9,253,188.016,45.977,5320,9,254,192.700,46.798
G65,5320,157,255,225.434,21.578,5320,64,246,206.013,32.814,5320,64,255,219.737,37.636
G66,5320,172,255,226.014,19.710,5320,172,243,218.041,13.964,5320,185,255,237.228,16.858
G67,5320,49,241,180.396,31.597,5320,45,231,178.602,31.438,5320,46,255,225.098,42.202
G68,5320,134,255,222.880,28.545,5320,110,230,171.303,34.146,5320,110,230,171.305,34.149
G69,5320,180,255,245.110,16.965,5320,88,179,135.955,19.209,5320,88,179,135.955,19.209
G70,5320,43,255,210.567,57.081,5320,0,157,104.853,40.988,5320,0,157,104.853,40.988
G71,5320,0,255,152.588,100.304,5320,0,241,124.933,80.573,5320,72,255,192.671,38.075
G72,5320,163,255,231.306,19.985,5320,0,168,59.731,36.505,5320,0,168,59.731,36.505
G73,5320,169,255,243.557,16.725,5320,6,180,60.236,22.730,5320,6,180,60.236,22.730
G74,5320,174,255,230.016,21.754,5320,48,229,141.963,61.012,5320,48,255,147.588,67.640
G75,5320,79,255,193.763,39.384,5320,79,253,192.580,38.561,5320,97,255,227.201,19.753
G76,5320,116,255,220.295,27.357,5320,115,254,205.227,28.681,5320,115,254,205.702,28.693
G77,5320,94,255,229.957,24.873,5320,68,221,152.457,28.161,5320,68,221,152.457,28.161
G78,5320,0,255,216.026,48.583,5320,0,252,198.067,41.451,5320,42,255,218.362,29.343
G79,5320,186,255,240.967,10.525,5320,50,196,135.777,34.449,5320,50,196,135.777,34.449
G80,5320,157,255,247.517,14.346,5320,25,130,64.868,29.224,5320,25,130,64.868,29.224
G81,5320,98,255,233.520,24.445,5320,36,183,96.948,33.744,5320,36,183,96.948,33.744
G82,5320,92,255,224.539,25.322,5320,65,253,173.663,44.832,5320,65,254,173.788,45.045
G83,5320,152,255,223.665,23.156,5320,141,254,215.121,25.723,5320,141,254,215.305,25.961
G84,5320,63,255,208.065,30.921,5320,49,240,177.582,31.440,5320,49,240,177.582,31.441
G85,5320,106,255,230.150,24.819,5320,86,252,193.276,40.758,5320,86,255,194.273,41.578
G86,5320,169,255,238.809,17.987,5320,113,212,172.461,23.075,5320,113,212,172.461,23.075
G87,5320,160,255,224.762,26.879,5320,85,198,134.848,30.117,5320,85,198,134.848,30.117
