Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,74,255,199.753,46.673,5320,74,251,187.842,38.835,5320,125,255,221.625,19.433
G2,5320,57,245,135.556,36.617,5320,57,240,135.497,36.475,5320,117,255,224.067,28.014
G3,5320,111,255,207.205,35.924,5320,111,239,178.110,32.319,5320,114,253,188.883,31.904
G4,5320,36,218,114.351,36.536,5320,36,215,114.260,36.395,5320,47,244,166.148,40.616
G5,5320,7,255,120.899,50.163,5320,7,219,114.487,42.081,5320,96,252,181.137,34.492
G6,5320,0,255,117.314,79.105,5320,0,251,106.796,69.736,5320,85,255,196.145,46.848
G7,5320,66,253,202.717,28.270,5320,39,223,118.517,45.179,5320,39,255,129.058,57.707
G8,5320,93,255,215.525,42.280,5320,44,161,106.965,24.676,5320,44,161,106.965,24.676
G9,5320,62,240,177.961,37.386,5320,58,239,168.990,46.526,5320,58,251,181.183,53.508
G10,5320,36,180,106.108,26.909,5320,36,180,106.108,26.909,5320,61,250,196.672,45.614
G11,5320,18,123,86.941,25.030,5320,18,123,86.941,25.030,5320,50,236,178.812,47.283
G12,5320,0,96,35.042,26.061,5320,0,96,35.042,26.061,5320,38,226,152.394,45.798
G13,5320,0,74,6.342,13.296,5320,0,74,6.342,13.296,5320,98,246,184.270,27.687
G14,5320,0,47,1.240,5.374,5320,0,47,1.240,5.374,5320,169,255,237.615,19.219
G15,5320,0,231,113.836,70.305,5320,0,229,110.752,67.920,5320,108,255,229.636,32.999
G16,5320,111,237,189.806,27.975,5320,90,237,151.393,37.962,5320,90,255,154.249,43.031
G17,5320,54,255,161.841,39.976,5320,52,248,146.464,42.207,5320,52,250,148.994,43.303
G18,5320,0,79,16.145,18.055,5320,0,79,16.145,18.055,5320,96,255,211.407,30.646
G19,5320,1,119,51.862,30.430,5320,1,119,51.862,30.430,5320,94,255,205.747,30.257
G20,5320,6,113,61.775,33.615,5320,6,113,61.775,33.615,5320,100,255,216.597,39.346
G21,5320,0,139,57.965,36.174,5320,0,139,57.965,36.174,5320,50,255,181.446,57.097
G22,5320,0,145,38.158,39.471,5320,0,145,38.158,39.471,5320,62,255,122.469,43.783
G23,5320,0,56,1.072,6.415,5320,0,56,1.072,6.415,5320,52,255,177.717,64.203
G24,5320,0,192,36.409,46.346,5320,0,192,36.409,46.346,5320,156,255,239.509,19.988
G25,5320,41,230,172.324,36.660,5320,41,230,172.259,36.628,5320,46,255,226.087,36.933
G26,5320,42,255,176.452,50.667,5320,42,248,157.316,53.688,5320,45,254,159.402,55.544
G27,5320,1,74,28.786,19.324,5320,1,74,28.786,19.324,5320,115,255,248.485,10.385
G28,5320,13,76,57.960,11.015,5320,13,76,57.960,11.015,5320,163,255,249.185,12.327
G29,5320,14,108,51.276,21.929,5320,14,108,51.276,21.929,5320,114,255,222.934,32.951
G30,5320,15,146,109.174,25.922,5320,15,146,109.174,25.922,5320,75,255,219.137,35.829
G31,5320,39,153,112.718,26.986,5320,39,153,112.718,26.986,5320,76,255,211.018,44.463
G32,5320,0,137,34.517,44.478,5320,0,137,34.517,44.478,5320,50,255,151.430,60.457
G33,5320,0,183,56.625,44.617,5320,0,183,56.622,44.617,5320,34,252,201.322,48.179
G34,5320,43,255,138.003,60.236,5320,41,235,129.402,51.668,5320,41,244,158.539,54.306
G35,5320,67,255,186.362,64.781,5320,60,237,166.064,59.525,5320,60,237,166.255,59.736
G36,5320,16,230,117.054,48.593,5320,16,229,116.952,48.392,5320,45,255,217.348,51.530
G37,5320,19,111,64.844,18.059,5320,19,111,64.844,18.059,5320,69,255,223.675,35.152
G38,5320,3,128,96.224,25.015,5320,3,128,96.224,25.015,5320,51,255,219.354,47.652
G39,5320,0,88,11.441,16.730,5320,0,88,11.441,16.730,5320,50,255,192.768,57.696
G40,5320,9,155,85.259,45.395,5320,9,155,85.259,45.395,5320,75,254,211.483,29.152
G41,5320,37,167,131.691,20.633,5320,37,167,131.691,20.633,5320,108,255,204.751,26.768
G42,5320,35,216,141.721,55.368,5320,35,216,141.721,55.368,5320,69,255,191.161,54.463
G43,5320,73,227,142.630,38.940,5320,60,210,130.873,36.522,5320,60,236,133.800,40.165
G44,5320,53,255,172.102,42.644,5320,48,203,146.221,33.007,5320,48,203,146.225,33.003
G45,5320,22,255,125.974,54.211,5320,22,244,119.062,44.068,5320,44,255,199.359,42.693
G46,5320,26,132,93.558,14.474,5320,26,132,93.558,14.474,5320,81,255,207.208,24.023
G47,5320,7,201,133.763,28.904,5320,7,201,133.763,28.904,5320,85,255,242.365,26.293
G48,5320,0,205,73.476,55.893,5320,0,205,73.476,55.893,5320,81,255,169.637,53.622
G49,5320,30,160,103.546,28.769,5320,30,160,103.546,28.769,5320,60,255,202.782,44.377
G50,5320,72,164,137.306,17.331,5320,72,164,137.306,17.331,5320,131,255,247.592,17.148
G51,5320,94,237,145.455,34.059,5320,94,227,145.039,33.208,5320,145,255,220.408,28.087
G52,5320,107,255,211.766,36.387,5320,90,232,184.218,34.383,5320,90,236,184.887,34.724
G53,5320,120,254,222.970,29.185,5320,82,202,170.103,27.991,5320,82,202,170.103,27.991
G54,5320,87,130,107.254,10.971,5320,87,130,107.254,10.971,5320,178,255,240.053,16.876
G55,5320,70,169,121.346,26.862,5320,70,169,121.346,26.862,5320,106,255,200.960,35.877
G56,5320,95,216,162.462,28.441,5320,95,216,162.462,28.441,5320,130,255,218.712,37.664
G57,5320,58,218,149.007,48.202,5320,58,218,149.007,48.202,5320,78,255,187.700,50.925
G58,5320,46,174,96.051,27.520,5320,46,174,96.051,27.520,5320,80,255,160.059,42.885
G59,5320,45,144,98.912,24.039,5320,45,144,98.912,24.039,5320,70,255,173.924,46.378
G60,5320,39,227,124.852,49.440,5320,39,202,120.614,43.717,5320,48,227,149.036,41.059
G61,5320,84,255,160.095,40.229,5320,79,218,141.478,35.185,5320,79,218,141.485,35.186
G62,5320,71,245,136.896,46.117,5320,39,189,88.267,35.056,5320,39,189,88.267,35.056
G63,5320,0,254,173.655,50.806,5320,0,232,171.340,48.389,5320,91,255,215.098,30.510
G64,5320,103,255,216.904,39.848,5320,103,250,202.326,33.558,5320,138,255,212.089,27.736
G65,5320,96,211,147.862,24.812,5320,96,211,147.168,24.111,5320,133,248,203.428,21.465
G66,5320,27,120,88.008,20.584,5320,27,120,88.008,20.584,5320,166,255,224.598,19.521
G67,5320,9,136,49.068,28.377,5320,9,136,49.068,28.377,5320,75,255,201.706,46.419
G68,5320,88,255,180.308,38.324,5320,88,243,177.633,35.762,5320,122,255,222.920,33.601
