Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,102,255,215.390,37.722,5320,102,252,200.534,31.344,5320,158,255,228.496,24.262
G2,5320,37,246,152.718,38.212,5320,37,240,152.590,38.002,5320,65,255,216.737,34.400
G3,5320,98,255,219.729,33.202,5320,98,240,182.329,30.804,5320,113,252,188.202,31.607
G4,5320,32,249,150.217,43.026,5320,28,199,111.397,33.817,5320,28,203,117.577,39.631
G5,5320,126,255,224.582,28.010,5320,109,229,192.379,22.586,5320,109,255,199.689,25.691
G6,5320,69,216,124.341,36.605,5320,69,216,124.336,36.596,5320,74,255,181.788,68.791
G7,5320,65,212,140.280,35.138,5320,62,212,135.070,36.975,5320,62,255,149.358,50.407
G8,5320,97,255,215.460,39.748,5320,73,182,131.395,20.997,5320,73,182,131.395,20.997
G9,5320,30,190,127.388,32.592,5320,30,190,123.580,33.766,5320,61,220,160.719,43.826
G10,5320,32,188,104.643,26.391,5320,32,188,104.643,26.391,5320,57,255,200.344,44.520
G11,5320,23,108,80.345,17.892,5320,23,108,80.345,17.892,5320,50,250,193.726,46.123
G12,5320,3,180,60.183,32.829,5320,3,112,56.187,27.290,5320,35,255,148.064,56.011
G13,5320,24,200,79.211,35.800,5320,24,167,75.809,29.575,5320,52,253,173.063,36.329
G14,5320,0,135,35.410,36.657,5320,0,135,35.410,36.657,5320,105,255,229.441,30.958
G15,5320,0,240,155.690,49.860,5320,0,239,153.599,50.058,5320,104,255,217.289,40.027
G16,5320,127,242,198.588,29.690,5320,91,242,170.381,39.474,5320,91,253,171.179,40.698
G17,5320,31,255,150.613,49.239,5320,31,251,143.002,50.065,5320,60,253,150.544,48.936
G18,5320,0,92,18.793,18.441,5320,0,92,18.793,18.441,5320,121,247,212.301,16.357
G19,5320,0,113,39.664,31.086,5320,0,113,39.664,31.086,5320,112,255,207.548,29.543
G20,5320,0,92,40.870,30.507,5320,0,92,40.870,30.507,5320,59,255,220.746,35.799
G21,5320,0,86,5.702,11.193,5320,0,86,5.702,11.193,5320,7,255,200.909,58.274
G22,5320,0,108,41.706,24.517,5320,0,108,41.706,24.517,5320,36,255,158.632,45.690
G23,5320,0,36,11.129,9.140,5320,0,36,11.129,9.140,5320,49,255,172.139,43.239
G24,5320,0,233,95.075,57.655,5320,0,231,95.071,57.648,5320,130,255,230.981,26.193
G25,5320,53,245,200.661,41.783,5320,53,245,200.058,41.455,5320,55,255,222.030,40.672
G26,5320,57,255,180.709,55.654,5320,57,250,170.591,55.741,5320,57,250,170.754,55.918
G27,5320,0,86,18.475,10.829,5320,0,86,18.475,10.829,5320,165,255,239.321,16.153
G28,5320,0,32,9.940,9.043,5320,0,32,9.940,9.043,5320,197,255,251.093,8.254
G29,5320,0,5,0.177,0.707,5320,0,5,0.177,0.707,5320,160,255,228.467,19.915
G30,5320,0,139,26.380,41.543,5320,0,139,26.380,41.543,5320,83,255,212.753,36.567
G31,5320,18,140,115.724,24.237,5320,18,140,115.724,24.237,5320,86,255,226.714,33.714
G32,5320,0,126,26.061,24.169,5320,0,126,26.061,24.169,5320,52,242,150.149,49.295
G33,5320,26,231,119.722,47.824,5320,26,231,119.524,47.998,5320,45,255,203.444,53.428
G34,5320,39,255,149.123,53.536,5320,38,220,132.448,45.548,5320,38,245,147.756,50.228
G35,5320,71,255,181.879,60.940,5320,64,223,150.782,48.728,5320,64,223,150.782,48.728
G36,5320,8,178,82.958,40.596,5320,8,178,82.958,40.596,5320,39,255,221.003,47.957
G37,5320,0,33,7.203,8.810,5320,0,33,7.203,8.810,5320,80,255,226.137,34.880
G38,5320,0,31,10.855,8.727,5320,0,31,10.855,8.727,5320,195,255,235.017,15.070
G39,5320,0,131,19.272,34.865,5320,0,131,19.272,34.865,5320,83,255,215.196,39.379
G40,5320,38,140,104.802,21.548,5320,38,140,104.802,21.548,5320,77,253,199.666,39.705
G41,5320,0,174,60.381,40.335,5320,0,174,57.133,41.139,5320,0,237,124.928,61.232
G42,5320,0,227,156.613,47.758,5320,0,222,153.170,48.712,5320,0,255,200.634,52.806
G43,5320,60,228,151.484,46.368,5320,56,224,129.893,43.357,5320,56,255,134.897,50.333
G44,5320,58,228,169.317,35.253,5320,46,181,129.991,27.057,5320,46,181,129.991,27.057
G45,5320,13,249,108.600,42.842,5320,13,238,108.194,41.756,5320,33,255,222.459,49.917
G46,5320,10,86,45.582,22.503,5320,10,86,45.582,22.503,5320,92,255,216.269,28.495
G47,5320,3,43,10.305,6.118,5320,3,43,10.305,6.118,5320,85,255,225.096,31.931
G48,5320,0,97,23.326,14.868,5320,0,97,23.326,14.868,5320,73,255,205.782,42.746
G49,5320,34,131,86.702,27.071,5320,34,131,86.702,27.071,5320,190,255,229.211,17.841
G50,5320,17,255,135.055,65.678,5320,16,128,83.806,24.602,5320,16,243,125.428,58.183
G51,5320,54,255,198.358,40.093,5320,38,212,123.820,51.727,5320,38,221,126.287,53.318
G52,5320,71,255,204.424,44.207,5320,46,196,130.560,37.807,5320,46,196,130.560,37.807
G53,5320,107,249,214.479,27.846,5320,60,177,126.740,31.438,5320,60,177,126.740,31.438
G54,5320,50,118,75.099,13.268,5320,50,118,75.099,13.268,5320,197,255,251.510,8.402
G55,5320,43,134,77.840,13.183,5320,43,134,77.840,13.183,5320,209,255,239.545,13.739
G56,5320,10,187,84.554,39.194,5320,10,187,84.554,39.194,5320,78,255,201.001,34.509
G57,5320,2,169,76.861,41.870,5320,2,169,76.861,41.870,5320,70,255,233.570,38.275
G58,5320,0,99,34.996,22.751,5320,0,99,34.996,22.751,5320,85,255,216.091,34.794
G59,5320,0,169,32.617,39.810,5320,0,141,31.913,38.333,5320,54,255,206.201,42.313
G60,5320,4,244,136.891,57.422,5320,4,219,121.882,50.928,5320,26,244,150.283,47.548
G61,5320,49,255,162.781,44.736,5320,25,202,113.466,40.051,5320,25,202,113.466,40.051
G62,5320,79,252,144.441,34.883,5320,35,176,70.192,26.600,5320,35,176,70.192,26.600
G63,5320,0,238,144.489,58.424,5320,0,232,140.480,53.386,5320,115,255,212.382,25.293
G64,5320,140,255,213.686,23.829,5320,0,243,156.246,72.164,5320,0,255,172.644,83.684
G65,5320,104,252,203.294,29.936,5320,0,242,178.722,48.321,5320,0,255,217.181,61.285
G66,5320,24,240,149.996,69.460,5320,0,237,104.236,59.517,5320,0,255,173.236,71.920
G67,5320,0,241,51.889,59.677,5320,0,236,40.521,41.970,5320,0,255,178.381,63.016
G68,5320,0,253,138.514,80.299,5320,0,242,134.738,75.727,5320,77,255,212.883,44.863
G69,5320,188,255,244.662,10.818,5320,105,237,171.468,29.368,5320,105,245,172.851,31.778
G70,5320,37,255,207.806,55.074,5320,9,178,123.984,43.560,5320,9,208,124.837,43.867
G71,5320,0,255,152.052,95.303,5320,0,241,130.960,79.707,5320,82,255,193.427,35.693
G72,5320,171,255,236.714,20.347,5320,0,185,46.577,46.976,5320,0,185,46.577,46.976
G73,5320,144,255,235.813,23.664,5320,0,119,3.062,13.973,5320,0,119,3.062,13.973
G74,5320,25,255,213.108,40.986,5320,0,123,7.827,25.750,5320,0,173,9.692,32.488
G75,5320,0,241,79.905,50.690,5320,0,130,64.494,36.723,5320,0,255,175.087,77.776
G76,5320,27,199,116.747,29.694,5320,27,199,116.747,29.694,5320,157,255,235.886,17.797
G77,5320,98,255,227.504,26.383,5320,91,251,193.008,34.035,5320,91,255,204.618,42.079
G78,5320,0,255,187.383,62.731,5320,0,253,180.781,56.635,5320,13,255,228.355,27.728
G79,5320,178,255,227.207,17.981,5320,12,240,159.403,45.204,5320,12,240,159.403,45.204
G80,5320,193,255,243.325,14.016,5320,0,158,79.370,52.239,5320,0,158,79.370,52.239
G81,5320,84,255,205.363,36.820,5320,0,180,26.820,41.287,5320,0,205,27.498,43.256
G82,5320,70,255,152.885,43.685,5320,0,213,103.245,58.831,5320,0,255,160.730,91.696
G83,5320,51,255,138.441,48.410,5320,51,226,136.501,45.019,5320,107,255,209.409,35.764
G84,5320,72,244,190.903,32.565,5320,68,240,186.874,31.849,5320,68,255,214.281,33.781
G85,5320,135,251,200.701,20.951,5320,135,243,196.234,16.903,5320,142,255,227.600,24.277
G86,5320,169,255,235.208,21.646,5320,162,248,204.263,19.726,5320,162,248,206.060,19.329
G87,5320,166,255,234.061,22.150,5320,118,225,174.892,29.900,5320,118,225,174.892,29.900
G88,5320,103,255,235.356,25.490,5320,7,204,136.536,40.588,5320,7,204,136.536,40.588
G89,5320,148,255,239.851,20.053,5320,0,252,173.161,69.529,5320,0,253,173.691,70.018
G90,5320,125,255,216.894,26.617,5320,93,253,210.226,32.453,5320,93,255,218.399,33.502
G91,5320,124,248,227.236,14.567,5320,114,248,218.426,16.459,5320,114,255,226.791,20.136
G92,5320,9,255,212.652,43.746,5320,7,220,156.973,39.198,5320,7,220,158.189,40.007
G93,5320,48,255,212.010,39.193,5320,26,240,183.403,41.905,5320,26,247,187.107,44.494
G94,5320,77,219,166.615,27.954,5320,77,219,166.615,27.954,5320,91,253,198.305,32.009
G95,5320,56,242,179.202,34.957,5320,49,242,174.302,38.813,5320,49,255,183.836,47.184
G96,5320,32,172,79.964,34.569,5320,32,172,79.964,34.569,5320,76,255,239.797,19.175
G97,5320,0,84,43.616,30.486,5320,0,84,43.616,30.486,5320,70,255,202.231,47.823
G98,5320,0,22,0.297,1.738,5320,0,22,0.297,1.738,5320,8,255,224.871,49.993
G99,5320,0,174,55.924,49.993,5320,0,174,55.924,49.993,5320,0,255,155.553,54.402
G100,5320,105,245,177.418,29.179,5320,105,243,175.791,27.677,5320,123,255,214.496,32.320
