Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,54,255,183.645,52.480,5320,54,252,179.054,48.612,5320,132,255,231.567,19.730
G2,5320,16,218,101.719,37.740,5320,16,216,101.718,37.736,5320,123,255,225.205,29.380
G3,5320,86,255,197.711,42.447,5320,86,249,178.138,36.601,5320,116,255,197.881,31.061
G4,5320,5,158,49.127,30.836,5320,5,158,49.127,30.836,5320,41,248,155.580,48.598
G5,5320,0,191,60.356,63.006,5320,0,190,60.350,62.995,5320,134,255,223.155,28.764
G6,5320,0,204,109.323,47.212,5320,0,172,103.022,44.262,5320,55,255,171.129,57.052
G7,5320,63,255,168.589,45.185,5320,48,217,128.224,42.064,5320,48,217,128.401,41.967
G8,5320,92,255,213.044,43.183,5320,63,184,123.046,26.873,5320,63,184,123.046,26.873
G9,5320,67,230,173.161,33.034,5320,55,230,164.022,41.629,5320,56,250,180.679,52.011
G10,5320,16,152,64.569,22.839,5320,16,152,64.569,22.839,5320,58,253,193.624,46.097
G11,5320,5,76,46.994,15.554,5320,5,76,46.994,15.554,5320,47,249,169.661,44.601
G12,5320,0,48,8.081,12.240,5320,0,48,8.081,12.240,5320,24,253,154.055,51.595
G13,5320,0,4,0.008,0.137,5320,0,4,0.008,0.137,5320,42,255,208.758,43.294
G14,5320,0,115,4.727,17.674,5320,0,115,4.727,17.674,5320,47,255,206.789,45.529
G15,5320,0,227,131.565,73.528,5320,0,221,126.421,69.538,5320,48,255,201.474,43.530
G16,5320,134,241,190.220,24.117,5320,99,226,149.498,33.050,5320,99,255,152.148,37.930
G17,5320,52,253,154.882,41.167,5320,51,251,145.147,42.858,5320,53,255,151.113,46.143
G18,5320,0,33,2.937,6.040,5320,0,33,2.937,6.040,5320,72,255,210.185,31.447
G19,5320,0,44,6.090,9.948,5320,0,44,6.090,9.948,5320,83,254,206.130,31.530
G20,5320,0,39,4.387,8.576,5320,0,39,4.387,8.576,5320,156,255,232.613,23.916
G21,5320,0,3,0.007,0.114,5320,0,3,0.007,0.114,5320,46,250,158.092,56.441
G22,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,77,255,197.614,49.673
G23,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,52,247,180.353,49.724
G24,5320,0,199,52.610,48.720,5320,0,199,52.610,48.720,5320,154,255,233.555,24.206
G25,5320,38,225,163.169,32.826,5320,38,225,163.148,32.801,5320,44,255,228.426,35.470
G26,5320,39,253,172.608,48.677,5320,39,251,156.283,51.271,5320,44,255,160.668,55.535
G27,5320,0,85,1.792,5.941,5320,0,85,1.792,5.941,5320,119,255,248.859,11.756
G28,5320,0,50,11.011,16.187,5320,0,50,11.011,16.187,5320,80,255,226.088,36.583
G29,5320,0,50,16.075,12.870,5320,0,50,16.075,12.870,5320,128,255,199.293,30.013
G30,5320,0,67,22.787,18.904,5320,0,67,22.787,18.904,5320,120,255,224.264,23.668
G31,5320,0,70,13.130,15.674,5320,0,70,13.130,15.674,5320,40,251,136.272,46.547
G32,5320,0,181,29.026,45.395,5320,0,181,29.026,45.395,5320,110,255,209.631,35.584
G33,5320,0,206,115.252,55.415,5320,0,206,115.227,55.435,5320,35,255,223.022,53.013
G34,5320,35,255,148.026,59.439,5320,32,233,134.811,47.883,5320,32,241,157.373,51.378
G35,5320,58,255,189.445,63.936,5320,53,236,166.031,55.997,5320,53,238,166.097,56.076
G36,5320,0,200,97.986,58.146,5320,0,200,97.986,58.146,5320,47,255,210.576,51.851
G37,5320,0,75,6.575,13.561,5320,0,75,6.575,13.561,5320,63,255,223.385,36.309
G38,5320,2,160,64.492,34.109,5320,2,160,64.492,34.109,5320,193,255,242.306,15.638
G39,5320,33,198,85.927,41.484,5320,33,197,85.926,41.483,5320,86,255,211.566,37.761
G40,5320,9,254,133.402,65.030,5320,9,251,130.596,62.209,5320,37,255,177.683,51.258
G41,5320,16,235,140.487,56.495,5320,16,220,124.331,55.362,5320,23,255,150.711,67.535
G42,5320,30,251,197.209,45.843,5320,4,248,190.820,53.279,5320,4,255,204.694,60.209
G43,5320,69,238,145.658,45.341,5320,57,236,125.203,43.114,5320,57,243,126.111,44.584
G44,5320,50,255,170.373,45.294,5320,44,199,137.115,31.916,5320,44,199,137.115,31.916
G45,5320,5,254,96.520,63.824,5320,5,243,92.848,56.992,5320,46,255,202.551,37.138
G46,5320,1,119,61.098,22.588,5320,1,119,61.098,22.588,5320,86,255,206.349,24.367
G47,5320,78,230,134.955,28.217,5320,78,230,134.955,28.217,5320,209,255,249.729,8.783
G48,5320,93,255,198.884,32.794,5320,81,245,178.687,29.898,5320,81,255,204.231,39.248
G49,5320,53,255,219.758,43.489,5320,0,250,189.465,50.301,5320,0,255,191.714,52.009
G50,5320,22,255,201.721,47.876,5320,0,198,65.492,57.896,5320,0,198,65.492,57.896
G51,5320,60,255,192.922,46.934,5320,5,162,74.480,33.572,5320,5,162,74.480,33.572
G52,5320,95,255,212.918,35.254,5320,61,172,131.623,29.380,5320,61,172,131.623,29.380
G53,5320,118,252,220.005,29.099,5320,71,185,149.934,26.305,5320,71,185,149.934,26.305
G54,5320,43,99,73.435,14.171,5320,43,99,73.435,14.171,5320,158,255,227.878,24.024
G55,5320,53,151,97.589,18.633,5320,53,151,97.589,18.633,5320,120,255,205.540,30.498
G56,5320,24,222,138.039,37.946,5320,24,222,138.039,37.946,5320,40,255,213.827,51.910
G57,5320,26,251,141.542,54.454,5320,26,242,130.927,48.078,5320,39,255,152.394,47.764
