Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,77,255,213.233,38.856,5320,77,246,193.839,30.681,5320,133,255,217.719,23.708
G2,5320,84,253,179.476,38.935,5320,84,242,179.015,38.190,5320,145,255,231.409,24.408
G3,5320,120,255,213.283,30.808,5320,84,238,169.627,31.890,5320,84,243,172.104,31.754
G4,5320,10,179,67.196,36.255,5320,10,179,67.186,36.246,5320,41,229,140.065,35.945
G5,5320,0,208,70.054,56.158,5320,0,208,69.908,55.882,5320,57,255,219.850,27.936
G6,5320,0,226,134.241,58.447,5320,0,223,122.791,61.870,5320,30,255,191.165,71.164
G7,5320,50,248,158.531,46.423,5320,25,206,95.277,45.169,5320,25,255,97.201,49.307
G8,5320,71,255,218.396,32.726,5320,32,174,119.555,20.986,5320,32,174,119.555,20.986
G9,5320,67,247,176.960,36.903,5320,53,222,156.868,43.893,5320,53,233,167.896,52.015
G10,5320,37,207,134.438,42.200,5320,37,207,134.438,42.200,5320,55,255,194.717,50.037
G11,5320,30,233,142.763,54.383,5320,30,233,142.590,54.131,5320,53,244,182.995,47.187
G12,5320,12,224,74.731,56.005,5320,12,217,73.717,54.018,5320,52,217,145.876,40.148
G13,5320,0,105,24.682,22.972,5320,0,105,24.682,22.972,5320,26,255,161.059,39.680
G14,5320,0,166,16.657,26.609,5320,0,166,16.657,26.609,5320,141,255,236.355,22.152
G15,5320,20,255,192.785,62.219,5320,20,254,186.386,61.113,5320,110,255,214.216,40.885
G16,5320,86,255,179.809,43.378,5320,84,250,162.357,44.876,5320,84,251,166.559,45.571
G17,5320,54,255,156.110,39.988,5320,53,246,145.181,38.294,5320,53,250,151.567,41.183
G18,5320,0,96,28.253,25.562,5320,0,96,28.253,25.562,5320,79,253,206.368,30.852
G19,5320,11,180,95.355,47.036,5320,11,180,95.355,47.036,5320,96,255,208.837,33.157
G20,5320,43,255,194.456,54.986,5320,43,251,190.633,52.311,5320,79,255,226.726,32.920
G21,5320,38,255,177.347,44.809,5320,38,229,145.602,37.187,5320,52,229,146.533,35.590
G22,5320,0,206,38.129,42.666,5320,0,175,36.564,38.579,5320,47,237,130.975,48.806
G23,5320,0,102,42.251,25.011,5320,0,102,42.251,25.011,5320,142,255,227.957,17.411
G24,5320,44,255,203.660,58.538,5320,44,251,197.430,53.793,5320,185,255,236.730,15.631
G25,5320,44,255,229.454,36.290,5320,42,251,216.630,33.481,5320,42,252,219.856,34.150
G26,5320,43,255,173.932,49.344,5320,41,246,145.747,52.827,5320,41,255,146.610,54.258
G27,5320,6,87,36.397,21.457,5320,6,87,36.397,21.457,5320,156,255,250.591,7.313
G28,5320,33,113,83.419,16.271,5320,33,113,83.419,16.271,5320,161,255,247.645,14.672
G29,5320,73,245,110.607,20.398,5320,73,226,110.477,19.717,5320,108,255,217.781,26.656
G30,5320,88,255,217.866,29.474,5320,88,226,181.155,22.808,5320,131,237,185.224,21.684
G31,5320,14,255,153.727,81.164,5320,14,209,129.832,59.549,5320,51,209,142.888,46.184
G32,5320,19,170,78.648,31.234,5320,19,170,78.648,31.234,5320,67,255,206.692,42.817
G33,5320,39,255,176.510,56.141,5320,32,239,169.798,53.662,5320,32,255,210.116,55.808
G34,5320,36,255,170.974,57.699,5320,25,219,133.360,45.389,5320,25,219,133.371,45.395
G35,5320,68,255,186.440,65.137,5320,57,205,146.058,49.762,5320,57,205,146.058,49.762
G36,5320,21,233,134.414,54.158,5320,21,224,134.113,53.695,5320,47,255,218.669,49.720
G37,5320,29,142,82.882,23.293,5320,29,142,82.882,23.293,5320,81,255,221.298,36.193
G38,5320,72,209,131.297,18.966,5320,72,209,131.304,18.961,5320,114,255,215.277,34.731
G39,5320,138,243,199.787,23.264,5320,124,243,185.858,30.513,5320,124,255,191.954,36.554
G40,5320,53,244,165.183,41.309,5320,51,183,130.662,29.621,5320,51,199,131.873,30.078
G41,5320,105,251,183.370,22.907,5320,103,250,182.687,23.160,5320,103,255,223.663,29.586
G42,5320,39,255,200.189,50.653,5320,33,254,197.086,52.900,5320,33,255,209.027,57.276
G43,5320,62,252,152.187,52.127,5320,44,247,125.452,52.964,5320,44,248,125.568,53.170
G44,5320,64,255,171.162,49.629,5320,51,180,127.720,33.801,5320,51,180,127.720,33.801
G45,5320,35,251,124.296,52.473,5320,35,241,118.229,42.245,5320,56,255,194.537,37.906
G46,5320,59,180,119.708,19.763,5320,59,180,119.708,19.763,5320,133,255,206.004,18.775
G47,5320,86,238,183.638,27.596,5320,86,238,183.638,27.596,5320,122,255,239.339,25.666
G48,5320,118,243,192.210,33.006,5320,118,243,191.791,33.189,5320,145,255,210.953,34.177
G49,5320,117,243,182.371,28.943,5320,101,231,157.357,27.682,5320,101,253,159.211,30.840
G50,5320,93,247,202.687,25.931,5320,66,232,161.252,23.514,5320,66,234,162.374,24.759
G51,5320,40,255,185.319,55.741,5320,31,237,138.447,42.535,5320,31,237,138.462,42.565
G52,5320,109,255,214.997,34.278,5320,73,177,135.602,23.090,5320,73,177,135.602,23.090
G53,5320,116,252,219.715,28.279,5320,74,177,141.745,25.455,5320,74,177,141.745,25.455
G54,5320,77,151,107.495,15.114,5320,77,151,107.495,15.114,5320,151,255,224.250,26.966
G55,5320,77,210,154.463,32.003,5320,77,210,154.463,32.003,5320,96,255,212.039,35.929
G56,5320,108,255,204.288,33.502,5320,108,250,202.528,33.364,5320,123,255,220.942,37.260
G57,5320,149,255,207.460,30.593,5320,143,252,206.147,30.820,5320,143,255,226.371,28.427
G58,5320,83,233,170.195,36.067,5320,83,233,168.835,35.955,5320,138,255,237.323,25.800
G59,5320,55,226,146.596,38.347,5320,45,218,139.514,37.561,5320,45,255,189.020,47.857
G60,5320,38,226,173.038,43.643,5320,31,218,122.566,38.027,5320,31,218,123.612,39.336
G61,5320,65,234,172.238,39.604,5320,32,162,109.481,28.395,5320,32,162,109.481,28.395
G62,5320,79,233,141.055,34.815,5320,40,155,77.593,25.121,5320,40,155,77.593,25.121
G63,5320,0,243,170.233,49.766,5320,0,232,169.544,48.960,5320,84,255,213.960,34.684
G64,5320,132,255,216.316,29.032,5320,38,243,162.585,67.700,5320,38,254,165.597,69.541
G65,5320,97,255,206.263,35.784,5320,30,240,171.017,54.886,5320,30,255,196.439,62.767
G66,5320,20,146,76.106,28.358,5320,20,146,76.106,28.358,5320,68,254,193.921,42.428
G67,5320,27,242,101.224,44.580,5320,27,240,100.493,43.136,5320,51,255,202.673,41.553
G68,5320,124,255,223.392,31.633,5320,109,245,178.926,38.758,5320,109,245,178.993,38.837
G69,5320,181,255,242.805,17.635,5320,71,184,139.065,21.343,5320,71,184,139.065,21.343
G70,5320,41,255,212.471,55.392,5320,0,163,103.625,45.924,5320,0,163,103.625,45.924
G71,5320,0,243,130.301,87.628,5320,0,238,129.792,87.136,5320,66,255,221.381,33.868
G72,5320,158,255,228.475,19.970,5320,33,239,138.232,63.617,5320,33,255,139.118,64.871
G73,5320,73,255,206.417,42.379,5320,0,199,59.586,55.989,5320,0,253,69.598,73.161
G74,5320,17,218,149.292,52.576,5320,17,218,148.362,52.914,5320,42,255,207.355,53.272
G75,5320,16,255,158.902,70.498,5320,16,251,158.098,69.659,5320,43,255,198.787,62.873
G76,5320,97,255,219.073,29.473,5320,97,251,202.985,27.392,5320,127,252,204.366,27.005
G77,5320,104,255,232.112,22.623,5320,71,221,155.065,31.154,5320,71,221,155.065,31.154
G78,5320,0,255,201.374,44.243,5320,0,246,199.363,42.758,5320,38,255,236.045,27.105
G79,5320,163,255,239.799,12.934,5320,81,244,191.414,31.466,5320,81,252,192.113,32.419
