Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,80,255,198.753,44.999,5320,80,244,186.478,37.518,5320,135,255,221.328,22.062
G2,5320,57,236,139.758,37.002,5320,57,223,139.589,36.642,5320,113,255,222.959,29.028
G3,5320,109,255,207.217,36.925,5320,99,237,177.853,32.755,5320,99,254,188.262,32.858
G4,5320,42,228,127.588,41.234,5320,41,218,122.340,35.486,5320,49,227,139.611,30.750
G5,5320,25,255,199.523,58.034,5320,25,249,187.792,51.836,5320,124,255,211.033,28.062
G6,5320,0,209,115.016,52.870,5320,0,209,104.100,53.371,5320,42,255,183.704,71.481
G7,5320,71,255,148.492,39.224,5320,39,153,80.489,28.738,5320,39,214,81.264,30.694
G8,5320,89,255,210.795,42.523,5320,44,172,113.358,26.328,5320,44,172,113.358,26.328
G9,5320,66,232,177.219,34.093,5320,58,231,167.451,43.599,5320,58,252,182.931,53.969
G10,5320,37,179,112.262,27.608,5320,37,179,112.262,27.608,5320,59,255,201.593,45.658
G11,5320,18,127,90.941,25.610,5320,18,127,90.941,25.610,5320,47,245,190.344,49.214
G12,5320,0,172,45.269,43.398,5320,0,153,44.846,42.388,5320,27,231,144.683,45.149
G13,5320,0,195,32.686,52.971,5320,0,182,31.731,50.697,5320,59,229,155.706,36.801
G14,5320,0,128,4.726,16.843,5320,0,126,4.722,16.817,5320,49,255,210.765,48.208
G15,5320,0,244,132.306,73.310,5320,0,242,129.763,72.110,5320,87,255,213.427,42.799
G16,5320,94,244,193.723,28.765,5320,64,242,151.778,36.626,5320,64,249,152.155,37.406
G17,5320,59,255,161.620,40.122,5320,58,229,144.373,37.889,5320,58,229,148.378,40.810
G18,5320,0,84,18.971,19.193,5320,0,84,18.971,19.193,5320,76,255,209.436,32.134
G19,5320,8,131,64.112,33.080,5320,8,131,64.112,33.080,5320,86,255,208.218,33.847
G20,5320,0,117,60.837,39.365,5320,0,117,60.837,39.365,5320,85,255,217.879,42.124
G21,5320,0,109,54.404,27.331,5320,0,109,54.404,27.331,5320,51,255,219.044,43.733
G22,5320,0,127,76.351,46.921,5320,0,127,76.351,46.921,5320,40,255,198.180,61.871
G23,5320,0,98,7.611,21.300,5320,0,98,7.611,21.300,5320,44,248,161.695,49.332
G24,5320,0,225,56.267,62.256,5320,0,219,56.250,62.212,5320,114,255,227.713,31.624
G25,5320,42,245,198.346,35.729,5320,41,236,191.539,32.528,5320,42,255,216.626,36.938
G26,5320,45,255,176.733,50.191,5320,43,232,146.469,48.077,5320,43,232,146.481,48.074
G27,5320,1,80,29.931,19.547,5320,1,80,29.931,19.547,5320,117,255,250.297,8.852
G28,5320,23,85,67.860,12.913,5320,23,85,67.860,12.913,5320,161,255,247.615,14.100
G29,5320,0,112,38.416,27.310,5320,0,112,38.416,27.310,5320,135,255,217.677,30.368
G30,5320,0,145,91.916,32.418,5320,0,145,91.916,32.418,5320,118,255,230.740,21.702
G31,5320,73,128,109.515,9.663,5320,73,128,109.515,9.663,5320,150,255,234.408,25.813
G32,5320,0,140,68.717,42.676,5320,0,140,68.717,42.676,5320,38,218,135.266,40.201
G33,5320,2,251,129.464,63.533,5320,2,251,128.525,63.927,5320,26,255,194.082,65.386
G34,5320,45,255,158.100,58.621,5320,36,214,137.499,45.848,5320,36,243,151.740,55.248
G35,5320,66,255,185.951,64.498,5320,56,218,152.656,52.029,5320,56,218,152.656,52.029
G36,5320,18,206,116.960,46.628,5320,18,206,116.960,46.628,5320,44,255,216.086,52.000
G37,5320,20,172,78.598,25.761,5320,20,172,78.598,25.761,5320,66,255,224.347,36.309
G38,5320,75,217,145.899,25.471,5320,75,217,145.899,25.471,5320,175,255,237.482,18.937
G39,5320,108,194,144.672,12.492,5320,108,194,144.672,12.492,5320,176,255,235.253,17.425
G40,5320,73,210,138.745,25.129,5320,73,210,138.745,25.129,5320,142,253,205.428,22.886
G41,5320,83,211,173.763,30.065,5320,83,211,173.752,30.077,5320,99,255,216.373,37.617
G42,5320,64,235,186.914,34.652,5320,64,235,186.848,34.770,5320,66,255,218.566,42.291
G43,5320,66,238,152.879,50.218,5320,46,232,131.881,52.182,5320,46,255,134.707,56.729
G44,5320,51,251,171.948,42.708,5320,43,182,132.091,28.073,5320,43,182,132.092,28.072
G45,5320,21,245,128.515,50.380,5320,21,245,124.733,43.868,5320,41,255,201.593,38.001
G46,5320,30,209,130.967,30.174,5320,30,209,130.967,30.174,5320,85,255,207.776,25.278
G47,5320,175,255,232.935,18.000,5320,175,254,231.620,16.776,5320,211,255,248.856,6.751
G48,5320,150,255,212.888,33.888,5320,150,250,209.702,30.413,5320,206,255,242.316,11.488
G49,5320,149,251,211.331,24.227,5320,149,248,210.925,23.912,5320,149,255,231.699,24.672
G50,5320,47,255,201.950,36.528,5320,47,244,197.532,32.695,5320,51,248,203.648,30.496
G51,5320,40,255,179.352,48.428,5320,40,254,166.940,43.887,5320,44,255,171.115,42.607
G52,5320,104,255,214.033,35.735,5320,74,190,157.169,26.437,5320,74,190,157.171,26.437
G53,5320,115,251,220.545,28.216,5320,78,186,153.939,25.111,5320,78,186,153.939,25.111
G54,5320,76,142,110.645,15.375,5320,76,142,110.645,15.375,5320,167,255,231.831,22.106
G55,5320,82,241,154.705,32.985,5320,82,241,154.705,32.985,5320,96,255,202.681,32.165
G56,5320,99,255,219.949,38.727,5320,99,252,210.564,37.692,5320,105,255,213.805,38.919
G57,5320,169,255,231.355,21.975,5320,169,252,211.740,19.108,5320,175,252,212.014,18.773
G58,5320,153,255,209.097,23.194,5320,153,254,208.945,22.978,5320,168,255,242.216,21.113
G59,5320,46,218,164.852,29.751,5320,46,218,164.776,29.643,5320,51,255,212.592,40.169
G60,5320,40,226,159.018,45.724,5320,38,214,134.685,39.991,5320,38,225,137.015,41.512
G61,5320,74,233,164.557,37.923,5320,49,190,125.968,31.995,5320,49,190,125.968,31.995
G62,5320,74,240,142.607,42.532,5320,41,173,86.537,31.330,5320,41,173,86.537,31.330
G63,5320,0,245,176.420,54.004,5320,0,243,171.476,49.575,5320,91,255,210.705,31.422
G64,5320,84,253,198.938,30.076,5320,0,230,113.036,75.891,5320,0,230,113.834,76.680
G65,5320,181,255,236.197,17.815,5320,0,231,58.869,77.093,5320,0,233,58.889,77.137
G66,5320,179,255,237.952,16.911,5320,0,234,129.790,87.394,5320,0,255,136.234,93.960
G67,5320,7,255,174.434,47.102,5320,0,240,154.312,56.744,5320,0,255,192.468,64.879
G68,5320,132,255,194.240,29.178,5320,129,241,182.834,26.977,5320,133,255,214.382,37.545
