Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,112,255,221.927,29.834,5320,112,246,201.004,23.928,5320,136,255,222.563,26.566
G2,5320,36,251,178.622,39.357,5320,36,251,178.433,39.217,5320,55,255,213.760,33.286
G3,5320,114,255,222.629,29.182,5320,114,250,179.090,29.614,5320,123,253,181.795,30.099
G4,5320,39,234,163.277,47.090,5320,0,202,71.690,58.571,5320,0,204,73.237,60.988
G5,5320,160,255,230.255,22.273,5320,0,234,92.495,70.383,5320,0,234,92.543,70.444
G6,5320,59,255,168.234,58.423,5320,59,253,164.288,56.588,5320,64,255,176.962,63.880
G7,5320,68,213,153.921,32.762,5320,68,213,136.508,32.109,5320,74,255,147.846,45.258
G8,5320,85,255,212.888,41.340,5320,55,191,120.905,25.125,5320,55,191,120.905,25.125
G9,5320,26,231,149.081,51.094,5320,26,214,135.695,50.707,5320,54,238,158.604,53.823
G10,5320,38,206,127.500,29.711,5320,38,206,127.500,29.711,5320,54,255,203.293,47.147
G11,5320,36,138,77.864,15.480,5320,36,138,77.864,15.480,5320,58,245,181.445,35.647
G12,5320,12,246,131.795,72.560,5320,0,149,61.950,33.976,5320,0,249,116.708,77.638
G13,5320,102,255,222.357,20.214,5320,0,233,90.364,69.211,5320,0,255,98.429,81.614
G14,5320,69,247,162.340,39.232,5320,69,234,159.727,35.427,5320,151,255,243.615,16.953
G15,5320,105,244,180.733,31.392,5320,67,241,168.838,43.546,5320,67,255,193.165,56.672
G16,5320,93,255,177.730,28.042,5320,72,239,156.650,36.670,5320,72,255,174.955,52.437
G17,5320,63,239,153.101,43.587,5320,58,239,140.618,50.868,5320,58,255,149.370,60.015
G18,5320,10,113,41.961,22.550,5320,10,113,41.961,22.550,5320,87,253,210.753,31.283
G19,5320,0,134,57.166,25.055,5320,0,134,57.166,25.055,5320,100,255,210.258,21.744
G20,5320,0,97,34.456,31.202,5320,0,97,34.456,31.202,5320,49,255,191.854,41.972
G21,5320,0,212,12.967,31.955,5320,0,120,10.397,20.512,5320,44,255,196.676,57.830
G22,5320,0,231,60.322,73.601,5320,0,195,51.524,58.615,5320,44,255,145.506,60.050
G23,5320,0,120,38.402,28.492,5320,0,120,38.402,28.492,5320,58,255,211.382,43.267
G24,5320,18,195,130.842,40.139,5320,18,195,130.842,40.139,5320,198,255,246.018,11.183
G25,5320,42,197,157.713,27.346,5320,42,197,157.712,27.345,5320,53,255,220.313,42.585
G26,5320,50,241,164.636,47.037,5320,50,241,159.801,48.938,5320,56,255,169.663,55.971
G27,5320,17,123,42.950,12.260,5320,17,123,42.950,12.260,5320,110,255,241.889,16.041
G28,5320,0,55,26.711,16.116,5320,0,55,26.711,16.116,5320,206,255,249.670,9.708
G29,5320,0,8,0.303,0.882,5320,0,8,0.303,0.882,5320,141,255,226.204,27.558
G30,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000,5320,219,255,251.308,6.766
G31,5320,0,4,0.061,0.384,5320,0,4,0.061,0.384,5320,101,255,213.375,39.687
G32,5320,0,84,20.850,23.498,5320,0,84,20.850,23.498,5320,57,255,188.951,46.041
G33,5320,23,188,103.336,37.284,5320,23,188,103.209,37.372,5320,41,255,212.335,51.017
G34,5320,42,249,152.579,54.660,5320,42,216,136.221,46.673,5320,45,231,148.783,48.149
G35,5320,72,255,177.672,50.780,5320,64,219,155.897,42.650,5320,64,221,155.951,42.726
G36,5320,13,234,121.814,53.357,5320,13,234,121.810,53.351,5320,61,255,222.242,48.286
G37,5320,0,85,25.301,21.848,5320,0,85,25.301,21.848,5320,82,255,224.817,35.652
G38,5320,0,134,54.884,37.172,5320,0,134,54.884,37.172,5320,171,255,234.086,18.540
G39,5320,0,128,8.852,21.192,5320,0,128,8.852,21.192,5320,92,255,231.010,38.398
G40,5320,0,58,7.595,14.142,5320,0,58,7.595,14.142,5320,98,255,204.392,39.821
G41,5320,0,151,73.516,29.847,5320,0,151,73.516,29.847,5320,161,255,216.855,27.029
G42,5320,23,227,154.604,39.755,5320,23,227,154.211,39.565,5320,49,255,206.984,34.515
G43,5320,60,237,150.060,45.411,5320,55,227,129.245,41.171,5320,55,255,132.643,46.250
G44,5320,60,241,173.596,38.351,5320,50,188,138.436,27.107,5320,50,188,138.436,27.107
G45,5320,12,255,113.725,50.779,5320,12,242,110.591,43.245,5320,16,255,218.027,45.477
G46,5320,21,139,94.698,21.013,5320,21,139,94.698,21.013,5320,94,255,220.797,28.019
G47,5320,84,192,140.994,23.076,5320,84,192,140.994,23.076,5320,139,255,237.168,19.584
G48,5320,11,157,109.323,31.001,5320,11,157,109.323,31.001,5320,95,255,208.177,39.057
G49,5320,3,117,73.336,30.762,5320,3,117,73.336,30.762,5320,66,255,168.508,52.674
G50,5320,0,216,131.873,48.877,5320,0,212,131.147,48.546,5320,64,255,176.377,43.868
G51,5320,0,243,167.602,60.290,5320,0,218,150.029,51.415,5320,67,255,180.513,34.240
G52,5320,84,255,206.623,41.329,5320,56,196,142.200,33.921,5320,56,196,142.200,33.921
G53,5320,117,253,214.948,25.579,5320,67,174,130.259,29.737,5320,67,174,130.259,29.737
G54,5320,19,97,58.491,20.204,5320,19,97,58.491,20.204,5320,133,255,231.608,23.341
G55,5320,58,171,112.513,19.713,5320,58,171,112.513,19.713,5320,93,255,223.787,30.747
G56,5320,48,195,146.359,32.645,5320,48,195,146.359,32.645,5320,61,255,202.058,47.111
G57,5320,46,220,135.712,48.823,5320,46,220,135.712,48.823,5320,69,255,179.781,53.311
G58,5320,6,198,92.611,40.547,5320,6,198,92.611,40.547,5320,8,255,144.503,52.050
G59,5320,0,186,111.453,42.175,5320,0,186,111.453,42.175,5320,6,255,200.770,54.041
G60,5320,0,240,151.856,56.843,5320,0,213,133.561,49.555,5320,23,255,153.897,45.342
G61,5320,52,255,166.449,43.798,5320,25,196,110.434,37.018,5320,25,196,110.434,37.018
G62,5320,83,253,144.008,35.500,5320,37,175,71.452,26.079,5320,37,175,71.452,26.079
G63,5320,46,255,172.860,66.278,5320,46,246,167.427,60.915,5320,128,255,219.476,30.867
G64,5320,102,255,223.175,34.509,5320,0,244,147.470,73.971,5320,0,251,153.461,77.854
G65,5320,102,246,203.644,29.105,5320,0,244,126.165,92.028,5320,0,255,135.992,101.401
G66,5320,32,253,184.864,51.423,5320,12,217,149.355,42.470,5320,12,255,173.680,45.560
G67,5320,0,254,95.155,64.906,5320,0,210,89.277,55.179,5320,43,255,192.578,56.328
G68,5320,0,255,154.862,74.628,5320,0,245,149.452,68.834,5320,82,255,207.992,44.704
G69,5320,192,255,242.776,12.915,5320,106,234,164.008,29.711,5320,106,248,164.904,31.535
G70,5320,37,255,208.060,56.907,5320,12,177,124.787,42.280,5320,12,177,125.221,42.189
G71,5320,44,255,188.567,54.786,5320,44,238,168.872,46.735,5320,74,255,197.331,36.684
G72,5320,168,255,233.642,18.822,5320,0,182,42.952,48.091,5320,0,182,42.952,48.091
G73,5320,168,255,231.499,26.612,5320,0,10,0.179,0.925,5320,0,10,0.179,0.925
G74,5320,40,255,232.523,43.277,5320,0,118,19.772,31.333,5320,0,162,20.908,34.412
G75,5320,0,255,86.803,63.813,5320,0,146,72.631,42.265,5320,23,255,158.179,70.397
G76,5320,5,199,119.041,28.185,5320,5,199,119.041,28.185,5320,99,255,232.903,26.790
G77,5320,109,255,219.057,25.518,5320,97,235,184.328,29.127,5320,97,255,197.619,37.795
G78,5320,6,255,211.354,41.069,5320,6,253,205.533,37.894,5320,21,255,234.268,24.427
G79,5320,179,255,228.157,17.895,5320,5,223,152.752,46.442,5320,5,223,152.752,46.442
G80,5320,184,255,237.380,17.912,5320,0,137,68.665,44.273,5320,0,137,68.665,44.273
G81,5320,83,255,210.852,34.299,5320,0,163,24.027,34.503,5320,0,174,24.340,35.399
G82,5320,73,255,146.944,44.984,5320,0,213,99.979,56.941,5320,0,255,156.279,87.836
G83,5320,47,255,135.191,44.213,5320,47,224,133.290,40.606,5320,99,255,213.550,34.976
G84,5320,62,231,190.704,30.053,5320,58,229,186.572,28.910,5320,58,255,214.361,31.178
G85,5320,167,254,216.484,16.568,5320,154,235,210.092,17.279,5320,154,255,227.096,25.478
G86,5320,181,255,235.097,18.838,5320,125,235,184.381,30.152,5320,125,235,185.033,30.534
G87,5320,163,255,232.540,24.371,5320,88,199,145.258,31.561,5320,88,199,145.258,31.561
G88,5320,149,255,233.989,25.293,5320,13,196,133.518,35.135,5320,13,196,133.518,35.135
G89,5320,130,255,237.317,24.740,5320,0,253,174.031,64.818,5320,0,254,174.095,64.888
