Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,70,255,207.190,40.825,5320,70,247,193.909,33.310,5320,130,255,224.117,22.207
G2,5320,66,244,153.155,36.553,5320,66,236,153.081,36.399,5320,110,255,222.618,31.227
G3,5320,120,255,209.564,34.280,5320,95,234,176.783,31.223,5320,95,254,184.067,31.835
G4,5320,11,190,71.473,34.981,5320,11,190,71.432,34.946,5320,41,254,153.321,46.936
G5,5320,0,218,96.094,71.686,5320,0,216,95.524,70.893,5320,146,255,225.629,26.547
G6,5320,0,204,137.503,42.096,5320,0,201,116.564,46.613,5320,37,255,152.711,68.030
G7,5320,43,255,166.645,49.950,5320,21,144,80.396,30.547,5320,21,144,80.399,30.548
G8,5320,73,255,214.457,42.601,5320,38,144,102.286,21.112,5320,38,144,102.286,21.112
G9,5320,56,243,179.606,38.137,5320,51,241,166.867,48.824,5320,51,249,176.508,54.720
G10,5320,36,191,113.907,32.643,5320,36,191,113.907,32.643,5320,61,254,199.412,48.173
G11,5320,26,140,104.488,30.440,5320,26,140,104.488,30.440,5320,56,249,188.419,50.778
G12,5320,0,122,34.945,38.432,5320,0,122,34.945,38.432,5320,43,255,183.241,52.324
G13,5320,0,38,1.139,4.378,5320,0,38,1.139,4.378,5320,186,255,242.079,16.732
G14,5320,0,176,50.207,54.986,5320,0,176,50.195,54.966,5320,26,255,201.458,41.593
G15,5320,65,255,200.024,50.431,5320,45,250,184.773,45.936,5320,47,255,197.627,39.983
G16,5320,120,245,194.698,23.723,5320,64,229,147.789,31.320,5320,64,229,147.789,31.320
G17,5320,54,255,159.960,39.880,5320,51,236,141.455,39.693,5320,51,236,143.683,41.088
G18,5320,0,82,14.872,19.969,5320,0,82,14.872,19.969,5320,87,254,206.021,34.115
G19,5320,0,135,53.354,40.240,5320,0,135,53.354,40.240,5320,105,255,209.397,32.529
G20,5320,0,130,66.933,47.811,5320,0,130,66.933,47.811,5320,38,255,221.782,41.938
G21,5320,0,86,15.674,19.326,5320,0,86,15.674,19.326,5320,30,255,175.559,47.996
G22,5320,0,133,30.521,34.866,5320,0,133,30.521,34.866,5320,42,248,160.006,42.521
G23,5320,0,223,134.292,54.058,5320,0,223,134.098,53.868,5320,19,255,213.586,33.497
G24,5320,162,255,212.809,24.001,5320,153,246,205.060,22.796,5320,153,255,210.912,25.577
G25,5320,45,255,221.580,35.123,5320,42,254,216.780,35.888,5320,42,255,219.477,37.493
G26,5320,44,255,178.183,50.684,5320,41,249,149.851,51.188,5320,41,249,149.851,51.188
G27,5320,0,48,10.094,13.211,5320,0,48,10.094,13.211,5320,130,255,250.395,7.071
G28,5320,2,45,28.869,8.675,5320,2,45,28.869,8.675,5320,158,255,247.360,15.193
G29,5320,0,69,9.171,14.796,5320,0,69,9.171,14.796,5320,133,255,213.007,33.408
G30,5320,0,24,1.001,3.626,5320,0,24,1.001,3.626,5320,161,255,226.242,25.636
G31,5320,0,141,73.938,50.682,5320,0,141,73.938,50.682,5320,150,255,221.937,26.630
G32,5320,47,224,160.886,32.322,5320,37,223,158.149,32.890,5320,37,255,211.705,46.140
G33,5320,41,255,192.929,54.874,5320,38,228,162.934,43.620,5320,38,237,165.045,43.993
G34,5320,35,255,169.690,57.445,5320,25,229,139.780,48.099,5320,25,238,140.466,48.843
G35,5320,62,255,185.446,65.444,5320,55,213,153.065,52.149,5320,55,213,153.065,52.149
G36,5320,9,176,87.453,39.870,5320,9,176,87.453,39.870,5320,49,255,215.163,50.468
G37,5320,7,89,33.750,19.043,5320,7,89,33.750,19.043,5320,67,255,225.095,33.934
G38,5320,3,102,75.370,22.683,5320,3,102,75.370,22.683,5320,143,255,235.208,26.786
G39,5320,0,121,50.536,40.598,5320,0,121,50.536,40.598,5320,94,237,179.357,32.670
G40,5320,0,179,97.048,35.229,5320,0,179,97.048,35.229,5320,105,255,232.895,29.221
G41,5320,52,202,131.770,39.587,5320,52,200,131.682,39.458,5320,103,255,226.776,38.269
G42,5320,45,233,160.191,55.179,5320,44,233,159.579,55.438,5320,45,255,206.302,49.688
G43,5320,70,234,144.883,45.184,5320,53,230,126.273,43.822,5320,53,247,127.893,46.679
