Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,73,255,204.592,44.137,5320,73,251,191.075,37.409,5320,133,255,217.207,26.263
G2,5320,73,250,170.133,36.094,5320,73,240,169.903,35.665,5320,116,255,227.478,28.130
G3,5320,130,255,212.497,31.161,5320,104,244,177.358,30.248,5320,104,249,182.044,30.816
G4,5320,25,240,129.533,38.508,5320,25,233,128.662,38.059,5320,36,255,159.025,49.780
G5,5320,96,249,172.643,35.160,5320,96,237,170.026,32.827,5320,145,255,227.579,27.254
G6,5320,80,235,155.144,38.452,5320,41,233,138.875,48.114,5320,41,255,177.966,72.218
G7,5320,67,248,138.855,32.509,5320,25,170,77.658,30.640,5320,25,197,77.912,31.344
G8,5320,84,255,211.126,43.495,5320,37,143,104.026,20.274,5320,37,143,104.026,20.274
G9,5320,63,244,173.798,34.847,5320,53,244,165.061,43.281,5320,53,255,181.778,53.676
G10,5320,37,185,114.689,32.157,5320,37,185,114.689,32.157,5320,62,255,198.539,45.730
G11,5320,30,141,108.753,30.768,5320,30,141,108.753,30.768,5320,58,253,185.345,52.300
G12,5320,12,182,103.447,38.137,5320,12,182,103.447,38.137,5320,37,255,180.553,47.920
G13,5320,0,180,93.541,43.808,5320,0,180,93.541,43.808,5320,188,255,234.657,18.247
G14,5320,0,177,29.232,41.605,5320,0,177,29.232,41.605,5320,126,255,243.560,17.212
G15,5320,0,255,175.724,69.527,5320,0,253,168.636,67.261,5320,101,255,211.171,41.300
G16,5320,98,254,194.035,26.373,5320,72,242,153.530,33.637,5320,72,243,153.537,33.652
G17,5320,50,255,156.993,43.666,5320,49,233,140.214,38.919,5320,50,233,146.349,42.591
G18,5320,0,72,13.103,16.539,5320,0,72,13.103,16.539,5320,87,255,210.021,29.622
G19,5320,0,137,53.203,40.238,5320,0,137,53.203,40.238,5320,87,255,209.795,30.132
G20,5320,0,137,72.232,49.379,5320,0,137,72.232,49.379,5320,70,255,223.557,40.637
G21,5320,0,101,18.425,23.432,5320,0,101,18.425,23.432,5320,18,247,160.318,51.930
G22,5320,0,65,5.680,11.003,5320,0,65,5.680,11.003,5320,74,255,190.789,51.386
G23,5320,0,68,5.324,12.182,5320,0,68,5.324,12.182,5320,87,255,206.870,38.572
G24,5320,0,254,121.247,73.323,5320,0,253,121.176,73.205,5320,124,255,234.060,27.089
G25,5320,44,255,215.288,30.638,5320,42,252,207.363,29.008,5320,43,255,219.351,33.757
