Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,94,255,214.173,39.547,5320,94,249,199.338,35.012,5320,101,255,206.935,33.000
G2,5320,44,251,143.364,48.313,5320,44,244,143.250,48.125,5320,57,255,174.920,50.158
G3,5320,148,255,217.441,25.629,5320,118,247,183.992,25.395,5320,118,255,197.068,37.020
G4,5320,57,255,228.338,27.965,5320,32,252,201.068,37.236,5320,32,254,209.153,40.899
G5,5320,39,255,177.349,51.347,5320,23,181,110.739,35.191,5320,23,181,110.739,35.191
G6,5320,82,255,213.631,48.097,5320,6,178,119.645,46.178,5320,6,178,119.645,46.178
G7,5320,61,249,159.064,53.978,5320,0,105,19.611,23.404,5320,0,105,19.611,23.404
G8,5320,64,255,211.351,45.404,5320,0,74,38.401,21.615,5320,0,74,38.401,21.615
G9,5320,53,255,169.633,56.636,5320,19,219,103.024,58.640,5320,19,219,103.024,58.640
G10,5320,38,192,129.974,41.309,5320,38,192,129.974,41.309,5320,71,255,199.990,40.228
G11,5320,27,243,145.128,48.308,5320,27,239,145.092,48.242,5320,29,255,179.931,62.853
G12,5320,106,255,217.496,31.654,5320,73,245,203.592,36.656,5320,73,249,209.940,37.902
G13,5320,78,249,187.685,36.168,5320,59,196,129.590,28.914,5320,59,196,129.590,28.914
G14,5320,129,255,237.985,19.669,5320,95,240,188.706,22.617,5320,95,240,188.706,22.617
G15,5320,80,255,221.988,38.473,5320,10,191,127.279,38.218,5320,10,191,127.279,38.218
G16,5320,125,255,218.703,30.299,5320,9,142,86.493,21.889,5320,9,142,86.493,21.889
G17,5320,49,255,169.854,45.981,5320,12,153,74.247,29.760,5320,12,153,74.247,29.760
G18,5320,5,98,29.345,16.029,5320,5,98,29.345,16.029,5320,77,255,211.018,29.888
G19,5320,8,204,154.123,29.748,5320,8,204,154.123,29.747,5320,95,255,218.916,25.609
G20,5320,39,255,179.642,49.139,5320,39,239,165.917,40.526,5320,42,243,173.764,40.693
G21,5320,172,255,227.868,19.527,5320,115,242,187.796,28.976,5320,115,243,187.815,29.008
G22,5320,70,251,187.771,46.612,5320,55,208,148.134,37.165,5320,55,208,148.134,37.165
G23,5320,68,255,186.231,49.611,5320,56,244,160.138,49.999,5320,56,244,160.138,49.999
G24,5320,121,255,224.260,31.471,5320,96,241,185.011,30.465,5320,96,241,185.011,30.465
G25,5320,54,255,219.927,42.510,5320,39,242,168.022,42.273,5320,39,242,168.022,42.273
G26,5320,61,255,173.180,50.937,5320,30,179,97.294,34.848,5320,30,179,97.294,34.848
G27,5320,44,234,143.930,48.122,5320,0,233,136.892,53.133,5320,0,255,238.956,48.422
G28,5320,91,253,200.882,31.683,5320,91,249,200.668,31.457,5320,172,255,245.117,14.757
G29,5320,135,255,222.609,30.506,5320,93,251,177.708,35.726,5320,93,254,178.138,36.288
G30,5320,164,255,223.274,22.881,5320,103,186,140.057,16.176,5320,103,186,140.057,16.176
G31,5320,76,255,202.066,41.206,5320,56,194,136.612,28.178,5320,56,194,136.612,28.178
