Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,51,255,204.610,43.359,5320,51,252,198.508,41.282,5320,79,255,213.883,36.621
G2,5320,0,213,83.369,51.036,5320,0,212,83.368,51.033,5320,51,255,157.792,54.196
G3,5320,99,255,184.332,49.749,5320,99,232,172.305,37.081,5320,132,255,209.617,24.270
G4,5320,0,177,95.748,51.783,5320,0,176,89.348,47.688,5320,68,209,143.188,34.407
G5,5320,0,214,95.390,60.531,5320,0,214,91.390,56.998,5320,69,231,168.079,37.508
G6,5320,15,159,84.887,33.387,5320,15,159,83.308,33.394,5320,52,236,158.469,49.686
G7,5320,57,242,145.106,40.623,5320,47,199,125.921,33.172,5320,47,221,129.008,33.167
G8,5320,58,255,207.442,46.188,5320,40,194,132.199,23.492,5320,40,194,132.199,23.492
G9,5320,59,255,160.736,53.928,5320,34,253,124.087,60.335,5320,34,253,124.405,60.565
G10,5320,42,186,108.426,27.293,5320,42,186,108.426,27.293,5320,79,255,205.880,41.023
G11,5320,0,130,48.540,36.133,5320,0,130,48.540,36.133,5320,73,255,198.625,51.629
G12,5320,0,78,12.452,18.781,5320,0,78,12.452,18.781,5320,65,235,153.751,34.240
G13,5320,0,32,2.804,5.763,5320,0,32,2.804,5.763,5320,79,255,206.889,34.156
G14,5320,0,65,15.381,11.316,5320,0,65,15.381,11.316,5320,72,255,167.567,45.950
G15,5320,0,199,96.478,56.425,5320,0,199,95.217,55.144,5320,61,255,213.512,50.619
G16,5320,87,255,213.697,27.719,5320,74,219,170.699,17.781,5320,74,237,171.948,18.863
G17,5320,47,255,171.631,42.837,5320,17,229,106.268,43.957,5320,17,229,106.268,43.957
G18,5320,17,100,39.548,16.663,5320,17,100,39.548,16.663,5320,95,255,210.760,28.292
G19,5320,18,202,135.242,31.058,5320,18,202,135.239,31.051,5320,97,255,222.248,26.740
G20,5320,48,255,116.363,47.331,5320,48,205,107.656,36.054,5320,78,255,209.227,46.432
G21,5320,18,254,122.094,38.200,5320,18,187,119.509,33.904,5320,96,255,224.590,27.111
G22,5320,0,192,83.803,63.203,5320,0,192,83.803,63.203,5320,90,250,194.142,39.941
G23,5320,0,91,3.020,11.269,5320,0,91,3.020,11.269,5320,42,255,178.809,57.933
G24,5320,0,183,22.390,40.920,5320,0,183,22.390,40.920,5320,219,255,250.977,5.994
G25,5320,35,246,152.319,55.657,5320,35,246,151.739,55.206,5320,56,255,217.979,40.052
G26,5320,58,255,173.036,50.341,5320,49,249,131.143,52.883,5320,49,250,131.630,53.308
G27,5320,55,251,163.052,51.619,5320,0,247,156.557,55.798,5320,0,255,241.987,42.391
G28,5320,97,255,220.461,34.990,5320,97,250,209.261,30.085,5320,156,255,232.446,20.426
G29,5320,130,255,218.670,32.579,5320,10,226,143.726,43.910,5320,10,226,143.801,43.998
G30,5320,58,255,188.195,41.652,5320,0,227,50.676,65.854,5320,0,233,52.147,69.069
G31,5320,97,255,207.687,41.930,5320,0,241,161.750,75.331,5320,0,255,177.277,82.204
G32,5320,0,254,101.335,87.007,5320,0,238,99.132,83.808,5320,43,255,156.886,55.180
G33,5320,0,241,85.084,79.599,5320,0,241,85.084,79.599,5320,38,255,176.410,57.784
G34,5320,15,255,152.227,72.729,5320,15,245,150.255,70.413,5320,76,255,206.580,46.206
G35,5320,61,255,171.708,60.475,5320,51,245,161.334,56.945,5320,51,255,163.292,58.608
G36,5320,42,255,221.585,37.436,5320,0,245,33.451,69.905,5320,0,251,33.670,70.530
G37,5320,116,255,224.076,30.315,5320,43,247,169.523,44.088,5320,43,249,169.543,44.121
G38,5320,88,254,185.789,40.666,5320,4,159,64.681,39.004,5320,4,159,64.681,39.004
G39,5320,9,247,155.212,59.026,5320,0,122,21.402,35.578,5320,0,122,21.402,35.578
G40,5320,36,255,221.518,40.167,5320,0,210,129.629,70.244,5320,0,210,129.629,70.244
G41,5320,192,255,240.089,13.156,5320,152,242,206.015,18.908,5320,152,254,206.858,20.050
G42,5320,103,244,193.423,37.691,5320,103,244,174.223,39.289,5320,122,255,180.793,37.912
G43,5320,88,255,177.350,41.793,5320,70,219,139.510,34.371,5320,70,226,145.101,36.921
G44,5320,64,255,175.133,51.469,5320,54,218,136.435,35.093,5320,54,218,136.531,35.195
G45,5320,36,255,180.831,64.902,5320,0,136,69.340,49.789,5320,0,136,69.340,49.789
G46,5320,85,255,223.238,38.456,5320,0,127,41.569,35.255,5320,0,127,41.569,35.255
G47,5320,108,255,235.015,30.359,5320,0,64,20.241,19.594,5320,0,64,20.241,19.594
G48,5320,219,255,249.572,7.857,5320,0,109,49.198,20.528,5320,0,109,49.198,20.528
G49,5320,142,255,221.967,28.322,5320,34,178,93.470,21.805,5320,34,178,93.470,21.805
G50,5320,179,255,232.311,18.956,5320,3,183,114.991,31.457,5320,3,183,114.991,31.457
G51,5320,185,255,228.258,20.640,5320,0,148,64.327,45.100,5320,0,148,64.327,45.100
G52,5320,119,241,200.471,21.858,5320,0,123,34.709,34.568,5320,0,123,34.709,34.568
G53,5320,124,255,223.654,29.288,5320,12,160,94.719,32.946,5320,12,160,94.719,32.946
G54,5320,88,255,199.192,38.743,5320,49,192,117.125,28.437,5320,49,192,117.125,28.437
G55,5320,141,255,228.050,25.975,5320,0,170,74.444,60.536,5320,0,170,74.444,60.536
G56,5320,101,255,232.889,31.323,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G57,5320,117,255,233.686,30.171,5320,0,89,7.627,15.529,5320,0,89,7.627,15.529
G58,5320,192,255,248.627,11.858,5320,16,182,101.302,37.651,5320,16,182,101.302,37.651
G59,5320,163,255,244.842,15.384,5320,0,173,98.040,44.176,5320,0,173,98.040,44.176
G60,5320,63,255,199.405,45.149,5320,0,104,14.900,21.014,5320,0,104,14.900,21.014
G61,5320,95,252,204.266,35.852,5320,0,93,34.805,25.502,5320,0,93,34.805,25.502
G62,5320,89,239,157.836,31.844,5320,16,131,70.028,22.491,5320,16,131,70.028,22.491
G63,5320,68,255,189.681,53.596,5320,0,233,117.940,64.610,5320,0,248,121.779,68.631
G64,5320,60,255,185.084,62.259,5320,0,157,32.626,46.374,5320,0,157,32.626,46.374
G65,5320,58,255,227.610,40.163,5320,0,193,68.145,55.678,5320,0,193,68.145,55.678
G66,5320,175,255,222.731,18.949,5320,97,203,166.355,18.565,5320,97,203,166.355,18.565
G67,5320,137,255,228.415,19.957,5320,106,216,181.713,16.430,5320,106,216,181.713,16.430
G68,5320,67,255,220.235,35.503,5320,34,216,147.759,41.363,5320,34,216,147.759,41.363
G69,5320,127,255,227.678,33.687,5320,33,183,106.420,38.696,5320,33,183,106.420,38.696
G70,5320,51,255,224.679,40.755,5320,0,145,95.648,34.411,5320,0,145,95.648,34.411
G71,5320,71,255,200.548,38.342,5320,71,237,184.251,28.528,5320,77,255,208.454,39.149
G72,5320,146,255,228.363,23.912,5320,83,234,141.141,30.539,5320,83,234,141.141,30.539
G73,5320,158,255,234.029,16.346,5320,86,245,163.709,39.265,5320,86,255,164.622,40.850
G74,5320,174,255,223.622,17.668,5320,143,244,215.861,19.798,5320,143,255,235.473,26.472
G75,5320,169,239,202.975,10.298,5320,144,239,192.691,18.199,5320,144,255,203.288,27.982
G76,5320,96,255,210.505,27.479,5320,84,244,194.686,29.953,5320,84,255,197.613,33.166
G77,5320,154,255,232.024,24.493,5320,108,228,167.823,24.316,5320,108,228,167.925,24.338
G78,5320,23,255,199.283,51.891,5320,23,253,177.993,51.835,5320,23,255,200.177,55.040
G79,5320,189,255,240.138,13.089,5320,139,254,213.456,30.634,5320,139,255,214.590,31.860
G80,5320,138,255,237.589,22.560,5320,100,249,211.558,29.405,5320,100,255,216.422,32.681
G81,5320,51,241,162.874,45.823,5320,51,241,162.874,45.823,5320,164,255,240.205,18.504
G82,5320,39,228,116.630,50.268,5320,39,228,116.630,50.268,5320,129,255,237.842,25.766
G83,5320,103,233,155.834,29.758,5320,103,233,155.834,29.758,5320,163,255,230.958,22.522
G84,5320,105,244,187.905,25.833,5320,80,239,175.063,31.640,5320,80,255,195.867,43.798
G85,5320,86,232,168.792,33.681,5320,86,232,168.792,33.681,5320,104,255,217.456,35.414
G86,5320,148,254,222.292,26.239,5320,148,251,219.590,24.718,5320,189,255,245.325,10.728
G87,5320,149,255,228.927,24.987,5320,126,249,209.326,26.905,5320,126,255,212.750,29.855
G88,5320,113,244,189.129,24.105,5320,113,244,189.120,24.106,5320,143,255,239.016,23.441
G89,5320,92,203,148.589,23.608,5320,92,203,148.589,23.608,5320,198,255,245.984,12.538
G90,5320,75,144,106.495,16.282,5320,75,144,106.495,16.282,5320,190,255,238.829,16.289
G91,5320,86,228,170.029,29.930,5320,86,227,169.720,29.977,5320,124,255,238.167,22.884
G92,5320,26,251,151.124,44.953,5320,0,201,73.551,46.571,5320,0,201,76.404,49.286
G93,5320,71,255,202.002,39.484,5320,14,220,95.093,51.993,5320,14,223,95.385,52.540
G94,5320,67,255,191.771,57.756,5320,56,239,163.696,49.190,5320,56,244,164.500,49.616
G95,5320,66,255,173.220,59.377,5320,66,219,153.974,48.197,5320,69,221,156.672,46.252
G96,5320,43,170,89.504,25.270,5320,43,170,89.504,25.270,5320,143,255,240.654,20.645
G97,5320,66,255,184.396,38.976,5320,66,248,171.371,37.082,5320,86,255,199.656,39.169
G98,5320,146,255,196.442,30.688,5320,146,248,192.092,26.311,5320,169,255,241.623,16.571
G99,5320,12,255,164.767,59.984,5320,9,222,103.388,43.294,5320,9,222,103.872,43.417
G100,5320,81,255,196.554,37.711,5320,71,240,182.818,37.646,5320,71,255,194.509,41.123
