Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,58,255,165.086,46.447,5320,58,253,162.568,43.901,5320,67,254,190.685,42.794
G2,5320,65,254,148.895,41.892,5320,65,251,148.772,41.692,5320,77,254,174.414,46.543
G3,5320,113,255,213.157,27.275,5320,69,251,170.150,34.393,5320,69,253,171.109,35.217
G4,5320,37,190,130.093,32.023,5320,37,190,121.763,32.265,5320,39,227,130.191,36.864
G5,5320,0,224,113.649,43.858,5320,0,182,78.359,38.311,5320,19,231,106.329,55.057
G6,5320,3,225,134.028,58.873,5320,3,225,122.201,61.215,5320,32,255,172.144,63.916
G7,5320,89,255,212.116,43.418,5320,59,209,147.658,40.102,5320,59,209,147.768,40.103
G8,5320,50,255,187.028,53.060,5320,33,192,103.705,33.750,5320,33,192,103.709,33.749
G9,5320,63,223,149.073,36.703,5320,51,216,133.364,35.930,5320,51,217,133.603,36.200
G10,5320,54,181,161.363,18.351,5320,54,181,161.363,18.351,5320,84,255,245.876,16.606
G11,5320,84,176,140.664,19.801,5320,84,176,140.664,19.801,5320,112,255,224.533,22.168
G12,5320,64,176,139.596,30.720,5320,64,176,139.596,30.720,5320,112,255,219.681,35.879
G13,5320,17,141,63.688,21.850,5320,17,141,63.688,21.850,5320,123,255,205.995,35.821
G14,5320,11,140,80.035,30.128,5320,11,140,80.034,30.128,5320,55,255,215.793,33.853
G15,5320,38,242,111.384,44.585,5320,38,202,106.097,35.985,5320,50,244,165.593,45.597
G16,5320,65,229,152.789,31.609,5320,65,196,121.618,30.507,5320,74,236,137.501,42.324
G17,5320,57,224,148.226,35.089,5320,31,220,106.747,43.366,5320,31,239,107.612,45.328
G18,5320,0,88,13.681,17.480,5320,0,88,13.681,17.480,5320,82,255,215.596,36.973
G19,5320,4,183,133.597,33.552,5320,4,183,133.597,33.552,5320,82,255,215.850,29.345
G20,5320,52,202,118.643,32.735,5320,52,202,118.643,32.735,5320,110,255,193.192,40.599
G21,5320,76,243,151.041,44.656,5320,76,243,151.041,44.656,5320,150,255,227.360,32.107
G22,5320,0,216,59.112,29.713,5320,0,216,59.112,29.713,5320,132,255,213.917,35.072
G23,5320,0,44,2.584,5.598,5320,0,44,2.584,5.598,5320,169,255,216.791,23.860
G24,5320,0,81,13.359,21.703,5320,0,81,13.359,21.703,5320,100,255,206.155,36.246
G25,5320,0,201,81.655,60.238,5320,0,201,81.655,60.238,5320,64,255,219.877,43.988
G26,5320,49,241,176.443,47.222,5320,49,235,144.294,46.018,5320,57,255,149.559,52.025
G27,5320,27,182,118.790,41.774,5320,27,182,118.790,41.774,5320,130,255,252.160,10.416
G28,5320,61,221,177.517,31.003,5320,61,221,177.517,31.003,5320,177,255,247.818,12.172
G29,5320,115,240,190.078,24.642,5320,115,240,189.812,24.878,5320,125,255,219.741,31.616
G30,5320,126,255,227.707,23.825,5320,111,248,201.031,29.781,5320,111,255,205.869,34.870
G31,5320,0,251,105.291,68.583,5320,0,235,100.692,62.507,5320,56,255,138.810,41.857
G32,5320,0,123,19.380,37.868,5320,0,123,19.380,37.868,5320,33,255,190.396,58.944
G33,5320,0,42,1.178,3.487,5320,0,42,1.178,3.487,5320,48,255,209.674,41.682
G34,5320,0,251,101.734,85.155,5320,0,241,101.362,84.592,5320,57,255,197.473,49.293
G35,5320,62,255,176.842,55.926,5320,52,252,161.983,59.410,5320,52,255,165.780,63.454
G36,5320,50,255,174.866,49.450,5320,50,232,167.394,42.536,5320,74,255,206.913,44.663
G37,5320,90,255,198.658,24.834,5320,90,230,195.547,20.618,5320,110,255,227.075,26.324
G38,5320,135,255,232.889,30.191,5320,36,245,186.643,42.586,5320,36,248,188.304,43.413
G39,5320,49,255,185.198,53.857,5320,44,229,151.281,40.436,5320,44,229,151.417,40.398
G40,5320,65,255,180.274,45.855,5320,58,214,159.102,39.712,5320,58,214,160.014,39.782
G41,5320,0,205,136.008,46.674,5320,0,187,126.535,42.825,5320,37,250,133.739,38.932
G42,5320,0,255,180.544,66.065,5320,0,222,163.755,58.198,5320,28,222,176.483,42.816
G43,5320,13,255,203.261,39.216,5320,13,243,187.061,32.323,5320,51,247,194.001,24.652
G44,5320,56,255,181.694,52.659,5320,49,243,155.358,45.510,5320,49,244,155.361,45.515
G45,5320,35,255,193.802,58.741,5320,0,220,137.455,50.683,5320,0,220,140.856,48.496
G46,5320,75,255,222.635,33.890,5320,0,211,140.114,46.257,5320,0,215,140.752,46.171
G47,5320,181,255,236.686,18.439,5320,0,153,13.472,28.424,5320,0,153,13.472,28.424
G48,5320,136,255,214.210,21.728,5320,0,165,66.574,53.120,5320,0,165,66.574,53.120
G49,5320,49,255,194.921,45.844,5320,3,232,138.955,69.837,5320,3,232,138.955,69.837
G50,5320,64,255,178.947,47.358,5320,35,238,149.005,50.277,5320,35,238,149.005,50.277
G51,5320,38,255,208.091,50.752,5320,32,202,130.708,35.319,5320,32,202,130.708,35.319
G52,5320,103,255,220.018,29.433,5320,52,200,119.445,34.155,5320,52,200,119.445,34.155
G53,5320,110,255,213.223,35.530,5320,57,192,139.204,33.549,5320,57,192,139.204,33.549
G54,5320,130,255,222.533,31.112,5320,37,206,128.582,47.814,5320,37,206,128.582,47.814
G55,5320,156,255,231.595,22.770,5320,0,164,87.579,56.237,5320,0,164,87.579,56.237
G56,5320,70,255,224.361,28.769,5320,0,43,0.667,4.191,5320,0,43,0.667,4.191
G57,5320,48,255,195.876,43.296,5320,0,57,6.993,12.527,5320,0,57,6.993,12.527
G58,5320,111,255,231.762,28.932,5320,0,161,34.151,21.891,5320,0,162,34.151,21.892
G59,5320,103,255,204.191,35.609,5320,44,245,125.722,53.355,5320,44,255,128.415,57.899
G60,5320,26,255,191.479,48.532,5320,13,237,112.939,44.016,5320,13,255,116.108,50.747
G61,5320,86,246,189.849,47.240,5320,39,137,92.494,28.374,5320,39,137,92.494,28.374
G62,5320,105,233,166.094,30.856,5320,54,153,100.098,23.985,5320,54,153,100.098,23.985
G63,5320,103,255,208.347,45.971,5320,2,235,131.442,64.841,5320,2,235,131.443,64.842
G64,5320,88,255,209.249,39.871,5320,0,93,16.128,22.657,5320,0,93,16.128,22.657
G65,5320,134,255,220.549,25.527,5320,0,68,21.131,23.157,5320,0,68,21.131,23.157
G66,5320,42,255,160.457,57.245,5320,12,222,82.391,41.887,5320,12,225,84.411,44.275
G67,5320,33,243,170.211,58.871,5320,33,243,169.527,58.345,5320,53,255,206.487,48.829
G68,5320,51,255,210.777,43.076,5320,35,243,173.240,43.365,5320,35,255,178.166,42.094
G69,5320,161,255,225.651,28.067,5320,79,208,136.877,32.125,5320,79,208,136.877,32.125
G70,5320,46,255,223.387,46.608,5320,0,164,109.830,41.215,5320,0,164,109.830,41.215
G71,5320,67,255,223.703,35.097,5320,18,206,127.848,33.903,5320,18,206,127.848,33.903
G72,5320,148,255,235.960,18.006,5320,0,101,25.506,30.125,5320,0,101,25.506,30.125
G73,5320,195,255,236.964,15.285,5320,0,186,17.592,38.162,5320,0,187,17.592,38.163
G74,5320,50,251,191.277,37.169,5320,10,227,153.069,61.677,5320,10,255,157.607,66.018
G75,5320,27,224,143.349,59.760,5320,27,224,143.115,59.772,5320,37,255,178.055,71.598
G76,5320,44,252,185.633,34.289,5320,44,244,184.721,33.239,5320,58,255,227.989,36.941
G77,5320,131,255,228.498,29.029,5320,131,250,192.356,25.427,5320,138,251,196.208,24.040
G78,5320,41,255,225.377,46.559,5320,0,252,166.160,81.188,5320,0,255,169.685,84.007
G79,5320,201,255,244.481,11.777,5320,14,246,138.007,54.380,5320,14,248,138.012,54.391
G80,5320,207,255,250.395,9.309,5320,14,250,150.314,62.305,5320,14,254,150.533,62.570
G81,5320,46,255,178.493,57.000,5320,46,251,174.238,53.164,5320,123,255,233.574,21.657
G82,5320,0,204,95.095,69.527,5320,0,204,95.095,69.527,5320,110,255,230.709,30.039
G83,5320,28,167,97.088,35.332,5320,28,167,97.088,35.332,5320,119,255,221.095,26.964
G84,5320,62,255,157.323,38.669,5320,62,250,154.460,36.990,5320,92,255,209.094,32.878
G85,5320,119,251,187.370,29.115,5320,119,249,187.186,28.823,5320,154,255,229.944,23.502
G86,5320,156,255,231.398,23.063,5320,156,248,222.518,18.908,5320,186,255,239.764,13.032
G87,5320,124,255,228.255,27.571,5320,109,245,210.630,26.443,5320,109,255,213.711,28.317
G88,5320,78,255,193.688,31.419,5320,78,245,193.241,30.992,5320,94,255,237.580,23.286
G89,5320,23,202,117.302,46.244,5320,23,202,117.302,46.244,5320,185,255,248.898,10.388
G90,5320,22,117,51.003,17.612,5320,22,117,51.003,17.612,5320,185,255,239.692,13.911
G91,5320,25,197,111.550,45.927,5320,25,197,111.534,45.905,5320,169,255,240.687,16.475
G92,5320,28,252,148.147,40.869,5320,6,172,85.143,41.848,5320,6,174,85.291,42.053
G93,5320,140,255,231.797,30.822,5320,5,159,44.989,25.897,5320,5,159,44.989,25.897
G94,5320,47,255,183.540,64.168,5320,40,244,128.959,53.249,5320,40,254,136.335,55.547
G95,5320,39,196,122.028,34.785,5320,37,196,116.441,37.331,5320,37,231,137.708,47.398
G96,5320,0,128,52.226,36.397,5320,0,128,52.226,36.397,5320,80,255,232.959,25.876
G97,5320,91,255,213.242,44.498,5320,38,254,193.040,58.925,5320,38,255,194.017,59.544
G98,5320,69,255,227.042,38.614,5320,3,243,127.775,57.953,5320,3,255,131.438,61.204
G99,5320,12,255,177.906,54.246,5320,0,196,31.783,41.099,5320,0,203,31.807,41.175
G100,5320,154,255,225.905,27.530,5320,106,252,202.722,30.087,5320,106,255,211.520,31.758
