Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,62,255,168.194,47.320,5320,62,254,165.810,45.080,5320,70,255,194.412,46.607
G2,5320,63,250,152.544,43.810,5320,63,248,149.230,42.076,5320,67,255,168.521,47.619
G3,5320,108,255,215.281,25.513,5320,63,252,168.188,36.415,5320,63,255,168.683,37.265
G4,5320,42,255,148.692,42.950,5320,0,166,65.548,57.355,5320,0,178,66.836,58.978
G5,5320,37,255,188.844,55.084,5320,0,181,59.611,55.076,5320,0,205,61.711,58.445
G6,5320,69,223,152.737,37.139,5320,0,206,78.764,61.281,5320,0,208,81.207,65.014
G7,5320,62,255,194.398,48.648,5320,0,202,76.167,61.675,5320,0,202,76.167,61.675
G8,5320,53,255,201.781,46.175,5320,34,149,97.853,18.125,5320,34,149,97.853,18.125
G9,5320,57,243,149.318,42.588,5320,34,215,128.410,40.392,5320,34,215,128.536,40.568
G10,5320,114,177,161.726,11.274,5320,114,177,161.726,11.274,5320,209,255,250.702,7.642
G11,5320,20,174,89.713,41.695,5320,20,174,89.713,41.695,5320,142,251,209.171,26.003
G12,5320,25,169,95.859,45.834,5320,25,169,95.589,45.452,5320,157,255,235.020,21.629
G13,5320,0,172,73.896,54.961,5320,0,172,73.717,54.773,5320,60,250,178.165,48.676
G14,5320,0,170,73.037,43.808,5320,0,169,70.460,42.800,5320,43,255,199.569,62.163
G15,5320,40,253,152.738,35.102,5320,33,203,139.605,33.913,5320,33,255,180.934,47.046
G16,5320,147,236,192.346,17.653,5320,90,216,150.734,31.566,5320,90,240,155.703,37.140
G17,5320,55,236,149.894,36.950,5320,27,229,103.299,43.627,5320,27,235,103.536,44.226
G18,5320,0,116,21.883,19.669,5320,0,116,21.883,19.669,5320,70,255,207.835,39.062
G19,5320,40,185,139.251,27.623,5320,40,185,139.251,27.623,5320,138,255,216.634,28.104
G20,5320,47,229,127.948,47.655,5320,47,229,127.948,47.655,5320,113,255,203.956,41.733
G21,5320,42,228,117.916,47.574,5320,42,228,117.916,47.574,5320,218,255,252.415,5.207
G22,5320,0,115,8.446,19.950,5320,0,115,8.446,19.950,5320,72,255,193.028,53.381
G23,5320,0,37,0.263,2.193,5320,0,37,0.263,2.193,5320,202,255,234.569,15.141
G24,5320,0,146,17.887,32.104,5320,0,146,17.887,32.104,5320,175,255,237.430,20.762
G25,5320,7,227,124.447,55.125,5320,7,227,124.326,55.021,5320,57,255,220.977,39.019
G26,5320,50,255,179.504,49.394,5320,50,250,143.181,47.657,5320,57,253,145.395,50.286
G27,5320,41,188,110.037,37.639,5320,41,188,110.037,37.639,5320,122,255,242.754,25.100
G28,5320,85,244,185.332,35.415,5320,85,244,185.321,35.409,5320,190,255,247.637,13.138
G29,5320,150,254,219.853,25.399,5320,142,253,217.016,28.786,5320,142,255,220.548,29.922
G30,5320,102,252,198.129,27.141,5320,102,250,198.002,27.152,5320,128,255,223.093,22.645
G31,5320,0,196,32.868,53.088,5320,0,196,32.868,53.088,5320,61,255,166.037,49.130
G32,5320,0,8,0.107,0.686,5320,0,8,0.107,0.686,5320,46,255,215.232,47.968
G33,5320,0,58,4.222,8.118,5320,0,58,4.222,8.118,5320,32,255,209.698,43.911
G34,5320,11,251,110.123,78.395,5320,11,246,109.908,78.069,5320,57,255,197.823,49.900
