Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,42,251,141.195,40.710,5320,42,244,140.411,39.616,5320,64,255,199.216,43.823
G2,5320,20,204,103.687,35.879,5320,20,203,103.686,35.877,5320,67,255,208.719,38.694
G3,5320,109,255,201.166,26.108,5320,78,244,181.725,22.769,5320,78,255,203.461,36.293
G4,5320,16,199,110.920,45.482,5320,16,199,110.920,45.482,5320,55,255,239.343,28.399
G5,5320,16,195,78.787,41.399,5320,16,195,78.787,41.399,5320,29,255,180.308,56.389
G6,5320,0,248,78.879,61.606,5320,0,237,76.254,57.872,5320,51,237,135.201,44.384
G7,5320,9,255,156.138,68.972,5320,9,244,149.396,64.061,5320,42,246,172.316,51.888
G8,5320,52,255,195.589,48.649,5320,43,225,167.504,36.117,5320,43,225,168.977,35.558
G9,5320,58,238,144.400,40.618,5320,46,212,136.440,36.300,5320,46,215,143.772,39.790
G10,5320,86,152,131.866,11.430,5320,86,152,131.866,11.430,5320,197,255,249.736,8.501
G11,5320,0,128,43.967,40.891,5320,0,128,43.967,40.891,5320,46,254,203.352,42.051
G12,5320,0,40,2.364,6.548,5320,0,40,2.364,6.548,5320,107,255,227.125,23.226
G13,5320,0,41,5.020,9.528,5320,0,41,5.020,9.528,5320,213,255,247.664,8.582
G14,5320,0,41,2.935,7.316,5320,0,41,2.935,7.316,5320,95,255,212.755,38.681
G15,5320,3,125,57.217,18.052,5320,3,125,57.217,18.052,5320,84,255,169.015,46.814
G16,5320,18,219,94.562,54.136,5320,18,219,93.197,51.973,5320,62,222,146.629,41.803
G17,5320,60,217,133.371,29.928,5320,42,186,114.442,32.794,5320,42,228,128.903,46.024
G18,5320,0,111,11.323,18.802,5320,0,111,11.323,18.802,5320,91,255,216.929,33.288
G19,5320,19,149,111.223,22.663,5320,19,149,111.223,22.663,5320,123,255,214.853,28.409
G20,5320,0,184,59.945,50.528,5320,0,184,59.945,50.528,5320,51,255,179.256,48.352
G21,5320,0,176,30.282,47.202,5320,0,176,30.282,47.202,5320,141,255,227.184,23.219
G22,5320,0,98,6.792,15.685,5320,0,98,6.792,15.685,5320,222,255,251.562,5.103
G23,5320,0,35,1.107,4.005,5320,0,35,1.107,4.005,5320,184,255,242.334,16.988
G24,5320,0,60,9.708,16.644,5320,0,60,9.708,16.644,5320,85,255,201.986,38.806
G25,5320,0,120,31.508,31.707,5320,0,120,31.508,31.707,5320,47,255,194.016,53.828
G26,5320,31,236,150.727,49.094,5320,31,214,142.679,44.206,5320,65,251,169.721,50.620
G27,5320,9,162,103.273,37.261,5320,9,162,103.273,37.261,5320,131,255,250.649,10.759
G28,5320,65,188,148.629,23.254,5320,65,188,148.629,23.254,5320,195,255,246.355,13.643
