Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,57,255,172.311,54.302,5320,57,243,164.793,48.138,5320,72,255,191.221,34.754
G2,5320,44,236,149.289,39.920,5320,44,224,149.090,39.665,5320,67,255,195.305,40.814
G3,5320,142,255,207.239,25.109,5320,78,238,169.723,34.145,5320,78,253,172.827,38.175
G4,5320,42,225,131.594,38.743,5320,30,193,106.348,39.238,5320,30,224,111.734,46.272
G5,5320,76,251,196.473,34.535,5320,55,208,141.855,29.916,5320,55,215,144.373,32.731
G6,5320,64,255,196.805,44.497,5320,29,232,101.054,39.006,5320,29,232,103.595,41.414
G7,5320,126,255,227.007,26.169,5320,15,235,128.857,54.728,5320,15,235,129.250,55.321
G8,5320,54,255,188.844,49.341,5320,40,173,119.817,27.655,5320,40,173,119.817,27.655
G9,5320,50,255,152.286,46.992,5320,43,206,133.189,37.151,5320,43,206,134.164,37.304
G10,5320,15,157,120.349,18.547,5320,15,157,120.349,18.547,5320,104,255,233.391,22.424
G11,5320,28,126,90.007,26.588,5320,28,126,90.007,26.588,5320,62,255,194.498,61.107
G12,5320,35,193,122.665,20.807,5320,35,185,122.559,20.599,5320,101,252,212.312,25.938
G13,5320,0,204,104.880,54.790,5320,0,204,104.780,54.635,5320,100,255,225.789,25.984
G14,5320,51,203,105.090,27.190,5320,51,203,105.090,27.190,5320,71,255,197.954,51.273
G15,5320,69,238,151.694,28.206,5320,69,213,145.571,25.002,5320,70,255,197.381,37.552
G16,5320,124,222,170.201,21.600,5320,112,185,154.155,12.888,5320,112,242,180.781,28.357
G17,5320,51,239,143.400,31.554,5320,34,237,116.307,40.464,5320,34,252,118.945,45.467
G18,5320,0,113,37.148,22.802,5320,0,113,37.148,22.802,5320,104,255,211.119,34.751
G19,5320,11,162,119.886,28.517,5320,11,162,119.886,28.517,5320,104,255,217.810,28.035
G20,5320,49,178,108.547,29.095,5320,49,178,108.547,29.095,5320,81,255,180.415,42.538
G21,5320,6,180,116.630,46.092,5320,6,180,116.630,46.092,5320,61,255,196.794,44.956
G22,5320,0,213,43.165,61.806,5320,0,213,43.165,61.806,5320,46,255,188.516,47.931
G23,5320,15,138,48.571,15.312,5320,15,138,48.571,15.312,5320,52,255,215.441,38.106
G24,5320,0,133,46.553,39.578,5320,0,133,46.553,39.578,5320,147,255,231.322,25.674
G25,5320,23,212,114.614,40.242,5320,23,212,114.614,40.241,5320,61,255,224.569,48.208
G26,5320,51,247,180.260,44.429,5320,51,243,150.861,47.585,5320,53,255,156.914,54.073
G27,5320,49,254,146.497,47.654,5320,0,223,139.113,49.571,5320,0,255,242.141,44.109
G28,5320,75,192,142.670,20.292,5320,75,192,142.670,20.292,5320,190,255,248.470,13.955
G29,5320,72,171,134.821,19.158,5320,72,171,134.821,19.158,5320,126,255,222.420,28.989
G30,5320,64,219,138.767,34.609,5320,64,219,138.767,34.609,5320,113,255,206.256,39.118
G31,5320,142,252,210.092,20.284,5320,126,248,207.962,22.235,5320,126,255,231.633,24.340
G32,5320,30,229,111.845,56.028,5320,30,212,102.229,47.621,5320,56,215,139.230,41.610
G33,5320,5,103,64.015,24.672,5320,5,103,64.015,24.672,5320,48,255,209.197,41.313
G34,5320,22,255,162.882,79.430,5320,22,254,160.808,77.340,5320,59,255,203.506,46.974
G35,5320,70,255,179.592,48.669,5320,55,249,154.753,49.578,5320,55,249,155.052,50.043
G36,5320,67,255,227.526,33.881,5320,0,246,58.023,88.556,5320,0,255,62.271,96.076
G37,5320,101,232,168.776,24.360,5320,101,232,168.692,24.284,5320,122,255,229.852,28.315
G38,5320,107,239,184.552,32.688,5320,107,235,184.335,32.485,5320,168,255,235.544,22.472
G39,5320,0,181,36.878,47.977,5320,0,181,36.877,47.976,5320,15,255,170.730,47.985
G40,5320,0,255,151.965,87.441,5320,0,241,142.867,80.905,5320,86,255,209.373,32.327
G41,5320,48,255,216.633,43.936,5320,48,221,160.745,29.604,5320,63,221,160.921,29.034
G42,5320,25,255,206.494,61.990,5320,25,198,150.737,38.066,5320,41,198,152.242,34.688
G43,5320,75,255,213.659,25.540,5320,75,218,166.506,24.465,5320,94,220,167.530,23.747
G44,5320,54,255,176.117,51.015,5320,42,212,130.706,35.955,5320,42,212,130.706,35.955
G45,5320,46,255,204.781,48.139,5320,0,249,117.784,96.098,5320,0,255,120.713,99.307
G46,5320,98,246,211.973,33.993,5320,98,246,211.562,33.850,5320,117,255,230.380,28.811
G47,5320,154,255,234.228,18.077,5320,152,242,206.589,14.398,5320,168,255,208.541,16.117
G48,5320,14,254,129.509,83.925,5320,14,247,124.348,77.950,5320,61,250,167.972,50.666
G49,5320,13,255,158.152,74.587,5320,13,249,156.220,72.324,5320,50,253,191.108,43.244
G50,5320,82,255,203.465,40.148,5320,82,252,182.301,37.275,5320,85,255,184.302,37.792
G51,5320,160,255,221.298,29.467,5320,3,189,96.001,40.507,5320,3,189,96.001,40.507
G52,5320,75,255,219.795,38.150,5320,0,127,33.301,36.010,5320,0,127,33.301,36.010
G53,5320,98,252,206.669,32.822,5320,0,142,83.659,36.425,5320,0,142,83.659,36.425
G54,5320,87,247,165.481,42.809,5320,25,241,148.677,46.772,5320,25,255,211.522,58.722
G55,5320,95,253,191.467,39.929,5320,95,253,188.976,38.359,5320,154,255,236.263,22.044
G56,5320,136,255,231.615,25.077,5320,116,223,191.343,22.774,5320,116,223,191.376,22.733
G57,5320,80,255,199.279,37.880,5320,80,228,173.405,28.284,5320,88,228,175.004,26.034
G58,5320,59,255,202.651,47.456,5320,59,253,201.660,47.094,5320,65,255,212.358,50.680
G59,5320,115,255,213.616,26.066,5320,115,243,210.146,24.241,5320,119,255,239.924,18.192
G60,5320,115,255,215.376,31.401,5320,1,248,142.479,60.439,5320,1,253,149.934,68.055
G61,5320,67,249,194.725,46.756,5320,0,136,55.796,31.915,5320,0,136,55.796,31.915
G62,5320,113,255,162.552,34.564,5320,33,156,77.303,26.679,5320,33,156,77.303,26.679
G63,5320,91,255,193.096,44.145,5320,91,253,185.829,37.843,5320,112,255,218.825,27.293
G64,5320,139,255,235.455,21.623,5320,32,228,147.199,28.875,5320,32,228,147.207,28.891
G65,5320,118,255,230.783,25.891,5320,0,232,121.264,74.586,5320,0,232,121.264,74.586
G66,5320,117,255,214.778,32.021,5320,0,251,195.095,55.202,5320,0,255,209.418,57.512
G67,5320,60,212,129.047,39.401,5320,60,212,129.030,39.371,5320,161,255,228.069,25.374
G68,5320,42,255,143.096,69.315,5320,42,251,130.917,56.814,5320,124,252,187.509,29.645
G69,5320,196,255,248.273,9.000,5320,71,228,133.713,36.129,5320,71,231,134.159,37.157
G70,5320,46,255,218.452,48.789,5320,0,156,84.853,41.134,5320,0,156,84.853,41.134
G71,5320,65,255,205.711,39.446,5320,0,222,116.684,85.005,5320,0,222,117.339,85.411
G72,5320,140,255,239.615,17.102,5320,0,217,99.310,60.273,5320,0,217,99.310,60.273
G73,5320,202,255,242.224,13.113,5320,0,50,0.689,4.105,5320,0,50,0.689,4.105
G74,5320,69,255,226.638,37.036,5320,0,222,24.935,53.328,5320,0,229,25.678,55.397
G75,5320,45,239,141.798,42.804,5320,45,215,135.598,37.546,5320,59,255,182.994,42.304
G76,5320,57,207,131.519,33.329,5320,57,202,131.510,33.311,5320,130,255,206.009,29.053
G77,5320,101,255,226.929,34.545,5320,101,247,184.316,29.419,5320,122,249,189.654,27.729
G78,5320,44,255,212.655,37.370,5320,0,253,172.899,78.225,5320,0,255,187.515,87.089
G79,5320,204,255,242.592,10.466,5320,56,246,202.793,38.987,5320,56,255,207.253,42.878
G80,5320,187,255,231.063,14.801,5320,0,203,114.259,65.709,5320,0,203,114.259,65.709
G81,5320,112,255,230.364,29.120,5320,0,249,171.977,57.657,5320,0,255,172.839,58.342
G82,5320,124,245,186.904,23.387,5320,124,245,186.491,23.115,5320,148,255,224.556,21.901
G83,5320,69,198,158.719,25.047,5320,69,198,158.719,25.047,5320,130,255,229.239,21.490
G84,5320,87,255,192.686,32.910,5320,84,245,188.033,30.999,5320,84,255,226.655,31.868
G85,5320,84,222,167.472,31.946,5320,84,218,165.327,29.514,5320,127,255,223.471,27.492
G86,5320,117,255,207.824,31.748,5320,117,250,202.630,27.385,5320,166,255,239.489,15.292
G87,5320,166,255,232.026,23.960,5320,143,253,198.643,29.018,5320,143,254,198.667,29.045
G88,5320,171,255,241.294,18.205,5320,163,250,226.468,19.384,5320,163,255,228.704,20.715
G89,5320,124,249,199.250,29.199,5320,124,248,199.216,29.147,5320,177,255,242.388,14.854
G90,5320,70,157,106.143,13.887,5320,70,157,106.143,13.887,5320,144,255,229.831,18.118
G91,5320,72,219,140.568,31.491,5320,72,219,140.558,31.467,5320,165,255,241.204,21.612
G92,5320,20,255,159.930,56.425,5320,0,188,70.837,57.351,5320,0,188,70.866,57.389
G93,5320,73,255,204.278,43.025,5320,0,130,21.707,34.318,5320,0,130,21.707,34.318
G94,5320,70,255,213.073,48.154,5320,26,142,74.804,23.513,5320,26,142,74.832,23.526
G95,5320,45,251,121.145,42.786,5320,15,161,77.459,36.216,5320,15,173,87.408,44.094
G96,5320,7,143,85.413,32.298,5320,7,143,85.413,32.298,5320,102,255,230.760,29.177
G97,5320,77,211,152.803,37.419,5320,77,202,150.480,38.177,5320,95,255,200.156,45.050
G98,5320,65,255,203.716,48.989,5320,0,202,68.495,68.752,5320,0,255,78.318,83.144
G99,5320,27,255,166.448,49.182,5320,0,161,22.242,38.937,5320,0,161,22.242,38.937
G100,5320,188,255,237.213,15.531,5320,65,253,181.203,36.384,5320,65,255,185.829,41.891
