Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,62,251,163.414,45.780,5320,62,248,160.891,43.111,5320,69,255,193.292,44.399
G2,5320,35,251,141.668,45.722,5320,35,249,141.618,45.625,5320,63,255,177.000,47.455
G3,5320,113,255,212.679,30.106,5320,69,251,172.920,37.350,5320,69,254,174.754,38.243
G4,5320,53,230,138.185,35.782,5320,45,172,122.486,32.482,5320,45,230,141.774,47.254
G5,5320,62,244,163.924,42.511,5320,51,196,144.817,28.430,5320,51,253,163.398,42.985
G6,5320,40,230,125.197,35.461,5320,40,173,108.064,32.270,5320,45,255,137.502,62.179
G7,5320,44,255,193.689,51.521,5320,41,251,160.857,50.088,5320,41,255,165.968,50.496
G8,5320,57,255,193.420,49.577,5320,38,187,130.735,29.212,5320,38,187,130.845,29.084
G9,5320,61,245,150.114,42.074,5320,53,208,137.342,36.728,5320,53,218,140.080,38.571
G10,5320,73,172,150.459,15.393,5320,73,172,150.459,15.393,5320,130,255,248.223,12.821
G11,5320,7,167,88.244,47.430,5320,7,167,88.244,47.430,5320,60,249,189.799,54.351
G12,5320,11,148,59.477,29.986,5320,11,148,59.477,29.986,5320,86,255,232.461,28.621
G13,5320,0,148,48.474,40.318,5320,0,148,48.474,40.318,5320,212,255,250.305,7.981
G14,5320,0,139,70.325,41.756,5320,0,139,70.325,41.756,5320,207,255,250.148,8.919
G15,5320,0,197,114.469,35.674,5320,0,193,113.574,34.471,5320,106,255,212.014,22.431
G16,5320,97,220,164.826,29.267,5320,91,187,148.866,22.428,5320,91,237,174.113,32.792
G17,5320,57,222,145.106,32.367,5320,36,222,115.318,40.834,5320,36,241,117.701,45.358
G18,5320,0,82,9.853,15.147,5320,0,82,9.853,15.147,5320,78,255,210.070,36.895
G19,5320,6,156,114.387,29.096,5320,6,156,114.387,29.096,5320,78,255,214.920,30.447
