Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,53,254,160.466,46.537,5320,53,245,158.831,44.706,5320,62,255,195.800,44.727
G2,5320,41,247,122.026,44.674,5320,41,246,122.025,44.672,5320,77,255,169.219,47.820
G3,5320,104,255,209.478,28.036,5320,65,245,172.393,31.595,5320,65,255,178.260,36.436
G4,5320,38,173,116.143,26.375,5320,6,173,96.421,32.723,5320,6,231,124.435,56.833
G5,5320,48,255,140.066,57.326,5320,0,160,47.467,51.474,5320,0,226,66.025,78.308
G6,5320,55,255,171.825,41.417,5320,0,231,143.476,62.348,5320,0,255,179.707,83.722
G7,5320,39,255,206.249,55.287,5320,35,211,145.231,49.470,5320,35,228,146.139,50.515
G8,5320,41,255,194.413,50.057,5320,24,195,111.023,33.245,5320,24,195,111.023,33.245
G9,5320,56,240,155.045,43.680,5320,31,200,127.739,36.643,5320,31,200,127.743,36.646
G10,5320,53,162,137.590,15.561,5320,53,162,137.590,15.561,5320,95,255,247.827,15.120
G11,5320,42,152,88.572,24.334,5320,42,152,88.572,24.334,5320,91,251,220.211,28.328
G12,5320,40,153,82.886,24.539,5320,40,153,82.886,24.539,5320,83,224,163.609,25.690
G13,5320,3,117,64.440,26.484,5320,3,117,64.440,26.484,5320,65,223,157.200,35.374
G14,5320,0,184,56.699,44.095,5320,0,184,56.699,44.095,5320,140,255,223.192,23.172
G15,5320,5,228,106.496,53.199,5320,5,196,102.784,48.402,5320,62,255,193.067,47.158
G16,5320,47,223,137.735,45.349,5320,47,180,114.047,31.061,5320,58,225,133.800,38.682
G17,5320,60,221,142.614,32.489,5320,30,187,106.730,43.812,5320,30,231,110.659,49.846
G18,5320,0,67,6.675,12.111,5320,0,67,6.675,12.111,5320,90,255,210.792,35.734
G19,5320,0,142,102.072,30.059,5320,0,142,102.072,30.059,5320,108,255,217.147,31.027
G20,5320,29,193,121.572,34.250,5320,29,193,121.572,34.250,5320,98,255,219.409,33.716
G21,5320,99,211,179.623,21.367,5320,99,211,179.623,21.367,5320,163,255,221.854,21.082
G22,5320,1,178,106.436,48.331,5320,1,178,106.436,48.331,5320,75,219,186.949,26.970
G23,5320,0,17,0.556,1.762,5320,0,17,0.556,1.762,5320,90,255,211.598,35.153
G24,5320,1,100,40.598,27.027,5320,1,100,40.598,27.027,5320,199,255,246.413,8.670
G25,5320,14,140,73.282,19.129,5320,14,140,73.282,19.129,5320,72,255,185.998,46.151
G26,5320,38,236,156.380,48.059,5320,38,206,145.361,42.132,5320,60,251,164.665,46.074
G27,5320,13,142,85.933,32.160,5320,13,142,85.933,32.160,5320,125,255,249.402,15.828
G28,5320,49,146,117.716,21.705,5320,49,146,117.716,21.705,5320,186,255,245.476,14.634
G29,5320,38,199,97.943,35.362,5320,38,199,97.943,35.362,5320,87,255,217.811,28.534
G30,5320,50,231,160.269,51.073,5320,50,231,160.269,51.073,5320,115,255,223.493,23.931
G31,5320,14,231,163.405,48.287,5320,14,231,163.405,48.287,5320,151,255,231.383,25.894
G32,5320,0,87,2.936,9.487,5320,0,87,2.936,9.487,5320,53,255,210.283,44.159
G33,5320,0,13,0.827,2.222,5320,0,13,0.827,2.222,5320,58,255,234.479,34.530
G34,5320,0,196,53.810,53.589,5320,0,196,53.810,53.589,5320,116,255,246.704,18.195
G35,5320,58,244,154.250,44.277,5320,58,244,152.561,45.131,5320,58,255,178.874,62.739
G36,5320,30,255,184.868,58.546,5320,30,254,176.109,52.879,5320,49,255,206.283,43.880
G37,5320,74,197,136.554,18.843,5320,74,197,136.554,18.843,5320,115,255,227.421,29.726
G38,5320,76,200,153.038,24.372,5320,76,200,153.038,24.372,5320,170,255,226.301,23.856
G39,5320,73,250,179.784,41.879,5320,73,249,179.709,41.781,5320,164,255,221.849,21.635
G40,5320,101,255,231.339,23.633,5320,101,254,227.562,22.868,5320,193,255,240.102,16.114
G41,5320,0,255,161.589,78.584,5320,0,252,153.619,73.464,5320,52,255,194.477,49.455
