Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,214,255,244.442,8.161,5320,70,184,121.887,20.455,5320,70,184,121.887,20.455
G2,5320,87,255,211.731,43.374,5320,75,158,126.897,13.521,5320,75,158,126.957,13.552
G3,5320,46,255,224.535,46.432,5320,46,188,152.422,25.746,5320,50,188,152.516,25.509
G4,5320,43,228,152.398,47.762,5320,43,228,148.313,49.251,5320,49,243,165.711,51.326
G5,5320,33,255,152.607,60.584,5320,33,246,145.883,57.025,5320,46,247,168.217,60.909
G6,5320,36,255,196.048,64.836,5320,36,247,187.832,59.712,5320,48,247,190.668,56.430
G7,5320,41,255,192.090,41.662,5320,34,240,165.572,46.701,5320,34,241,165.826,47.046
G8,5320,55,255,187.077,55.849,5320,38,136,85.647,21.399,5320,38,136,85.647,21.399
G9,5320,53,255,174.881,43.318,5320,0,182,69.773,43.529,5320,0,182,69.773,43.529
G10,5320,125,255,233.505,29.031,5320,125,203,175.817,13.581,5320,136,235,179.299,16.667
G11,5320,165,255,225.986,24.132,5320,64,174,132.184,22.827,5320,64,174,132.184,22.827
G12,5320,56,255,183.186,62.791,5320,49,218,105.105,33.939,5320,49,225,105.445,34.458
G13,5320,63,236,163.983,52.158,5320,63,236,162.918,52.142,5320,63,255,215.417,47.934
G14,5320,45,247,161.247,50.804,5320,45,235,159.728,48.818,5320,49,255,222.958,49.077
G15,5320,76,255,202.800,33.169,5320,53,241,143.632,51.451,5320,53,241,145.461,53.832
G16,5320,159,255,225.880,24.945,5320,61,193,109.572,28.857,5320,61,193,109.572,28.857
G17,5320,51,255,166.949,43.575,5320,0,160,60.814,39.473,5320,0,160,60.814,39.473
G18,5320,31,205,132.767,40.753,5320,31,205,132.767,40.753,5320,69,253,206.289,39.665
G19,5320,96,255,211.167,37.604,5320,96,248,184.491,28.508,5320,117,249,195.766,29.671
G20,5320,183,255,237.152,17.694,5320,38,175,87.791,27.452,5320,38,175,87.791,27.452
G21,5320,96,255,232.296,25.025,5320,0,83,26.531,24.299,5320,0,83,26.531,24.299
G22,5320,43,255,142.082,59.199,5320,0,197,78.320,47.927,5320,0,222,92.039,54.514
G23,5320,13,146,58.028,27.689,5320,13,146,51.511,22.295,5320,34,255,172.598,75.196
G24,5320,63,255,191.405,49.631,5320,63,252,187.381,46.708,5320,169,255,239.449,17.770
G25,5320,51,255,216.933,44.648,5320,41,251,183.461,46.802,5320,41,255,184.211,47.679
G26,5320,66,245,167.789,38.795,5320,45,164,88.603,22.131,5320,45,164,88.603,22.131
G27,5320,37,222,162.330,38.361,5320,37,222,162.330,38.361,5320,83,255,226.436,37.200
G28,5320,116,255,223.581,25.490,5320,115,242,206.096,27.142,5320,118,255,219.882,34.852
G29,5320,73,255,211.364,35.502,5320,21,180,123.397,33.685,5320,21,180,123.397,33.685
G30,5320,74,255,198.848,47.114,5320,0,156,39.242,47.173,5320,0,156,39.242,47.173
G31,5320,96,255,213.279,37.329,5320,0,53,8.802,14.166,5320,0,53,8.802,14.166
G32,5320,52,255,182.400,37.826,5320,0,130,49.998,22.141,5320,0,214,50.525,24.498
G33,5320,34,231,169.855,47.527,5320,23,231,134.119,55.151,5320,23,250,143.249,62.970
G34,5320,69,255,212.923,46.860,5320,58,227,143.207,28.725,5320,58,232,143.301,28.944
G35,5320,69,255,168.262,51.127,5320,42,194,112.629,35.794,5320,42,194,112.629,35.794
G36,5320,36,231,149.861,57.695,5320,36,231,149.861,57.695,5320,95,255,231.920,29.151
G37,5320,116,255,213.592,36.204,5320,116,244,199.248,26.458,5320,120,255,212.179,26.422
G38,5320,137,255,234.145,30.152,5320,64,213,172.433,31.184,5320,64,213,172.433,31.184
G39,5320,89,255,218.774,43.172,5320,16,177,113.807,39.785,5320,16,177,113.807,39.785
G40,5320,158,255,224.442,26.090,5320,0,109,16.796,22.356,5320,0,109,16.796,22.356
