Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,193,255,234.245,15.964,5320,89,251,182.327,32.285,5320,89,254,184.818,34.828
G2,5320,81,255,213.142,46.342,5320,68,236,187.805,40.827,5320,68,250,191.050,41.622
G3,5320,55,255,213.002,52.161,5320,36,222,174.726,43.160,5320,36,222,174.726,43.160
G4,5320,41,255,151.232,55.574,5320,33,218,123.321,44.454,5320,33,218,124.246,44.773
G5,5320,54,255,231.882,28.748,5320,43,225,188.828,23.181,5320,43,225,188.828,23.181
G6,5320,72,255,166.801,52.135,5320,41,185,112.322,37.650,5320,41,185,112.322,37.650
G7,5320,37,255,165.107,43.575,5320,11,191,90.401,46.692,5320,11,191,90.401,46.692
G8,5320,58,255,211.616,45.364,5320,11,82,51.926,17.359,5320,11,82,51.926,17.359
G9,5320,34,240,154.171,47.522,5320,34,240,144.624,55.031,5320,37,252,154.565,60.593
G10,5320,71,243,164.653,34.493,5320,71,242,164.643,34.473,5320,124,255,225.300,31.345
G11,5320,41,230,123.000,41.259,5320,41,230,122.975,41.210,5320,100,250,200.358,30.418
G12,5320,97,192,161.366,16.869,5320,97,192,159.863,17.391,5320,106,243,186.415,24.366
G13,5320,23,255,197.753,67.185,5320,0,189,101.662,54.961,5320,0,189,101.673,54.968
G14,5320,125,255,192.164,28.406,5320,0,160,71.315,30.871,5320,0,160,71.315,30.871
G15,5320,64,253,182.970,38.382,5320,7,79,47.490,12.845,5320,7,79,47.490,12.845
G16,5320,134,255,236.955,17.597,5320,21,123,55.541,20.208,5320,21,123,55.541,20.208
G17,5320,57,255,144.598,44.716,5320,43,182,104.539,28.369,5320,43,207,111.739,36.974
G18,5320,9,125,62.025,28.584,5320,9,125,62.025,28.584,5320,58,255,197.167,44.109
G19,5320,49,236,139.207,46.302,5320,49,236,139.207,46.302,5320,70,255,197.226,44.847
G20,5320,102,239,176.462,32.579,5320,102,239,176.349,32.414,5320,185,255,241.716,14.022
G21,5320,70,218,186.676,20.043,5320,70,218,185.592,21.069,5320,74,255,219.609,33.390
G22,5320,14,255,175.261,60.453,5320,0,201,54.508,64.922,5320,0,210,55.003,65.613
G23,5320,96,255,225.415,29.710,5320,0,76,8.733,19.371,5320,0,76,8.733,19.371
G24,5320,159,255,229.891,29.039,5320,2,80,38.721,18.630,5320,2,80,38.721,18.630
G25,5320,53,255,219.686,41.951,5320,23,124,79.579,17.911,5320,23,124,79.579,17.911
G26,5320,65,255,179.891,33.567,5320,32,130,95.248,21.441,5320,32,130,95.248,21.441
G27,5320,6,158,122.986,22.863,5320,6,158,122.986,22.863,5320,127,255,246.396,15.487
G28,5320,82,252,180.645,44.219,5320,82,240,173.529,38.095,5320,138,255,226.177,28.395
G29,5320,119,255,219.267,27.760,5320,84,252,153.628,47.467,5320,84,255,154.680,49.164
G30,5320,109,255,210.885,39.779,5320,85,239,169.551,40.095,5320,85,250,170.647,41.662
G31,5320,48,255,192.701,44.253,5320,0,235,154.314,61.104,5320,0,255,159.525,65.019
G32,5320,38,250,171.437,46.453,5320,0,133,48.351,45.139,5320,0,133,48.351,45.139
G33,5320,62,255,213.191,42.319,5320,0,58,16.340,16.781,5320,0,58,16.340,16.781
G34,5320,61,255,209.045,45.205,5320,5,154,97.827,41.507,5320,5,154,97.827,41.507
G35,5320,68,255,166.755,50.997,5320,37,149,88.045,27.723,5320,37,149,88.045,27.723
G36,5320,0,163,43.186,59.612,5320,0,163,43.186,59.612,5320,75,255,237.121,28.092
G37,5320,0,255,182.269,57.615,5320,0,246,164.681,45.516,5320,72,255,195.819,34.955
G38,5320,151,255,206.897,26.919,5320,4,188,116.083,26.298,5320,4,188,116.083,26.298
G39,5320,110,255,204.702,40.933,5320,21,183,115.054,26.658,5320,21,183,115.054,26.658
G40,5320,143,255,217.084,30.440,5320,8,202,87.459,44.628,5320,8,202,87.459,44.628
G41,5320,98,255,221.384,29.568,5320,2,107,51.133,24.443,5320,2,107,51.133,24.443
G42,5320,58,255,200.545,47.490,5320,0,118,87.767,27.292,5320,0,118,87.767,27.292
G43,5320,158,255,228.881,18.401,5320,61,129,102.310,14.259,5320,61,129,102.310,14.259
G44,5320,45,255,161.328,49.320,5320,26,133,80.910,25.521,5320,26,133,80.910,25.521
G45,5320,0,224,53.444,47.963,5320,0,209,52.886,46.680,5320,38,230,146.329,45.117
G46,5320,0,255,201.856,52.141,5320,0,236,113.517,68.095,5320,0,236,122.451,70.366
G47,5320,147,255,234.725,28.528,5320,0,156,6.772,21.511,5320,0,156,6.772,21.511
G48,5320,200,255,247.019,10.907,5320,0,77,5.107,13.074,5320,0,77,5.107,13.074
G49,5320,158,255,239.453,23.121,5320,0,48,4.510,9.766,5320,0,48,4.510,9.766
G50,5320,158,255,221.296,23.854,5320,0,21,0.311,1.637,5320,0,21,0.311,1.637
G51,5320,214,255,244.823,9.363,5320,0,83,8.717,18.613,5320,0,83,8.717,18.613
G52,5320,124,255,211.019,30.662,5320,0,78,19.076,24.223,5320,0,78,19.076,24.223
G53,5320,70,255,186.799,45.392,5320,0,119,52.017,30.532,5320,0,119,52.017,30.532
G54,5320,70,255,187.084,51.523,5320,70,249,178.721,44.034,5320,90,255,197.274,35.201
G55,5320,66,255,194.407,47.046,5320,0,212,82.042,66.246,5320,0,212,82.042,66.246
G56,5320,59,255,182.185,65.154,5320,0,59,1.232,5.911,5320,0,59,1.232,5.911
G57,5320,119,255,239.810,21.403,5320,0,21,0.114,0.954,5320,0,21,0.114,0.954
G58,5320,175,255,228.435,20.107,5320,0,137,30.387,37.652,5320,0,137,30.387,37.652
G59,5320,89,252,211.864,26.656,5320,0,114,14.144,25.276,5320,0,114,14.144,25.276
G60,5320,43,252,185.737,50.990,5320,0,117,27.458,37.757,5320,0,117,27.458,37.757
G61,5320,40,255,198.366,58.069,5320,0,136,66.374,44.729,5320,0,136,66.374,44.729
G62,5320,142,255,222.463,26.929,5320,6,247,135.313,59.652,5320,6,247,135.373,59.757
G63,5320,117,255,204.479,39.421,5320,65,238,165.178,28.140,5320,65,255,191.216,43.982
G64,5320,80,255,211.165,42.298,5320,0,204,89.540,53.312,5320,0,204,89.540,53.312
G65,5320,86,255,215.255,41.593,5320,0,234,93.580,80.087,5320,0,255,94.198,81.150
G66,5320,157,255,232.192,17.380,5320,37,246,199.550,37.779,5320,37,255,213.620,47.179
G67,5320,71,255,197.824,32.255,5320,50,225,167.707,37.811,5320,50,255,185.617,51.577
G68,5320,167,255,220.184,21.805,5320,80,214,150.113,34.374,5320,80,214,150.113,34.374
G69,5320,120,255,216.377,27.134,5320,80,189,125.263,27.769,5320,80,189,125.263,27.769
G70,5320,32,255,200.954,52.706,5320,32,252,178.981,47.585,5320,39,254,185.825,48.176
G71,5320,123,250,179.239,26.636,5320,123,242,178.228,25.212,5320,158,255,234.926,21.398
G72,5320,150,255,228.927,22.796,5320,150,251,212.200,25.190,5320,153,254,213.491,25.788
G73,5320,121,255,202.289,37.295,5320,121,249,195.924,31.228,5320,207,255,241.060,12.439
G74,5320,85,225,162.659,39.061,5320,85,225,162.659,39.061,5320,112,255,212.675,41.516
G75,5320,71,255,197.470,48.571,5320,71,249,194.329,46.369,5320,84,255,207.051,46.348
G76,5320,134,255,205.474,31.061,5320,134,248,188.896,28.432,5320,150,255,191.722,30.451
G77,5320,70,255,225.482,32.075,5320,65,249,195.816,27.422,5320,65,249,195.853,27.416
G78,5320,103,253,187.566,33.757,5320,103,252,187.376,33.479,5320,176,255,237.348,15.610
G79,5320,141,255,228.571,28.065,5320,113,253,211.398,31.934,5320,113,255,212.094,32.454
G80,5320,129,255,210.113,27.194,5320,97,253,195.418,31.637,5320,97,255,218.762,39.520
G81,5320,112,241,165.838,31.972,5320,112,239,165.337,31.123,5320,169,255,235.749,15.608
G82,5320,70,227,154.270,41.258,5320,70,227,154.270,41.258,5320,124,255,229.352,29.893
G83,5320,56,253,142.227,34.944,5320,56,249,142.195,34.868,5320,110,255,216.806,31.583
G84,5320,71,255,167.634,30.324,5320,67,251,155.321,36.441,5320,67,255,178.341,50.450
G85,5320,71,255,193.527,47.594,5320,63,222,164.519,29.662,5320,63,255,183.964,31.601
