Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,219,255,242.933,9.588,5320,85,253,178.674,39.943,5320,85,254,179.548,41.136
G2,5320,52,255,208.386,49.782,5320,35,237,162.124,37.628,5320,35,239,163.395,38.482
G3,5320,44,255,217.638,47.737,5320,34,218,171.776,37.927,5320,34,218,171.776,37.927
G4,5320,47,255,155.055,55.125,5320,38,199,113.602,39.670,5320,38,199,113.887,39.788
G5,5320,64,255,236.347,19.688,5320,51,208,168.392,22.628,5320,51,208,168.392,22.628
G6,5320,77,255,170.030,64.965,5320,0,149,47.245,48.795,5320,0,149,47.245,48.795
G7,5320,38,249,159.600,50.549,5320,0,10,0.102,0.706,5320,0,10,0.102,0.706
G8,5320,38,255,209.100,41.763,5320,0,89,16.313,17.097,5320,0,89,16.313,17.097
G9,5320,46,212,153.631,37.089,5320,29,203,127.128,51.098,5320,29,223,135.571,57.869
G10,5320,87,251,180.975,44.133,5320,87,250,180.888,44.016,5320,143,255,230.249,28.425
G11,5320,55,244,128.821,41.629,5320,55,239,128.507,41.000,5320,95,243,204.036,29.044
G12,5320,79,169,130.957,17.911,5320,78,169,130.633,18.041,5320,78,233,185.852,24.880
G13,5320,45,255,183.379,54.255,5320,0,165,76.998,51.151,5320,0,199,82.198,58.920
G14,5320,78,255,200.200,40.992,5320,0,100,34.754,23.211,5320,0,100,34.754,23.211
G15,5320,126,254,201.814,29.763,5320,0,14,2.229,3.053,5320,0,14,2.229,3.053
G16,5320,142,255,241.029,13.596,5320,0,69,8.281,12.744,5320,0,69,8.274,12.734
G17,5320,62,255,143.345,46.097,5320,26,196,79.618,32.689,5320,26,196,82.714,36.239
G18,5320,9,112,48.624,24.728,5320,9,112,48.624,24.728,5320,58,255,198.076,50.067
G19,5320,38,175,110.627,22.425,5320,38,175,110.627,22.425,5320,74,255,204.060,29.621
G20,5320,80,176,114.449,20.656,5320,80,176,114.449,20.656,5320,179,255,243.077,13.657
G21,5320,92,169,130.842,18.474,5320,92,169,130.842,18.474,5320,146,255,232.470,24.871
G22,5320,63,249,161.475,36.304,5320,27,235,154.815,42.787,5320,27,255,193.866,55.829
G23,5320,48,248,170.458,53.662,5320,0,230,40.767,58.395,5320,0,230,40.812,58.515
G24,5320,190,255,244.534,14.004,5320,0,13,0.724,1.967,5320,0,13,0.724,1.967
G25,5320,49,255,219.899,44.479,5320,0,94,21.478,19.180,5320,0,94,21.478,19.180
G26,5320,66,255,186.869,40.605,5320,22,90,69.726,15.483,5320,22,90,69.726,15.483
G27,5320,35,142,107.287,23.177,5320,35,142,107.287,23.177,5320,177,255,248.011,15.170
G28,5320,76,192,139.223,21.417,5320,76,192,139.223,21.417,5320,136,255,235.761,24.961
G29,5320,116,222,183.008,22.311,5320,66,222,168.515,39.562,5320,66,255,203.238,56.513
G30,5320,111,255,198.914,35.650,5320,49,228,115.093,45.954,5320,49,255,126.867,63.071
G31,5320,170,255,224.965,20.292,5320,142,243,211.858,20.172,5320,142,255,228.736,24.032
G32,5320,50,244,177.426,34.622,5320,5,200,102.308,43.446,5320,5,200,102.308,43.446
G33,5320,67,250,175.958,52.870,5320,3,102,35.570,19.469,5320,3,102,35.570,19.469
G34,5320,58,255,225.618,39.902,5320,10,112,84.175,28.668,5320,10,112,84.175,28.668
G35,5320,66,255,171.479,48.798,5320,0,110,36.206,27.575,5320,0,110,36.198,27.575
G36,5320,14,181,80.150,39.302,5320,14,181,80.150,39.302,5320,94,255,237.120,29.720
G37,5320,27,253,165.359,34.192,5320,27,244,163.068,30.220,5320,124,255,232.382,23.054
G38,5320,104,253,196.170,35.577,5320,60,249,165.814,48.927,5320,60,255,185.401,62.229
G39,5320,130,255,220.359,29.986,5320,63,157,108.404,19.570,5320,63,157,108.404,19.570
G40,5320,116,254,195.329,25.086,5320,60,200,144.014,24.550,5320,60,200,144.014,24.550
G41,5320,121,223,169.089,19.268,5320,4,151,76.481,26.555,5320,4,151,76.481,26.555
G42,5320,131,255,214.470,25.547,5320,0,98,53.543,29.698,5320,0,98,53.543,29.698
G43,5320,139,255,224.898,18.709,5320,0,86,36.274,23.196,5320,0,86,36.274,23.196
G44,5320,43,255,158.418,47.203,5320,0,65,19.311,11.441,5320,0,65,19.311,11.441
G45,5320,9,238,62.227,34.428,5320,9,208,62.077,33.888,5320,33,255,172.898,62.043
G46,5320,46,255,190.356,46.935,5320,4,226,128.269,56.007,5320,4,229,137.151,57.598
G47,5320,167,255,242.685,15.959,5320,0,133,32.460,33.566,5320,0,133,32.460,33.566
G48,5320,167,255,219.881,12.894,5320,13,145,101.734,25.570,5320,13,145,101.734,25.570
G49,5320,124,255,210.407,30.738,5320,0,143,84.055,37.171,5320,0,143,84.055,37.171
G50,5320,96,255,203.800,38.202,5320,0,96,15.892,26.432,5320,0,96,15.892,26.432
G51,5320,158,255,232.887,23.879,5320,0,11,0.064,0.583,5320,0,11,0.064,0.583
G52,5320,114,255,207.732,33.175,5320,0,6,0.114,0.611,5320,0,6,0.114,0.611
G53,5320,96,255,195.103,37.157,5320,0,74,15.310,19.880,5320,0,74,15.310,19.880
G54,5320,35,255,182.811,73.209,5320,35,246,151.909,57.397,5320,69,255,182.703,47.892
G55,5320,146,255,217.814,33.100,5320,0,203,55.468,47.510,5320,0,203,55.484,47.541
G56,5320,149,255,210.065,29.233,5320,0,25,1.100,3.142,5320,0,25,1.100,3.142
G57,5320,83,255,216.532,33.110,5320,3,124,80.074,31.356,5320,3,124,80.074,31.356
G58,5320,123,255,245.438,17.227,5320,0,153,89.166,39.747,5320,0,153,89.166,39.747
G59,5320,113,255,226.810,31.167,5320,0,109,7.393,16.093,5320,0,109,7.393,16.093
G60,5320,49,249,177.109,39.415,5320,0,41,2.296,6.641,5320,0,41,2.296,6.641
G61,5320,48,255,198.665,53.109,5320,0,101,18.034,19.291,5320,0,101,18.034,19.291
G62,5320,172,255,229.210,18.774,5320,0,224,92.094,64.983,5320,0,224,92.094,64.983
G63,5320,214,255,244.837,10.224,5320,7,214,99.727,50.098,5320,7,228,99.840,50.331
G64,5320,161,255,213.770,25.019,5320,0,170,41.586,49.421,5320,0,170,41.586,49.421
G65,5320,81,255,165.267,42.012,5320,0,200,82.446,49.965,5320,0,200,82.446,49.965
G66,5320,83,255,177.611,49.514,5320,55,194,131.644,37.694,5320,55,194,131.644,37.694
G67,5320,76,255,201.458,47.290,5320,3,195,112.842,45.018,5320,3,195,112.842,45.018
G68,5320,148,255,219.152,26.004,5320,5,181,107.171,51.049,5320,5,181,107.171,51.049
G69,5320,150,255,226.968,21.338,5320,33,163,92.259,36.554,5320,33,163,92.259,36.554
G70,5320,17,255,206.468,49.748,5320,14,231,165.312,42.608,5320,14,240,166.347,43.248
G71,5320,158,255,230.575,17.970,5320,141,252,212.843,22.109,5320,141,255,221.288,27.243
G72,5320,149,255,226.310,21.625,5320,109,228,179.970,18.747,5320,109,232,180.572,19.183
G73,5320,117,255,216.884,30.651,5320,97,241,181.424,31.355,5320,97,249,186.930,33.647
G74,5320,0,240,162.369,47.929,5320,0,234,143.143,45.088,5320,73,255,171.372,47.121
G75,5320,94,255,219.051,33.246,5320,63,252,194.978,40.186,5320,63,255,202.378,44.998
G76,5320,108,255,202.013,37.397,5320,95,251,173.830,34.733,5320,95,255,176.883,37.532
G77,5320,89,255,231.486,26.281,5320,86,247,188.500,28.466,5320,86,249,188.547,28.524
G78,5320,105,249,167.909,33.837,5320,105,242,167.676,33.339,5320,192,255,234.151,14.655
G79,5320,165,255,212.441,18.603,5320,165,246,206.669,15.064,5320,172,255,227.223,17.955
G80,5320,0,216,122.121,56.676,5320,0,216,122.119,56.673,5320,101,255,209.053,24.956
G81,5320,0,134,21.559,30.099,5320,0,134,21.559,30.099,5320,98,255,227.587,27.342
G82,5320,0,211,63.470,58.782,5320,0,211,63.470,58.782,5320,155,255,225.966,25.299
G83,5320,47,243,111.436,44.079,5320,47,243,111.430,44.071,5320,96,255,227.518,26.576
G84,5320,68,246,172.543,40.645,5320,68,246,166.231,40.782,5320,69,255,192.714,41.502
G85,5320,53,255,173.815,53.255,5320,48,240,155.405,37.909,5320,48,253,191.495,31.199
G86,5320,110,255,190.359,31.625,5320,110,231,187.050,27.658,5320,134,255,229.624,23.428
G87,5320,126,255,216.391,25.394,5320,126,243,211.942,21.909,5320,155,255,232.174,18.209
G88,5320,55,210,134.006,38.024,5320,55,210,134.006,38.024,5320,167,255,239.788,17.944
G89,5320,18,192,77.146,38.695,5320,18,192,77.146,38.695,5320,84,255,210.464,36.623
G90,5320,22,157,66.063,28.928,5320,22,157,66.063,28.928,5320,54,255,168.273,46.138
G91,5320,64,255,143.267,35.498,5320,63,204,141.516,36.075,5320,63,255,190.435,43.134
G92,5320,25,255,153.901,58.949,5320,13,201,72.138,36.330,5320,13,201,72.138,36.330
G93,5320,147,255,219.998,27.809,5320,30,233,127.830,66.429,5320,30,233,127.849,66.451
G94,5320,49,255,182.260,41.624,5320,0,234,71.763,74.620,5320,0,234,71.848,74.782
G95,5320,76,250,178.123,48.616,5320,0,111,43.048,32.383,5320,0,111,43.048,32.383
G96,5320,29,252,144.876,58.350,5320,29,251,144.457,57.824,5320,183,255,239.671,19.996
G97,5320,92,255,202.623,40.215,5320,68,241,174.115,32.056,5320,68,255,205.011,39.771
G98,5320,97,223,168.092,20.159,5320,97,223,168.073,20.111,5320,165,255,246.534,11.143
G99,5320,17,215,118.475,43.631,5320,17,215,118.475,43.631,5320,25,255,200.482,45.827
G100,5320,47,246,150.277,41.288,5320,46,234,148.463,41.467,5320,46,255,185.574,55.593
