Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,178,255,234.262,19.087,5320,100,247,191.914,28.289,5320,100,255,196.785,31.570
G2,5320,59,255,217.315,46.880,5320,47,244,203.295,44.123,5320,47,252,209.291,43.042
G3,5320,47,255,211.465,55.011,5320,34,234,183.105,49.068,5320,34,234,183.105,49.068
G4,5320,44,217,137.699,36.083,5320,40,162,111.140,24.940,5320,40,175,113.692,27.202
G5,5320,46,244,164.981,48.508,5320,36,200,130.937,37.088,5320,36,255,143.435,40.755
G6,5320,36,255,214.784,35.217,5320,26,203,132.628,50.237,5320,26,250,132.735,50.228
G7,5320,49,237,149.060,34.932,5320,0,100,17.740,22.334,5320,0,100,17.740,22.334
G8,5320,60,255,215.581,43.296,5320,0,85,52.337,23.612,5320,0,85,52.337,23.612
G9,5320,27,239,156.664,49.387,5320,27,238,150.469,54.753,5320,37,255,164.016,60.657
G10,5320,66,236,158.947,30.604,5320,66,236,158.947,30.604,5320,124,255,229.721,25.606
G11,5320,49,214,111.884,38.367,5320,49,214,111.884,38.367,5320,104,248,197.885,29.223
G12,5320,97,162,141.954,12.108,5320,97,162,141.945,12.106,5320,136,248,184.929,20.191
G13,5320,49,255,158.444,57.827,5320,45,246,141.633,48.517,5320,45,255,146.257,50.446
G14,5320,162,255,219.842,20.321,5320,54,248,143.277,44.303,5320,54,255,144.322,46.439
G15,5320,145,255,186.770,23.029,5320,2,172,69.858,37.287,5320,2,172,69.858,37.287
G16,5320,125,255,232.916,20.406,5320,21,189,98.141,35.366,5320,21,189,98.141,35.366
G17,5320,42,255,141.271,48.190,5320,42,177,111.920,28.813,5320,51,222,124.406,38.078
G18,5320,8,114,54.929,23.776,5320,8,114,54.929,23.776,5320,55,255,195.624,41.299
G19,5320,46,220,123.539,44.599,5320,46,220,123.539,44.599,5320,73,255,192.783,45.565
G20,5320,60,219,137.675,33.406,5320,60,219,137.610,33.297,5320,137,255,238.140,21.545
G21,5320,126,203,156.833,12.954,5320,126,203,156.831,12.950,5320,164,255,236.014,17.428
G22,5320,36,243,140.451,38.454,5320,36,236,138.546,39.045,5320,38,255,149.022,46.874
G23,5320,31,255,127.705,65.679,5320,31,231,118.230,54.491,5320,55,255,174.736,52.564
G24,5320,69,255,188.749,45.865,5320,69,248,172.609,43.757,5320,88,255,206.042,49.141
G25,5320,48,255,218.330,40.588,5320,39,229,178.343,34.291,5320,39,229,179.055,34.678
G26,5320,64,255,181.607,33.319,5320,49,182,130.741,24.116,5320,49,182,130.742,24.116
G27,5320,0,137,102.937,21.672,5320,0,137,102.937,21.672,5320,119,255,243.408,16.063
G28,5320,67,255,168.619,47.116,5320,67,241,163.635,41.614,5320,130,255,229.145,25.078
G29,5320,120,255,213.005,35.344,5320,0,253,137.220,81.489,5320,0,255,143.667,88.089
G30,5320,138,255,201.650,27.225,5320,0,240,116.883,81.812,5320,0,255,126.253,91.869
G31,5320,95,255,216.650,38.717,5320,95,244,180.678,35.191,5320,95,249,181.827,36.796
G32,5320,14,255,150.160,67.384,5320,14,196,123.806,48.861,5320,23,254,144.597,41.697
G33,5320,27,197,113.042,48.228,5320,27,197,112.556,48.262,5320,36,254,175.861,66.921
G34,5320,65,255,202.004,51.053,5320,59,246,189.420,43.346,5320,59,246,198.083,38.216
G35,5320,61,255,166.923,50.671,5320,47,217,126.414,40.866,5320,47,217,126.414,40.866
G36,5320,0,143,32.081,50.482,5320,0,143,32.081,50.482,5320,76,255,233.013,31.310
G37,5320,0,255,175.223,62.218,5320,0,243,160.702,51.151,5320,100,255,199.651,35.541
G38,5320,94,255,186.623,32.105,5320,0,197,82.717,43.307,5320,0,197,82.717,43.307
G39,5320,133,255,228.185,26.089,5320,0,157,81.427,38.252,5320,0,157,81.427,38.252
G40,5320,93,255,210.658,32.621,5320,72,196,151.058,24.007,5320,72,196,151.058,24.007
