Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,203,255,238.517,13.306,5320,111,250,185.439,30.654,5320,111,254,187.408,33.028
G2,5320,54,255,218.842,43.998,5320,44,254,194.288,38.192,5320,44,254,197.283,39.134
G3,5320,47,255,215.315,50.644,5320,37,218,175.129,40.175,5320,37,218,175.129,40.175
G4,5320,68,202,139.969,33.717,5320,56,184,121.955,28.161,5320,56,184,122.109,28.167
G5,5320,2,243,172.134,44.282,5320,2,187,146.920,36.489,5320,42,221,153.222,26.000
G6,5320,13,255,217.962,36.744,5320,13,196,137.000,46.439,5320,28,196,137.921,45.418
G7,5320,46,255,191.113,41.197,5320,0,127,13.506,23.367,5320,0,127,13.506,23.367
G8,5320,61,255,213.277,38.907,5320,0,74,39.343,23.404,5320,0,74,39.343,23.404
G9,5320,37,243,159.620,51.641,5320,37,243,147.996,57.733,5320,41,253,156.787,63.560
G10,5320,76,237,157.303,36.267,5320,76,236,157.213,36.152,5320,152,255,228.750,24.556
G11,5320,48,227,125.483,40.733,5320,48,227,125.483,40.733,5320,105,244,200.497,27.812
G12,5320,75,188,138.943,21.747,5320,75,188,136.018,23.688,5320,76,235,152.567,38.612
G13,5320,94,247,170.653,30.849,5320,57,183,125.152,29.050,5320,57,183,125.152,29.050
G14,5320,133,255,209.259,34.402,5320,43,173,83.339,30.092,5320,43,173,83.339,30.092
G15,5320,138,246,193.374,24.396,5320,0,68,32.511,20.568,5320,0,68,32.511,20.568
G16,5320,137,255,237.073,19.281,5320,0,120,43.511,26.511,5320,0,120,43.511,26.511
G17,5320,44,255,141.528,49.932,5320,44,186,96.992,26.038,5320,47,193,101.706,26.879
G18,5320,3,138,50.772,25.535,5320,3,138,50.772,25.535,5320,57,255,195.954,38.317
G19,5320,38,241,129.481,51.743,5320,38,241,129.481,51.743,5320,60,255,191.119,44.285
G20,5320,67,251,167.946,46.853,5320,67,249,167.104,45.939,5320,152,255,227.292,23.520
G21,5320,125,231,186.093,18.677,5320,117,231,184.300,20.364,5320,117,255,206.672,30.418
G22,5320,104,247,196.112,34.142,5320,73,196,131.129,22.283,5320,73,197,131.327,22.557
G23,5320,169,255,230.003,18.327,5320,0,89,32.246,22.644,5320,0,89,32.246,22.644
G24,5320,147,255,211.752,31.746,5320,3,71,31.058,15.025,5320,3,71,31.058,15.025
G25,5320,53,255,221.717,42.325,5320,21,121,75.102,19.230,5320,21,121,75.102,19.230
G26,5320,66,255,182.349,31.846,5320,33,130,97.712,20.432,5320,33,130,97.712,20.432
G27,5320,0,155,113.279,26.743,5320,0,155,113.279,26.743,5320,122,255,242.372,19.329
G28,5320,80,247,179.834,46.796,5320,80,244,164.996,41.903,5320,100,255,213.863,38.935
G29,5320,155,255,225.543,26.251,5320,64,247,144.745,53.800,5320,64,253,145.693,55.363
G30,5320,114,255,231.425,32.516,5320,90,217,154.278,27.518,5320,90,228,154.382,27.656
G31,5320,110,255,228.650,28.228,5320,68,167,115.917,17.551,5320,68,167,115.917,17.551
G32,5320,162,255,240.440,20.980,5320,17,97,64.597,16.938,5320,17,97,64.597,16.938
G33,5320,74,251,192.728,28.718,5320,15,68,32.548,7.652,5320,15,68,32.548,7.652
G34,5320,56,255,206.323,48.481,5320,20,153,98.389,42.338,5320,20,153,98.389,42.338
G35,5320,69,255,165.221,48.745,5320,35,148,88.059,26.671,5320,35,148,88.059,26.671
G36,5320,0,166,42.159,59.312,5320,0,166,42.159,59.312,5320,85,255,233.287,33.915
G37,5320,22,255,186.880,50.225,5320,22,238,162.851,42.078,5320,104,255,185.265,39.554
G38,5320,93,255,203.314,33.025,5320,27,153,91.376,22.382,5320,27,153,91.376,22.382
G39,5320,175,255,230.201,23.406,5320,51,152,101.788,19.113,5320,51,152,101.788,19.113
G40,5320,155,255,199.345,23.810,5320,0,129,44.041,38.401,5320,0,129,44.041,38.401
G41,5320,99,255,224.209,38.273,5320,0,93,19.148,21.846,5320,0,93,19.148,21.846
G42,5320,57,255,196.221,44.076,5320,8,118,86.882,27.159,5320,8,118,86.882,27.159
G43,5320,173,255,229.342,17.016,5320,73,134,110.998,11.637,5320,73,134,110.998,11.637
G44,5320,50,255,162.074,48.426,5320,25,136,80.119,26.510,5320,25,136,80.119,26.510
G45,5320,0,231,57.359,47.826,5320,0,176,56.249,45.485,5320,36,249,152.787,51.099
G46,5320,11,255,209.013,42.411,5320,0,236,110.020,70.157,5320,0,236,115.595,72.887
G47,5320,108,255,227.707,33.011,5320,0,142,7.400,18.440,5320,0,142,7.400,18.440
G48,5320,190,255,242.091,13.991,5320,0,94,28.447,22.554,5320,0,94,28.447,22.554
G49,5320,94,255,208.852,29.235,5320,0,51,2.468,6.097,5320,0,51,2.468,6.097
G50,5320,96,255,194.686,41.386,5320,0,35,0.356,2.698,5320,0,35,0.356,2.698
G51,5320,181,255,243.898,12.792,5320,0,96,13.243,23.720,5320,0,96,13.243,23.720
G52,5320,126,255,209.052,31.513,5320,0,95,36.073,27.906,5320,0,95,36.073,27.906
G53,5320,139,239,189.825,28.166,5320,19,125,57.936,24.450,5320,19,125,57.936,24.450
G54,5320,72,255,180.103,53.525,5320,72,249,169.859,43.963,5320,83,255,190.791,35.359
G55,5320,67,255,195.286,46.121,5320,0,196,76.071,63.668,5320,0,196,76.071,63.668
G56,5320,62,255,176.551,49.374,5320,0,63,2.378,7.438,5320,0,63,2.378,7.438
G57,5320,160,255,233.389,16.919,5320,0,129,57.195,32.751,5320,0,129,57.195,32.751
G58,5320,94,255,234.801,30.815,5320,0,169,81.404,48.099,5320,0,169,81.404,48.099
G59,5320,70,255,219.236,35.497,5320,0,146,40.501,43.718,5320,0,146,40.501,43.718
G60,5320,41,252,178.411,49.157,5320,0,124,31.024,41.125,5320,0,124,31.024,41.125
G61,5320,62,255,199.164,58.780,5320,0,150,79.185,46.698,5320,0,150,79.185,46.698
G62,5320,144,255,219.647,29.230,5320,25,253,145.282,58.411,5320,25,253,145.330,58.494
G63,5320,168,255,221.856,25.483,5320,69,230,177.640,30.796,5320,69,255,194.323,44.483
G64,5320,115,255,213.024,36.714,5320,0,163,81.366,41.058,5320,0,163,81.366,41.058
G65,5320,114,255,226.539,36.948,5320,18,242,110.976,48.564,5320,18,248,111.021,48.685
G66,5320,125,255,239.472,23.015,5320,114,240,199.458,24.120,5320,114,248,199.754,24.534
G67,5320,55,255,206.074,44.907,5320,31,240,163.735,40.848,5320,31,240,163.735,40.848
G68,5320,167,255,221.001,22.392,5320,85,208,154.576,32.291,5320,85,208,154.576,32.291
G69,5320,120,255,217.427,28.433,5320,91,191,130.816,27.132,5320,91,191,130.816,27.132
G70,5320,25,255,196.626,57.946,5320,25,254,175.705,51.476,5320,27,255,189.801,49.440
G71,5320,157,254,198.835,20.905,5320,138,234,190.596,13.977,5320,138,255,229.367,25.093
G72,5320,155,255,231.198,23.059,5320,110,228,156.894,21.333,5320,110,228,156.978,21.415
G73,5320,145,255,227.128,28.055,5320,139,241,188.790,21.746,5320,139,255,207.629,33.678
G74,5320,96,245,174.270,32.996,5320,86,236,171.529,32.651,5320,86,255,220.412,36.679
G75,5320,112,255,208.189,33.531,5320,104,253,202.557,33.664,5320,104,255,216.786,40.718
G76,5320,127,255,201.827,32.327,5320,127,249,187.585,29.065,5320,137,255,191.728,31.948
G77,5320,68,255,225.489,32.346,5320,64,251,197.369,28.346,5320,64,251,197.506,28.348
G78,5320,120,252,195.897,31.071,5320,120,235,191.549,26.295,5320,196,255,232.886,14.789
G79,5320,152,255,233.696,23.993,5320,111,240,193.249,30.155,5320,111,242,193.551,30.539
G80,5320,150,255,220.798,22.950,5320,136,245,196.281,22.211,5320,136,255,208.447,29.429
G81,5320,51,250,141.983,47.656,5320,51,247,140.892,46.057,5320,146,255,242.889,17.792
G82,5320,30,205,107.576,47.027,5320,30,205,107.576,47.027,5320,137,255,234.647,24.152
G83,5320,44,252,125.538,42.624,5320,44,249,125.513,42.557,5320,120,255,215.743,31.403
G84,5320,69,254,168.077,30.073,5320,67,252,158.783,36.303,5320,67,255,183.770,50.365
G85,5320,74,255,197.661,44.891,5320,69,217,166.162,27.073,5320,69,255,183.180,31.543
G86,5320,124,255,223.539,29.039,5320,112,234,200.679,20.967,5320,112,236,204.284,20.047
G87,5320,151,255,235.778,19.856,5320,117,223,180.555,20.701,5320,117,223,180.555,20.701
G88,5320,124,239,190.076,23.306,5320,124,235,186.507,22.343,5320,138,255,233.234,28.245
G89,5320,16,192,114.647,34.270,5320,16,192,114.647,34.270,5320,36,255,227.998,41.507
G90,5320,10,156,73.276,33.021,5320,10,156,73.276,33.021,5320,28,255,154.525,59.878
G91,5320,59,255,134.949,30.608,5320,57,208,133.990,28.967,5320,58,255,189.977,38.166
G92,5320,23,253,163.998,56.077,5320,18,151,109.071,30.995,5320,18,151,109.071,30.995
G93,5320,0,255,141.466,94.347,5320,0,212,97.725,60.163,5320,48,255,162.259,47.288
G94,5320,0,255,154.517,65.785,5320,0,247,143.664,64.742,5320,49,255,163.931,55.925
G95,5320,53,225,140.724,42.182,5320,28,178,109.493,40.845,5320,28,178,110.274,41.427
G96,5320,8,226,117.288,45.206,5320,8,226,117.258,45.173,5320,133,255,241.253,19.865
