Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,180,255,231.176,19.185,5320,97,242,190.546,29.794,5320,97,255,195.708,33.344
G2,5320,61,255,214.375,50.135,5320,43,247,196.749,47.558,5320,43,249,201.370,46.675
G3,5320,50,255,213.252,52.612,5320,34,229,179.852,47.379,5320,34,229,179.852,47.379
G4,5320,41,255,146.868,56.072,5320,24,170,89.284,32.161,5320,24,171,90.659,33.790
G5,5320,57,255,225.581,29.639,5320,43,177,114.308,36.462,5320,43,177,114.308,36.462
G6,5320,81,255,165.423,51.129,5320,17,156,81.266,37.299,5320,17,156,81.266,37.299
G7,5320,45,255,166.073,36.767,5320,0,115,46.343,31.039,5320,0,115,46.343,31.039
G8,5320,43,255,210.943,45.141,5320,1,79,46.942,21.256,5320,1,79,46.942,21.256
G9,5320,29,240,152.563,47.755,5320,29,240,140.198,56.506,5320,38,252,148.178,61.403
G10,5320,49,226,149.535,33.575,5320,49,226,149.535,33.575,5320,96,255,223.396,28.900
G11,5320,43,212,107.752,36.609,5320,43,212,107.752,36.609,5320,104,249,195.483,32.619
G12,5320,97,168,145.105,11.643,5320,97,167,144.731,11.627,5320,109,241,183.158,21.838
G13,5320,19,255,195.580,63.265,5320,8,159,69.424,27.669,5320,8,178,69.932,28.950
G14,5320,116,255,186.680,33.378,5320,12,146,77.712,25.137,5320,12,146,77.712,25.137
G15,5320,68,249,175.212,40.193,5320,2,113,54.622,24.445,5320,2,113,54.622,24.445
G16,5320,150,255,236.991,17.493,5320,7,138,65.258,23.653,5320,7,138,65.258,23.653
G17,5320,40,255,141.174,47.905,5320,40,159,99.441,23.699,5320,43,183,108.036,29.594
G18,5320,6,107,49.899,19.813,5320,6,107,49.899,19.813,5320,53,255,193.808,38.491
G19,5320,40,163,110.769,31.773,5320,40,163,110.769,31.773,5320,74,255,196.123,47.131
G20,5320,79,157,122.211,17.094,5320,79,157,122.211,17.094,5320,187,255,243.108,14.973
G21,5320,49,162,123.294,27.719,5320,49,162,123.294,27.719,5320,92,255,217.664,31.851
G22,5320,22,255,165.007,62.968,5320,0,158,59.722,51.921,5320,0,206,68.559,62.046
G23,5320,131,255,220.893,31.033,5320,0,160,90.973,43.415,5320,0,160,90.993,43.436
G24,5320,129,255,226.546,34.648,5320,62,157,111.511,23.303,5320,62,157,111.511,23.303
G25,5320,49,255,218.011,40.615,5320,29,139,109.426,17.517,5320,29,139,109.426,17.517
G26,5320,64,255,181.212,32.428,5320,36,141,101.057,21.077,5320,36,141,101.057,21.077
G27,5320,0,95,74.793,15.761,5320,0,95,74.793,15.761,5320,141,255,244.157,17.140
G28,5320,55,164,116.412,33.630,5320,55,164,116.412,33.630,5320,138,255,232.162,25.021
G29,5320,77,166,140.233,18.051,5320,77,166,140.233,18.051,5320,122,255,217.571,25.460
G30,5320,74,146,124.914,9.699,5320,74,146,124.914,9.699,5320,142,255,233.743,19.520
G31,5320,47,207,127.121,28.353,5320,47,203,124.880,24.926,5320,54,228,176.129,31.234
G32,5320,60,255,179.664,44.828,5320,60,201,151.612,31.057,5320,60,222,162.115,33.755
G33,5320,49,255,194.957,57.045,5320,31,164,121.226,33.411,5320,31,166,121.235,33.420
G34,5320,67,255,210.004,48.657,5320,41,185,144.069,36.862,5320,41,185,144.069,36.862
G35,5320,66,255,167.466,52.030,5320,33,169,90.468,30.603,5320,33,169,90.468,30.603
G36,5320,0,101,23.842,36.224,5320,0,101,23.842,36.224,5320,95,255,236.104,28.155
G37,5320,0,168,114.114,34.823,5320,0,168,114.114,34.823,5320,60,255,213.973,36.669
G38,5320,19,153,88.894,28.684,5320,19,153,88.894,28.684,5320,46,255,176.055,39.429
G39,5320,17,189,104.402,36.170,5320,17,189,104.402,36.170,5320,46,255,188.756,42.614
G40,5320,73,248,146.035,39.337,5320,71,234,144.395,37.236,5320,72,252,181.614,34.965
G41,5320,125,255,207.908,32.496,5320,110,253,195.728,33.954,5320,110,255,205.156,33.799
G42,5320,50,255,213.036,36.556,5320,34,193,153.649,26.237,5320,34,193,153.822,26.407
G43,5320,177,255,230.020,15.447,5320,89,177,133.633,18.505,5320,89,177,133.633,18.505
G44,5320,25,255,164.511,49.388,5320,12,139,82.642,25.557,5320,12,139,82.642,25.557
G45,5320,0,220,36.628,36.630,5320,0,164,36.437,36.011,5320,36,237,148.961,45.215
G46,5320,0,247,158.970,51.531,5320,0,226,153.825,46.878,5320,59,255,206.840,38.651
G47,5320,78,255,178.322,43.940,5320,78,226,163.383,29.333,5320,102,255,219.182,36.331
G48,5320,142,228,189.415,18.100,5320,142,228,189.415,18.100,5320,208,255,234.655,10.714
G49,5320,66,255,214.490,42.911,5320,65,240,194.968,45.825,5320,67,255,210.286,55.467
G50,5320,80,255,215.781,33.818,5320,4,196,80.927,39.528,5320,4,196,80.927,39.528
G51,5320,171,255,247.858,12.765,5320,0,122,23.198,32.267,5320,0,122,23.198,32.267
G52,5320,115,255,213.284,30.946,5320,0,107,40.600,30.496,5320,0,107,40.600,30.496
G53,5320,123,229,192.489,25.006,5320,17,122,64.590,23.845,5320,17,122,64.590,23.845
G54,5320,55,237,150.219,42.239,5320,55,237,150.219,42.239,5320,76,255,206.801,39.859
G55,5320,63,254,190.658,45.959,5320,42,249,172.022,53.748,5320,42,255,179.099,59.512
G56,5320,45,255,181.101,51.252,5320,30,217,120.748,39.355,5320,30,255,122.585,43.732
G57,5320,152,255,226.242,22.316,5320,142,245,209.571,19.426,5320,142,255,218.592,24.504
G58,5320,130,255,200.212,37.365,5320,62,241,167.721,48.257,5320,62,255,174.779,53.816
G59,5320,93,255,209.904,43.622,5320,0,162,42.735,28.925,5320,0,162,42.738,28.932
G60,5320,48,255,182.012,52.193,5320,0,175,49.378,61.206,5320,0,175,49.378,61.206
G61,5320,67,255,197.859,59.615,5320,0,182,100.868,59.832,5320,0,182,100.868,59.832
G62,5320,109,255,212.545,35.885,5320,20,252,156.473,64.685,5320,20,255,157.108,65.575
G63,5320,117,255,195.330,45.001,5320,117,250,185.759,36.148,5320,181,255,228.492,17.995
G64,5320,110,255,212.623,35.619,5320,99,222,174.470,29.848,5320,99,229,175.025,30.052
G65,5320,25,255,181.522,49.167,5320,25,252,171.757,43.256,5320,106,255,208.304,37.269
G66,5320,4,210,125.219,46.168,5320,4,209,124.863,45.701,5320,107,255,201.005,38.267
G67,5320,84,220,158.823,39.395,5320,84,220,153.349,37.012,5320,96,232,183.768,31.327
G68,5320,120,247,192.990,33.840,5320,120,236,177.984,25.085,5320,139,255,213.262,31.517
G69,5320,122,255,216.316,27.371,5320,104,240,165.170,30.005,5320,104,246,165.887,31.379
G70,5320,31,255,200.750,48.783,5320,31,244,190.318,45.606,5320,38,255,200.900,47.995
G71,5320,119,235,155.162,29.417,5320,119,235,155.148,29.391,5320,161,255,235.639,19.446
G72,5320,143,255,224.805,21.589,5320,143,252,220.290,21.780,5320,162,255,228.098,23.334
G73,5320,0,237,122.998,75.652,5320,0,237,122.998,75.652,5320,81,255,227.924,34.359
G74,5320,0,128,43.212,42.004,5320,0,128,43.212,42.004,5320,31,255,194.225,54.731
G75,5320,6,131,71.390,29.795,5320,6,131,71.390,29.795,5320,132,255,215.039,33.658
G76,5320,6,209,104.936,39.714,5320,6,209,104.936,39.714,5320,137,255,233.516,21.836
G77,5320,76,255,206.545,28.772,5320,76,249,203.783,29.327,5320,80,255,222.428,34.260
