Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,218,255,244.705,7.348,5320,82,251,182.348,40.891,5320,82,255,183.236,41.958
G2,5320,54,255,216.599,49.175,5320,39,240,169.778,37.373,5320,39,241,170.578,37.790
G3,5320,51,255,218.355,45.385,5320,36,216,171.356,35.880,5320,36,216,171.356,35.880
G4,5320,54,234,142.138,39.913,5320,41,185,110.631,32.743,5320,41,185,110.813,32.868
G5,5320,66,255,214.640,35.259,5320,31,200,133.327,44.671,5320,31,200,133.327,44.671
G6,5320,73,255,158.953,58.312,5320,3,139,52.660,28.933,5320,3,139,52.660,28.933
G7,5320,69,249,154.881,48.461,5320,0,92,26.018,28.943,5320,0,92,26.018,28.943
G8,5320,57,255,207.556,43.923,5320,0,62,30.752,21.115,5320,0,62,30.752,21.115
G9,5320,49,243,151.536,44.243,5320,32,229,135.983,51.219,5320,32,243,147.742,56.329
G10,5320,69,247,172.243,43.824,5320,69,246,172.095,43.631,5320,148,255,227.913,28.123
G11,5320,44,247,122.558,41.640,5320,44,237,121.821,40.128,5320,105,239,195.607,23.477
G12,5320,68,172,141.262,20.823,5320,50,172,140.546,21.056,5320,50,227,191.633,25.404
G13,5320,55,251,144.710,47.381,5320,0,165,59.561,40.426,5320,0,202,63.861,49.439
G14,5320,103,255,224.192,39.878,5320,1,69,40.186,14.918,5320,1,69,40.186,14.918
G15,5320,89,255,202.008,38.398,5320,0,88,30.854,27.764,5320,0,88,30.854,27.764
G16,5320,149,255,239.196,15.192,5320,0,116,27.466,27.017,5320,0,116,27.466,27.017
G17,5320,53,255,139.457,45.640,5320,48,163,92.354,22.391,5320,48,171,97.273,27.612
G18,5320,8,122,36.856,31.973,5320,8,122,36.856,31.973,5320,76,255,197.178,52.472
G19,5320,15,190,110.730,35.766,5320,15,190,110.730,35.766,5320,84,255,202.038,31.486
G20,5320,70,215,131.290,37.168,5320,70,215,131.290,37.168,5320,190,255,238.668,14.100
G21,5320,68,209,146.221,24.325,5320,61,209,146.197,24.393,5320,61,255,232.285,25.944
G22,5320,49,254,171.207,53.093,5320,49,252,149.415,52.332,5320,52,255,160.750,55.293
G23,5320,79,254,203.259,40.608,5320,21,224,125.528,69.933,5320,21,224,125.528,69.933
G24,5320,63,255,185.188,57.230,5320,20,173,50.682,20.353,5320,20,173,50.682,20.353
G25,5320,52,255,219.492,49.435,5320,18,117,69.708,18.073,5320,18,117,69.708,18.073
G26,5320,61,255,181.244,38.773,5320,30,126,97.892,19.628,5320,30,126,97.892,19.628
G27,5320,8,141,106.055,24.090,5320,8,141,106.055,24.090,5320,106,255,246.647,16.881
G28,5320,90,206,146.774,27.736,5320,90,206,146.774,27.736,5320,170,255,234.730,22.786
G29,5320,115,246,206.256,25.978,5320,9,236,184.756,50.696,5320,9,255,201.520,59.592
G30,5320,67,255,196.394,33.423,5320,0,227,110.967,68.543,5320,0,248,114.192,72.967
G31,5320,99,255,239.252,16.913,5320,80,241,184.155,21.986,5320,80,248,184.409,22.497
G32,5320,211,255,251.333,8.913,5320,179,234,210.023,8.191,5320,179,234,210.027,8.191
G33,5320,73,255,213.265,44.073,5320,25,203,146.709,42.490,5320,25,203,146.709,42.490
G34,5320,52,255,225.638,44.346,5320,18,168,140.385,36.156,5320,18,168,140.385,36.156
G35,5320,74,247,169.208,40.899,5320,29,150,66.833,26.089,5320,29,150,66.833,26.089
G36,5320,0,168,51.348,50.448,5320,0,168,51.348,50.448,5320,87,255,237.344,26.917
G37,5320,22,249,168.732,31.138,5320,22,232,165.960,26.098,5320,122,255,232.841,21.303
G38,5320,40,252,194.280,48.618,5320,0,250,152.990,70.112,5320,0,255,166.258,80.863
G39,5320,43,255,190.148,53.925,5320,0,83,0.655,5.257,5320,0,83,0.655,5.257
G40,5320,88,255,219.426,35.697,5320,0,192,127.526,54.981,5320,0,192,127.526,54.981
G41,5320,195,255,238.062,15.785,5320,130,205,178.114,15.162,5320,130,205,178.114,15.162
G42,5320,177,255,226.435,19.573,5320,95,191,149.277,18.703,5320,95,191,149.277,18.703
G43,5320,144,255,228.933,17.639,5320,62,153,118.927,18.120,5320,62,153,118.927,18.120
G44,5320,40,235,152.396,45.272,5320,15,106,54.440,20.062,5320,15,106,54.440,20.062
G45,5320,0,225,55.958,43.101,5320,0,219,55.929,43.003,5320,38,255,177.465,53.608
G46,5320,23,255,191.003,47.877,5320,0,236,134.363,54.424,5320,0,237,147.463,57.228
G47,5320,125,255,235.653,22.556,5320,0,143,21.906,30.579,5320,0,143,21.906,30.579
G48,5320,88,239,165.939,32.182,5320,0,84,18.928,23.829,5320,0,84,18.928,23.829
G49,5320,123,255,223.253,31.671,5320,0,161,91.119,30.401,5320,0,161,91.119,30.401
G50,5320,211,255,248.705,9.053,5320,22,159,82.167,35.414,5320,22,159,82.167,35.414
G51,5320,195,255,237.573,13.035,5320,0,127,45.593,31.073,5320,0,127,45.593,31.073
G52,5320,127,255,207.102,30.793,5320,0,95,24.776,28.859,5320,0,95,24.776,28.859
G53,5320,93,255,196.449,39.082,5320,0,86,36.418,18.491,5320,0,86,36.418,18.491
G54,5320,31,254,154.414,64.128,5320,31,244,152.168,61.191,5320,63,255,210.775,43.480
G55,5320,90,255,210.246,39.587,5320,0,239,120.944,69.209,5320,0,243,121.454,69.722
G56,5320,83,255,188.628,47.912,5320,0,150,9.253,23.528,5320,0,150,9.253,23.528
G57,5320,149,255,231.658,25.332,5320,0,115,35.742,31.319,5320,0,115,35.742,31.319
G58,5320,179,255,239.419,15.323,5320,76,236,129.908,44.466,5320,76,250,130.020,44.730
G59,5320,31,255,236.755,24.490,5320,10,243,86.088,58.302,5320,10,255,86.482,59.294
G60,5320,39,250,170.262,47.382,5320,0,122,31.743,35.149,5320,0,122,31.743,35.149
G61,5320,42,255,197.818,56.398,5320,0,143,59.084,42.173,5320,0,143,59.084,42.173
G62,5320,168,255,227.570,20.269,5320,4,245,116.645,65.074,5320,4,246,116.680,65.140
G63,5320,61,255,180.508,57.667,5320,61,249,171.631,50.306,5320,161,255,229.985,22.476
G64,5320,129,255,192.269,31.629,5320,6,237,146.765,53.108,5320,6,255,163.486,64.192
G65,5320,121,213,174.552,18.988,5320,0,200,127.064,58.140,5320,0,255,143.583,73.687
G66,5320,116,247,173.474,33.060,5320,116,238,166.181,27.899,5320,125,255,195.345,17.712
G67,5320,50,243,174.464,36.843,5320,26,243,167.148,36.645,5320,26,255,190.984,36.045
G68,5320,115,255,215.606,29.312,5320,62,217,168.957,33.392,5320,62,236,172.397,35.614
G69,5320,143,255,227.378,21.441,5320,88,195,133.645,28.428,5320,88,195,133.645,28.428
G70,5320,21,255,204.115,46.980,5320,20,254,180.558,41.942,5320,20,254,184.845,43.487
G71,5320,17,139,49.019,22.804,5320,17,139,49.019,22.804,5320,120,255,239.943,21.362
G72,5320,22,160,85.262,37.052,5320,22,160,85.262,37.052,5320,130,255,215.844,23.734
G73,5320,0,159,52.671,46.706,5320,0,159,52.671,46.706,5320,177,255,235.078,18.022
