Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,146,255,233.741,23.643,5320,22,175,114.111,42.416,5320,22,175,114.111,42.416
G2,5320,162,255,245.832,14.185,5320,128,212,173.339,16.724,5320,128,213,173.383,16.807
G3,5320,137,255,243.873,16.794,5320,58,233,186.315,30.836,5320,58,233,186.322,30.839
G4,5320,0,237,96.949,63.794,5320,0,212,95.471,61.469,5320,50,221,152.242,43.854
G5,5320,0,131,17.481,24.234,5320,0,131,17.481,24.234,5320,97,255,208.167,39.716
G6,5320,0,162,84.677,52.960,5320,0,162,84.677,52.960,5320,82,255,225.398,36.964
G7,5320,59,241,114.993,38.481,5320,46,234,111.560,39.208,5320,46,252,133.057,52.849
G8,5320,47,255,188.059,61.414,5320,45,179,103.336,21.568,5320,45,208,104.832,24.308
G9,5320,49,255,183.055,62.718,5320,26,208,99.658,46.127,5320,26,217,100.344,47.516
G10,5320,136,255,238.769,21.863,5320,114,218,178.700,13.291,5320,114,218,178.700,13.291
G11,5320,202,255,247.451,9.963,5320,163,247,203.337,23.155,5320,163,250,203.765,23.774
G12,5320,46,254,169.797,39.628,5320,46,249,168.951,38.474,5320,124,255,220.404,15.942
G13,5320,2,126,47.628,22.063,5320,2,126,47.628,22.063,5320,132,248,207.619,19.660
G14,5320,0,146,17.777,31.344,5320,0,146,17.777,31.344,5320,101,255,222.336,34.980
G15,5320,48,247,192.801,41.216,5320,48,241,191.979,40.442,5320,118,255,237.357,25.384
G16,5320,166,255,220.311,27.213,5320,108,241,175.939,32.302,5320,108,252,177.020,33.619
G17,5320,50,255,206.515,53.800,5320,16,234,117.510,44.837,5320,16,234,117.510,44.837
G18,5320,47,252,171.226,41.833,5320,47,248,165.411,37.790,5320,71,255,188.588,35.367
G19,5320,140,255,219.301,29.435,5320,114,242,175.786,25.123,5320,114,255,177.016,27.768
G20,5320,206,255,243.989,12.872,5320,134,209,167.555,15.359,5320,134,209,167.555,15.359
G21,5320,112,255,227.565,33.718,5320,112,248,204.465,27.187,5320,154,255,220.408,21.156
G22,5320,1,212,75.192,58.019,5320,1,208,74.944,57.518,5320,66,243,199.301,33.824
G23,5320,0,116,34.927,31.929,5320,0,116,34.927,31.929,5320,71,255,219.039,41.425
G24,5320,95,193,154.529,17.102,5320,95,193,154.529,17.102,5320,204,255,242.765,10.515
G25,5320,55,255,202.175,31.185,5320,54,249,200.046,29.734,5320,55,255,229.679,29.394
G26,5320,53,255,172.163,46.556,5320,50,237,124.429,45.664,5320,50,237,124.448,45.661
G27,5320,55,208,123.577,24.504,5320,55,208,123.577,24.504,5320,105,255,236.969,26.991
G28,5320,64,253,199.687,44.034,5320,48,245,181.511,40.503,5320,48,255,207.042,45.234
G29,5320,60,255,204.009,49.988,5320,29,172,103.982,33.690,5320,29,172,103.982,33.690
G30,5320,143,255,226.632,27.594,5320,55,195,132.589,32.987,5320,55,195,132.589,32.987
G31,5320,109,255,227.644,23.211,5320,109,252,212.243,25.548,5320,164,255,219.287,24.929
G32,5320,0,244,82.722,72.484,5320,0,244,82.720,72.482,5320,57,255,181.399,50.378
G33,5320,0,208,98.057,74.512,5320,0,208,96.627,74.082,5320,41,255,217.896,48.363
G34,5320,39,253,156.979,50.089,5320,33,249,152.767,48.949,5320,33,250,165.064,55.231
G35,5320,61,255,189.867,61.038,5320,53,252,180.372,68.007,5320,53,255,182.661,69.941
G36,5320,0,143,96.723,31.489,5320,0,143,96.723,31.489,5320,98,255,225.554,30.471
G37,5320,53,255,161.664,68.455,5320,53,242,151.517,59.521,5320,119,255,207.673,33.585
G38,5320,88,255,219.756,38.070,5320,42,226,147.221,32.642,5320,42,226,147.221,32.642
G39,5320,127,255,240.828,27.570,5320,50,186,144.755,28.062,5320,50,186,144.755,28.062
G40,5320,111,255,216.314,20.568,5320,33,227,135.706,45.777,5320,33,228,135.733,45.829
G41,5320,0,227,31.203,57.636,5320,0,223,27.871,51.744,5320,41,255,176.194,62.326
G42,5320,0,239,121.141,84.217,5320,0,227,106.036,74.639,5320,30,255,158.573,48.622
G43,5320,14,232,157.120,59.016,5320,14,232,156.947,58.905,5320,49,255,196.727,59.709
G44,5320,19,248,137.481,59.333,5320,19,248,135.292,59.827,5320,33,255,155.314,55.388
G45,5320,0,255,84.308,71.087,5320,0,245,81.696,65.682,5320,32,255,160.053,47.979
G46,5320,58,255,187.839,56.439,5320,58,232,144.289,41.748,5320,85,255,161.860,39.468
G47,5320,187,255,247.942,8.760,5320,90,190,132.785,26.436,5320,90,190,132.785,26.436
G48,5320,192,255,243.416,14.462,5320,4,129,74.472,26.682,5320,4,129,74.472,26.682
G49,5320,206,255,245.727,10.285,5320,0,78,19.435,18.698,5320,0,78,19.435,18.698
G50,5320,15,255,185.644,66.945,5320,0,101,30.292,23.470,5320,0,119,33.462,28.806
G51,5320,47,255,207.151,49.469,5320,0,191,46.901,52.485,5320,0,191,46.901,52.485
G52,5320,18,225,151.786,44.832,5320,18,225,140.499,43.747,5320,59,255,170.095,50.652
G53,5320,12,201,113.439,50.848,5320,12,201,113.439,50.848,5320,41,255,165.614,56.915
G54,5320,104,255,217.639,35.249,5320,104,247,195.935,32.661,5320,123,253,208.936,32.129
G55,5320,76,255,178.226,41.588,5320,11,181,74.768,39.499,5320,11,181,74.768,39.499
G56,5320,90,255,216.422,34.646,5320,15,120,71.425,26.872,5320,15,120,71.425,26.872
