Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,171,255,239.015,16.700,5320,43,173,116.384,37.268,5320,43,173,116.384,37.268
G2,5320,191,255,248.525,9.368,5320,127,240,178.378,22.784,5320,127,241,178.473,22.928
G3,5320,154,255,242.030,16.266,5320,70,238,189.127,33.230,5320,70,239,189.171,33.276
G4,5320,105,250,182.808,25.637,5320,105,243,181.972,24.302,5320,143,255,230.320,21.629
G5,5320,42,183,141.852,32.449,5320,42,183,141.852,32.449,5320,112,255,233.824,30.169
G6,5320,30,127,69.610,22.325,5320,30,127,69.610,22.325,5320,63,255,187.392,43.019
G7,5320,46,233,116.935,46.316,5320,41,224,114.772,45.999,5320,42,255,150.160,56.567
G8,5320,48,255,189.328,56.082,5320,37,187,108.619,23.199,5320,37,203,109.179,24.136
G9,5320,52,255,188.108,62.026,5320,22,194,91.478,39.529,5320,22,194,91.478,39.529
G10,5320,130,255,239.674,22.235,5320,102,200,174.555,13.771,5320,102,200,174.555,13.771
G11,5320,207,255,242.900,9.273,5320,150,246,197.208,19.977,5320,150,251,197.507,20.498
G12,5320,62,248,185.930,33.530,5320,62,244,185.447,33.058,5320,123,255,224.680,20.403
G13,5320,12,174,95.567,38.635,5320,12,174,95.567,38.635,5320,43,255,209.762,51.361
G14,5320,15,136,63.518,19.781,5320,15,136,63.518,19.781,5320,104,255,209.988,35.150
G15,5320,50,251,190.752,60.933,5320,50,247,184.653,57.273,5320,133,255,214.594,29.626
G16,5320,154,255,214.867,30.577,5320,86,219,148.892,34.373,5320,86,219,148.892,34.373
G17,5320,48,255,206.333,49.608,5320,12,193,100.301,37.946,5320,12,193,100.301,37.946
G18,5320,80,234,170.431,32.316,5320,80,228,163.553,30.546,5320,103,255,182.886,38.394
G19,5320,165,255,219.351,27.161,5320,130,241,178.023,23.621,5320,130,255,179.674,27.328
G20,5320,215,255,249.999,7.927,5320,176,224,194.190,10.010,5320,176,224,194.190,10.010
G21,5320,31,255,220.944,46.541,5320,31,253,211.026,41.174,5320,74,255,224.924,26.703
G22,5320,21,181,106.143,30.969,5320,21,181,106.143,30.969,5320,50,255,178.719,48.265
G23,5320,49,187,117.451,27.502,5320,49,187,117.451,27.502,5320,119,255,226.829,26.521
G24,5320,121,255,222.530,29.265,5320,121,253,216.395,26.848,5320,177,255,230.542,20.281
G25,5320,59,255,232.448,30.520,5320,46,243,193.977,32.116,5320,46,243,193.977,32.116
G26,5320,56,255,168.757,50.180,5320,43,194,104.088,39.894,5320,43,194,104.088,39.894
G27,5320,49,203,123.130,25.214,5320,49,203,123.130,25.214,5320,79,255,237.970,24.935
G28,5320,101,248,193.049,41.188,5320,90,247,184.077,37.744,5320,90,255,218.843,39.057
G29,5320,66,255,208.874,54.245,5320,45,195,143.092,37.977,5320,45,195,143.092,37.977
G30,5320,181,255,236.528,18.057,5320,79,240,171.890,37.031,5320,79,247,173.069,38.340
G31,5320,85,255,193.535,43.819,5320,83,251,176.652,37.230,5320,83,255,197.553,34.653
G32,5320,30,213,141.846,45.628,5320,28,213,133.833,46.827,5320,28,255,159.311,60.824
G33,5320,45,255,198.434,48.753,5320,4,234,129.397,56.651,5320,4,239,131.422,59.109
G34,5320,35,255,169.751,55.120,5320,21,197,115.224,42.470,5320,21,202,115.462,42.636
G35,5320,66,255,195.106,63.490,5320,48,221,155.618,56.195,5320,48,221,155.618,56.195
G36,5320,0,142,94.789,36.077,5320,0,142,94.789,36.077,5320,22,255,222.716,32.104
G37,5320,56,255,155.696,66.209,5320,56,246,152.002,61.858,5320,121,255,216.617,30.535
G38,5320,42,255,179.188,56.698,5320,3,241,129.678,67.060,5320,3,241,129.680,67.062
G39,5320,55,255,215.872,48.400,5320,0,113,28.170,23.791,5320,0,113,28.170,23.791
G40,5320,98,255,205.048,29.823,5320,0,167,51.834,48.915,5320,0,167,51.834,48.915
G41,5320,156,255,233.676,21.971,5320,0,167,65.718,48.997,5320,0,167,65.718,48.997
G42,5320,44,253,179.432,42.458,5320,0,191,78.762,45.522,5320,0,191,78.763,45.523
G43,5320,37,252,183.927,53.994,5320,37,248,174.650,52.466,5320,48,255,192.249,51.988
G44,5320,36,255,163.994,50.588,5320,36,207,140.867,42.981,5320,43,222,148.361,46.336
G45,5320,0,255,72.631,73.422,5320,0,245,70.780,69.431,5320,34,250,139.757,44.669
G46,5320,62,255,183.027,54.782,5320,62,246,162.661,49.897,5320,90,255,183.719,42.599
G47,5320,43,255,214.927,47.129,5320,1,234,153.056,58.673,5320,1,234,153.053,58.675
G48,5320,45,255,178.829,61.006,5320,0,140,21.059,37.345,5320,0,140,21.059,37.345
G49,5320,38,255,169.511,55.492,5320,0,71,3.585,9.085,5320,0,71,3.585,9.085
G50,5320,49,255,182.387,53.811,5320,0,67,0.668,4.787,5320,0,67,0.668,4.787
G51,5320,78,255,221.723,34.513,5320,0,125,12.302,26.770,5320,0,125,12.302,26.770
G52,5320,20,246,164.368,45.469,5320,11,240,128.992,60.844,5320,11,255,144.485,69.125
G53,5320,16,212,131.206,54.695,5320,16,212,131.206,54.695,5320,26,255,172.003,66.766
G54,5320,103,255,217.833,35.670,5320,103,245,196.400,31.447,5320,134,254,208.945,29.554
G55,5320,84,255,180.284,39.182,5320,16,178,86.108,40.288,5320,16,178,86.108,40.288
G56,5320,105,255,205.664,29.353,5320,26,168,97.037,34.010,5320,26,168,97.037,34.010
G57,5320,80,255,197.061,41.851,5320,15,205,135.254,43.067,5320,15,205,135.254,43.067
G58,5320,52,255,209.430,52.509,5320,13,205,147.644,52.991,5320,13,205,147.644,52.991
G59,5320,117,255,217.026,31.647,5320,0,203,89.128,68.395,5320,0,203,89.128,68.395
G60,5320,64,251,188.039,44.302,5320,0,152,79.973,55.149,5320,0,152,79.973,55.149
G61,5320,100,255,230.447,26.792,5320,32,244,171.333,36.837,5320,32,255,172.894,39.656
G62,5320,62,244,186.397,38.432,5320,0,237,122.151,82.021,5320,0,255,132.504,92.623
G63,5320,191,255,240.966,12.929,5320,78,243,165.194,42.443,5320,78,255,167.196,45.526
G64,5320,179,255,233.860,19.249,5320,79,185,119.263,20.113,5320,79,185,119.263,20.113
G65,5320,203,255,246.271,10.413,5320,104,204,170.756,23.412,5320,104,204,170.756,23.412
G66,5320,197,255,241.440,14.247,5320,127,208,171.005,24.748,5320,127,208,171.005,24.748
G67,5320,136,255,220.675,17.566,5320,119,215,183.334,16.959,5320,119,215,183.334,16.959
G68,5320,179,255,225.431,17.118,5320,122,201,174.995,17.910,5320,122,201,174.995,17.910
G69,5320,95,255,201.671,41.358,5320,20,192,119.163,46.844,5320,20,192,119.163,46.844
G70,5320,33,255,170.834,58.142,5320,0,112,10.510,17.411,5320,0,112,10.510,17.411
G71,5320,151,255,213.624,30.067,5320,149,234,196.282,20.200,5320,149,255,202.947,19.057
G72,5320,175,255,235.206,18.559,5320,142,234,184.786,23.768,5320,142,234,184.786,23.768
G73,5320,89,255,223.485,25.176,5320,4,219,90.317,56.193,5320,4,222,90.335,56.232
G74,5320,52,255,199.148,45.881,5320,6,206,112.324,54.843,5320,6,220,114.649,58.161
G75,5320,125,246,209.311,23.342,5320,84,235,193.762,32.806,5320,84,255,197.666,35.125
