Roi,Rarea,Rmin,Rmax,Rmean,RstdDev,Garea,Gmin,Gmax,Gmean,GstdDev,Barea,Bmin,Bmax,Bmean,BstdDev
G1,5320,146,255,233.068,23.389,5320,24,165,110.803,40.464,5320,24,165,110.803,40.464
G2,5320,195,255,248.939,9.382,5320,124,235,182.343,22.170,5320,124,235,182.563,22.476
G3,5320,141,255,243.804,15.148,5320,64,240,192.418,31.176,5320,64,241,192.467,31.228
G4,5320,88,241,180.194,28.148,5320,88,234,179.266,26.893,5320,141,251,225.455,20.245
G5,5320,24,172,130.482,29.712,5320,24,172,130.482,29.712,5320,76,255,215.772,37.454
G6,5320,14,114,58.242,20.243,5320,14,114,58.242,20.243,5320,63,255,168.753,50.926
G7,5320,36,250,123.953,58.222,5320,36,244,121.865,56.930,5320,40,255,157.770,57.119
G8,5320,38,255,193.333,55.786,5320,31,182,104.546,25.124,5320,31,204,105.424,26.668
G9,5320,48,255,187.324,61.314,5320,22,212,90.543,43.004,5320,22,212,90.694,43.317
G10,5320,141,255,239.564,20.833,5320,111,198,168.308,11.601,5320,111,198,168.308,11.601
G11,5320,208,255,242.821,10.354,5320,156,240,187.642,18.333,5320,156,244,187.924,18.849
G12,5320,148,251,193.676,23.233,5320,148,241,191.230,20.611,5320,168,255,236.648,17.002
G13,5320,32,194,100.656,39.423,5320,32,194,100.656,39.423,5320,117,255,228.931,28.633
G14,5320,21,219,65.075,30.077,5320,21,218,65.075,30.076,5320,74,255,214.986,32.250
G15,5320,33,253,210.566,54.816,5320,33,246,199.609,49.841,5320,94,255,220.807,27.749
G16,5320,132,255,216.330,28.627,5320,85,216,139.451,31.924,5320,85,216,139.451,31.924
G17,5320,44,255,205.295,49.868,5320,12,185,94.470,32.752,5320,12,185,94.470,32.752
G18,5320,70,238,176.024,34.773,5320,70,236,168.307,33.100,5320,91,255,183.069,37.783
G19,5320,162,255,221.394,27.459,5320,112,249,163.144,27.191,5320,112,255,163.502,28.226
G20,5320,225,255,250.114,7.686,5320,127,193,160.648,11.455,5320,127,193,160.648,11.455
G21,5320,195,255,245.978,13.920,5320,115,248,193.703,31.659,5320,115,255,196.933,35.783
G22,5320,71,255,228.298,38.092,5320,71,253,189.896,31.012,5320,137,255,209.103,33.695
G23,5320,69,255,193.255,53.283,5320,69,246,158.122,43.716,5320,113,255,179.986,38.379
G24,5320,191,255,237.475,14.927,5320,140,246,207.967,21.272,5320,140,253,208.222,21.656
G25,5320,59,255,232.578,30.493,5320,44,241,188.528,33.336,5320,44,241,188.528,33.336
G26,5320,58,255,170.007,48.986,5320,43,186,98.186,37.319,5320,43,186,98.186,37.319
G27,5320,62,227,145.228,26.636,5320,62,227,145.228,26.636,5320,110,255,240.371,25.452
G28,5320,118,255,207.940,34.889,5320,75,249,182.640,37.516,5320,75,255,202.766,47.820
G29,5320,62,255,205.263,53.837,5320,3,154,82.505,35.829,5320,3,154,82.505,35.829
G30,5320,131,255,227.247,27.176,5320,0,150,43.036,48.771,5320,0,150,43.036,48.771
G31,5320,169,255,237.064,18.397,5320,0,165,71.903,56.017,5320,0,165,71.903,56.017
G32,5320,0,255,208.375,45.428,5320,0,150,77.525,36.301,5320,1,238,81.645,38.467
G33,5320,0,255,174.149,95.937,5320,0,185,76.368,58.036,5320,5,255,112.003,60.006
G34,5320,33,255,173.201,54.074,5320,16,194,110.035,43.078,5320,16,194,110.094,43.114
G35,5320,61,255,194.731,63.225,5320,39,223,152.576,58.861,5320,39,223,152.576,58.861
G36,5320,80,166,132.139,18.177,5320,80,166,132.139,18.177,5320,181,255,233.572,17.656
G37,5320,92,255,173.847,52.694,5320,92,222,149.552,32.355,5320,101,255,194.755,37.616
G38,5320,43,255,179.187,55.803,5320,0,186,60.049,56.769,5320,0,186,60.049,56.769
G39,5320,73,255,218.973,47.777,5320,0,1,5.639E-4,0.024,5320,0,1,5.639E-4,0.024
G40,5320,170,255,229.815,16.427,5320,0,6,0.034,0.299,5320,0,6,0.034,0.299
G41,5320,0,255,206.977,65.518,5320,0,24,1.254,3.594,5320,0,242,9.877,41.367
G42,5320,0,248,137.564,84.448,5320,0,159,40.882,45.464,5320,0,255,84.657,78.716
G43,5320,30,255,185.115,64.590,5320,30,252,167.437,57.592,5320,51,254,178.918,54.156
G44,5320,24,255,150.817,57.158,5320,24,218,131.495,48.806,5320,34,218,137.193,46.373
G45,5320,33,255,119.362,57.657,5320,33,222,112.135,44.254,5320,66,255,176.443,49.711
G46,5320,77,255,189.921,50.331,5320,43,215,116.233,37.841,5320,43,229,127.889,46.580
G47,5320,29,255,228.019,35.512,5320,0,135,56.872,42.935,5320,0,135,56.872,42.935
G48,5320,37,255,190.675,49.662,5320,0,3,0.014,0.144,5320,0,3,0.014,0.144
G49,5320,34,255,172.277,68.460,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G50,5320,36,255,178.280,51.643,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G51,5320,62,255,205.898,46.317,5320,0,96,5.824,14.789,5320,0,96,5.824,14.789
G52,5320,31,255,173.387,50.856,5320,13,248,128.055,62.949,5320,13,255,137.081,66.221
G53,5320,21,239,130.926,55.816,5320,21,239,130.926,55.816,5320,33,255,160.625,59.666
G54,5320,86,255,224.670,30.738,5320,86,249,182.451,31.961,5320,104,253,188.461,33.933
G55,5320,80,255,181.787,41.360,5320,0,145,38.841,38.420,5320,0,145,38.841,38.420
G56,5320,48,255,201.528,48.094,5320,0,56,4.677,9.991,5320,0,56,4.677,9.991
G57,5320,144,255,238.049,17.740,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G58,5320,147,255,227.304,19.188,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G59,5320,58,255,217.848,40.078,5320,0,31,0.783,3.550,5320,0,31,0.783,3.550
G60,5320,66,250,187.576,44.553,5320,0,107,39.597,37.819,5320,0,107,39.597,37.819
G61,5320,139,255,233.973,23.828,5320,33,247,145.749,42.936,5320,33,255,146.179,43.869
G62,5320,35,244,197.278,40.250,5320,0,243,128.890,86.337,5320,0,255,137.598,95.475
G63,5320,187,255,240.977,14.863,5320,7,250,130.993,62.215,5320,7,255,131.756,63.481
G64,5320,39,255,175.474,56.908,5320,0,123,7.981,18.530,5320,0,123,7.981,18.530
G65,5320,141,255,234.588,23.603,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G66,5320,211,255,247.284,10.977,5320,0,0,0.000,0.000,5320,0,0,0.000,0.000
G67,5320,48,255,206.695,38.368,5320,0,108,17.573,30.403,5320,0,108,17.573,30.403
G68,5320,176,255,225.247,17.478,5320,34,160,113.547,18.813,5320,34,160,113.547,18.813
G69,5320,96,255,201.530,40.506,5320,23,162,101.224,37.905,5320,23,162,101.224,37.905
G70,5320,32,255,167.292,57.579,5320,0,97,8.483,14.629,5320,0,97,8.483,14.629
G71,5320,145,255,200.696,31.853,5320,127,246,187.318,23.442,5320,127,255,198.040,23.371
G72,5320,73,255,199.731,38.820,5320,0,204,55.520,67.966,5320,0,204,55.521,67.967
G73,5320,33,255,208.311,45.432,5320,0,9,0.036,0.408,5320,0,9,0.036,0.408
G74,5320,20,255,206.086,53.803,5320,0,119,16.643,32.839,5320,0,119,16.643,32.839
G75,5320,17,255,203.694,34.437,5320,0,219,75.435,54.743,5320,0,219,75.435,54.743
G76,5320,140,255,202.194,32.420,5320,75,231,137.458,41.066,5320,75,231,137.458,41.066
G77,5320,70,255,207.916,36.023,5320,36,203,131.640,40.005,5320,36,203,131.640,40.005
G78,5320,20,230,135.855,30.525,5320,20,215,134.447,29.854,5320,31,255,226.242,28.301
G79,5320,80,225,172.231,30.702,5320,12,223,144.571,49.283,5320,12,255,167.126,61.363
G80,5320,34,224,162.475,37.683,5320,0,216,120.691,70.488,5320,0,255,141.425,87.589
G81,5320,47,255,186.335,30.674,5320,8,252,169.164,40.337,5320,8,255,197.547,51.723
G82,5320,107,255,180.171,50.495,5320,107,248,170.395,42.102,5320,113,255,212.444,22.165
G83,5320,116,255,196.186,32.604,5320,113,249,191.356,29.690,5320,108,255,225.415,25.886
G84,5320,17,255,197.588,31.524,5320,4,255,117.361,47.574,5320,4,255,117.403,47.668
G85,5320,86,139,116.254,10.393,5320,86,139,116.254,10.393,5320,146,255,229.210,20.242
G86,5320,98,255,173.968,40.657,5320,98,247,171.730,37.158,5320,127,255,241.049,17.014
G87,5320,64,255,219.787,37.448,5320,64,252,201.781,35.439,5320,77,255,210.910,31.774
G88,5320,60,212,140.392,31.497,5320,60,212,140.392,31.496,5320,128,255,222.421,18.615
G89,5320,96,164,127.361,13.543,5320,96,164,127.361,13.543,5320,196,255,244.395,14.121
G90,5320,77,250,128.174,35.146,5320,77,248,128.165,35.118,5320,204,255,242.381,11.750
G91,5320,34,255,176.758,43.831,5320,16,255,164.260,48.568,5320,16,255,176.037,54.560
G92,5320,24,244,127.220,58.307,5320,24,234,120.642,51.901,5320,44,238,136.967,43.917
G93,5320,22,254,147.945,74.508,5320,22,248,141.233,67.058,5320,58,255,177.720,49.358
G94,5320,27,165,118.447,37.498,5320,27,165,118.447,37.498,5320,77,255,189.046,54.807
G95,5320,41,215,148.318,41.674,5320,41,215,148.318,41.674,5320,67,252,187.387,40.458
G96,5320,110,255,221.789,31.077,5320,102,240,197.844,27.850,5320,102,249,202.094,28.089
G97,5320,40,252,186.792,51.844,5320,40,237,181.488,48.999,5320,83,255,227.024,31.622
G98,5320,35,234,175.538,26.378,5320,35,234,175.449,26.269,5320,58,255,233.783,25.782
G99,5320,20,235,125.556,47.744,5320,13,231,107.138,52.274,5320,13,255,133.398,76.096
G100,5320,33,221,138.802,38.250,5320,33,221,138.798,38.244,5320,40,255,191.712,43.623
